SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.5714285714285714,0.09471302961410766,7,2D,0.05412173120806152
Candlestick,CDL_MORNING_STAR,Bullish,0.5,0.07499998807907104,2,3D,0.03749999403953552
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.5714285714285714,0.05242081016647707,7,1D,0.029954748666558326
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.5714285714285714,0.04701646725940467,7,3D,0.02686655271965981
Candlestick,CDL_MORNING_STAR,Bullish,0.5,0.045098079094196164,2,2D,0.022549039547098082
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5217391304347826,0.025875668028611853,23,3D,0.013500348536667053
Candlestick,CDL_MORNING_STAR,Bullish,0.5,0.0200980433314093,2,1D,0.01004902166570465
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.4782608695652174,0.020821440285390173,23,2D,0.009958080136490953
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.6666666666666666,0.011917507486529014,6,1D,0.007945004991019342
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5652173913043478,0.009370941826470082,23,1D,0.00529661929322222
Candlestick,CDL_HAMMER,Bullish,0.36363636363636365,0.0030049509808117714,11,3D,0.0010927094475679168
Candlestick,CDL_EVENING_STAR,Bearish,0.3333333333333333,0.0024173969214209556,3,1D,0.0008057989738069852
Candlestick,CDL_HARAMI,Bullish,0.3392857142857143,0.0023598316581569653,112,2D,0.0008006571697318275
Candlestick,CDL_HAMMER,Bullish,0.45454545454545453,0.0012705502031490144,11,1D,0.0005775228196131883
Candlestick,CDL_HAMMER,Bullish,0.36363636363636365,0.0015788421623345644,11,2D,0.0005741244226671144
Candlestick,CDL_HARAMI,Bullish,0.36607142857142855,0.00040532095823919207,112,1D,0.00014837642221256138
Indicator,RSI_State,Overbought,0.0,0.008268525399479441,44,3D,0.0
Indicator,RSI_State,Oversold,0.0,-0.002857085163976216,120,3D,-0.0
Indicator,RSI_State,Oversold,0.0,-0.0056182922617136095,120,2D,-0.0
Indicator,RSI_State,Overbought,0.0,0.010175467370691166,44,2D,0.0
Indicator,CMF_State,Positive,0.0,-0.004551956563095196,213,2D,-0.0
Indicator,CMF_State,Positive,0.0,-0.005658078135263346,213,3D,-0.0
Indicator,CMF_State,Negative,0.0,-0.004232925787172376,891,2D,-0.0
Indicator,RSI_State,Overbought,0.0,0.004160734541066693,44,1D,0.0
Indicator,RSI_State,Oversold,0.0,-0.005208456347028044,120,1D,-0.0
Indicator,CMF_State,Positive,0.0,-0.0004886173800949696,213,1D,-0.0
Indicator,CMF_State,Negative,0.0,-0.0027288712038596357,891,1D,-0.0
Indicator,CMF_State,Negative,0.0,-0.006343095755253387,891,3D,-0.0
Indicator,EMA_Trend,Bullish,0.42543859649122806,-0.0007168511254792453,228,1D,-0.00030497613671704734
Candlestick,CDL_HARAMI,Bullish,0.2767857142857143,-0.0012073438938623668,112,3D,-0.0003341755420511908
Indicator,EMA_Trend,Bullish,0.40350877192982454,-0.0010052827351378678,228,2D,-0.0004056404018977361
Indicator,MACD_Trend,Bullish,0.36095764272559855,-0.0012286245001951626,543,1D,-0.0004434814033853626
Candlestick,CDL_HARAMI_CROSS,Bearish,0.3333333333333333,-0.0018160269451859001,6,1D,-0.0006053423150619667
Indicator,EMA_Trend,Bullish,0.38596491228070173,-0.0019756276351973814,228,3D,-0.0007625229469182876
Indicator,MACD_Trend,Bullish,0.3462246777163904,-0.002762303208802895,543,2D,-0.0009563775382227334
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5050505050505051,-0.0020726536145552043,99,1D,-0.0010467947548258609
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.5555555555555556,-0.002315531860544718,27,2D,-0.00128640658919151
Indicator,MACD_Trend,Bullish,0.31123388581952116,-0.004201669705106448,543,3D,-0.0013077019892504414
Indicator,EMA_Trend,Bearish,0.5273972602739726,-0.0027078284109473697,876,1D,-0.0014281012852256675
Candlestick,CDL_THREE_INSIDE_UP,Bearish,0.5,-0.003012040578881159,2,1D,-0.0015060202894405794
Indicator,MACD_Trend,Bearish,0.5187165775401069,-0.003330403994640268,561,1D,-0.0017275357619257006
Candlestick,CDL_SHOOTING_STAR,Bearish,0.6666666666666666,-0.0027365929744301485,3,1D,-0.0018243953162867656
Candlestick,CDL_HARAMI_CROSS,Bullish,0.2631578947368421,-0.007347346647144473,38,2D,-0.0019335122755643349
Candlestick,CDL_HARAMI,Bearish,0.4,-0.005110791579103702,15,1D,-0.002044316631641481
Candlestick,CDL_HARAMI_CROSS,Bullish,0.2894736842105263,-0.009370375980795324,38,1D,-0.0027124772575986464
Indicator,EMA_Trend,Bearish,0.5570776255707762,-0.005150569818148893,876,2D,-0.00286926720463089
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5252525252525253,-0.005489674052372821,99,2D,-0.0028834651588220883
Candlestick,CDL_HARAMI_CROSS,Bullish,0.23684210526315788,-0.01249163658536818,38,3D,-0.0029585455070608845
Indicator,MACD_Trend,Bearish,0.5418894830659536,-0.0057774919463990946,561,2D,-0.0031307621242519157
Candlestick,CDL_HARAMI,Bearish,0.4666666666666667,-0.006715714625700139,15,2D,-0.0031340001586600648
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5959595959595959,-0.005767624332768897,99,3D,-0.003437271067003686
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.32142857142857145,-0.012630151519164804,28,1D,-0.004059691559731545
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.5925925925925926,-0.007297083686549429,27,3D,-0.0043241977401774385
Indicator,EMA_Trend,Bearish,0.593607305936073,-0.007313271529585453,876,3D,-0.004341211410256205
Candlestick,CDL_HARAMI_CROSS,Bearish,0.6666666666666666,-0.006517572254872224,6,2D,-0.0043450481699148155
Indicator,MACD_Trend,Bearish,0.5490196078431373,-0.008155726044329873,561,3D,-0.004477653514534049
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.6296296296296297,-0.00794301952215463,27,1D,-0.005001160439875137
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.16666666666666666,-0.033472306618848924,6,3D,-0.005578717769808153
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.4642857142857143,-0.01276260815670496,28,3D,-0.005925496644184446
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.6,-0.01043832981016457,5,2D,-0.006262997886098742
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.4642857142857143,-0.015753294121605248,28,2D,-0.007314029413602437
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.4,-0.01849867484179557,5,1D,-0.007399469936718229
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.6666666666666666,-0.012206554467122063,6,2D,-0.008137702978081375
Candlestick,CDL_HARAMI_CROSS,Bearish,0.6666666666666666,-0.013606653090744658,6,3D,-0.009071102060496439
Candlestick,CDL_HARAMI,Bearish,0.5333333333333333,-0.019444834664278852,15,3D,-0.010370578487615387
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.6,-0.02066471396468461,5,3D,-0.012398828378810766
Candlestick,CDL_THREE_BLACK_CROWS,Bearish,1.0,-0.02201254315676271,1,1D,-0.02201254315676271
Candlestick,CDL_THREE_BLACK_CROWS,Bearish,1.0,-0.02830187547556251,1,2D,-0.02830187547556251
Candlestick,CDL_THREE_INSIDE_UP,Bearish,1.0,-0.028722201346873366,2,2D,-0.028722201346873366
