SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_EVENING_STAR,Bearish,0.5,0.06739422288273111,2,2D,0.03369711144136556
Candlestick,CDL_EVENING_STAR,Bearish,0.5,0.06139530420552031,2,3D,0.030697652102760153
Candlestick,CDL_HARAMI_CROSS,Bullish,0.47058823529411764,0.015433919913549032,17,3D,0.00726302113578778
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.5,0.010874036170850143,8,2D,0.005437018085425072
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.47058823529411764,0.009969462884174322,17,3D,0.0046915119454937985
Candlestick,CDL_HARAMI,Bullish,0.55,0.007453440482118743,60,3D,0.004099392265165309
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.5882352941176471,0.005344874849830254,17,2D,0.0031440440293119144
Candlestick,CDL_HARAMI_CROSS,Bullish,0.29411764705882354,0.010355530447456244,17,2D,0.0030457442492518366
Candlestick,CDL_HARAMI_CROSS,Bearish,0.5,0.005853104081899874,8,2D,0.002926552040949937
Candlestick,CDL_MORNING_STAR,Bullish,0.42857142857142855,0.006432310100407583,7,1D,0.002756704328746107
Candlestick,CDL_THREE_BLACK_CROWS,Bearish,0.5,0.005486710662029881,2,2D,0.0027433553310149406
Candlestick,CDL_HARAMI_CROSS,Bullish,0.47058823529411764,0.005651018076576923,17,1D,0.002659302624271493
Candlestick,CDL_HARAMI,Bullish,0.45,0.005439480767648497,60,2D,0.0024477663454418237
Candlestick,CDL_SHOOTING_STAR,Bearish,0.46153846153846156,0.004878681621054435,13,3D,0.0022516992097174316
Indicator,RSI_State,Oversold,0.5222222222222223,0.0042236095230511715,90,3D,0.002205662750926723
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.25,0.008812972819288556,8,3D,0.002203243204822139
Candlestick,CDL_HAMMER,Bullish,0.3333333333333333,0.006595922460277052,12,1D,0.0021986408200923508
Indicator,RSI_State,Oversold,0.5555555555555556,0.003816943950402961,90,2D,0.0021205244168905337
