SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_THREE_INSIDE_UP,Bullish,1.0,0.07142855057563491,1,3D,0.07142855057563491
Candlestick,CDL_THREE_INSIDE_UP,Bullish,1.0,0.03061226376490178,1,1D,0.03061226376490178
Candlestick,CDL_THREE_INSIDE_UP,Bullish,1.0,0.03061226376490178,1,2D,0.03061226376490178
Candlestick,CDL_PIERCING,Bullish,1.0,0.024709313003806743,1,1D,0.024709313003806743
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,1.0,0.017416598653353654,1,3D,0.017416598653353654
Candlestick,CDL_HARAMI,Bullish,0.36,0.0089130513940873,50,3D,0.0032086985018714275
Candlestick,CDL_HARAMI_CROSS,Bullish,0.325,0.008450822620907118,40,3D,0.0027465173517948133
Indicator,MACD_Trend,Bullish,0.39008264462809916,0.006848108464036311,605,3D,0.0026713282603513543
Candlestick,CDL_HAMMER,Bullish,0.4666666666666667,0.004760918695819472,15,3D,0.0022217620580490868
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,1.0,0.0021771180861291928,1,1D,0.0021771180861291928
Indicator,EMA_Trend,Bearish,0.4107424960505529,0.005183293024789219,633,3D,0.002128998714763344
Indicator,MACD_Trend,Bullish,0.343801652892562,0.004645105444740049,605,2D,0.001596994929761868
Indicator,EMA_Trend,Bullish,0.4199623352165725,0.003460800737568971,531,3D,0.0014534059594687016
Indicator,EMA_Trend,Bearish,0.3570300157977883,0.0030700922021416745,633,2D,0.0010961150674313087
Indicator,EMA_Trend,Bullish,0.3615819209039548,0.002437219895288381,531,2D,0.0008812546514037085
Indicator,MACD_Trend,Bearish,0.4418604651162791,0.0017452666468671394,559,3D,0.000771164332336643
Indicator,MACD_Trend,Bullish,0.27768595041322314,0.0026389469482224334,605,1D,0.0007327984914072211
Candlestick,CDL_HARAMI,Bullish,0.2,0.0028652640828793928,50,1D,0.0005730528165758785
Candlestick,CDL_HARAMI,Bullish,0.18,0.0029824764225087463,50,2D,0.0005368457560515743
Indicator,EMA_Trend,Bearish,0.292259083728278,0.001398809316188867,633,1D,0.0004088147290599374
Indicator,EMA_Trend,Bullish,0.2994350282485876,0.0012379161131713765,531,1D,0.0003706754463168529
Indicator,MACD_Trend,Bearish,0.41144901610017887,0.0007642993457711645,559,2D,0.00031447021382355605
Candlestick,CDL_HARAMI_CROSS,Bullish,0.1,0.0027560273255766987,40,2D,0.00027560273255766986
