SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_MORNING_STAR,Bullish,0.25,0.037908412448702744,4,2D,0.009477103112175686
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.3333333333333333,0.018374714308730722,3,3D,0.006124904769576907
Indicator,RSI_State,Overbought,0.3728813559322034,0.014705227521814036,177,3D,0.005483305177625573
Indicator,RSI_State,Oversold,0.2692307692307692,0.01711205481440708,26,3D,0.004607091680801906
Candlestick,CDL_HARAMI_CROSS,Bullish,0.3181818181818182,0.014116120567084844,22,3D,0.004491492907708814
Indicator,RSI_State,Overbought,0.3898305084745763,0.011242842714399673,177,2D,0.00438280309205411
Indicator,RSI_State,Oversold,0.3076923076923077,0.01271177700243571,26,2D,0.00391131600074945
Indicator,RSI_State,Oversold,0.4230769230769231,0.009239491716971573,26,1D,0.00390901572641105
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.3076923076923077,0.011588601817498408,13,3D,0.0035657236361533564
Indicator,EMA_Trend,Bullish,0.4325068870523416,0.008122810880398899,726,3D,0.0035131716479962177
Candlestick,CDL_HARAMI_CROSS,Bearish,0.25,0.012862830870665767,8,3D,0.003215707717666442
Indicator,MACD_Trend,Bearish,0.4632867132867133,0.006516713211951823,572,3D,0.0030191066453972605
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.4666666666666667,0.00638125399558999,15,3D,0.0029779185312753284
Candlestick,CDL_HARAMI,Bearish,0.36,0.008229724765635864,25,2D,0.002962700915628911
Candlestick,CDL_HARAMI_CROSS,Bullish,0.22727272727272727,0.012864870212283174,22,2D,0.002923834139155267
Candlestick,CDL_HARAMI,Bullish,0.40384615384615385,0.007142159965348838,52,3D,0.0028843338321601075
Indicator,RSI_State,Overbought,0.4576271186440678,0.005754789771024346,177,1D,0.0026335478613162258
Candlestick,CDL_THREE_INSIDE,Bullish,0.2857142857142857,0.009062358138393465,7,1D,0.0025892451823981326
Indicator,CMF_State,Negative,0.4718954248366013,0.005433403264560177,765,3D,0.0025639981418382014
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.4666666666666667,0.005473670055175295,15,2D,0.002554379359081804
