SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_MORNING_STAR,Bullish,0.6666666666666666,0.03594271645877475,3,2D,0.023961810972516498
Candlestick,CDL_MORNING_STAR,Bullish,0.6666666666666666,0.02986259641079299,3,3D,0.019908397607195327
Candlestick,CDL_MORNING_STAR,Bullish,1.0,0.01800048050116665,3,1D,0.01800048050116665
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.6,0.02653319984539295,15,3D,0.01591991990723577
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.4,0.024802679085585776,5,1D,0.009921071634234311
Candlestick,CDL_THREE_INSIDE_UP,Bearish,0.5,0.014388701835911566,2,1D,0.007194350917955783
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.6666666666666666,0.010527456062038944,18,2D,0.007018304041359296
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.5555555555555556,0.012096742439626515,18,3D,0.006720412466459175
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.2,0.03334201894645643,5,3D,0.006668403789291286
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.2,0.033269284832958455,5,2D,0.006653856966591692
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.5333333333333333,0.012448795693090698,15,2D,0.006639357702981705
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.625,0.008582642879414475,48,2D,0.005364151799634047
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.625,0.006214525529973439,48,3D,0.003884078456233399
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.5,0.005757331774663994,38,3D,0.002878665887331997
Candlestick,CDL_HARAMI,Bullish,0.5,0.005357312645514932,60,3D,0.002678656322757466
Candlestick,CDL_HARAMI_CROSS,Bullish,0.391304347826087,0.00660589117457056,23,3D,0.002584913937875437
Indicator,MACD_Trend,Bearish,0.5024793388429752,0.005083384000347393,605,3D,0.0025542954315795167
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5208333333333334,0.004755123278581394,48,1D,0.002476626707594476
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.4,0.005539356784243998,15,1D,0.0022157427136975994
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.5,0.0038959904448320265,18,1D,0.0019479952224160132
Indicator,MACD_Trend,Bearish,0.49586776859504134,0.003751024767781027,605,2D,0.001860012281544311
Indicator,EMA_Trend,Bullish,0.4847094801223242,0.0034457392629273836,654,3D,0.0016701824867706126
Indicator,EMA_Trend,Bearish,0.503921568627451,0.003287430362283113,510,3D,0.0016566070649152156
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.5,0.003107317469485244,38,2D,0.001553658734742622
Indicator,EMA_Trend,Bullish,0.47706422018348627,0.0023021089491711646,654,2D,0.0010982538106137666
Indicator,EMA_Trend,Bearish,0.4980392156862745,0.00218580009857416,510,2D,0.0010886141667408563
