SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_HARAMI_CROSS,Bullish,0.5714285714285714,0.023599796963647373,14,3D,0.013485598264941355
Indicator,RSI_State,Overbought,0.47474747474747475,0.023258604367535584,99,3D,0.011041963689638105
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.3142857142857143,0.03232903693532099,35,3D,0.010160554465386598
Candlestick,CDL_THREE_INSIDE,Bearish,0.5,0.020248503047053446,2,3D,0.010124251523526723
Candlestick,CDL_HARAMI_CROSS,Bullish,0.5,0.0193207363689491,14,2D,0.00966036818447455
Indicator,RSI_State,Oversold,0.2727272727272727,0.030941814250314434,11,1D,0.008438676613722117
Candlestick,CDL_HAMMER,Bullish,0.6,0.013232869728510203,15,3D,0.00793972183710612
Indicator,EMA_Trend,Bearish,0.49878345498783455,0.014995643679415383,411,3D,0.007479578964185289
Indicator,RSI_State,Overbought,0.5050505050505051,0.014220283234122371,99,2D,0.007181961229354734
Indicator,CMF_State,Positive,0.4776902887139108,0.01485910480899623,381,3D,0.00709805006623967
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.6666666666666666,0.009620855692084337,3,1D,0.006413903794722891
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.5,0.011432834514183421,10,2D,0.0057164172570917104
Candlestick,CDL_EVENING_STAR,Bearish,0.5,0.01116717885455265,2,3D,0.005583589427276325
Indicator,RSI_State,Oversold,0.09090909090909091,0.06140372893962089,11,2D,0.0055821571763291725
Indicator,MACD_Trend,Bullish,0.531021897810219,0.010334657268997084,548,3D,0.005487929316201006
Indicator,CMF_State,Positive,0.5118110236220472,0.009754193972447128,381,2D,0.004992304001646167
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.4,0.012141846442527582,5,1D,0.004856738577011033
Candlestick,CDL_THREE_INSIDE,Bearish,0.5,0.009689562296011422,2,2D,0.004844781148005711
Indicator,EMA_Trend,Bearish,0.5012165450121655,0.00939530040158242,411,2D,0.004709080006632552
Indicator,MACD_Trend,Bearish,0.48863636363636365,0.008849742588987268,616,3D,0.004324306037800597
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.42857142857142855,0.009387052723790488,35,2D,0.0040230225959102086
Indicator,RSI_State,Overbought,0.5151515151515151,0.007637228989923903,99,1D,0.003934330085718374
Indicator,CMF_State,Negative,0.5236270753512133,0.006964897427840351,783,3D,0.0036470088702612313
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.5,0.006993808965302495,10,3D,0.0034969044826512474
Indicator,MACD_Trend,Bearish,0.538961038961039,0.006381420836799762,616,2D,0.0034393372042492223
Indicator,EMA_Trend,Bullish,0.5139442231075697,0.0065758619734220935,753,3D,0.0033796262731930283
Indicator,MACD_Trend,Bullish,0.5255474452554745,0.006228691858082266,548,2D,0.003273473093298709
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5151515151515151,0.006206758367122448,33,1D,0.003197420977002473
Indicator,EMA_Trend,Bullish,0.549800796812749,0.004625245562612697,753,2D,0.002542963695779092
Indicator,CMF_State,Negative,0.5427841634738186,0.004633372248014534,783,2D,0.002514921079701375
Indicator,EMA_Trend,Bearish,0.5012165450121655,0.004538125853762976,411,1D,0.0022745837612534623
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5151515151515151,0.004366472489246551,33,2D,0.0022493949187027684
Indicator,CMF_State,Positive,0.5170603674540682,0.004203154380868697,381,1D,0.002173284548638145
Indicator,MACD_Trend,Bearish,0.5113636363636364,0.003285037426943136,616,1D,0.0016798486842322855
Candlestick,CDL_HARAMI,Bearish,0.6190476190476191,0.0026345979894663507,21,1D,0.0016309416125267885
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5757575757575758,0.0028195875239980105,33,3D,0.0016233988774534002
Indicator,MACD_Trend,Bullish,0.5383211678832117,0.002905850046411328,548,1D,0.001564280590677631
Candlestick,CDL_MORNING_STAR,Bullish,0.4,0.0037850915524939134,5,1D,0.0015140366209975655
Indicator,CMF_State,Negative,0.5274584929757343,0.0025729081242904287,783,1D,0.0013571022418032528
Indicator,EMA_Trend,Bullish,0.5365205843293492,0.0023251250392215084,753,1D,0.0012474774446819246
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.4857142857142857,0.002463595780580974,35,1D,0.0011966036648536158
Candlestick,CDL_HARAMI,Bullish,0.6451612903225806,0.001829846628048732,62,2D,0.001180546211644343
Candlestick,CDL_HARAMI,Bullish,0.6129032258064516,0.0013950711000159815,62,1D,0.00085504357742915
Candlestick,CDL_HARAMI_CROSS,Bearish,0.6666666666666666,0.0005271498072648336,12,1D,0.0003514332048432224
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.6,0.0002875064167224939,10,1D,0.00017250385003349632
Candlestick,CDL_THREE_BLACK_CROWS,Bearish,0.0,0.02463602321454661,1,2D,0.0
Candlestick,CDL_THREE_BLACK_CROWS,Bearish,0.0,0.0,1,3D,0.0
Indicator,RSI_State,Oversold,0.0,0.08437997542077752,11,3D,0.0
Candlestick,CDL_THREE_INSIDE,Bearish,0.5,-0.00019553815255740625,2,1D,-9.776907627870313e-05
Candlestick,CDL_HAMMER,Bullish,0.6666666666666666,-0.0003265612738902949,15,1D,-0.00021770751592686325
Candlestick,CDL_HAMMER,Bullish,0.6,-0.0009292273174913953,15,2D,-0.0005575363904948372
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.6,-0.0009571039642647605,5,2D,-0.0005742623785588563
Candlestick,CDL_HARAMI,Bullish,0.6451612903225806,-0.001283213651142738,62,3D,-0.0008278797749307988
