SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
MACD_Bullish_State + CCI_Oversold,MACD_Bullish_State + CCI_Oversold,combo_2,11,momentum,Bullish,,,,,,,,,0.9091,0.13094,-0.00785,0.118327,171.446,0.11833,1.708,50.410667,,,,,,,,,0.112449,0.9697,171.446,0.9091,43.55116,5,50.410667,0.18832,0,1.0,0.11142,0.0,0.111415,,0.11142,2.416,0.276856,1.0,0.1076,0.0,0.107603,,0.1076,2.959,0.267385,,,,,,,,,,,,,,,,,,,,,,,,,AARVI_data,
MACD_Hist_Positive + CCI_Oversold,MACD_Hist_Positive + CCI_Oversold,combo_2,11,momentum,Bullish,,,,,,,,,0.9091,0.13094,-0.00785,0.118327,171.446,0.11833,1.708,50.410667,,,,,,,,,0.112449,0.9697,171.446,0.9091,43.55116,5,50.410667,0.18832,0,1.0,0.11142,0.0,0.111415,,0.11142,2.416,0.276856,1.0,0.1076,0.0,0.107603,,0.1076,2.959,0.267385,,,,,,,,,,,,,,,,,,,,,,,,,AARVI_data,
RSI_Exit_Oversold + OBV_Rising,RSI_Exit_Oversold + OBV_Rising,combo_2,17,momentum,Bullish,,,,,,,,,1.0,0.04055,0.0,0.040546,,0.04055,1.893,0.117192,,,,,,,,,0.065329,0.9608,22.194,0.9412,3.944265,15,5.777451,0.10406,0,0.9412,0.06741,-0.05434,0.060248,23.39,0.06025,2.677,4.073121,0.9412,0.10646,-0.08509,0.095195,20.998,0.09519,3.278,5.777451,,,,,,,,,,,,,,,,,,,,,,,,,AARVI_data,
BB_Expansion_Bull + Stoch_Oversold,BB_Expansion_Bull + Stoch_Oversold,combo_2,15,momentum,Bullish,,,,,,,,,1.0,0.05468,0.0,0.054682,,0.05468,1.917,0.151611,,,,,,,,,0.05477,0.9333,29.645,0.8667,3.901539,15,6.514244,0.13602,0,0.8667,0.07686,-0.0486,0.060133,11.821,0.06013,2.71,1.970868,0.9333,0.05482,-0.02499,0.049496,47.469,0.0495,3.32,6.514244,,,,,,,,,,,,,,,,,,,,,,,,,AARVI_data,
CMF_Positive + CCI_Oversold,CMF_Positive + CCI_Oversold,combo_2,14,momentum,Bullish,,,,,,,,,0.8571,0.00385,-0.04091,-0.002549,2.297,-0.00255,1.64,-0.015854,,,,,,,,,0.02242,0.9286,59.748,0.8571,3.109339,10,11.026152,0.11913,0,0.9286,0.03781,-0.00518,0.034741,117.199,0.03474,2.319,11.026152,1.0,0.03507,0.0,0.035067,,0.03507,2.841,0.094964,,,,,,,,,,,,,,,,,,,,,,,,,AARVI_data,
Stoch_Bull_Zone + CCI_Oversold,Stoch_Bull_Zone + CCI_Oversold,combo_2,68,momentum,Bullish,,,,,,,,,0.9559,0.01287,-0.02008,0.011416,37.51,0.01142,1.602,1.813138,,,,,,,,,0.030061,0.9412,23.005,0.9706,2.84198,15,3.167624,0.02203,1,0.9265,0.04028,-0.05066,0.033592,14.944,0.03359,2.265,2.1255,0.9412,0.05224,-0.06793,0.045176,16.56,0.04518,2.774,3.167624,,,,,,,,,,,,,,,,,,,,,,,,,AARVI_data,
RSI_Exit_Oversold + VWAP_Bull,RSI_Exit_Oversold + VWAP_Bull,combo_2,12,momentum,Bullish,,,,,,,,,1.0,0.04108,0.0,0.041085,,0.04108,1.856,0.105381,,,,,,,,,0.065474,0.9444,16.486,0.9167,2.537966,15,3.610677,0.2031,0,0.9167,0.07176,-0.05434,0.06125,18.011,0.06125,2.624,2.829614,0.9167,0.11038,-0.08509,0.094087,14.962,0.09409,3.214,3.610677,,,,,,,,,,,,,,,,,,,,,,,,,AARVI_data,
MACD_Zero_Cross_Up + OBV_Trend_Bull,MACD_Zero_Cross_Up + OBV_Trend_Bull,combo_2,26,momentum,Bullish,,,,,,,,,0.9615,0.00945,-0.07269,0.006288,9.674,0.00629,1.617,0.200493,,,,,,,,,0.025,0.9615,29.427,1.0,2.424644,15,6.30467,0.10068,0,0.9615,0.01933,-0.02491,0.017629,41.159,0.01763,2.287,2.391418,0.9615,0.05524,-0.05286,0.051082,37.448,0.05108,2.801,6.30467,,,,,,,,,,,,,,,,,,,,,,,,,AARVI_data,
EMA_Bullish_State + BB_Lower_Touch,EMA_Bullish_State + BB_Lower_Touch,combo_2,34,momentum,Bullish,,,,,,,,,0.9412,0.01653,-0.04304,0.013028,15.806,0.01303,1.854,0.732128,,,,,,,,,0.020019,0.9412,31.982,0.9412,2.14243,15,5.600233,0.03668,1,0.9118,0.02675,-0.03084,0.021671,18.025,0.02167,2.623,1.388777,0.9706,0.02692,-0.02604,0.025359,62.115,0.02536,3.212,5.600233,,,,,,,,,,,,,,,,,,,,,,,,,AARVI_data,
RSI_Oversold + Golden_Cross_State,RSI_Oversold + Golden_Cross_State,combo_2,31,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.084969,0.828,8.302,0.871,2.129343,30,6.266346,0.34259,0,0.8065,0.04984,-0.0445,0.031579,6.003,0.03158,2.918,0.657029,,,,,,,,,0.7742,0.13438,-0.08718,0.084351,5.893,0.08435,4.127,1.722749,0.9032,0.16564,-0.10987,0.138976,13.01,0.13898,5.055,6.266346,,,,,,,,,AARVI_data,
