SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
Price_Above_SMA50 + EMA_Bullish_State + RSI_Cross50_Up,Price_Above_SMA50 + EMA_Bullish_State + RSI_Cross50_Up,combo_3,13,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.139734,0.8718,24.772,0.9231,8.432454,0.8462,0.12327,-0.05689,0.095555,12.495,0.09556,,,,,,,0.8462,0.16013,-0.03945,0.129422,22.26,0.12942,0.9231,0.21595,-0.06648,0.194224,39.562,0.19422,,,,,,,AGSTRA_data,
RSI_Cross50_Up + Price_Above_SMA50,RSI_Cross50_Up + Price_Above_SMA50,combo_2,24,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.071983,0.9028,24.674,0.9167,5.240675,0.875,0.07683,-0.06083,0.059618,10.473,0.05962,,,,,,,0.875,0.08814,-0.04313,0.071731,17.976,0.07173,0.9583,0.09117,-0.06648,0.0846,45.574,0.0846,,,,,,,AGSTRA_data,
Price_Above_SMA50 + RSI_Bull_Momentum + RSI_Cross50_Up,Price_Above_SMA50 + RSI_Bull_Momentum + RSI_Cross50_Up,combo_3,24,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.071983,0.9028,24.674,0.9167,5.240675,0.875,0.07683,-0.06083,0.059618,10.473,0.05962,,,,,,,0.875,0.08814,-0.04313,0.071731,17.976,0.07173,0.9583,0.09117,-0.06648,0.0846,45.574,0.0846,,,,,,,AGSTRA_data,
OBV_Rising + Price_Above_SMA50 + RSI_Cross50_Up,OBV_Rising + Price_Above_SMA50 + RSI_Cross50_Up,combo_3,24,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.071983,0.9028,24.674,0.9167,5.240675,0.875,0.07683,-0.06083,0.059618,10.473,0.05962,,,,,,,0.875,0.08814,-0.04313,0.071731,17.976,0.07173,0.9583,0.09117,-0.06648,0.0846,45.574,0.0846,,,,,,,AGSTRA_data,
MACD_Hist_Rising + Price_Above_SMA50 + RSI_Cross50_Up,MACD_Hist_Rising + Price_Above_SMA50 + RSI_Cross50_Up,combo_3,21,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.073927,0.8889,22.883,0.9048,4.730967,0.8571,0.08399,-0.06083,0.0633,9.916,0.0633,,,,,,,0.8571,0.09084,-0.04313,0.071699,16.35,0.0717,0.9524,0.09444,-0.06648,0.086781,42.383,0.08678,,,,,,,AGSTRA_data,
OBV_Trend_Bull + Price_Above_SMA50 + RSI_Cross50_Up,OBV_Trend_Bull + Price_Above_SMA50 + RSI_Cross50_Up,combo_3,18,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.07092,0.9074,23.08,0.9444,4.551706,0.8889,0.07998,-0.05689,0.064769,13.305,0.06477,,,,,,,0.8889,0.07251,-0.03945,0.060068,20.544,0.06007,0.9444,0.09701,-0.06648,0.087923,35.389,0.08792,,,,,,,AGSTRA_data,
RSI_Cross50_Up + EMA_Bullish_State,RSI_Cross50_Up + EMA_Bullish_State,combo_2,13,momentum,Bullish,1.5,,,,,,,0.8462,0.06192,-0.04537,0.045416,7.941,0.04542,,,,,,,0.090145,0.8974,20.554,0.9231,4.513581,0.9231,0.10859,-0.06085,0.095555,23.367,0.09556,0.9231,0.14542,-0.06197,0.129466,30.353,0.12947,,,,,,,,,,,,,,,,,,,AGSTRA_data,
EMA_Bullish_State + RSI_Bull_Momentum + RSI_Cross50_Up,EMA_Bullish_State + RSI_Bull_Momentum + RSI_Cross50_Up,combo_3,13,momentum,Bullish,1.5,,,,,,,0.8462,0.06192,-0.04537,0.045416,7.941,0.04542,,,,,,,0.090145,0.8974,20.554,0.9231,4.513581,0.9231,0.10859,-0.06085,0.095555,23.367,0.09556,0.9231,0.14542,-0.06197,0.129466,30.353,0.12947,,,,,,,,,,,,,,,,,,,AGSTRA_data,
OBV_Rising + EMA_Bullish_State + RSI_Cross50_Up,OBV_Rising + EMA_Bullish_State + RSI_Cross50_Up,combo_3,13,momentum,Bullish,1.5,,,,,,,0.8462,0.06192,-0.04537,0.045416,7.941,0.04542,,,,,,,0.090145,0.8974,20.554,0.9231,4.513581,0.9231,0.10859,-0.06085,0.095555,23.367,0.09556,0.9231,0.14542,-0.06197,0.129466,30.353,0.12947,,,,,,,,,,,,,,,,,,,AGSTRA_data,
Price_Above_SMA20 + Price_Above_SMA50 + RSI_Cross50_Up,Price_Above_SMA20 + Price_Above_SMA50 + RSI_Cross50_Up,combo_3,19,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.066568,0.9123,23.627,0.9474,4.463647,0.8947,0.08018,-0.05689,0.065748,14.596,0.06575,,,,,,,0.8947,0.08088,-0.03945,0.068215,23.064,0.06822,0.9474,0.07309,-0.06648,0.06574,33.221,0.06574,,,,,,,AGSTRA_data,
