SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
RSI_Bull_Momentum + CDL_HaramiCross_Bull,RSI_Bull_Momentum + CDL_HaramiCross_Bull,combo_2,11,momentum,Bullish,,,,,,,,,1.0,0.0258,0.0,0.025795,,0.0258,1.247,0.064099,,,,,,,,,0.022304,0.9697,40.996,0.9091,2.065587,15,2.008236,0.12618,0,1.0,0.0214,0.0,0.021403,,0.0214,1.764,0.053185,0.9091,0.02282,-0.01135,0.019713,40.996,0.01971,2.16,2.008236,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
EMA_Bullish_State + BB_Lower_Bounce,EMA_Bullish_State + BB_Lower_Bounce,combo_2,10,momentum,Bullish,,,,,,,,,0.6,0.04295,-0.05493,0.003802,1.2,0.0038,1.289,0.010945,,,,,,,,,0.031513,0.8333,43.76,0.6,1.98399,10,9.287381,0.16529,0,0.9,0.05054,-0.00617,0.04487,86.319,0.04487,1.823,9.287381,1.0,0.04587,0.0,0.045865,,0.04587,2.233,0.10998,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
RSI_Oversold + BB_Lower_Touch,RSI_Oversold + BB_Lower_Touch,combo_2,30,mean_rev,Bullish,0.9333,0.03303,-0.05926,0.026882,8.911,0.02688,0.948,0.822562,0.9333,0.04309,-0.06559,0.035847,10.094,0.03585,1.223,1.242543,0.9333,0.06271,-0.04688,0.055407,19.107,0.05541,1.447,3.635492,0.039379,0.9333,12.704,1.0,1.717904,7,3.635492,0.08142,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
STRAT_BB_RSI_Oversold_Bounce,BB_Lower_Touch + RSI_Oversold,combo_2,30,mean_rev,Bullish,0.9333,0.03303,-0.05926,0.026882,8.911,0.02688,0.948,0.822562,0.9333,0.04309,-0.06559,0.035847,10.094,0.03585,1.223,1.242543,0.9333,0.06271,-0.04688,0.055407,19.107,0.05541,1.447,3.635492,0.039379,0.9333,12.704,1.0,1.717904,7,3.635492,0.08142,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
OBV_Rising + CDL_Bullish3Inside,OBV_Rising + CDL_Bullish3Inside,combo_2,12,momentum,Bullish,,,,,,,,,1.0,0.02924,0.0,0.029236,,0.02924,1.179,0.074988,,,,,,,,,0.044857,0.9722,14.069,0.9167,1.483794,10,1.774115,0.10444,0,0.9167,0.05898,-0.05885,0.049165,14.069,0.04916,1.668,1.774115,1.0,0.05617,0.0,0.056172,,0.05617,2.043,0.144078,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
RSI_Cross50_Up + BB_Expansion_Bull,RSI_Cross50_Up + BB_Expansion_Bull,combo_2,10,momentum,Bullish,,,,,,,,,0.9,0.01508,-0.06626,0.006945,3.766,0.00694,1.11,0.062709,,,,,,,,,0.040694,0.8333,16.287,0.9,1.430366,15,6.212478,0.46919,0,0.8,0.06577,-0.03405,0.045806,7.727,0.04581,1.569,0.848729,0.8,0.08891,-0.00899,0.069331,37.368,0.06933,1.922,6.212478,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
EMA_Bullish_State + CDL_HaramiCross_Bull,EMA_Bullish_State + CDL_HaramiCross_Bull,combo_2,13,momentum,Bullish,,,,,,,,,1.0,0.02603,0.0,0.026035,,0.02603,1.325,0.068707,,,,,,,,,0.014348,0.9744,38.693,0.9231,1.352376,15,0.657714,0.08643,1,1.0,0.01057,0.0,0.010567,,0.01057,1.873,0.027887,0.9231,0.00792,-0.01135,0.006441,38.693,0.00644,2.294,0.657714,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
RSI_Exit_Oversold + OBV_Rising,RSI_Exit_Oversold + OBV_Rising,combo_2,21,momentum,Bullish,,,,,,,,,0.9048,0.02307,-0.02247,0.018728,14.293,0.01873,1.155,0.82742,,,,,,,,,0.031857,0.9683,14.293,0.9048,1.273416,5,0.82742,0.01891,1,1.0,0.0359,0.0,0.035903,,0.0359,1.634,0.110976,1.0,0.04094,0.0,0.04094,,0.04094,2.001,0.126548,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
RSI_Oversold,RSI_Oversold,single,55,mean_rev,Bullish,0.9273,0.03283,-0.10279,0.022971,4.521,0.02297,0.948,0.41808,0.9273,0.0447,-0.07861,0.035727,7.807,0.03573,1.224,1.122764,0.9273,0.05423,-0.04835,0.046772,14.626,0.04677,1.449,2.753749,0.035157,0.9273,8.985,1.0,1.271529,7,2.753749,0.02368,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
RSI_Oversold + CCI_Oversold,RSI_Oversold + CCI_Oversold,combo_2,55,mean_rev,Bullish,0.9273,0.03283,-0.10279,0.022971,4.521,0.02297,0.948,0.41808,0.9273,0.0447,-0.07861,0.035727,7.807,0.03573,1.224,1.122764,0.9273,0.05423,-0.04835,0.046772,14.626,0.04677,1.449,2.753749,0.035157,0.9273,8.985,1.0,1.271529,7,2.753749,0.02368,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
Price_Above_SMA50 + CDL_HaramiCross_Bull,Price_Above_SMA50 + CDL_HaramiCross_Bull,combo_2,11,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.041104,0.9394,13.649,0.9091,1.2674,30,1.809314,0.1242,0,1.0,0.0214,0.0,0.021403,,0.0214,1.764,0.053185,,,,,,,,,0.9091,0.06094,-0.05823,0.050105,13.243,0.05011,2.494,1.648875,0.9091,0.06399,-0.07009,0.051803,14.056,0.0518,3.055,1.809314,,,,,,,,,AMBIKCO_data,
RSI_Exit_Oversold + Stoch_Bull_Zone,RSI_Exit_Oversold + Stoch_Bull_Zone,combo_2,17,momentum,Bullish,,,,,,,,,0.9412,0.01746,-0.02811,0.014774,17.195,0.01477,1.191,0.734305,,,,,,,,,0.026735,0.9804,17.195,0.9412,1.250603,5,0.734305,0.04048,1,1.0,0.03084,0.0,0.030842,,0.03084,1.685,0.089144,1.0,0.03459,0.0,0.034589,,0.03459,2.063,0.099976,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
RSI_Oversold + Williams_Oversold,RSI_Oversold + Williams_Oversold,combo_2,54,mean_rev,Bullish,0.9259,0.03274,-0.10279,0.0227,4.43,0.0227,0.954,0.402976,0.9259,0.04492,-0.07861,0.035766,7.7,0.03577,1.232,1.103634,0.9259,0.0547,-0.04835,0.047064,14.466,0.04706,1.458,2.728278,0.035177,0.9259,8.865,1.0,1.249696,7,2.728278,0.02697,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
RSI_Oversold + Stoch_Oversold,RSI_Oversold + Stoch_Oversold,combo_2,47,mean_rev,Bullish,0.9149,0.03372,-0.10279,0.022101,3.928,0.0221,0.977,0.336092,0.9149,0.04809,-0.07861,0.037309,7.063,0.03731,1.261,1.020126,0.9149,0.05819,-0.04835,0.049124,13.224,0.04912,1.492,2.514786,0.036178,0.9149,8.072,1.0,1.130469,7,2.514786,0.06462,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
RSI_Exit_Oversold + MACD_Hist_Rising,RSI_Exit_Oversold + MACD_Hist_Rising,combo_2,20,momentum,Bullish,,,,,,,,,0.9,0.01905,-0.02247,0.014897,12.172,0.0149,1.162,0.552031,,,,,,,,,0.028961,0.9667,12.172,0.9,0.965862,5,0.552031,0.02287,1,1.0,0.03419,0.0,0.034193,,0.03419,1.644,0.104102,1.0,0.03779,0.0,0.037792,,0.03779,2.013,0.115057,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
BB_Lower_Bounce + Stoch_Cross_Up,BB_Lower_Bounce + Stoch_Cross_Up,combo_2,18,mean_rev,Bullish,0.9444,0.01449,-0.04718,0.011065,7.091,0.01106,0.941,0.231003,0.8889,0.03922,-0.03581,0.030887,9.986,0.03089,1.215,0.908196,0.9444,0.04293,-0.0398,0.038339,19.53,0.03834,1.438,2.204627,0.026763,0.9259,12.202,0.9444,0.908148,7,2.204627,0.14903,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
Price_Above_SMA50 + Stoch_Oversold,Price_Above_SMA50 + Stoch_Oversold,combo_2,53,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.021076,0.9371,10.518,0.9811,0.867572,20,1.348295,0.01143,1,0.9434,0.0148,-0.08551,0.009121,7.364,0.00912,1.816,0.267934,,,,,,,,,0.9434,0.03072,-0.07367,0.024808,13.625,0.02481,2.569,1.348295,0.9245,0.03802,-0.07755,0.029298,10.565,0.0293,3.146,1.234741,,,,,,,,,AMBIKCO_data,
Stoch_Cross_Up + CDL_Engulfing_Bull,Stoch_Cross_Up + CDL_Engulfing_Bull,combo_2,13,mean_rev,Bullish,0.8462,0.02671,-0.01356,0.020519,14.898,0.02052,0.902,0.80671,0.8462,0.0394,-0.02378,0.029684,11.531,0.02968,1.165,0.903328,0.9231,0.05025,-0.08027,0.040209,8.45,0.04021,1.378,0.896706,0.030137,0.8718,11.626,0.9231,0.853564,5,0.903328,0.30659,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
RSI_Oversold + Golden_Cross_State,RSI_Oversold + Golden_Cross_State,combo_2,30,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.034196,0.9333,6.393,1.0,0.750697,20,1.267299,0.08769,1,0.9333,0.03718,-0.08991,0.028704,7.019,0.0287,2.043,0.691837,,,,,,,,,0.9333,0.05478,-0.11235,0.04364,8.457,0.04364,2.889,1.267299,0.9333,0.05547,-0.32293,0.030244,3.703,0.03024,3.538,0.384581,,,,,,,,,AMBIKCO_data,
MACD_Hist_Rising + BB_Lower_Bounce,MACD_Hist_Rising + BB_Lower_Bounce,combo_2,24,momentum,Bullish,,,,,,,,,0.7917,0.03766,-0.05915,0.017488,2.736,0.01749,1.2,0.154016,,,,,,,,,0.029131,0.9028,9.294,0.8333,0.72626,15,1.831723,0.06454,1,0.9583,0.03664,-0.10018,0.030942,10.542,0.03094,1.697,1.049935,0.9583,0.04459,-0.09038,0.038964,14.605,0.03896,2.079,1.831723,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
BB_Expansion_Bull + CDL_Harami_Bull,BB_Expansion_Bull + CDL_Harami_Bull,combo_2,12,momentum,Bullish,,,,,,,,,0.8333,0.03317,-0.0364,0.021578,5.108,0.02158,1.119,0.282703,,,,,,,,,0.028178,0.8333,9.655,1.0,0.697851,15,1.24948,0.66253,0,0.8333,0.03205,-0.01864,0.023606,11.479,0.02361,1.582,0.695024,0.8333,0.05209,-0.02435,0.039351,12.379,0.03935,1.938,1.24948,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
Price_Above_SMA50 + CDL_Harami_Bull,Price_Above_SMA50 + CDL_Harami_Bull,combo_2,39,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.029967,0.8803,6.513,0.9487,0.683088,20,1.465686,0.25818,0,0.8462,0.02589,-0.05282,0.013781,4.588,0.01378,1.652,0.233229,,,,,,,,,0.8974,0.05772,-0.0696,0.044658,8.897,0.04466,2.337,1.465686,0.8974,0.04634,-0.09873,0.031461,6.055,0.03146,2.862,0.702745,,,,,,,,,AMBIKCO_data,
RSI_Bull_Momentum + BB_Expansion_Bull,RSI_Bull_Momentum + BB_Expansion_Bull,combo_2,136,momentum,Bullish,,,,,,,,,0.9265,0.00969,-0.04896,0.005378,5.694,0.00538,1.233,0.150668,,,,,,,,,0.015687,0.9118,8.858,0.9632,0.658557,15,1.731985,0.00047,1,0.8897,0.0223,-0.043,0.015101,7.638,0.0151,1.744,0.567477,0.9191,0.03275,-0.04354,0.026583,13.243,0.02658,2.135,1.731985,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
BB_Lower_Bounce + OBV_Rising,BB_Lower_Bounce + OBV_Rising,combo_2,35,momentum,Bullish,,,,,,,,,0.8,0.03418,-0.06212,0.014918,2.585,0.01492,1.211,0.138191,,,,,,,,,0.029613,0.8857,6.371,0.8571,0.579505,15,1.651151,0.05566,1,0.9143,0.03615,-0.075,0.026623,6.787,0.02662,1.713,0.64746,0.9429,0.05745,-0.12014,0.047298,9.742,0.0473,2.098,1.651151,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
RSI_Exit_Oversold + CCI_Oversold,RSI_Exit_Oversold + CCI_Oversold,combo_2,12,mean_rev,Bullish,0.8333,0.01396,-0.00566,0.010692,23.016,0.01069,0.909,0.631178,0.9167,0.02093,-0.01683,0.017785,23.876,0.01778,1.174,1.089165,0.8333,0.02723,-0.04874,0.014566,4.179,0.01457,1.389,0.15613,0.014347,0.8611,17.024,0.9167,0.574277,5,1.089165,0.36889,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
RSI_Exit_Overbought,RSI_Exit_Overbought,single,19,mean_rev,Bearish,0.8947,0.01265,-0.01722,0.00951,12.496,-0.00951,1.032,0.355996,1.0,0.00898,0.0,0.00898,,-0.00898,1.332,0.026901,0.9474,0.01127,-0.00032,0.010659,2160.672,-0.01066,1.576,68.993061,0.009716,0.9474,1086.584,0.8947,28.297996,7,68.993061,0.00398,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
RSI_Overbought + Death_Cross_State,RSI_Overbought + Death_Cross_State,combo_2,23,trend,Bearish,,,,,,,,,,,,,,,,,,,,,,,,,0.030215,0.9855,14.901,0.9565,1.368599,10,1.253767,0.0027,1,0.9565,0.03045,-0.06104,0.026476,14.901,-0.02648,1.535,1.253767,,,,,,,,,1.0,0.03062,0.0,0.030617,,-0.03062,2.171,0.097303,1.0,0.03355,0.0,0.033551,,-0.03355,2.659,0.106626,,,,,,,,,AMBIKCO_data,
STRAT_Death_Cross_RSI_Bear,RSI_Overbought + Death_Cross_State,combo_2,23,trend,Bearish,,,,,,,,,,,,,,,,,,,,,,,,,0.030215,0.9855,14.901,0.9565,1.368599,10,1.253767,0.0027,1,0.9565,0.03045,-0.06104,0.026476,14.901,-0.02648,1.535,1.253767,,,,,,,,,1.0,0.03062,0.0,0.030617,,-0.03062,2.171,0.097303,1.0,0.03355,0.0,0.033551,,-0.03355,2.659,0.106626,,,,,,,,,AMBIKCO_data,
BB_Upper_Reject + VWAP_Bear,BB_Upper_Reject + VWAP_Bear,combo_2,16,momentum,Bearish,,,,,,,,,1.0,0.01809,0.0,0.01809,,-0.01809,1.048,0.051254,,,,,,,,,0.013834,0.9583,26.25,0.9375,0.964584,10,1.038842,0.00942,1,0.9375,0.01344,-0.01314,0.011783,31.118,-0.01178,1.482,1.038842,0.9375,0.01398,-0.02365,0.01163,21.381,-0.01163,1.815,0.704525,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
BB_Upper_Reject + Williams_Overbought,BB_Upper_Reject + Williams_Overbought,combo_2,13,mean_rev,Bearish,0.9231,0.02602,-0.04766,0.020354,7.06,-0.02035,0.912,0.379208,0.9231,0.04203,0.00515,0.03919,,-0.03919,1.177,0.103424,0.9231,0.03494,-0.03516,0.029549,12.181,-0.02955,1.393,0.949896,0.029698,0.9231,9.62,1.0,0.753979,7,0.949896,0.10508,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
BB_Upper_Reject + Stoch_Overbought,BB_Upper_Reject + Stoch_Overbought,combo_2,12,mean_rev,Bearish,0.9167,0.01825,-0.04766,0.012753,5.711,-0.01275,0.952,0.186803,0.9167,0.03753,0.00515,0.034833,,-0.03483,1.229,0.089345,0.9167,0.04333,-0.03516,0.036788,13.672,-0.03679,1.454,1.290084,0.028125,0.9167,9.691,1.0,0.69912,7,1.290084,0.13392,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
STRAT_BB_Stoch_Bear,BB_Upper_Reject + Stoch_Overbought,combo_2,12,mean_rev,Bearish,0.9167,0.01825,-0.04766,0.012753,5.711,-0.01275,0.952,0.186803,0.9167,0.03753,0.00515,0.034833,,-0.03483,1.229,0.089345,0.9167,0.04333,-0.03516,0.036788,13.672,-0.03679,1.454,1.290084,0.028125,0.9167,9.691,1.0,0.69912,7,1.290084,0.13392,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBIKCO_data,
