SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Price_Above_SMA20 + CDL_HaramiCross_Bull,Price_Above_SMA20 + CDL_HaramiCross_Bull,combo_2,11,momentum,Bullish,,,,,,,,,0.9091,0.00449,-9e-05,0.004075,2445.567,0.00407,1.499,24.760962,,,,,,,,,0.015425,0.9091,823.549,1.0,31.567194,5,24.760962,0.49433,0,0.9091,0.02374,-0.03319,0.018566,11.033,0.01857,2.12,0.508988,0.9091,0.03041,-0.04411,0.023636,14.047,0.02364,2.597,0.825057,,,,,,,,,,,,,,,,,,,,,,,,,ANANTRAJ_data,
MACD_Hist_Rising + CDL_Harami_Bull,MACD_Hist_Rising + CDL_Harami_Bull,combo_2,17,momentum,Bullish,,,,,,,,,0.8824,0.04536,0.00462,0.040564,,0.04056,1.569,0.117246,,,,,,,,,0.050906,0.9412,99.448,0.8824,12.911118,10,15.631144,0.10406,0,0.9412,0.05844,-0.01051,0.05438,99.448,0.05438,2.219,15.631144,1.0,0.05777,0.0,0.057775,,0.05777,2.718,0.166991,,,,,,,,,,,,,,,,,,,,,,,,,ANANTRAJ_data,
Price_Above_EMA200 + MACD_Cross_Up_Event,Price_Above_EMA200 + MACD_Cross_Up_Event,combo_2,38,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.061919,0.9825,57.232,0.9737,12.641083,30,32.909054,0.01221,1,0.9737,0.02524,-0.07807,0.022525,19.485,0.02253,2.001,1.607938,,,,,,,,,1.0,0.06865,0.0,0.068655,,0.06865,2.829,0.251521,0.9737,0.09835,-0.04502,0.094576,94.98,0.09458,3.465,32.909054,,,,,,,,,ANANTRAJ_data,
VWAP_Bull + CDL_Marubozu_Bull,VWAP_Bull + CDL_Marubozu_Bull,combo_2,21,momentum,Bullish,,,,,,,,,0.9048,0.02646,-0.07372,0.016919,5.654,0.01692,1.616,0.295683,,,,,,,,,0.021367,0.9524,112.571,0.9048,6.72675,10,17.02613,0.06083,1,0.9524,0.02658,-0.0045,0.025096,219.487,0.0251,2.286,17.02613,1.0,0.02209,0.0,0.022086,,0.02209,2.8,0.068268,,,,,,,,,,,,,,,,,,,,,,,,,ANANTRAJ_data,
OBV_Rising + CDL_Marubozu_Bull,OBV_Rising + CDL_Marubozu_Bull,combo_2,21,momentum,Bullish,,,,,,,,,0.9048,0.02646,-0.07372,0.016919,5.654,0.01692,1.616,0.295683,,,,,,,,,0.021367,0.9524,112.571,0.9048,6.72675,10,17.02613,0.06083,1,0.9524,0.02658,-0.0045,0.025096,219.487,0.0251,2.286,17.02613,1.0,0.02209,0.0,0.022086,,0.02209,2.8,0.068268,,,,,,,,,,,,,,,,,,,,,,,,,ANANTRAJ_data,
CMF_Positive + CDL_Marubozu_Bull,CMF_Positive + CDL_Marubozu_Bull,combo_2,14,momentum,Bullish,,,,,,,,,0.8571,0.03538,-0.07372,0.019798,3.78,0.0198,1.547,0.202637,,,,,,,,,0.035056,0.9286,81.656,0.8571,6.644463,10,17.953339,0.15548,0,0.9286,0.0451,-0.0045,0.041557,159.532,0.04156,2.188,17.953339,1.0,0.04381,0.0,0.043814,,0.04381,2.68,0.11865,,,,,,,,,,,,,,,,,,,,,,,,,ANANTRAJ_data,
EMA_Bullish_State + CDL_InvertedHammer,EMA_Bullish_State + CDL_InvertedHammer,combo_2,12,momentum,Bullish,,,,,,,,,0.9167,0.06477,-0.01406,0.058198,55.79,0.0582,1.59,8.32812,,,,,,,,,0.071546,0.9167,35.26,1.0,6.470648,5,8.32812,0.44543,0,0.9167,0.06877,-0.03627,0.060014,21.269,0.06001,2.248,3.273965,0.9167,0.10919,-0.04398,0.096427,28.721,0.09643,2.754,7.103533,,,,,,,,,,,,,,,,,,,,,,,,,ANANTRAJ_data,
OBV_Trend_Bull + CDL_Marubozu_Bull,OBV_Trend_Bull + CDL_Marubozu_Bull,combo_2,19,momentum,Bullish,,,,,,,,,0.8947,0.02655,-0.07372,0.015992,5.012,0.01599,1.603,0.240131,,,,,,,,,0.022184,0.9474,100.474,0.8947,5.974417,10,14.967421,0.07958,1,0.9474,0.02717,-0.0045,0.0255,195.935,0.0255,2.267,14.967421,1.0,0.02506,0.0,0.025061,,0.02506,2.776,0.075077,,,,,,,,,,,,,,,,,,,,,,,,,ANANTRAJ_data,
Price_Above_EMA200 + CDL_Harami_Bull,Price_Above_EMA200 + CDL_Harami_Bull,combo_2,41,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.0835,0.9512,18.318,1.0,5.716993,30,9.593994,0.06665,1,0.9512,0.04267,-0.10531,0.035449,10.69,0.03545,2.143,1.41635,,,,,,,,,0.9512,0.09195,-0.08625,0.083261,24.788,0.08326,3.03,7.714043,0.9512,0.14697,-0.1643,0.131789,19.477,0.13179,3.711,9.593994,,,,,,,,,ANANTRAJ_data,
Price_Above_EMA200 + BB_Expansion_Bull,Price_Above_EMA200 + BB_Expansion_Bull,combo_2,166,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.0464,0.9618,24.117,0.9759,5.58924,30,14.466549,9e-05,1,0.9458,0.02662,-0.08563,0.020531,8.632,0.02053,1.952,0.907017,,,,,,,,,0.9699,0.04559,-0.08183,0.041752,26.971,0.04175,2.76,5.763387,0.9699,0.08214,-0.09134,0.076915,36.75,0.07691,3.38,14.466549,,,,,,,,,ANANTRAJ_data,
