SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
RSI_Oversold,RSI_Oversold,single,25,mean_rev,Bullish,0.96,0.04798,-0.00435,0.045889,273.083,0.04589,1.091,40.829016,1.0,0.05321,0.0,0.053212,,0.05321,1.409,0.173369,1.0,0.06914,0.0,0.069139,,0.06914,1.667,0.225261,0.05608,0.9867,273.083,0.96,47.900241,3,40.829016,0.00676,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANDHRSUGAR_data,
RSI_Oversold + Williams_Oversold,RSI_Oversold + Williams_Oversold,combo_2,24,mean_rev,Bullish,0.9583,0.04433,-0.00435,0.0423,242.745,0.0423,1.098,33.051595,1.0,0.04635,0.0,0.04635,,0.04635,1.418,0.149196,1.0,0.05915,0.0,0.059154,,0.05915,1.678,0.190408,0.049268,0.9861,242.745,0.9583,36.892305,3,33.051595,0.00828,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANDHRSUGAR_data,
RSI_Oversold + CCI_Oversold,RSI_Oversold + CCI_Oversold,combo_2,24,mean_rev,Bullish,0.9583,0.04269,-0.00435,0.040726,234.066,0.04073,1.092,30.683903,1.0,0.0479,0.0,0.047904,,0.0479,1.41,0.154198,1.0,0.06382,0.0,0.063821,,0.06382,1.669,0.205432,0.050817,0.9861,234.066,0.9583,36.691681,3,30.683903,0.00828,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANDHRSUGAR_data,
RSI_Oversold + Stoch_Oversold,RSI_Oversold + Stoch_Oversold,combo_2,21,mean_rev,Bullish,0.9524,0.0478,-0.00435,0.045313,225.225,0.04531,1.129,31.546387,1.0,0.05246,0.0,0.052461,,0.05246,1.457,0.162159,1.0,0.0676,0.0,0.067598,,0.0676,1.724,0.208947,0.055124,0.9841,225.225,0.9524,36.548863,3,31.546387,0.01515,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANDHRSUGAR_data,
BB_Lower_Touch + VWAP_Bull,BB_Lower_Touch + VWAP_Bull,combo_2,23,momentum,Bullish,,,,,,,,,0.913,0.0395,-0.05633,0.031169,8.848,0.03117,1.66,0.876505,,,,,,,,,0.032243,0.9275,56.884,0.9565,5.575465,10,15.092983,0.08453,1,0.913,0.03469,-0.00287,0.031427,151.114,0.03143,2.348,15.092983,0.9565,0.04132,-0.12391,0.034133,10.688,0.03413,2.875,1.159413,,,,,,,,,,,,,,,,,,,,,,,,,ANDHRSUGAR_data,
Golden_Cross_State + BB_Lower_Touch,Golden_Cross_State + BB_Lower_Touch,combo_2,21,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.028103,0.9524,60.528,1.0,5.257789,10,15.017426,0.09403,1,0.9524,0.03154,-0.00537,0.029778,163.153,0.02978,2.503,15.017426,,,,,,,,,0.9524,0.04186,-0.08395,0.03587,11.912,0.03587,3.539,1.320724,0.9524,0.03029,-0.2139,0.01866,6.518,0.01866,4.335,0.375943,,,,,,,,,ANDHRSUGAR_data,
Golden_Cross_State + CMF_Positive,Golden_Cross_State + CMF_Positive,combo_2,31,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.046042,0.957,24.296,0.9677,3.751883,20,8.311244,0.02289,1,0.9355,0.05091,-0.07347,0.042888,13.333,0.04289,2.206,1.981799,,,,,,,,,0.9677,0.06114,-0.06599,0.057039,42.044,0.05704,3.12,8.311244,0.9677,0.04263,-0.09463,0.0382,17.512,0.0382,3.822,2.31841,,,,,,,,,ANDHRSUGAR_data,
RSI_Exit_Oversold + OBV_Rising,RSI_Exit_Oversold + OBV_Rising,combo_2,18,momentum,Bullish,,,,,,,,,1.0,0.03918,0.0,0.039184,,0.03918,1.367,0.115375,,,,,,,,,0.038281,0.9815,33.294,0.9444,3.544282,10,3.579056,0.03458,1,0.9444,0.04023,-0.02682,0.036509,33.294,0.03651,1.934,3.579056,1.0,0.03915,0.0,0.03915,,0.03915,2.368,0.115273,,,,,,,,,,,,,,,,,,,,,,,,,ANDHRSUGAR_data,
Price_Above_EMA200 + BB_Lower_Touch,Price_Above_EMA200 + BB_Lower_Touch,combo_2,10,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.030247,0.9,36.716,1.0,2.662993,10,9.571568,0.45484,0,0.9,0.04524,-0.00537,0.040183,99.338,0.04018,2.845,9.571568,,,,,,,,,0.9,0.04322,-0.08395,0.0305,6.553,0.0305,4.023,0.47923,0.9,0.04606,-0.2139,0.02006,4.257,0.02006,4.927,0.204766,,,,,,,,,ANDHRSUGAR_data,
RSI_Exit_Oversold,RSI_Exit_Oversold,single,18,mean_rev,Bullish,0.9444,0.02989,-0.02856,0.026643,19.755,0.02664,1.059,1.549732,1.0,0.03918,0.0,0.039184,,0.03918,1.367,0.115375,0.9444,0.04996,-0.04591,0.044629,23.294,0.04463,1.618,3.061006,0.036819,0.963,21.524,0.9444,2.20383,7,3.061006,0.03478,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANDHRSUGAR_data,
