SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
Price_Above_SMA50 + Stoch_Bull_Zone + CMF_Strong_Bull,Price_Above_SMA50 + Stoch_Bull_Zone + CMF_Strong_Bull,combo_3,21,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.104038,0.9841,210.059,0.9524,64.335086,0.9524,0.08298,-0.01007,0.078548,210.059,0.07855,,,,,,,1.0,0.09696,0.0,0.096955,,0.09696,1.0,0.13661,0.0,0.136611,,0.13661,,,,,,,ANSALAPI_data,
Price_Above_SMA50 + CDL_Marubozu_Bull,Price_Above_SMA50 + CDL_Marubozu_Bull,combo_2,19,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.080231,0.9825,259.741,0.9474,59.142838,0.9474,0.06364,-0.00698,0.059925,259.741,0.05992,,,,,,,1.0,0.0753,0.0,0.075297,,0.0753,1.0,0.10547,0.0,0.10547,,0.10547,,,,,,,ANSALAPI_data,
Price_Above_SMA20 + Stoch_Bull_Zone + RSI_Cross50_Up,Price_Above_SMA20 + Stoch_Bull_Zone + RSI_Cross50_Up,combo_3,21,momentum,Bullish,1.5,,,,,,,0.9524,0.05019,-0.00574,0.047524,241.415,0.04752,,,,,,,0.109005,0.9524,124.867,1.0,42.072471,0.9524,0.119,-0.03633,0.111599,70.535,0.1116,0.9524,0.17925,-0.05927,0.167891,62.651,0.16789,,,,,,,,,,,,,,,,,,,ANSALAPI_data,
RSI_Cross50_Up + Price_Above_SMA20,RSI_Cross50_Up + Price_Above_SMA20,combo_2,40,momentum,Bullish,1.5,,,,,,,0.975,0.03128,-0.00574,0.030354,389.076,0.03035,,,,,,,0.059154,0.975,189.457,1.0,41.618528,0.975,0.05195,-0.03633,0.049742,91.916,0.04974,0.975,0.10138,-0.05927,0.097367,87.378,0.09737,,,,,,,,,,,,,,,,,,,ANSALAPI_data,
Price_Above_SMA20 + OBV_Rising + RSI_Cross50_Up,Price_Above_SMA20 + OBV_Rising + RSI_Cross50_Up,combo_3,40,momentum,Bullish,1.5,,,,,,,0.975,0.03128,-0.00574,0.030354,389.076,0.03035,,,,,,,0.059154,0.975,189.457,1.0,41.618528,0.975,0.05195,-0.03633,0.049742,91.916,0.04974,0.975,0.10138,-0.05927,0.097367,87.378,0.09737,,,,,,,,,,,,,,,,,,,ANSALAPI_data,
Price_Above_SMA20 + RSI_Bull_Momentum + RSI_Cross50_Up,Price_Above_SMA20 + RSI_Bull_Momentum + RSI_Cross50_Up,combo_3,39,momentum,Bullish,1.5,,,,,,,0.9744,0.03271,-0.00574,0.031726,389.076,0.03173,,,,,,,0.059167,0.9744,188.156,1.0,41.067145,0.9744,0.05198,-0.03633,0.049712,90.514,0.04971,0.9744,0.10015,-0.05927,0.096065,84.879,0.09606,,,,,,,,,,,,,,,,,,,ANSALAPI_data,
Price_Above_SMA50 + Stoch_Bull_Zone + CMF_Positive,Price_Above_SMA50 + Stoch_Bull_Zone + CMF_Positive,combo_3,45,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.083422,0.9704,69.365,0.9333,20.67761,0.9333,0.05616,-0.0886,0.046512,13.627,0.04651,,,,,,,0.9778,0.08906,-0.04301,0.086124,125.102,0.08612,1.0,0.11763,0.0,0.117631,,0.11763,,,,,,,ANSALAPI_data,
OBV_Trend_Bull + Price_Above_SMA20 + RSI_Cross50_Up,OBV_Trend_Bull + Price_Above_SMA20 + RSI_Cross50_Up,combo_3,26,momentum,Bullish,1.5,,,,,,,0.9615,0.03548,-0.00574,0.033899,260.686,0.0339,,,,,,,0.048307,0.9615,120.489,1.0,19.183372,0.9615,0.03848,-0.03633,0.035599,50.029,0.0356,0.9615,0.08081,-0.05927,0.075424,50.751,0.07542,,,,,,,,,,,,,,,,,,,ANSALAPI_data,
MACD_Hist_Rising + Williams_Oversold + Stoch_Cross_Up,MACD_Hist_Rising + Williams_Oversold + Stoch_Cross_Up,combo_3,17,momentum,Bullish,1.5,,,,,,,0.8824,0.09953,-0.01439,0.08613,35.361,0.08613,,,,,,,0.107582,0.9216,56.823,0.9412,16.629887,0.9412,0.12557,-0.02155,0.116913,96.671,0.11691,0.9412,0.13082,-0.05819,0.119704,38.437,0.1197,,,,,,,,,,,,,,,,,,,ANSALAPI_data,
MACD_Hist_Rising + RSI_Bull_Momentum + CMF_Positive,MACD_Hist_Rising + RSI_Bull_Momentum + CMF_Positive,combo_3,51,momentum,Bullish,1.5,,,,,,,0.9608,0.06349,-0.04488,0.05924,45.566,0.05924,,,,,,,0.08979,0.9869,45.566,0.9608,15.531901,1.0,0.0847,0.0,0.084696,,0.0847,1.0,0.12543,0.0,0.125433,,0.12543,,,,,,,,,,,,,,,,,,,ANSALAPI_data,
