SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
RSI_Cross50_Up + Stoch_Cross_Up,RSI_Cross50_Up + Stoch_Cross_Up,combo_2,15,momentum,Bullish,,,,,,,,,0.9333,0.02842,-0.02664,0.024747,17.648,0.02475,1.101,1.210903,,,,,,,,,0.01316,0.9333,416.902,1.0,15.21186,15,4.888105,0.15775,0,0.9333,0.0127,0.01079,0.012574,,0.01257,1.558,0.034862,0.9333,0.00236,-0.00061,0.00216,816.156,0.00216,1.908,4.888105,,,,,,,,,,,,,,,,,,,,,,,,,ANURAS_data,
Price_Above_EMA200 + BB_Expansion_Bull,Price_Above_EMA200 + BB_Expansion_Bull,combo_2,104,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.079416,0.9391,39.928,0.9038,13.338536,30,40.685623,0.0,1,0.8846,0.05489,-0.05184,0.042577,8.934,0.04258,1.56,1.770298,,,,,,,,,0.9519,0.09417,-0.06561,0.086484,30.785,0.08648,2.206,12.390922,0.9808,0.11306,-0.08834,0.109187,80.066,0.10919,2.702,40.685623,,,,,,,,,ANURAS_data,
Price_Above_SMA50 + CMF_Strong_Bull,Price_Above_SMA50 + CMF_Strong_Bull,combo_2,254,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.055734,0.9055,11.901,0.9409,3.458359,30,6.766352,0.0,1,0.878,0.04305,-0.05846,0.030659,6.449,0.03066,1.508,1.095672,,,,,,,,,0.9016,0.07324,-0.05961,0.060166,13.265,0.06017,2.133,4.422675,0.937,0.0885,-0.10393,0.076377,15.988,0.07638,2.612,6.766352,,,,,,,,,ANURAS_data,
BB_Lower_Touch + CMF_Positive,BB_Lower_Touch + CMF_Positive,combo_2,12,momentum,Bullish,,,,,,,,,0.8333,0.02777,-0.04687,0.015329,4.367,0.01533,1.095,0.171708,,,,,,,,,0.047689,0.8333,26.062,1.0,3.18792,10,6.261047,0.54589,0,0.8333,0.07397,-0.01003,0.059968,40.705,0.05997,1.548,6.261047,0.8333,0.0841,-0.0139,0.067771,33.114,0.06777,1.896,5.756113,,,,,,,,,,,,,,,,,,,,,,,,,ANURAS_data,
Price_Above_EMA200 + CMF_Strong_Bull,Price_Above_EMA200 + CMF_Strong_Bull,combo_2,247,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.053122,0.8988,11.181,0.9352,3.062628,30,5.171504,0.0,1,0.8664,0.04514,-0.05131,0.032257,6.723,0.03226,1.514,1.195601,,,,,,,,,0.8988,0.07007,-0.05609,0.0573,13.384,0.0573,2.141,4.228307,0.9312,0.08291,-0.10745,0.069808,13.437,0.06981,2.623,5.171504,,,,,,,,,ANURAS_data,
Price_Above_SMA50 + BB_Expansion_Bull,Price_Above_SMA50 + BB_Expansion_Bull,combo_2,167,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.056503,0.8782,8.823,0.9401,2.401549,30,4.577809,0.00181,1,0.8443,0.05208,-0.0627,0.034213,5.119,0.03421,1.548,0.897356,,,,,,,,,0.8862,0.0824,-0.08028,0.063888,8.84,0.06389,2.189,2.893779,0.9042,0.08803,-0.08544,0.071409,12.511,0.07141,2.68,4.577809,,,,,,,,,ANURAS_data,
Golden_Cross_State + BB_Expansion_Bull,Golden_Cross_State + BB_Expansion_Bull,combo_2,49,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.027803,0.9728,21.065,0.9796,2.244459,20,4.743317,0.00051,1,0.9592,0.03755,-0.07511,0.032952,13.203,0.03295,1.537,1.701956,,,,,,,,,0.9796,0.04543,-0.09735,0.042512,28.521,0.04251,2.174,4.743317,0.9796,0.0102,-0.10035,0.007946,21.472,0.00795,2.663,0.667463,,,,,,,,,ANURAS_data,
MACD_Hist_Rising + CDL_HaramiCross_Bull,MACD_Hist_Rising + CDL_HaramiCross_Bull,combo_2,11,momentum,Bullish,,,,,,,,,0.9091,0.04308,-0.02519,0.036873,17.584,0.03687,1.304,1.611173,,,,,,,,,0.051054,0.9697,17.584,0.9091,2.028004,5,1.611173,0.08104,1,1.0,0.04983,0.0,0.04983,,0.04983,1.844,0.123822,1.0,0.06646,0.0,0.066459,,0.06646,2.258,0.165145,,,,,,,,,,,,,,,,,,,,,,,,,ANURAS_data,
BB_Expansion_Bull + VWAP_Bull,BB_Expansion_Bull + VWAP_Bull,combo_2,140,momentum,Bullish,,,,,,,,,0.9071,0.02959,-0.04052,0.02308,8.259,0.02308,1.07,0.943351,,,,,,,,,0.045148,0.9095,8.595,0.9643,1.851768,15,3.22213,1e-05,1,0.8929,0.06079,-0.07201,0.046563,7.631,0.04656,1.513,1.758343,0.9286,0.07949,-0.11221,0.065801,9.895,0.0658,1.854,3.22213,,,,,,,,,,,,,,,,,,,,,,,,,ANURAS_data,
MACD_Hist_Positive + CMF_Strong_Bull,MACD_Hist_Positive + CMF_Strong_Bull,combo_2,218,momentum,Bullish,,,,,,,,,0.8716,0.0292,-0.0351,0.02094,6.627,0.02094,1.093,0.747836,,,,,,,,,0.039628,0.8746,7.33,0.9908,1.550978,15,2.759089,0.00043,1,0.8716,0.05268,-0.05908,0.038324,6.775,0.03832,1.545,1.399274,0.8807,0.07732,-0.07111,0.059619,8.588,0.05962,1.892,2.759089,,,,,,,,,,,,,,,,,,,,,,,,,ANURAS_data,
