SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
RSI_Oversold,RSI_Oversold,single,39,mean_rev,Bullish,0.9744,0.03886,-0.05381,0.036487,33.705,0.03649,1.51,4.536552,1.0,0.0514,0.0,0.051402,,0.0514,1.95,0.189614,1.0,0.04967,0.0,0.049672,,0.04967,2.307,0.183233,0.045853,0.9915,33.705,0.9744,5.55493,3,4.536552,0.00018,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATL_data,
RSI_Oversold + Williams_Oversold,RSI_Oversold + Williams_Oversold,combo_2,36,mean_rev,Bullish,0.9722,0.03952,-0.05381,0.036928,30.675,0.03693,1.503,4.090232,1.0,0.05007,0.0,0.050069,,0.05007,1.94,0.180796,1.0,0.04999,0.0,0.049992,,0.04999,2.295,0.180515,0.045663,0.9907,30.675,0.9722,4.917291,3,4.090232,0.00036,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATL_data,
RSI_Oversold + CCI_Oversold,RSI_Oversold + CCI_Oversold,combo_2,30,mean_rev,Bullish,0.9667,0.03755,-0.05381,0.0345,25.174,0.0345,1.42,2.982474,1.0,0.04947,0.0,0.049472,,0.04947,1.834,0.169887,1.0,0.05239,0.0,0.052391,,0.05239,2.17,0.179909,0.045454,0.9889,25.174,0.9667,3.798439,3,2.982474,0.00139,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATL_data,
RSI_Oversold + Stoch_Oversold,RSI_Oversold + Stoch_Oversold,combo_2,32,mean_rev,Bullish,0.9688,0.03848,-0.05381,0.0356,27.11,0.0356,1.469,3.374522,1.0,0.04419,0.0,0.04419,,0.04419,1.896,0.15451,1.0,0.04205,0.0,0.042048,,0.04205,2.243,0.147021,0.040612,0.9896,27.11,0.9688,3.729382,3,3.374522,0.00089,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATL_data,
Williams_Oversold + VWAP_Bull,Williams_Oversold + VWAP_Bull,combo_2,28,momentum,Bullish,,,,,,,,,0.7857,0.05166,-0.07912,0.023636,2.625,0.02364,2.061,0.208893,,,,,,,,,0.075653,0.869,9.673,0.8571,2.112073,15,7.052187,0.04669,1,0.8929,0.10963,-0.11145,0.085945,8.551,0.08595,2.915,2.474675,0.9286,0.13442,-0.10415,0.117377,17.843,0.11738,3.571,7.052187,,,,,,,,,,,,,,,,,,,,,,,,,ATL_data,
Price_Above_SMA50 + VWAP_Bull,Price_Above_SMA50 + VWAP_Bull,combo_2,92,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.076817,0.8152,5.614,0.9565,1.869781,30,2.777387,0.22544,0,0.837,0.08059,-0.08656,0.053338,5.918,0.05334,2.835,1.430825,,,,,,,,,0.8152,0.12936,-0.15141,0.077475,4.774,0.07748,4.01,1.67662,0.7935,0.15827,-0.12565,0.099639,6.15,0.09964,4.911,2.777387,,,,,,,,,ATL_data,
Price_Above_SMA50 + Stoch_Oversold,Price_Above_SMA50 + Stoch_Oversold,combo_2,36,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.028667,0.963,17.802,0.9722,1.791519,20,3.975141,0.0023,1,0.9722,0.0285,-0.0709,0.025735,19.471,0.02574,2.529,1.809385,,,,,,,,,0.9722,0.05805,-0.15449,0.052147,21.111,0.05215,3.576,3.975141,0.9444,0.01524,-0.11293,0.008118,12.823,0.00812,4.38,0.375891,,,,,,,,,ATL_data,
Price_Above_SMA50 + Williams_Oversold,Price_Above_SMA50 + Williams_Oversold,combo_2,38,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.021102,0.9825,23.473,0.9474,1.719138,10,4.411553,6e-05,1,0.9474,0.05723,-0.05545,0.051301,23.473,0.0513,2.576,4.411553,,,,,,,,,1.0,0.02512,0.0,0.025118,,0.02512,3.644,0.092021,1.0,-0.01311,0.0,-0.013113,,-0.01311,4.463,-0.048039,,,,,,,,,ATL_data,
Stoch_Oversold + VWAP_Bull,Stoch_Oversold + VWAP_Bull,combo_2,25,momentum,Bullish,,,,,,,,,0.92,0.0236,-0.04562,0.018059,9.536,0.01806,2.039,0.561103,,,,,,,,,0.041384,0.96,13.022,0.92,1.615379,15,4.9604,0.0036,1,1.0,0.01387,0.0,0.013868,,0.01387,2.884,0.045182,0.96,0.10371,-0.18329,0.092226,16.508,0.09223,3.532,4.9604,,,,,,,,,,,,,,,,,,,,,,,,,ATL_data,
CCI_Oversold + VWAP_Bull,CCI_Oversold + VWAP_Bull,combo_2,28,momentum,Bullish,,,,,,,,,0.75,0.027,-0.06826,0.003186,1.471,0.00319,2.038,0.015786,,,,,,,,,0.043176,0.8571,13.168,0.8214,1.572574,15,7.446039,0.04669,1,0.8929,0.06866,-0.0766,0.053098,7.842,0.0531,2.882,1.4021,0.9286,0.08213,-0.04225,0.073245,30.19,0.07324,3.53,7.446039,,,,,,,,,,,,,,,,,,,,,,,,,ATL_data,
