SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Stoch_Bull_Zone + CMF_Strong_Bull,Stoch_Bull_Zone + CMF_Strong_Bull,combo_2,17,momentum,Bullish,,,,,,,,,0.9412,0.01362,-0.00315,0.012634,188.606,0.01263,1.737,6.88742,,,,,,,,,0.025803,0.9412,86.122,1.0,6.423113,5,6.88742,0.09623,1,0.9412,0.02888,-0.01677,0.026199,45.389,0.0262,2.456,3.436976,0.9412,0.04388,-0.04622,0.038577,24.372,0.03858,3.008,2.717541,,,,,,,,,,,,,,,,,,,,,,,,,AVANTEL_data,
RSI_Oversold + CCI_Oversold,RSI_Oversold + CCI_Oversold,combo_2,20,mean_rev,Bullish,0.95,0.04536,-0.05387,0.040403,18.356,0.0404,1.354,2.25796,1.0,0.05839,0.0,0.058393,,0.05839,1.748,0.17778,1.0,0.05754,0.0,0.057542,,0.05754,2.069,0.175188,0.052113,0.9833,18.356,0.95,2.766776,3,2.25796,0.00835,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVANTEL_data,
RSI_Oversold,RSI_Oversold,single,20,mean_rev,Bullish,0.95,0.04536,-0.05387,0.040403,18.356,0.0404,1.354,2.25796,1.0,0.05839,0.0,0.058393,,0.05839,1.748,0.17778,1.0,0.05754,0.0,0.057542,,0.05754,2.069,0.175188,0.052113,0.9833,18.356,0.95,2.766776,3,2.25796,0.00835,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVANTEL_data,
RSI_Oversold + Williams_Oversold,RSI_Oversold + Williams_Oversold,combo_2,19,mean_rev,Bullish,0.9474,0.04403,-0.05387,0.038877,17.068,0.03888,1.362,1.987875,1.0,0.05882,0.0,0.058815,,0.05882,1.758,0.176195,1.0,0.05911,0.0,0.059108,,0.05911,2.08,0.177073,0.052267,0.9825,17.068,0.9474,2.531865,3,1.987875,0.01067,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVANTEL_data,
RSI_Oversold + BB_Lower_Touch,RSI_Oversold + BB_Lower_Touch,combo_2,13,mean_rev,Bullish,0.9231,0.05671,-0.05387,0.048205,14.279,0.0482,1.382,1.816499,1.0,0.08084,0.0,0.080843,,0.08084,1.784,0.213349,1.0,0.07619,0.0,0.076194,,0.07619,2.111,0.20108,0.068414,0.9744,14.279,0.9231,2.379721,3,1.816499,0.04582,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVANTEL_data,
STRAT_BB_RSI_Oversold_Bounce,BB_Lower_Touch + RSI_Oversold,combo_2,13,mean_rev,Bullish,0.9231,0.05671,-0.05387,0.048205,14.279,0.0482,1.382,1.816499,1.0,0.08084,0.0,0.080843,,0.08084,1.784,0.213349,1.0,0.07619,0.0,0.076194,,0.07619,2.111,0.20108,0.068414,0.9744,14.279,0.9231,2.379721,3,1.816499,0.04582,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVANTEL_data,
RSI_Exit_Oversold + OBV_Rising,RSI_Exit_Oversold + OBV_Rising,combo_2,13,momentum,Bullish,,,,,,,,,0.8462,0.02541,-0.02664,0.0174,8.031,0.0174,1.668,0.368767,,,,,,,,,0.042722,0.9231,19.389,0.8462,1.849718,10,4.307795,0.05786,1,0.9231,0.05979,-0.02739,0.053088,30.748,0.05309,2.359,4.307795,1.0,0.05768,0.0,0.057677,,0.05768,2.89,0.152213,,,,,,,,,,,,,,,,,,,,,,,,,AVANTEL_data,
RSI_Bull_Momentum + Stoch_Oversold,RSI_Bull_Momentum + Stoch_Oversold,combo_2,10,momentum,Bullish,,,,,,,,,1.0,0.05709,0.0,0.057087,,0.05709,1.545,0.136888,,,,,,,,,0.037538,0.9333,18.014,0.9,1.459282,15,2.042021,0.09236,1,0.9,0.02615,-0.0323,0.020305,11.849,0.0203,2.185,0.576912,0.9,0.0418,-0.02398,0.035221,24.178,0.03522,2.676,2.042021,,,,,,,,,,,,,,,,,,,,,,,,,AVANTEL_data,
Golden_Cross_State + CCI_Oversold,Golden_Cross_State + CCI_Oversold,combo_2,24,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.04613,0.8611,10.516,0.9167,1.431418,30,6.263474,0.07919,1,0.8333,-0.0013,-0.08949,-0.015998,1.484,-0.016,2.212,-0.076437,,,,,,,,,0.8333,0.07136,-0.03826,0.053085,10.857,0.05309,3.128,1.855114,0.9167,0.11747,-0.07651,0.101304,19.208,0.1013,3.831,6.263474,,,,,,,,,AVANTEL_data,
Golden_Cross_State + Williams_Oversold,Golden_Cross_State + Williams_Oversold,combo_2,31,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.069198,0.6774,5.678,0.9355,1.273867,30,5.809385,0.92099,0,0.7097,0.02216,-0.0621,-0.0023,1.78,-0.0023,2.186,-0.014184,,,,,,,,,0.6452,0.13998,-0.07332,0.064296,3.742,0.0643,3.091,0.83374,0.6774,0.23601,-0.04427,0.145597,11.513,0.1456,3.786,5.809385,,,,,,,,,AVANTEL_data,
