SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
EMA_Bullish_State + Price_Above_SMA50 + RSI_Cross50_Up,EMA_Bullish_State + Price_Above_SMA50 + RSI_Cross50_Up,combo_3,20,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.103532,0.95,50.364,0.9,14.287478,0.9,0.09715,-0.10663,0.076773,9.139,0.07677,,,,,,,0.95,0.11513,-0.02793,0.107975,91.589,0.10797,1.0,0.12585,0.0,0.125849,,0.12585,,,,,,,AVONMORE_data,
Price_Above_SMA50 + Price_Above_SMA20 + RSI_Cross50_Up,Price_Above_SMA50 + Price_Above_SMA20 + RSI_Cross50_Up,combo_3,17,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.107393,0.9412,38.11,0.8824,10.437899,0.8824,0.07611,-0.03044,0.06357,22.679,0.06357,,,,,,,0.9412,0.11405,-0.03863,0.10507,53.541,0.10507,1.0,0.15354,0.0,0.153538,,0.15354,,,,,,,AVONMORE_data,
Price_Above_SMA50 + Stoch_Bull_Zone + RSI_Cross50_Up,Price_Above_SMA50 + Stoch_Bull_Zone + RSI_Cross50_Up,combo_3,19,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.084742,0.9474,38.014,0.8947,8.634649,0.8947,0.07821,-0.09434,0.060044,8.315,0.06004,,,,,,,0.9474,0.07879,-0.02793,0.073173,67.714,0.07317,1.0,0.12101,0.0,0.121008,,0.12101,,,,,,,AVONMORE_data,
EMA_Bullish_State + OBV_Rising + RSI_Cross50_Up,EMA_Bullish_State + OBV_Rising + RSI_Cross50_Up,combo_3,20,momentum,Bullish,1.5,,,,,,,0.95,0.02817,-0.0911,0.022205,8.891,0.0222,,,,,,,0.065043,0.95,38.514,1.0,7.626692,0.95,0.08449,-0.06986,0.076773,27.896,0.07677,0.95,0.10283,-0.03082,0.09615,78.755,0.09615,,,,,,,,,,,,,,,,,,,AVONMORE_data,
RSI_Cross50_Up + EMA_Bullish_State,RSI_Cross50_Up + EMA_Bullish_State,combo_2,20,momentum,Bullish,1.5,,,,,,,0.95,0.02817,-0.0911,0.022205,8.891,0.0222,,,,,,,0.065043,0.95,38.514,1.0,7.626692,0.95,0.08449,-0.06986,0.076773,27.896,0.07677,0.95,0.10283,-0.03082,0.09615,78.755,0.09615,,,,,,,,,,,,,,,,,,,AVONMORE_data,
EMA_Bullish_State + RSI_Bull_Momentum + RSI_Cross50_Up,EMA_Bullish_State + RSI_Bull_Momentum + RSI_Cross50_Up,combo_3,20,momentum,Bullish,1.5,,,,,,,0.95,0.02817,-0.0911,0.022205,8.891,0.0222,,,,,,,0.065043,0.95,38.514,1.0,7.626692,0.95,0.08449,-0.06986,0.076773,27.896,0.07677,0.95,0.10283,-0.03082,0.09615,78.755,0.09615,,,,,,,,,,,,,,,,,,,AVONMORE_data,
VWAP_Bull + EMA_Bullish_State + RSI_Cross50_Up,VWAP_Bull + EMA_Bullish_State + RSI_Cross50_Up,combo_3,18,momentum,Bullish,1.5,,,,,,,0.9444,0.02736,-0.0911,0.020784,8.123,0.02078,,,,,,,0.066888,0.9444,36.203,1.0,7.13017,0.9444,0.0912,-0.06986,0.082256,27.111,0.08226,0.9444,0.10518,-0.03082,0.097624,73.376,0.09762,,,,,,,,,,,,,,,,,,,AVONMORE_data,
RSI_Cross50_Up + Price_Above_SMA50,RSI_Cross50_Up + Price_Above_SMA50,combo_2,28,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.09225,0.9286,26.341,0.8571,7.013586,0.8571,0.08128,-0.06853,0.059882,7.989,0.05988,,,,,,,0.9286,0.09617,-0.03328,0.086925,44.694,0.08693,1.0,0.12994,0.0,0.129943,,0.12994,,,,,,,AVONMORE_data,
Price_Above_SMA50 + OBV_Rising + RSI_Cross50_Up,Price_Above_SMA50 + OBV_Rising + RSI_Cross50_Up,combo_3,28,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.09225,0.9286,26.341,0.8571,7.013586,0.8571,0.08128,-0.06853,0.059882,7.989,0.05988,,,,,,,0.9286,0.09617,-0.03328,0.086925,44.694,0.08693,1.0,0.12994,0.0,0.129943,,0.12994,,,,,,,AVONMORE_data,
Price_Above_SMA50 + RSI_Bull_Momentum + RSI_Cross50_Up,Price_Above_SMA50 + RSI_Bull_Momentum + RSI_Cross50_Up,combo_3,28,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.09225,0.9286,26.341,0.8571,7.013586,0.8571,0.08128,-0.06853,0.059882,7.989,0.05988,,,,,,,0.9286,0.09617,-0.03328,0.086925,44.694,0.08693,1.0,0.12994,0.0,0.129943,,0.12994,,,,,,,AVONMORE_data,
