SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
BB_Lower_Bounce + Stoch_Cross_Up,BB_Lower_Bounce + Stoch_Cross_Up,combo_2,16,mean_rev,Bullish,1.0,0.02177,0.0,0.021774,,0.02177,1.127,0.061689,1.0,0.01837,0.0,0.018375,,0.01837,1.454,0.05206,0.9375,0.03246,-0.011,0.029743,71.144,0.02974,1.721,5.995265,0.023297,0.9792,71.144,0.9375,4.402439,7,5.995265,0.05694,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AWHCL_data,
Golden_Cross_State + BB_Lower_Bounce,Golden_Cross_State + BB_Lower_Bounce,combo_2,18,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.035105,0.9259,44.136,0.9444,4.308621,30,20.182876,0.14368,0,0.8889,0.02201,-0.01729,0.017641,15.118,0.01764,2.124,0.785271,,,,,,,,,0.9444,0.03048,-0.08909,0.023837,9.912,0.02384,3.003,0.695702,0.9444,0.06844,-0.01445,0.063835,107.379,0.06384,3.678,20.182876,,,,,,,,,AWHCL_data,
Price_Above_SMA50 + CCI_Exit_Oversold,Price_Above_SMA50 + CCI_Exit_Oversold,combo_2,14,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.012322,0.9286,117.575,1.0,3.923197,30,36.052306,0.24387,0,0.9286,0.01294,-0.05472,0.008109,8.887,0.00811,2.116,0.195152,,,,,,,,,0.9286,0.00593,-0.21994,-0.010202,2.982,-0.0102,2.993,-0.082399,0.9286,0.04229,-0.00292,0.039058,340.855,0.03906,3.665,36.052306,,,,,,,,,AWHCL_data,
RSI_Exit_Oversold + OBV_Rising,RSI_Exit_Oversold + OBV_Rising,combo_2,18,momentum,Bullish,,,,,,,,,0.9444,0.03181,-0.03931,0.027857,17.727,0.02786,1.389,1.453986,,,,,,,,,0.044505,0.9444,18.461,1.0,2.419173,15,3.634174,0.13444,0,0.9444,0.05768,-0.07262,0.05044,15.304,0.05044,1.965,2.272921,0.9444,0.06202,-0.06042,0.055218,22.352,0.05522,2.407,3.634174,,,,,,,,,,,,,,,,,,,,,,,,,AWHCL_data,
RSI_Exit_Oversold + MACD_Hist_Rising,RSI_Exit_Oversold + MACD_Hist_Rising,combo_2,16,momentum,Bullish,,,,,,,,,0.9375,0.03147,-0.03931,0.027047,15.98,0.02705,1.382,1.224556,,,,,,,,,0.048108,0.9375,17.594,1.0,2.398075,15,3.955375,0.18344,0,0.9375,0.06282,-0.07262,0.054357,14.614,0.05436,1.954,2.250624,0.9375,0.07114,-0.06042,0.062919,22.189,0.06292,2.393,3.955375,,,,,,,,,,,,,,,,,,,,,,,,,AWHCL_data,
Golden_Cross_State + CCI_Exit_Oversold,Golden_Cross_State + CCI_Exit_Oversold,combo_2,28,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.018235,0.9524,31.655,0.9643,1.87434,30,4.066833,0.02457,1,0.9643,0.01413,-0.02075,0.012884,42.166,0.01288,2.047,1.829267,,,,,,,,,0.9286,0.01223,-0.04277,0.008305,16.767,0.00831,2.896,0.468895,0.9643,0.03696,-0.05945,0.033518,36.033,0.03352,3.546,4.066833,,,,,,,,,AWHCL_data,
RSI_Oversold + Stoch_Bull_Zone,RSI_Oversold + Stoch_Bull_Zone,combo_2,18,momentum,Bullish,,,,,,,,,0.8333,0.04162,-0.04899,0.026515,4.7,0.02652,1.564,0.366914,,,,,,,,,0.039469,0.8519,17.732,0.8333,1.717231,10,3.700988,0.14488,0,0.7778,0.06088,-0.00592,0.046037,27.303,0.04604,2.211,3.700988,0.9444,0.05146,-0.04937,0.045855,21.193,0.04585,2.708,2.86136,,,,,,,,,,,,,,,,,,,,,,,,,AWHCL_data,
MACD_Hist_Rising + Stoch_Oversold,MACD_Hist_Rising + Stoch_Oversold,combo_2,40,momentum,Bullish,,,,,,,,,0.825,0.02616,-0.05233,0.012424,2.999,0.01242,1.532,0.138349,,,,,,,,,0.038066,0.8583,9.723,0.9,1.237052,15,3.016824,0.05719,1,0.825,0.06751,-0.03224,0.050054,10.464,0.05005,2.166,1.94508,0.925,0.0603,-0.05409,0.051719,15.707,0.05172,2.653,3.016824,,,,,,,,,,,,,,,,,,,,,,,,,AWHCL_data,
Golden_Cross_State + BB_Lower_Touch,Golden_Cross_State + BB_Lower_Touch,combo_2,31,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.034677,0.8817,10.776,0.9355,1.211479,30,4.815842,0.172,0,0.8387,0.02356,-0.02821,0.015205,6.335,0.01521,2.098,0.333834,,,,,,,,,0.9032,0.03906,-0.11147,0.024489,4.394,0.02449,2.967,0.372912,0.9032,0.0755,-0.03988,0.064336,21.598,0.06434,3.634,4.815842,,,,,,,,,AWHCL_data,
MACD_Cross_Up_Event + OBV_Rising,MACD_Cross_Up_Event + OBV_Rising,combo_2,44,momentum,Bullish,,,,,,,,,0.9545,0.02521,-0.02043,0.023136,34.393,0.02314,1.394,3.029031,,,,,,,,,0.014887,0.9394,20.699,0.9773,1.146292,5,3.029031,0.01656,1,0.9318,0.01349,-0.03212,0.010376,15.826,0.01038,1.972,0.625132,0.9318,0.01568,-0.05079,0.011147,11.876,0.01115,2.415,0.503957,,,,,,,,,,,,,,,,,,,,,,,,,AWHCL_data,
