SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
MACD_Hist_Positive + OBV_Trend_Bull + CMF_Positive,MACD_Hist_Positive + OBV_Trend_Bull + CMF_Positive,combo_3,13,momentum,Bullish,1.5,,,,,,,0.9231,0.00715,-0.01108,0.005748,27.901,0.00575,,,,,,,0.018633,0.9744,27.901,0.9231,1.266464,1.0,0.02351,0.0,0.023508,,0.02351,1.0,0.02664,0.0,0.026644,,0.02664,,,,,,,,,,,,,,,,,,,BAJAJHFL_data,
MACD_Bullish_State + OBV_Trend_Bull + CMF_Positive,MACD_Bullish_State + OBV_Trend_Bull + CMF_Positive,combo_3,13,momentum,Bullish,1.5,,,,,,,0.9231,0.00715,-0.01108,0.005748,27.901,0.00575,,,,,,,0.018633,0.9744,27.901,0.9231,1.266464,1.0,0.02351,0.0,0.023508,,0.02351,1.0,0.02664,0.0,0.026644,,0.02664,,,,,,,,,,,,,,,,,,,BAJAJHFL_data,
CMF_Positive + OBV_Trend_Bull,CMF_Positive + OBV_Trend_Bull,combo_2,13,momentum,Bullish,1.5,,,,,,,0.9231,0.00715,-0.01108,0.005748,27.901,0.00575,,,,,,,0.018633,0.9744,27.901,0.9231,1.266464,1.0,0.02351,0.0,0.023508,,0.02351,1.0,0.02664,0.0,0.026644,,0.02664,,,,,,,,,,,,,,,,,,,BAJAJHFL_data,
MACD_Bullish_State + CMF_Positive,MACD_Bullish_State + CMF_Positive,combo_2,14,momentum,Bullish,1.5,,,,,,,0.9286,0.00427,-0.01108,0.003174,27.901,0.00317,,,,,,,0.017282,0.9762,27.901,0.9286,1.212458,1.0,0.02295,0.0,0.022955,,0.02295,1.0,0.02572,0.0,0.025716,,0.02572,,,,,,,,,,,,,,,,,,,BAJAJHFL_data,
MACD_Bullish_State + MACD_Hist_Positive + CMF_Positive,MACD_Bullish_State + MACD_Hist_Positive + CMF_Positive,combo_3,14,momentum,Bullish,1.5,,,,,,,0.9286,0.00427,-0.01108,0.003174,27.901,0.00317,,,,,,,0.017282,0.9762,27.901,0.9286,1.212458,1.0,0.02295,0.0,0.022955,,0.02295,1.0,0.02572,0.0,0.025716,,0.02572,,,,,,,,,,,,,,,,,,,BAJAJHFL_data,
MACD_Hist_Positive + CMF_Positive,MACD_Hist_Positive + CMF_Positive,combo_2,14,momentum,Bullish,1.5,,,,,,,0.9286,0.00427,-0.01108,0.003174,27.901,0.00317,,,,,,,0.017282,0.9762,27.901,0.9286,1.212458,1.0,0.02295,0.0,0.022955,,0.02295,1.0,0.02572,0.0,0.025716,,0.02572,,,,,,,,,,,,,,,,,,,BAJAJHFL_data,
CMF_Positive,CMF_Positive,single,15,momentum,Bullish,1.5,,,,,,,0.9333,0.00128,-0.01108,0.000458,27.901,0.00046,,,,,,,0.01254,0.9778,27.901,0.9333,0.905405,1.0,0.01625,0.0,0.016252,,0.01625,1.0,0.02091,0.0,0.02091,,0.02091,,,,,,,,,,,,,,,,,,,BAJAJHFL_data,
EMA_Bullish_State + Williams_Oversold,EMA_Bullish_State + Williams_Oversold,combo_2,11,momentum,Bullish,1.5,,,,,,,0.8182,0.03122,-0.00839,0.024017,16.749,0.02402,,,,,,,0.019862,0.9091,16.749,0.8182,0.676326,0.9091,0.02125,0.00362,0.019645,,0.01965,1.0,0.01592,0.0,0.015922,,0.01592,,,,,,,,,,,,,,,,,,,BAJAJHFL_data,
MACD_Hist_Positive + Price_Above_SMA20 + CMF_Positive,MACD_Hist_Positive + Price_Above_SMA20 + CMF_Positive,combo_3,11,momentum,Bullish,1.5,,,,,,,0.9091,0.00294,-0.01108,0.001664,22.81,0.00166,,,,,,,0.009999,0.9697,22.81,0.9091,0.515224,1.0,0.01177,0.0,0.011775,,0.01177,1.0,0.01656,0.0,0.016558,,0.01656,,,,,,,,,,,,,,,,,,,BAJAJHFL_data,
Price_Above_SMA20 + CMF_Positive,Price_Above_SMA20 + CMF_Positive,combo_2,11,momentum,Bullish,1.5,,,,,,,0.9091,0.00294,-0.01108,0.001664,22.81,0.00166,,,,,,,0.009999,0.9697,22.81,0.9091,0.515224,1.0,0.01177,0.0,0.011775,,0.01177,1.0,0.01656,0.0,0.016558,,0.01656,,,,,,,,,,,,,,,,,,,BAJAJHFL_data,
