SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Price_Above_EMA200 + CCI_Oversold,Price_Above_EMA200 + CCI_Oversold,combo_2,57,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.030259,0.9357,502.098,0.9123,56.279196,30,373.108042,0.00126,1,0.8947,0.01034,-0.07259,0.001606,4.551,0.00161,3.001,0.029674,,,,,,,,,0.9298,0.03456,-0.06619,0.027487,12.087,0.02749,4.244,1.349084,0.9825,0.06284,-0.00309,0.061684,1489.655,0.06168,5.198,373.108042,,,,,,,,,BEARDSELL_data,
Price_Above_EMA200 + CDL_HaramiCross_Bull,Price_Above_EMA200 + CDL_HaramiCross_Bull,combo_2,14,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.107721,0.9048,54.517,0.9286,14.767348,10,31.68204,0.36941,0,0.9286,0.09224,-0.01109,0.084858,137.867,0.08486,2.96,31.68204,,,,,,,,,0.8571,0.11283,-0.09714,0.082836,7.557,0.08284,4.186,1.695124,0.9286,0.1777,-0.13356,0.155467,18.127,0.15547,5.127,7.631589,,,,,,,,,BEARDSELL_data,
Price_Above_SMA50 + MACD_Zero_Cross_Up,Price_Above_SMA50 + MACD_Zero_Cross_Up,combo_2,26,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.052232,0.8718,92.798,0.8077,12.902842,20,51.54905,0.09517,1,0.7692,0.04736,-0.0591,0.022795,3.733,0.02279,2.847,0.280437,,,,,,,,,0.9615,0.06191,-0.00824,0.059208,264.165,0.05921,4.026,51.54905,0.8846,0.09642,-0.09189,0.074693,10.495,0.07469,4.931,2.583615,,,,,,,,,BEARDSELL_data,
Golden_Cross_State + CDL_DragonFlyDoji,Golden_Cross_State + CDL_DragonFlyDoji,combo_2,23,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.108854,0.971,36.772,0.9565,12.167887,30,12.800579,0.0281,1,0.9565,0.06214,-0.04064,0.05767,48.843,0.05767,2.365,8.951797,,,,,,,,,1.0,0.10583,0.0,0.10583,,0.10583,3.345,0.336333,0.9565,0.17874,-0.18182,0.163061,24.701,0.16306,4.096,12.800579,,,,,,,,,BEARDSELL_data,
Price_Above_EMA200 + CDL_DragonFlyDoji,Price_Above_EMA200 + CDL_DragonFlyDoji,combo_2,22,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.099486,0.9697,34.097,0.9545,10.152593,30,10.689275,0.03287,1,0.9545,0.0591,-0.04064,0.054569,45.745,0.05457,2.337,7.826948,,,,,,,,,1.0,0.09203,0.0,0.092028,,0.09203,3.304,0.288552,0.9545,0.16775,-0.18182,0.15186,22.449,0.15186,4.047,10.689275,,,,,,,,,BEARDSELL_data,
MACD_Bullish_State + Williams_Oversold,MACD_Bullish_State + Williams_Oversold,combo_2,12,momentum,Bullish,,,,,,,,,0.9167,0.01238,-0.00505,0.010924,72.164,0.01092,2.426,2.021958,,,,,,,,,0.032793,0.9722,72.164,0.9167,5.563988,5,2.021958,0.14402,0,1.0,0.03324,0.0,0.033244,,0.03324,3.431,0.08527,1.0,0.05421,0.0,0.05421,,0.05421,4.202,0.139046,,,,,,,,,,,,,,,,,,,,,,,,,BEARDSELL_data,
MACD_Hist_Positive + Williams_Oversold,MACD_Hist_Positive + Williams_Oversold,combo_2,12,momentum,Bullish,,,,,,,,,0.9167,0.01238,-0.00505,0.010924,72.164,0.01092,2.426,2.021958,,,,,,,,,0.032793,0.9722,72.164,0.9167,5.563988,5,2.021958,0.14402,0,1.0,0.03324,0.0,0.033244,,0.03324,3.431,0.08527,1.0,0.05421,0.0,0.05421,,0.05421,4.202,0.139046,,,,,,,,,,,,,,,,,,,,,,,,,BEARDSELL_data,
VWAP_Bull + CDL_DragonFlyDoji,VWAP_Bull + CDL_DragonFlyDoji,combo_2,30,momentum,Bullish,,,,,,,,,0.9667,0.02968,-0.0402,0.027353,41.066,0.02735,1.779,3.85727,,,,,,,,,0.029551,0.9333,44.554,0.9333,4.219756,15,6.736723,0.10684,0,0.9,0.03749,-0.02343,0.031394,26.996,0.03139,2.516,2.910321,0.9333,0.03333,-0.01799,0.029905,65.599,0.02991,3.082,6.736723,,,,,,,,,,,,,,,,,,,,,,,,,BEARDSELL_data,
RSI_Bull_Momentum + CDL_DragonFlyDoji,RSI_Bull_Momentum + CDL_DragonFlyDoji,combo_2,16,momentum,Bullish,,,,,,,,,0.9375,0.05231,-0.0402,0.046532,28.074,0.04653,1.965,3.701112,,,,,,,,,0.035155,0.9167,43.485,0.9375,4.060437,10,4.508784,0.28773,0,0.875,0.05478,-0.01483,0.046083,34.533,0.04608,2.779,4.508784,0.9375,0.01469,-0.01478,0.012848,67.848,0.01285,3.403,2.469841,,,,,,,,,,,,,,,,,,,,,,,,,BEARDSELL_data,
Price_Above_SMA50 + CDL_HaramiCross_Bull,Price_Above_SMA50 + CDL_HaramiCross_Bull,combo_2,12,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.116501,0.9444,14.553,0.9167,3.986427,30,5.861582,0.14833,0,1.0,0.08891,0.0,0.088909,,0.08891,2.86,0.228047,,,,,,,,,0.9167,0.12743,-0.10338,0.1082,14.111,0.1082,4.044,3.916189,0.9167,0.17839,-0.13356,0.152393,14.996,0.15239,4.953,5.861582,,,,,,,,,BEARDSELL_data,
