SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
Price_Above_SMA50 + MACD_Hist_Rising + CMF_Strong_Bull,Price_Above_SMA50 + MACD_Hist_Rising + CMF_Strong_Bull,combo_3,76,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.076137,0.9605,256.88,0.9342,79.367004,0.9211,0.05475,-0.02813,0.048204,31.209,0.0482,,,,,,,0.9737,0.08628,-0.05471,0.082571,66.432,0.08257,0.9868,0.09912,-0.01351,0.097635,673.0,0.09763,,,,,,,BEML_data,
Price_Above_SMA50 + CMF_Strong_Bull + Stoch_Cross_Up,Price_Above_SMA50 + CMF_Strong_Bull + Stoch_Cross_Up,combo_3,27,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.054036,0.9506,106.731,0.963,18.506079,0.9259,0.06324,-0.02259,0.056879,39.046,0.05688,,,,,,,0.963,0.05702,-0.00801,0.054612,266.555,0.05461,0.963,0.05893,-0.16553,0.050616,14.592,0.05062,,,,,,,BEML_data,
Price_Above_SMA50 + CMF_Positive + Stoch_Cross_Up,Price_Above_SMA50 + CMF_Positive + Stoch_Cross_Up,combo_3,48,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.068962,0.9236,55.919,0.8958,13.444707,0.8542,0.06286,-0.0422,0.047536,9.835,0.04754,,,,,,,0.9583,0.07388,-0.0176,0.070067,126.094,0.07007,0.9583,0.09738,-0.09691,0.089282,31.828,0.08928,,,,,,,BEML_data,
MACD_Hist_Rising + RSI_Bull_Momentum + CMF_Strong_Bull,MACD_Hist_Rising + RSI_Bull_Momentum + CMF_Strong_Bull,combo_3,32,momentum,Bullish,1.5,,,,,,,0.9062,0.08134,-0.03248,0.070668,24.776,0.07067,,,,,,,0.094656,0.9375,42.524,0.9375,13.194411,0.9375,0.1229,-0.05336,0.111884,35.317,0.11188,0.9688,0.10633,-0.05093,0.101418,67.479,0.10142,,,,,,,,,,,,,,,,,,,BEML_data,
EMA_Bullish_State + Williams_Oversold + BB_Lower_Touch,EMA_Bullish_State + Williams_Oversold + BB_Lower_Touch,combo_3,23,momentum,Bullish,1.5,,,,,,,0.9565,0.02321,-0.07323,0.01902,11.068,0.01902,,,,,,,0.053686,0.9565,77.199,1.0,13.171517,0.9565,0.07109,-0.06978,0.064962,28.969,0.06496,0.9565,0.08117,-0.01292,0.077075,191.562,0.07708,,,,,,,,,,,,,,,,,,,BEML_data,
EMA_Bullish_State + Stoch_Oversold + BB_Lower_Touch,EMA_Bullish_State + Stoch_Oversold + BB_Lower_Touch,combo_3,20,momentum,Bullish,1.5,,,,,,,0.95,0.03046,-0.07323,0.025273,10.397,0.02527,,,,,,,0.06044,0.95,69.94,1.0,12.869687,0.95,0.07843,-0.06978,0.071016,26.512,0.07102,0.95,0.09019,-0.01292,0.08503,172.911,0.08503,,,,,,,,,,,,,,,,,,,BEML_data,
Price_Above_SMA50 + MACD_Bullish_State + CMF_Strong_Bull,Price_Above_SMA50 + MACD_Bullish_State + CMF_Strong_Bull,combo_3,152,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.065738,0.9737,36.672,0.9671,11.728115,0.9539,0.03718,-0.04469,0.033406,25.299,0.03341,,,,,,,0.9803,0.08173,-0.11076,0.077936,43.316,0.07794,0.9868,0.08965,-0.19784,0.085871,41.4,0.08587,,,,,,,BEML_data,
Price_Above_SMA50 + MACD_Hist_Positive + CMF_Strong_Bull,Price_Above_SMA50 + MACD_Hist_Positive + CMF_Strong_Bull,combo_3,152,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.065738,0.9737,36.672,0.9671,11.728115,0.9539,0.03718,-0.04469,0.033406,25.299,0.03341,,,,,,,0.9803,0.08173,-0.11076,0.077936,43.316,0.07794,0.9868,0.08965,-0.19784,0.085871,41.4,0.08587,,,,,,,BEML_data,
Price_Above_SMA50 + CMF_Positive + RSI_Cross50_Up,Price_Above_SMA50 + CMF_Positive + RSI_Cross50_Up,combo_3,10,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.110497,0.9,43.52,1.0,11.530975,0.9,0.10104,-0.06117,0.084818,15.801,0.08482,,,,,,,0.9,0.14783,-0.02719,0.130329,59.4,0.13033,0.9,0.13241,-0.02828,0.116344,55.358,0.11634,,,,,,,BEML_data,
STRAT_Volume_CMF_Bull,Volume_Spike + CMF_Strong_Bull,combo_2,51,momentum,Bullish,1.5,,,,,,,0.9608,0.03689,-0.04478,0.033688,26.829,0.03369,,,,,,,0.040706,0.9804,74.164,0.9608,11.460648,0.9804,0.04218,-0.0269,0.040824,121.499,0.04082,1.0,0.04761,0.0,0.047606,,0.04761,,,,,,,,,,,,,,,,,,,BEML_data,
