SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
Price_Above_SMA50 + CMF_Positive + Golden_Cross_State,Price_Above_SMA50 + CMF_Positive + Golden_Cross_State,combo_3,48,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,6.501368,0.9931,1528.647,0.9792,37872.269683,0.9792,3.17307,-0.09775,3.104926,1528.647,3.10493,,,,,,,1.0,6.5642,0.0,6.5642,,6.5642,1.0,9.83498,0.0,9.834979,,9.83498,,,,,,,BESTAGRO_data,
VWAP_Bull + CMF_Positive + Price_Above_EMA200,VWAP_Bull + CMF_Positive + Price_Above_EMA200,combo_3,52,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,6.002684,0.9936,1528.647,0.9808,35730.733396,0.9808,2.91899,-0.09775,2.860972,1528.647,2.86097,,,,,,,1.0,6.06343,0.0,6.063427,,6.06343,1.0,9.08365,0.0,9.083654,,9.08365,,,,,,,BESTAGRO_data,
CMF_Positive + Golden_Cross_State + Price_Above_EMA200,CMF_Positive + Golden_Cross_State + Price_Above_EMA200,combo_3,52,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,6.002684,0.9936,1528.647,0.9808,35730.733396,0.9808,2.91899,-0.09775,2.860972,1528.647,2.86097,,,,,,,1.0,6.06343,0.0,6.063427,,6.06343,1.0,9.08365,0.0,9.083654,,9.08365,,,,,,,BESTAGRO_data,
Price_Above_SMA20 + CMF_Positive + Golden_Cross_State,Price_Above_SMA20 + CMF_Positive + Golden_Cross_State,combo_3,49,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,5.998029,0.9932,1525.866,0.9796,35072.878631,0.9796,3.09576,-0.09775,3.030585,1525.866,3.03059,,,,,,,1.0,6.41944,0.0,6.419439,,6.41944,1.0,8.54406,0.0,8.544062,,8.54406,,,,,,,BESTAGRO_data,
OBV_Trend_Bull + CMF_Positive + Golden_Cross_State,OBV_Trend_Bull + CMF_Positive + Golden_Cross_State,combo_3,54,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,5.783029,0.9938,1529.54,0.9815,34789.938029,0.9815,2.8101,-0.09775,2.75625,1529.54,2.75625,,,,,,,1.0,5.84045,0.0,5.840448,,5.84045,1.0,8.75239,0.0,8.752388,,8.75239,,,,,,,BESTAGRO_data,
Golden_Cross_State + CMF_Positive,Golden_Cross_State + CMF_Positive,combo_2,54,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,5.783029,0.9938,1529.54,0.9815,34789.938029,0.9815,2.8101,-0.09775,2.75625,1529.54,2.75625,,,,,,,1.0,5.84045,0.0,5.840448,,5.84045,1.0,8.75239,0.0,8.752388,,8.75239,,,,,,,BESTAGRO_data,
VWAP_Bull + CMF_Positive + Golden_Cross_State,VWAP_Bull + CMF_Positive + Golden_Cross_State,combo_3,54,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,5.783029,0.9938,1529.54,0.9815,34789.938029,0.9815,2.8101,-0.09775,2.75625,1529.54,2.75625,,,,,,,1.0,5.84045,0.0,5.840448,,5.84045,1.0,8.75239,0.0,8.752388,,8.75239,,,,,,,BESTAGRO_data,
Price_Above_SMA50 + CMF_Positive + Price_Above_EMA200,Price_Above_SMA50 + CMF_Positive + Price_Above_EMA200,combo_3,55,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,5.633189,0.9939,1528.647,0.9818,34032.700501,0.9818,2.72997,-0.09775,2.67856,1528.647,2.67856,,,,,,,1.0,5.68735,0.0,5.687346,,5.68735,1.0,8.53366,0.0,8.533662,,8.53366,,,,,,,BESTAGRO_data,
RSI_Bull_Momentum + CMF_Positive + Golden_Cross_State,RSI_Bull_Momentum + CMF_Positive + Golden_Cross_State,combo_3,37,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,6.612529,0.991,1382.207,0.973,32348.545906,0.973,3.74235,-0.09775,3.638562,1382.207,3.63856,,,,,,,1.0,6.45047,0.0,6.450471,,6.45047,1.0,9.74855,0.0,9.748554,,9.74855,,,,,,,BESTAGRO_data,
Price_Above_EMA200 + CMF_Positive,Price_Above_EMA200 + CMF_Positive,combo_2,59,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,5.252531,0.9944,1528.647,0.9831,32317.379191,0.9831,2.53711,-0.09775,2.492456,1528.647,2.49246,,,,,,,1.0,5.30544,0.0,5.305435,,5.30544,1.0,7.9597,0.0,7.959702,,7.9597,,,,,,,BESTAGRO_data,
