SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
MACD_Hist_Positive + CDL_Harami_Bull,MACD_Hist_Positive + CDL_Harami_Bull,combo_2,28,momentum,Bullish,,,,,,,,,1.0,0.04351,0.0,0.04351,,0.04351,1.61,0.146511,,,,,,,,,0.073047,0.9881,398.057,0.9643,94.413354,10,96.023928,0.00659,1,0.9643,0.0745,-0.00571,0.07164,398.057,0.07164,2.278,96.023928,1.0,0.10399,0.0,0.103991,,0.10399,2.789,0.350168,,,,,,,,,,,,,,,,,,,,,,,,,BIGBLOC_data,
MACD_Bullish_State + CDL_Harami_Bull,MACD_Bullish_State + CDL_Harami_Bull,combo_2,28,momentum,Bullish,,,,,,,,,1.0,0.04351,0.0,0.04351,,0.04351,1.61,0.146511,,,,,,,,,0.073047,0.9881,398.057,0.9643,94.413354,10,96.023928,0.00659,1,0.9643,0.0745,-0.00571,0.07164,398.057,0.07164,2.278,96.023928,1.0,0.10399,0.0,0.103991,,0.10399,2.789,0.350168,,,,,,,,,,,,,,,,,,,,,,,,,BIGBLOC_data,
STRAT_BB_RSI_Oversold_Bounce,BB_Lower_Touch + RSI_Oversold,combo_2,24,mean_rev,Bullish,0.9583,0.04451,-0.01723,0.041933,77.524,0.04193,1.488,10.463901,1.0,0.07298,0.0,0.072982,,0.07298,1.921,0.23492,1.0,0.08706,0.0,0.087064,,0.08706,2.273,0.280248,0.067326,0.9861,77.524,0.9583,16.100507,3,10.463901,0.01928,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIGBLOC_data,
RSI_Oversold + BB_Lower_Touch,RSI_Oversold + BB_Lower_Touch,combo_2,24,mean_rev,Bullish,0.9583,0.04451,-0.01723,0.041933,77.524,0.04193,1.488,10.463901,1.0,0.07298,0.0,0.072982,,0.07298,1.921,0.23492,1.0,0.08706,0.0,0.087064,,0.08706,2.273,0.280248,0.067326,0.9861,77.524,0.9583,16.100507,3,10.463901,0.01928,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIGBLOC_data,
RSI_Cross50_Up + Stoch_Cross_Up,RSI_Cross50_Up + Stoch_Cross_Up,combo_2,22,momentum,Bullish,,,,,,,,,0.9545,0.0409,-0.0236,0.037966,44.675,0.03797,1.7,5.318165,,,,,,,,,0.055288,0.9394,62.135,0.9545,10.281746,10,19.62497,0.11104,0,0.9545,0.05398,-0.01209,0.050973,122.79,0.05097,2.403,19.62497,0.9091,0.08999,-0.05371,0.076925,18.939,0.07692,2.944,4.568072,,,,,,,,,,,,,,,,,,,,,,,,,BIGBLOC_data,
Price_Above_SMA50 + CDL_DragonFlyDoji,Price_Above_SMA50 + CDL_DragonFlyDoji,combo_2,15,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.141414,0.8889,24.581,0.9333,8.995451,30,12.08586,0.26802,0,0.8667,0.11262,-0.02527,0.094234,33.751,0.09423,2.411,8.818282,,,,,,,,,0.9333,0.14714,-0.13894,0.128065,18.407,0.12806,3.41,6.535959,0.8667,0.24485,-0.07697,0.201944,21.585,0.20194,4.176,12.08586,,,,,,,,,BIGBLOC_data,
Golden_Cross_State + CDL_DragonFlyDoji,Golden_Cross_State + CDL_DragonFlyDoji,combo_2,17,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.128208,0.902,25.229,0.9412,8.799072,30,13.053223,0.20552,0,0.8824,0.09677,-0.02527,0.082411,33.795,0.08241,2.43,8.049847,,,,,,,,,0.9412,0.12642,-0.13894,0.110811,18.297,0.11081,3.436,5.860173,0.8824,0.22719,-0.07697,0.191404,23.595,0.1914,4.208,13.053223,,,,,,,,,BIGBLOC_data,
Price_Above_EMA200 + CDL_DragonFlyDoji,Price_Above_EMA200 + CDL_DragonFlyDoji,combo_2,17,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.123569,0.902,24.743,0.9412,8.317244,30,10.994581,0.20552,0,0.8824,0.09702,-0.02527,0.08263,33.869,0.08263,2.43,8.088917,,,,,,,,,0.9412,0.12904,-0.13894,0.113275,18.598,0.11327,3.437,6.089183,0.8824,0.20837,-0.07697,0.174801,21.761,0.1748,4.209,10.994581,,,,,,,,,BIGBLOC_data,
Price_Above_SMA20 + CDL_Harami_Bull,Price_Above_SMA20 + CDL_Harami_Bull,combo_2,30,momentum,Bullish,,,,,,,,,0.9667,0.04364,-0.10137,0.038805,15.24,0.0388,1.612,2.030755,,,,,,,,,0.07152,0.9556,33.966,0.9667,8.063897,15,18.390673,0.03196,1,0.9333,0.08827,-0.04548,0.079351,31.105,0.07935,2.279,8.475925,0.9667,0.10225,-0.07307,0.096404,55.552,0.0964,2.791,18.390673,,,,,,,,,,,,,,,,,,,,,,,,,BIGBLOC_data,
Golden_Cross_State + CDL_Harami_Bull,Golden_Cross_State + CDL_Harami_Bull,combo_2,38,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.087507,0.9035,22.571,0.9737,7.045695,30,12.239768,0.10734,0,0.8947,0.06405,-0.06106,0.050879,11.146,0.05088,2.389,2.077608,,,,,,,,,0.9211,0.10957,-0.05968,0.096207,27.626,0.09621,3.379,9.737082,0.8947,0.13464,-0.04781,0.115436,28.942,0.11544,4.138,12.239768,,,,,,,,,BIGBLOC_data,
Price_Above_EMA200 + CDL_Harami_Bull,Price_Above_EMA200 + CDL_Harami_Bull,combo_2,34,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.085842,0.8922,20.363,0.9706,6.031935,30,10.239736,0.16645,0,0.8824,0.06492,-0.06106,0.050097,10.204,0.0501,2.342,1.817462,,,,,,,,,0.9118,0.11002,-0.05968,0.095049,25.257,0.09505,3.312,8.534987,0.8824,0.13374,-0.04781,0.11238,25.628,0.11238,4.056,10.239736,,,,,,,,,BIGBLOC_data,
Price_Above_SMA50 + CDL_Harami_Bull,Price_Above_SMA50 + CDL_Harami_Bull,combo_2,30,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.079445,0.9333,22.514,0.9333,5.732656,30,9.341958,0.03623,1,0.9667,0.03776,-0.08525,0.033661,20.456,0.03366,2.381,2.364511,,,,,,,,,0.9333,0.09747,-0.07957,0.085666,24.227,0.08567,3.367,7.127055,0.9,0.13967,-0.06693,0.119008,22.859,0.11901,4.124,9.341958,,,,,,,,,BIGBLOC_data,
Golden_Cross_State + BB_Lower_Touch,Golden_Cross_State + BB_Lower_Touch,combo_2,32,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.06516,0.9375,25.669,0.9375,5.482703,30,12.001978,0.02269,1,0.9375,0.06385,-0.08242,0.054704,13.515,0.0547,2.89,2.585071,,,,,,,,,0.9688,0.05895,-0.09213,0.054227,23.832,0.05423,4.087,4.51858,0.9062,0.0984,-0.02795,0.086551,39.66,0.08655,5.006,12.001978,,,,,,,,,BIGBLOC_data,
CCI_Exit_Oversold + Williams_Oversold,CCI_Exit_Oversold + Williams_Oversold,combo_2,15,mean_rev,Bullish,0.8667,0.04704,-0.00519,0.04008,52.364,0.04008,1.394,5.819007,0.9333,0.03822,-0.01401,0.034738,55.064,0.03474,1.799,5.303501,0.9333,0.04621,-0.01842,0.041906,43.313,0.04191,2.129,5.032436,0.038908,0.9111,50.247,0.9333,5.059094,3,5.819007,0.31546,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIGBLOC_data,
