SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
RSI_Oversold + CCI_Oversold,RSI_Oversold + CCI_Oversold,combo_2,10,mean_rev,Bullish,0.9,0.0332,-0.00987,0.028894,30.283,0.02889,1.113,2.098127,1.0,0.01323,0.0,0.013231,,0.01323,1.437,0.031726,1.0,-0.0014,0.0,-0.001399,,-0.0014,1.701,-0.003355,0.013575,0.9667,30.283,0.9,0.887187,3,2.098127,0.05389,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLUESTONE_data,
RSI_Oversold + Williams_Oversold,RSI_Oversold + Williams_Oversold,combo_2,10,mean_rev,Bullish,0.9,0.0332,-0.00987,0.028894,30.283,0.02889,1.113,2.098127,1.0,0.01323,0.0,0.013231,,0.01323,1.437,0.031726,1.0,-0.0014,0.0,-0.001399,,-0.0014,1.701,-0.003355,0.013575,0.9667,30.283,0.9,0.887187,3,2.098127,0.05389,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLUESTONE_data,
RSI_Oversold,RSI_Oversold,single,10,mean_rev,Bullish,0.9,0.0332,-0.00987,0.028894,30.283,0.02889,1.113,2.098127,1.0,0.01323,0.0,0.013231,,0.01323,1.437,0.031726,1.0,-0.0014,0.0,-0.001399,,-0.0014,1.701,-0.003355,0.013575,0.9667,30.283,0.9,0.887187,3,2.098127,0.05389,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLUESTONE_data,
Stoch_Oversold + Williams_Oversold,Stoch_Oversold + Williams_Oversold,combo_2,34,mean_rev,Bullish,0.7059,0.03273,-0.03345,0.013268,3.047,0.01327,1.318,0.14375,0.8235,0.03669,-0.03993,0.023164,4.803,0.02316,1.702,0.395564,0.8529,0.05462,-0.03559,0.041356,10.355,0.04136,2.013,1.522533,0.025929,0.7941,6.068,0.8529,0.477167,7,1.522533,0.09823,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLUESTONE_data,
Stoch_Oversold + OBV_Trend_Bull,Stoch_Oversold + OBV_Trend_Bull,combo_2,11,momentum,Bullish,,,,,,,,,0.7273,0.02566,-0.08758,-0.005223,1.234,-0.00522,1.94,-0.016021,,,,,,,,,0.109236,0.8788,1.234,0.7273,0.243675,15,0.477607,0.02647,1,0.9091,0.15392,0.00881,0.140727,,0.14073,2.744,0.349693,1.0,0.1922,0.0,0.192203,,0.1922,3.361,0.477607,,,,,,,,,,,,,,,,,,,,,,,,,BLUESTONE_data,
Stoch_Oversold + CCI_Oversold,Stoch_Oversold + CCI_Oversold,combo_2,28,mean_rev,Bullish,0.7143,0.03247,-0.0299,0.014647,3.469,0.01465,1.287,0.171068,0.7857,0.0342,-0.03993,0.01831,3.43,0.01831,1.661,0.211468,0.8214,0.03412,-0.03559,0.021667,5.792,0.02167,1.965,0.422554,0.018208,0.7738,4.23,0.8929,0.231561,7,0.422554,0.25526,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLUESTONE_data,
Stoch_Oversold + OBV_Rising,Stoch_Oversold + OBV_Rising,combo_2,11,momentum,Bullish,,,,,,,,,0.7273,-0.00248,-0.03658,-0.011784,0.996,-0.01178,1.745,-0.029283,,,,,,,,,0.023644,0.7576,3.353,0.9091,0.179071,15,0.968776,0.37865,0,0.7273,0.04169,-0.04488,0.018079,3.03,0.01808,2.468,0.13614,0.8182,0.09619,-0.07735,0.064637,6.032,0.06464,3.023,0.968776,,,,,,,,,,,,,,,,,,,,,,,,,BLUESTONE_data,
Price_Above_SMA20 + MACD_Hist_Rising,Price_Above_SMA20 + MACD_Hist_Rising,combo_2,33,momentum,Bullish,,,,,,,,,0.8485,0.05407,-0.06507,0.036023,5.456,0.03602,1.684,0.693071,,,,,,,,,0.010855,0.8586,3.668,0.9697,0.136152,5,0.693071,0.0211,1,0.8485,0.03873,-0.10329,0.017214,3.415,0.01721,2.381,0.207282,0.8788,-0.00486,-0.13531,-0.02067,2.133,-0.02067,2.916,-0.155463,,,,,,,,,,,,,,,,,,,,,,,,,BLUESTONE_data,
Stoch_Oversold,Stoch_Oversold,single,45,mean_rev,Bullish,0.6889,0.02273,-0.04491,0.001684,1.649,0.00168,1.342,0.010632,0.7778,0.02421,-0.05194,0.007285,2.199,0.00729,1.732,0.061331,0.8,0.04208,-0.03764,0.026137,5.683,0.02614,2.049,0.568724,0.011702,0.7556,3.177,0.8889,0.126521,7,0.568724,0.26389,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLUESTONE_data,
RSI_Bull_Momentum + MACD_Hist_Rising,RSI_Bull_Momentum + MACD_Hist_Rising,combo_2,27,momentum,Bullish,,,,,,,,,0.8519,0.06285,-0.1022,0.0384,3.951,0.0384,1.7,0.505566,,,,,,,,,0.013476,0.8395,2.564,0.963,0.110866,5,0.505566,0.09498,1,0.8519,0.05425,-0.16295,0.022069,2.543,0.02207,2.404,0.187026,0.8148,0.0099,-0.1518,-0.020041,1.197,-0.02004,2.944,-0.079955,,,,,,,,,,,,,,,,,,,,,,,,,BLUESTONE_data,
