SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Price_Above_EMA200 + BB_Lower_Touch,Price_Above_EMA200 + BB_Lower_Touch,combo_2,15,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.105076,0.9778,57.137,0.9333,15.536211,30,22.918999,0.07386,1,1.0,0.05999,0.0,0.059992,,0.05999,2.744,0.166334,,,,,,,,,1.0,0.11056,0.0,0.110562,,0.11056,3.88,0.306543,0.9333,0.15803,-0.04235,0.144674,57.137,0.14467,4.752,22.918999,,,,,,,,,BVCL_data,
Golden_Cross_State + BB_Lower_Touch,Golden_Cross_State + BB_Lower_Touch,combo_2,30,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.056296,0.9667,47.096,1.0,9.104533,30,16.980696,0.016,1,0.9667,0.04358,-0.06398,0.039996,22.801,0.04,2.866,3.13171,,,,,,,,,0.9667,0.05661,-0.0396,0.053403,52.981,0.0534,4.053,9.715863,0.9667,0.07955,-0.04235,0.075488,65.506,0.07549,4.964,16.980696,,,,,,,,,BVCL_data,
Stoch_Oversold + CMF_Positive,Stoch_Oversold + CMF_Positive,combo_2,40,momentum,Bullish,,,,,,,,,0.975,0.04551,-0.02024,0.043865,109.803,0.04387,2.03,17.886499,,,,,,,,,0.053544,0.925,49.585,0.9,8.873592,5,17.886499,0.03651,1,0.925,0.05951,-0.02542,0.053136,31.638,0.05314,2.871,6.242858,0.875,0.08695,-0.09961,0.063632,7.315,0.06363,3.517,1.728517,,,,,,,,,,,,,,,,,,,,,,,,,BVCL_data,
OBV_Trend_Bull + CCI_Oversold,OBV_Trend_Bull + CCI_Oversold,combo_2,41,momentum,Bullish,,,,,,,,,0.9756,0.02706,-0.01277,0.026091,115.719,0.02609,2.276,11.284865,,,,,,,,,0.034279,0.9593,57.224,0.9512,6.974191,5,11.284865,0.01852,1,0.9756,0.04466,-0.05541,0.042219,42.475,0.04222,3.218,6.702524,0.9268,0.04201,-0.06022,0.034528,13.478,0.03453,3.941,1.739471,,,,,,,,,,,,,,,,,,,,,,,,,BVCL_data,
Stoch_Oversold + CMF_Strong_Bull,Stoch_Oversold + CMF_Strong_Bull,combo_2,31,momentum,Bullish,,,,,,,,,0.9677,0.05117,-0.02024,0.048866,96.965,0.04887,2.055,16.421545,,,,,,,,,0.052624,0.9032,42.768,0.871,6.793529,5,16.421545,0.09605,1,0.9032,0.06323,-0.02542,0.054652,25.784,0.05465,2.906,4.883743,0.8387,0.08396,-0.09961,0.054354,5.554,0.05435,3.559,1.04623,,,,,,,,,,,,,,,,,,,,,,,,,BVCL_data,
CMF_Positive + CCI_Oversold,CMF_Positive + CCI_Oversold,combo_2,40,momentum,Bullish,,,,,,,,,0.85,0.01473,-0.02849,0.008248,5.016,0.00825,2.089,0.153626,,,,,,,,,0.022421,0.925,81.046,0.875,5.904467,10,17.365624,0.02103,1,0.975,0.02257,-0.00654,0.021841,214.109,0.02184,2.955,17.365624,0.95,0.04137,-0.04253,0.037173,24.014,0.03717,3.619,3.315033,,,,,,,,,,,,,,,,,,,,,,,,,BVCL_data,
CMF_Strong_Bull + CCI_Oversold,CMF_Strong_Bull + CCI_Oversold,combo_2,33,momentum,Bullish,,,,,,,,,0.8788,0.01471,-0.03486,0.008697,5.601,0.0087,2.078,0.171769,,,,,,,,,0.022737,0.9293,69.153,0.9091,5.040442,10,12.616564,0.05026,1,0.9697,0.02067,-0.00654,0.019845,180.288,0.01984,2.939,12.616564,0.9394,0.04497,-0.04253,0.039668,21.569,0.03967,3.6,3.017169,,,,,,,,,,,,,,,,,,,,,,,,,BVCL_data,
EMA_Bullish_State + CCI_Oversold,EMA_Bullish_State + CCI_Oversold,combo_2,70,momentum,Bullish,,,,,,,,,0.9143,0.02949,-0.04508,0.0231,9.781,0.0231,2.151,0.963117,,,,,,,,,0.03559,0.9429,28.654,0.9429,4.098709,10,10.441892,0.00238,1,0.9714,0.04261,-0.03097,0.040508,60.473,0.04051,3.042,10.441892,0.9429,0.04981,-0.06656,0.043162,15.71,0.04316,3.726,2.890346,,,,,,,,,,,,,,,,,,,,,,,,,BVCL_data,
CCI_Oversold + VWAP_Bull,CCI_Oversold + VWAP_Bull,combo_2,116,momentum,Bullish,,,,,,,,,0.931,0.02307,-0.05468,0.017705,8.184,0.0177,2.088,0.690025,,,,,,,,,0.025163,0.9569,31.363,0.9483,3.56388,10,8.71186,1e-05,1,0.9828,0.02763,-0.03293,0.026589,68.802,0.02659,2.953,8.71186,0.9569,0.0357,-0.06883,0.031195,17.104,0.0312,3.616,2.540871,,,,,,,,,,,,,,,,,,,,,,,,,BVCL_data,
BB_Lower_Touch + Stoch_Oversold,BB_Lower_Touch + Stoch_Oversold,combo_2,29,mean_rev,Bullish,0.8966,0.03289,-0.04872,0.024447,6.818,0.02445,1.631,0.566923,0.931,0.04834,-0.05215,0.041407,14.013,0.04141,2.106,1.973543,0.931,0.06371,-0.02052,0.057905,44.528,0.0579,2.492,8.769479,0.041253,0.9195,21.786,0.9655,2.95142,7,8.769479,0.29003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BVCL_data,
