SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
RSI_Oversold + CMF_Positive,RSI_Oversold + CMF_Positive,combo_2,14,momentum,Bullish,,,,,,,,,1.0,0.01459,0.0,0.014592,,0.01459,1.196,0.039517,,,,,,,,,0.043987,0.9762,41.517,0.9286,4.592265,15,7.930433,0.02825,1,1.0,0.04683,0.0,0.046833,,0.04683,1.691,0.126827,0.9286,0.07796,-0.026,0.070536,41.517,0.07054,2.072,7.930433,,,,,,,,,,,,,,,,,,,,,,,,,CAMPUS_data,
Golden_Cross_State + CCI_Oversold,Golden_Cross_State + CCI_Oversold,combo_2,49,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.035021,0.9388,29.822,0.898,3.668789,30,5.552446,0.00016,1,0.8776,0.04385,-0.0385,0.033766,9.411,0.03377,1.678,1.243062,,,,,,,,,0.9796,0.02176,-0.03909,0.020514,52.107,0.02051,2.373,4.181537,0.9592,0.05533,-0.05603,0.050784,27.948,0.05078,2.907,5.552446,,,,,,,,,CAMPUS_data,
CMF_Strong_Bull + VWAP_Bull,CMF_Strong_Bull + VWAP_Bull,combo_2,47,momentum,Bullish,,,,,,,,,0.8936,0.05608,-0.07311,0.04234,7.084,0.04234,1.446,1.161159,,,,,,,,,0.081011,0.922,11.191,0.9574,3.360156,15,6.246275,0.00491,1,0.9362,0.09721,-0.11572,0.083623,12.705,0.08362,2.045,4.112899,0.9362,0.13484,-0.14349,0.117071,13.782,0.11707,2.505,6.246275,,,,,,,,,,,,,,,,,,,,,,,,,CAMPUS_data,
RSI_Oversold + MACD_Hist_Rising,RSI_Oversold + MACD_Hist_Rising,combo_2,18,momentum,Bullish,,,,,,,,,0.8889,0.02609,-0.01415,0.021615,15.246,0.02161,1.519,0.97033,,,,,,,,,0.038232,0.9259,15.246,0.8889,1.525576,5,0.97033,0.01672,1,0.8889,0.05619,0.01168,0.051244,,0.05124,2.149,0.150884,1.0,0.04184,0.0,0.041836,,0.04184,2.632,0.123184,,,,,,,,,,,,,,,,,,,,,,,,,CAMPUS_data,
RSI_Oversold + Stoch_Bull_Zone,RSI_Oversold + Stoch_Bull_Zone,combo_2,14,momentum,Bullish,,,,,,,,,0.8571,0.0279,-0.00822,0.022743,17.515,0.02274,1.405,1.078741,,,,,,,,,0.030044,0.9048,19.101,0.9286,1.443066,15,1.086107,0.16878,0,0.9286,0.05058,0.01452,0.048001,,0.048,1.987,0.12999,0.9286,0.02288,-0.026,0.019387,20.687,0.01939,2.434,1.086107,,,,,,,,,,,,,,,,,,,,,,,,,CAMPUS_data,
Golden_Cross_State + CCI_Exit_Oversold,Golden_Cross_State + CCI_Exit_Oversold,combo_2,15,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.023648,0.8,19.833,0.8667,1.127016,10,4.600536,0.35019,0,0.8667,0.03733,-0.00552,0.031619,52.478,0.03162,1.522,4.600536,,,,,,,,,0.7333,0.04175,-0.04982,0.017333,2.916,0.01733,2.152,0.140128,0.8,0.0396,-0.04846,0.021992,4.107,0.02199,2.636,0.250397,,,,,,,,,CAMPUS_data,
CMF_Positive + VWAP_Bull,CMF_Positive + VWAP_Bull,combo_2,71,momentum,Bullish,,,,,,,,,0.8592,0.03918,-0.07395,0.023243,4.026,0.02324,1.446,0.400193,,,,,,,,,0.047852,0.8779,5.593,0.9718,1.112292,15,1.797619,0.01977,1,0.8873,0.06974,-0.0953,0.051142,6.676,0.05114,2.045,1.460038,0.8873,0.09541,-0.13747,0.069171,6.077,0.06917,2.504,1.797619,,,,,,,,,,,,,,,,,,,,,,,,,CAMPUS_data,
RSI_Bull_Momentum + VWAP_Bull,RSI_Bull_Momentum + VWAP_Bull,combo_2,56,momentum,Bullish,,,,,,,,,0.8571,0.05037,-0.06277,0.034208,5.238,0.03421,1.518,0.724457,,,,,,,,,0.049623,0.8631,4.349,0.9821,0.856955,10,1.225775,0.06613,1,0.875,0.09198,-0.14131,0.062823,4.826,0.06282,2.147,1.225775,0.8571,0.09726,-0.22069,0.051838,2.983,0.05184,2.63,0.625178,,,,,,,,,,,,,,,,,,,,,,,,,CAMPUS_data,
MACD_Hist_Rising + Stoch_Oversold,MACD_Hist_Rising + Stoch_Oversold,combo_2,36,momentum,Bullish,,,,,,,,,0.8611,0.00467,-0.03426,-0.000733,3.317,-0.00073,1.114,-0.008779,,,,,,,,,0.021322,0.8981,12.477,0.8889,0.853862,15,3.099452,0.0027,1,0.8611,0.03418,-0.02221,0.026348,11.73,0.02635,1.576,1.116052,0.9722,0.04213,-0.09403,0.038349,22.383,0.03835,1.93,3.099452,,,,,,,,,,,,,,,,,,,,,,,,,CAMPUS_data,
CCI_Oversold + CDL_Harami_Bull,CCI_Oversold + CDL_Harami_Bull,combo_2,21,mean_rev,Bullish,0.8571,0.01373,-0.01545,0.009558,10.14,0.00956,0.839,0.299592,0.8571,0.02844,-0.02171,0.021275,9.989,0.02128,1.083,0.656922,0.9524,0.02643,-0.02454,0.024005,27.559,0.024,1.282,2.044891,0.01828,0.8889,15.896,0.9048,0.812637,7,2.044891,0.0397,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAMPUS_data,
