SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
BB_Lower_Touch,BB_Lower_Touch,single,36,mean_rev,Bullish,1.0,0.9167,0.01362,-0.00962,0.011679,18.449,0.01168,0.9722,0.01874,-0.01038,0.017934,77.123,0.01793,0.9722,0.02423,-0.02771,0.022784,37.511,0.02278,0.017466,0.9537,44.361,0.9444,2.642293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEVIOT_data,
BB_Lower_Touch + CCI_Oversold,BB_Lower_Touch + CCI_Oversold,combo_2,35,mean_rev,Bullish,1.0,0.9143,0.01111,-0.00962,0.009336,15.204,0.00934,0.9714,0.01814,-0.01038,0.017325,73.341,0.01732,0.9714,0.02377,-0.02771,0.022294,36.071,0.02229,0.016319,0.9524,41.539,0.9429,2.290284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEVIOT_data,
BB_Lower_Touch + Williams_Oversold,BB_Lower_Touch + Williams_Oversold,combo_2,30,mean_rev,Bullish,1.0,0.9,0.01341,-0.00962,0.011106,14.238,0.01111,0.9667,0.01817,-0.01038,0.01722,61.779,0.01722,0.9667,0.02394,-0.02771,0.022219,30.637,0.02222,0.016848,0.9444,35.552,0.9333,1.919772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEVIOT_data,
Price_Above_SMA50 + RSI_Bull_Momentum + Stoch_Oversold,Price_Above_SMA50 + RSI_Bull_Momentum + Stoch_Oversold,combo_3,13,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.019445,0.9487,41.417,0.8462,1.798385,0.8462,0.04198,-0.0068,0.034479,41.417,0.03448,,,,,,,1.0,0.01879,0.0,0.018792,,0.01879,1.0,0.00506,0.0,0.005063,,0.00506,,,,,,,CHEVIOT_data,
OBV_Trend_Bull + Price_Above_SMA20 + Stoch_Oversold,OBV_Trend_Bull + Price_Above_SMA20 + Stoch_Oversold,combo_3,15,momentum,Bullish,1.5,,,,,,,0.7333,0.01653,-0.01507,0.008101,3.52,0.0081,,,,,,,0.021328,0.8889,39.924,0.7333,1.731323,0.9333,0.03723,-0.00751,0.034249,76.329,0.03425,1.0,0.02163,0.0,0.021635,,0.02163,,,,,,,,,,,,,,,,,,,CHEVIOT_data,
Price_Above_SMA20 + Stoch_Oversold,Price_Above_SMA20 + Stoch_Oversold,combo_2,15,momentum,Bullish,1.5,,,,,,,0.7333,0.01653,-0.01507,0.008101,3.52,0.0081,,,,,,,0.021328,0.8889,39.924,0.7333,1.731323,0.9333,0.03723,-0.00751,0.034249,76.329,0.03425,1.0,0.02163,0.0,0.021635,,0.02163,,,,,,,,,,,,,,,,,,,CHEVIOT_data,
Williams_Oversold + CCI_Oversold + BB_Lower_Touch,Williams_Oversold + CCI_Oversold + BB_Lower_Touch,combo_3,29,mean_rev,Bullish,1.0,0.8966,0.01032,-0.00962,0.008258,10.993,0.00826,0.9655,0.01742,-0.01038,0.01646,57.998,0.01646,0.9655,0.02337,-0.02771,0.021609,29.197,0.02161,0.015442,0.9425,32.729,0.931,1.600483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEVIOT_data,
EMA_Bullish_State + RSI_Bull_Momentum + Stoch_Oversold,EMA_Bullish_State + RSI_Bull_Momentum + Stoch_Oversold,combo_3,14,momentum,Bullish,1.5,,,,,,,0.7143,0.00885,-0.01507,0.002014,2.31,0.00201,,,,,,,0.018653,0.881,44.266,0.7143,1.597126,0.9286,0.04156,-0.00751,0.038054,86.223,0.03805,1.0,0.01589,0.0,0.01589,,0.01589,,,,,,,,,,,,,,,,,,,CHEVIOT_data,
RSI_Bull_Momentum + Stoch_Oversold,RSI_Bull_Momentum + Stoch_Oversold,combo_2,14,momentum,Bullish,1.5,,,,,,,0.7143,0.00885,-0.01507,0.002014,2.31,0.00201,,,,,,,0.018653,0.881,44.266,0.7143,1.597126,0.9286,0.04156,-0.00751,0.038054,86.223,0.03805,1.0,0.01589,0.0,0.01589,,0.01589,,,,,,,,,,,,,,,,,,,CHEVIOT_data,
MACD_Bullish_State + Price_Above_SMA20 + Stoch_Oversold,MACD_Bullish_State + Price_Above_SMA20 + Stoch_Oversold,combo_3,11,momentum,Bullish,1.5,,,,,,,0.8182,0.02128,-0.0143,0.014808,6.989,0.01481,,,,,,,0.025354,0.9091,30.681,0.8182,1.581495,0.9091,0.04022,-0.00751,0.035882,54.372,0.03588,1.0,0.02537,0.0,0.025372,,0.02537,,,,,,,,,,,,,,,,,,,CHEVIOT_data,
MACD_Hist_Positive + Price_Above_SMA20 + Stoch_Oversold,MACD_Hist_Positive + Price_Above_SMA20 + Stoch_Oversold,combo_3,11,momentum,Bullish,1.5,,,,,,,0.8182,0.02128,-0.0143,0.014808,6.989,0.01481,,,,,,,0.025354,0.9091,30.681,0.8182,1.581495,0.9091,0.04022,-0.00751,0.035882,54.372,0.03588,1.0,0.02537,0.0,0.025372,,0.02537,,,,,,,,,,,,,,,,,,,CHEVIOT_data,
OBV_Rising + Price_Above_SMA20 + Stoch_Oversold,OBV_Rising + Price_Above_SMA20 + Stoch_Oversold,combo_3,10,momentum,Bullish,1.5,,,,,,,0.7,0.01803,-0.01038,0.00951,5.032,0.00951,,,,,,,0.02603,0.8667,31.855,0.7,1.391817,0.9,0.04319,-0.00751,0.038119,58.678,0.03812,1.0,0.03046,0.0,0.030461,,0.03046,,,,,,,,,,,,,,,,,,,CHEVIOT_data,
Price_Above_SMA20 + EMA_Bullish_State + Stoch_Oversold,Price_Above_SMA20 + EMA_Bullish_State + Stoch_Oversold,combo_3,13,momentum,Bullish,1.5,,,,,,,0.6923,0.01864,-0.01507,0.008268,3.288,0.00827,,,,,,,0.019806,0.8718,35.613,0.6923,1.288695,0.9231,0.03819,-0.00751,0.034671,67.938,0.03467,1.0,0.01648,0.0,0.016479,,0.01648,,,,,,,,,,,,,,,,,,,CHEVIOT_data,
MACD_Bullish_State + EMA_Bullish_State + Stoch_Oversold,MACD_Bullish_State + EMA_Bullish_State + Stoch_Oversold,combo_3,10,momentum,Bullish,1.5,,,,,,,0.8,0.01846,-0.0143,0.011913,6.499,0.01191,,,,,,,0.01676,0.9,26.24,0.8,0.843638,0.9,0.03325,-0.00751,0.029175,45.981,0.02918,1.0,0.00919,0.0,0.009192,,0.00919,,,,,,,,,,,,,,,,,,,CHEVIOT_data,
MACD_Hist_Positive + EMA_Bullish_State + Stoch_Oversold,MACD_Hist_Positive + EMA_Bullish_State + Stoch_Oversold,combo_3,10,momentum,Bullish,1.5,,,,,,,0.8,0.01846,-0.0143,0.011913,6.499,0.01191,,,,,,,0.01676,0.9,26.24,0.8,0.843638,0.9,0.03325,-0.00751,0.029175,45.981,0.02918,1.0,0.00919,0.0,0.009192,,0.00919,,,,,,,,,,,,,,,,,,,CHEVIOT_data,
MACD_Hist_Positive + CCI_Oversold,MACD_Hist_Positive + CCI_Oversold,combo_2,13,momentum,Bullish,1.5,,,,,,,0.9231,0.01837,-0.03548,0.014225,7.929,0.01423,,,,,,,0.024799,0.9487,13.379,0.9231,0.808246,0.9231,0.03166,-0.02174,0.027553,18.829,0.02755,1.0,0.03262,0.0,0.032619,,0.03262,,,,,,,,,,,,,,,,,,,CHEVIOT_data,
MACD_Bullish_State + MACD_Hist_Positive + CCI_Oversold,MACD_Bullish_State + MACD_Hist_Positive + CCI_Oversold,combo_3,13,momentum,Bullish,1.5,,,,,,,0.9231,0.01837,-0.03548,0.014225,7.929,0.01423,,,,,,,0.024799,0.9487,13.379,0.9231,0.808246,0.9231,0.03166,-0.02174,0.027553,18.829,0.02755,1.0,0.03262,0.0,0.032619,,0.03262,,,,,,,,,,,,,,,,,,,CHEVIOT_data,
MACD_Bullish_State + CCI_Oversold,MACD_Bullish_State + CCI_Oversold,combo_2,13,momentum,Bullish,1.5,,,,,,,0.9231,0.01837,-0.03548,0.014225,7.929,0.01423,,,,,,,0.024799,0.9487,13.379,0.9231,0.808246,0.9231,0.03166,-0.02174,0.027553,18.829,0.02755,1.0,0.03262,0.0,0.032619,,0.03262,,,,,,,,,,,,,,,,,,,CHEVIOT_data,
OBV_Trend_Bull + RSI_Bull_Momentum + Stoch_Oversold,OBV_Trend_Bull + RSI_Bull_Momentum + Stoch_Oversold,combo_3,12,momentum,Bullish,1.5,,,,,,,0.6667,0.01344,-0.01507,0.003932,2.288,0.00393,,,,,,,0.016031,0.8611,29.192,0.6667,0.800251,0.9167,0.03357,-0.00751,0.03015,56.097,0.03015,1.0,0.01401,0.0,0.014012,,0.01401,,,,,,,,,,,,,,,,,,,CHEVIOT_data,
Price_Above_SMA20 + RSI_Bull_Momentum + Stoch_Oversold,Price_Above_SMA20 + RSI_Bull_Momentum + Stoch_Oversold,combo_3,12,momentum,Bullish,1.5,,,,,,,0.6667,0.01344,-0.01507,0.003932,2.288,0.00393,,,,,,,0.016031,0.8611,29.192,0.6667,0.800251,0.9167,0.03357,-0.00751,0.03015,56.097,0.03015,1.0,0.01401,0.0,0.014012,,0.01401,,,,,,,,,,,,,,,,,,,CHEVIOT_data,
Price_Above_SMA50 + VWAP_Bull + CCI_Oversold,Price_Above_SMA50 + VWAP_Bull + CCI_Oversold,combo_3,11,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.045581,0.7576,6.156,0.9091,0.633827,0.7273,0.10237,-0.0252,0.067579,11.401,0.06758,,,,,,,0.7273,0.07764,-0.06519,0.038684,3.511,0.03868,0.8182,0.06264,-0.11422,0.03048,3.554,0.03048,,,,,,,CHEVIOT_data,
Price_Above_SMA50 + CCI_Oversold,Price_Above_SMA50 + CCI_Oversold,combo_2,13,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.039709,0.7949,6.453,0.9231,0.624246,0.7692,0.08777,-0.0252,0.061699,12.178,0.0617,,,,,,,0.7692,0.06213,-0.06519,0.03275,3.58,0.03275,0.8462,0.04993,-0.11422,0.024677,3.602,0.02468,,,,,,,CHEVIOT_data,
Price_Above_SMA50 + EMA_Bullish_State + CCI_Oversold,Price_Above_SMA50 + EMA_Bullish_State + CCI_Oversold,combo_3,13,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.039709,0.7949,6.453,0.9231,0.624246,0.7692,0.08777,-0.0252,0.061699,12.178,0.0617,,,,,,,0.7692,0.06213,-0.06519,0.03275,3.58,0.03275,0.8462,0.04993,-0.11422,0.024677,3.602,0.02468,,,,,,,CHEVIOT_data,
