SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
EMA_Bullish_State + CMF_Strong_Bull + BB_Expansion_Bull,EMA_Bullish_State + CMF_Strong_Bull + BB_Expansion_Bull,combo_3,85,momentum,Bullish,1.5,,,,,,,0.8941,0.01636,-0.02287,0.012209,9.596,0.01221,,,,,,,0.030143,0.9608,822.792,0.8941,98.776328,0.9882,0.03049,-0.00216,0.030102,1635.987,0.0301,1.0,0.04812,0.0,0.048118,,0.04812,,,,,,,,,,,,,,,,,,,CIEINDIA_data,
RSI_Oversold + VWAP_Bull,RSI_Oversold + VWAP_Bull,combo_2,29,momentum,Bullish,1.5,,,,,,,0.9655,0.01678,-0.00075,0.01618,727.215,0.01618,,,,,,,0.011506,0.9885,727.215,0.9655,27.478009,1.0,0.00048,0.0,0.000483,,0.00048,1.0,0.01786,0.0,0.017855,,0.01786,,,,,,,,,,,,,,,,,,,CIEINDIA_data,
RSI_Oversold + Williams_Oversold,RSI_Oversold + Williams_Oversold,combo_2,38,mean_rev,Bullish,1.0,0.8158,0.02104,-0.01467,0.01446,6.765,0.01446,0.9737,0.01459,-0.00075,0.014188,966.828,0.01419,1.0,0.00692,0.0,0.00692,,0.00692,0.011856,0.9298,486.796,0.8158,17.24916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEINDIA_data,
RSI_Oversold,RSI_Oversold,single,39,mean_rev,Bullish,1.0,0.8205,0.02004,-0.01467,0.013808,6.765,0.01381,0.9744,0.01426,-0.00075,0.013877,969.538,0.01388,1.0,0.00632,0.0,0.006318,,0.00632,0.011334,0.9316,488.151,0.8205,16.746478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEINDIA_data,
EMA_Bullish_State + CMF_Positive + BB_Expansion_Bull,EMA_Bullish_State + CMF_Positive + BB_Expansion_Bull,combo_3,100,momentum,Bullish,1.5,,,,,,,0.87,0.01544,-0.02465,0.010225,6.979,0.01022,,,,,,,0.031936,0.9433,117.609,0.88,15.254337,0.97,0.0326,-0.02256,0.030941,62.457,0.03094,0.99,0.05544,-0.02427,0.054644,283.392,0.05464,,,,,,,,,,,,,,,,,,,CIEINDIA_data,
EMA_Bullish_State + MACD_Hist_Rising + BB_Expansion_Bull,EMA_Bullish_State + MACD_Hist_Rising + BB_Expansion_Bull,combo_3,41,momentum,Bullish,1.5,,,,,,,0.8537,-0.00509,-0.02926,-0.008624,2.73,-0.00862,,,,,,,0.006309,0.9431,261.803,0.8537,5.270438,0.9756,0.00753,-0.00216,0.007297,520.875,0.0073,1.0,0.02026,0.0,0.020255,,0.02026,,,,,,,,,,,,,,,,,,,CIEINDIA_data,
MACD_Bullish_State + CMF_Strong_Bull + BB_Expansion_Bull,MACD_Bullish_State + CMF_Strong_Bull + BB_Expansion_Bull,combo_3,84,momentum,Bullish,1.5,,,,,,,0.881,0.01765,-0.02914,0.012076,6.509,0.01208,,,,,,,0.031367,0.9484,41.95,0.8929,5.219431,0.9762,0.0339,-0.03779,0.03219,45.616,0.03219,0.9881,0.05128,-0.0706,0.049834,73.724,0.04983,,,,,,,,,,,,,,,,,,,CIEINDIA_data,
MACD_Hist_Positive + CMF_Strong_Bull + BB_Expansion_Bull,MACD_Hist_Positive + CMF_Strong_Bull + BB_Expansion_Bull,combo_3,84,momentum,Bullish,1.5,,,,,,,0.881,0.01765,-0.02914,0.012076,6.509,0.01208,,,,,,,0.031367,0.9484,41.95,0.8929,5.219431,0.9762,0.0339,-0.03779,0.03219,45.616,0.03219,0.9881,0.05128,-0.0706,0.049834,73.724,0.04983,,,,,,,,,,,,,,,,,,,CIEINDIA_data,
VWAP_Bull + CMF_Strong_Bull + BB_Expansion_Bull,VWAP_Bull + CMF_Strong_Bull + BB_Expansion_Bull,combo_3,88,momentum,Bullish,1.5,,,,,,,0.8864,0.01607,-0.02914,0.01093,6.825,0.01093,,,,,,,0.028589,0.9508,43.488,0.8977,5.009885,0.9773,0.03023,-0.03779,0.028687,47.362,0.02869,0.9886,0.04749,-0.0706,0.046151,76.278,0.04615,,,,,,,,,,,,,,,,,,,CIEINDIA_data,
Price_Above_SMA20 + CMF_Strong_Bull + BB_Expansion_Bull,Price_Above_SMA20 + CMF_Strong_Bull + BB_Expansion_Bull,combo_3,88,momentum,Bullish,1.5,,,,,,,0.8864,0.01607,-0.02914,0.01093,6.825,0.01093,,,,,,,0.028589,0.9508,43.488,0.8977,5.009885,0.9773,0.03023,-0.03779,0.028687,47.362,0.02869,0.9886,0.04749,-0.0706,0.046151,76.278,0.04615,,,,,,,,,,,,,,,,,,,CIEINDIA_data,
BB_Expansion_Bull + CMF_Strong_Bull,BB_Expansion_Bull + CMF_Strong_Bull,combo_2,88,momentum,Bullish,1.5,,,,,,,0.8864,0.01607,-0.02914,0.01093,6.825,0.01093,,,,,,,0.028589,0.9508,43.488,0.8977,5.009885,0.9773,0.03023,-0.03779,0.028687,47.362,0.02869,0.9886,0.04749,-0.0706,0.046151,76.278,0.04615,,,,,,,,,,,,,,,,,,,CIEINDIA_data,
CMF_Positive + CMF_Strong_Bull + BB_Expansion_Bull,CMF_Positive + CMF_Strong_Bull + BB_Expansion_Bull,combo_3,88,momentum,Bullish,1.5,,,,,,,0.8864,0.01607,-0.02914,0.01093,6.825,0.01093,,,,,,,0.028589,0.9508,43.488,0.8977,5.009885,0.9773,0.03023,-0.03779,0.028687,47.362,0.02869,0.9886,0.04749,-0.0706,0.046151,76.278,0.04615,,,,,,,,,,,,,,,,,,,CIEINDIA_data,
OBV_Trend_Bull + CMF_Strong_Bull + BB_Expansion_Bull,OBV_Trend_Bull + CMF_Strong_Bull + BB_Expansion_Bull,combo_3,88,momentum,Bullish,1.5,,,,,,,0.8864,0.01607,-0.02914,0.01093,6.825,0.01093,,,,,,,0.028589,0.9508,43.488,0.8977,5.009885,0.9773,0.03023,-0.03779,0.028687,47.362,0.02869,0.9886,0.04749,-0.0706,0.046151,76.278,0.04615,,,,,,,,,,,,,,,,,,,CIEINDIA_data,
EMA_Cross_Up_Event + Price_Above_SMA50,EMA_Cross_Up_Event + Price_Above_SMA50,combo_2,12,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.046768,0.9167,32.873,1.0,3.943286,0.9167,0.02257,-0.01169,0.019717,40.262,0.01972,,,,,,,0.9167,0.05443,-0.05334,0.045453,15.279,0.04545,0.9167,0.08435,-0.02627,0.075133,43.077,0.07513,,,,,,,CIEINDIA_data,
OBV_Trend_Bull + Price_Above_SMA20 + CDL_Harami_Bull,OBV_Trend_Bull + Price_Above_SMA20 + CDL_Harami_Bull,combo_3,32,momentum,Bullish,1.5,,,,,,,0.875,0.02758,-0.02587,0.020895,9.699,0.02089,,,,,,,0.031253,0.9375,38.641,0.9062,3.826606,0.9688,0.0343,-0.04832,0.031718,30.821,0.03172,0.9688,0.04326,-0.02427,0.041145,75.401,0.04114,,,,,,,,,,,,,,,,,,,CIEINDIA_data,
Price_Above_SMA20 + CDL_Harami_Bull,Price_Above_SMA20 + CDL_Harami_Bull,combo_2,33,momentum,Bullish,1.5,,,,,,,0.8788,0.02736,-0.02587,0.02091,9.899,0.02091,,,,,,,0.030619,0.9394,38.784,0.9091,3.806999,0.9697,0.03358,-0.04832,0.031094,31.051,0.03109,0.9697,0.04186,-0.02427,0.039854,75.401,0.03985,,,,,,,,,,,,,,,,,,,CIEINDIA_data,
Price_Above_SMA20 + OBV_Rising + CDL_Harami_Bull,Price_Above_SMA20 + OBV_Rising + CDL_Harami_Bull,combo_3,33,momentum,Bullish,1.5,,,,,,,0.8788,0.02736,-0.02587,0.02091,9.899,0.02091,,,,,,,0.030619,0.9394,38.784,0.9091,3.806999,0.9697,0.03358,-0.04832,0.031094,31.051,0.03109,0.9697,0.04186,-0.02427,0.039854,75.401,0.03985,,,,,,,,,,,,,,,,,,,CIEINDIA_data,
EMA_Bullish_State + RSI_Bull_Momentum + CMF_Strong_Bull,EMA_Bullish_State + RSI_Bull_Momentum + CMF_Strong_Bull,combo_3,143,momentum,Bullish,1.5,,,,,,,0.8951,0.02885,-0.02833,0.022854,9.873,0.02285,,,,,,,0.03891,0.9417,21.012,0.9301,3.779122,0.965,0.04419,-0.07979,0.039852,17.457,0.03985,0.965,0.05786,-0.05173,0.054025,35.707,0.05402,,,,,,,,,,,,,,,,,,,CIEINDIA_data,
Price_Above_SMA50 + RSI_Bull_Momentum + CMF_Strong_Bull,Price_Above_SMA50 + RSI_Bull_Momentum + CMF_Strong_Bull,combo_3,153,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.064802,0.9129,11.352,0.9739,3.608527,0.8954,0.05033,-0.06221,0.03856,7.371,0.03856,,,,,,,0.9216,0.07994,-0.08138,0.067283,12.735,0.06728,0.9216,0.10441,-0.09759,0.088563,13.95,0.08856,,,,,,,CIEINDIA_data,
Price_Above_SMA50 + CMF_Positive + BB_Expansion_Bull,Price_Above_SMA50 + CMF_Positive + BB_Expansion_Bull,combo_3,105,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.072264,0.9111,11.367,0.8952,3.429256,0.8476,0.04009,-0.06061,0.02475,4.179,0.02475,,,,,,,0.9333,0.08743,-0.113,0.074066,11.663,0.07407,0.9524,0.13138,-0.15003,0.117975,18.258,0.11798,,,,,,,CIEINDIA_data,
EMA_Bullish_State + MACD_Hist_Positive + CMF_Strong_Bull,EMA_Bullish_State + MACD_Hist_Positive + CMF_Strong_Bull,combo_3,139,momentum,Bullish,1.5,,,,,,,0.8921,0.01864,-0.02544,0.013887,8.519,0.01389,,,,,,,0.032576,0.9496,23.074,0.9065,3.367106,0.9712,0.03538,-0.05553,0.032759,25.278,0.03276,0.9856,0.05358,-0.12031,0.051082,35.426,0.05108,,,,,,,,,,,,,,,,,,,CIEINDIA_data,
EMA_Bullish_State + MACD_Bullish_State + CMF_Strong_Bull,EMA_Bullish_State + MACD_Bullish_State + CMF_Strong_Bull,combo_3,139,momentum,Bullish,1.5,,,,,,,0.8921,0.01864,-0.02544,0.013887,8.519,0.01389,,,,,,,0.032576,0.9496,23.074,0.9065,3.367106,0.9712,0.03538,-0.05553,0.032759,25.278,0.03276,0.9856,0.05358,-0.12031,0.051082,35.426,0.05108,,,,,,,,,,,,,,,,,,,CIEINDIA_data,
