SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Price_Above_EMA200 + Stoch_Oversold,Price_Above_EMA200 + Stoch_Oversold,combo_2,56,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.050395,0.9464,28.488,1.0,5.804391,10,8.782512,0.00241,1,0.9464,0.0489,-0.01941,0.045237,48.019,0.04524,1.597,8.782512,,,,,,,,,0.9464,0.05437,-0.07983,0.047183,13.826,0.04718,2.259,2.637473,0.9464,0.06514,-0.05395,0.058764,23.619,0.05876,2.766,5.611555,,,,,,,,,CMSINFO_data,
Price_Above_SMA50 + MACD_Cross_Up_Event,Price_Above_SMA50 + MACD_Cross_Up_Event,combo_2,21,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.040796,0.9365,18.6,0.9048,2.122134,20,5.626257,0.01133,1,0.9048,0.01935,-0.08184,0.009715,3.444,0.00972,1.601,0.103439,,,,,,,,,0.9048,0.06061,-0.00957,0.053922,33.756,0.05392,2.264,5.626257,1.0,0.05875,0.0,0.05875,,0.05875,2.773,0.1816,,,,,,,,,CMSINFO_data,
RSI_Oversold + MACD_Hist_Rising,RSI_Oversold + MACD_Hist_Rising,combo_2,20,momentum,Bullish,,,,,,,,,0.95,0.01804,-0.00822,0.016732,55.169,0.01673,1.163,2.810316,,,,,,,,,0.020746,0.9667,33.992,0.95,2.039614,5,2.810316,0.01434,1,1.0,0.02757,0.0,0.027568,,0.02757,1.644,0.083931,0.95,0.02224,-0.06372,0.017938,12.814,0.01794,2.014,0.699824,,,,,,,,,,,,,,,,,,,,,,,,,CMSINFO_data,
Price_Above_SMA20 + Stoch_Oversold,Price_Above_SMA20 + Stoch_Oversold,combo_2,19,momentum,Bullish,,,,,,,,,0.8421,0.02591,-0.0375,0.015899,4.476,0.0159,1.155,0.213159,,,,,,,,,0.039633,0.8947,17.218,0.8947,1.829071,10,4.28056,0.0951,1,0.8947,0.06474,-0.0231,0.055493,25.749,0.05549,1.634,4.28056,0.9474,0.05289,-0.04947,0.047507,21.429,0.04751,2.001,3.04972,,,,,,,,,,,,,,,,,,,,,,,,,CMSINFO_data,
Stoch_Oversold + Stoch_Cross_Up,Stoch_Oversold + Stoch_Cross_Up,combo_2,20,mean_rev,Bullish,0.9,0.01407,-0.02597,0.010066,8.12,0.01007,0.941,0.248852,0.95,0.02542,-0.02783,0.022762,21.677,0.02276,1.215,1.502174,0.95,0.03586,-0.01499,0.033321,54.989,0.03332,1.438,5.578388,0.02205,0.9333,28.262,0.95,1.802371,7,5.578388,0.11638,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMSINFO_data,
Price_Above_SMA50 + Stoch_Oversold,Price_Above_SMA50 + Stoch_Oversold,combo_2,36,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.045826,0.9074,10.9,0.9722,1.753582,30,2.601401,0.06032,1,0.8889,0.05584,-0.03433,0.045822,13.787,0.04582,1.632,2.281166,,,,,,,,,0.9167,0.04457,-0.10037,0.032491,6.737,0.03249,2.307,0.790393,0.9167,0.07198,-0.08176,0.059166,12.176,0.05917,2.826,2.601401,,,,,,,,,CMSINFO_data,
BB_Expansion_Bull + CMF_Strong_Bull,BB_Expansion_Bull + CMF_Strong_Bull,combo_2,36,momentum,Bullish,,,,,,,,,0.9167,0.03094,-0.03151,0.025732,11.792,0.02573,1.18,1.095699,,,,,,,,,0.044894,0.9722,11.792,0.9167,1.752345,5,1.095699,0.00041,1,1.0,0.05006,0.0,0.050062,,0.05006,1.669,0.180768,1.0,0.05889,0.0,0.058888,,0.05889,2.044,0.21264,,,,,,,,,,,,,,,,,,,,,,,,,CMSINFO_data,
MACD_Hist_Rising + Stoch_Oversold,MACD_Hist_Rising + Stoch_Oversold,combo_2,18,momentum,Bullish,,,,,,,,,0.9444,0.02928,-0.02783,0.026107,19.616,0.02611,1.231,1.507926,,,,,,,,,0.035297,0.9444,16.119,1.0,1.675234,10,2.195645,0.11287,0,0.9444,0.04384,-0.04364,0.038975,19.132,0.03898,1.74,2.195645,0.9444,0.04944,-0.1059,0.040808,9.608,0.04081,2.131,1.154493,,,,,,,,,,,,,,,,,,,,,,,,,CMSINFO_data,
RSI_Bull_Momentum + Stoch_Oversold,RSI_Bull_Momentum + Stoch_Oversold,combo_2,23,momentum,Bullish,,,,,,,,,0.8696,0.02395,-0.0375,0.015938,4.737,0.01594,1.173,0.239948,,,,,,,,,0.036781,0.8841,12.029,0.9565,1.34499,10,3.625856,0.15284,0,0.8696,0.06573,-0.02174,0.054323,21.002,0.05432,1.659,3.625856,0.913,0.04914,-0.05508,0.040082,10.349,0.04008,2.032,1.318209,,,,,,,,,,,,,,,,,,,,,,,,,CMSINFO_data,
Stoch_Bull_Zone + CMF_Strong_Bull,Stoch_Bull_Zone + CMF_Strong_Bull,combo_2,65,momentum,Bullish,,,,,,,,,0.9231,0.02471,-0.03229,0.020324,11.616,0.02032,1.179,0.989095,,,,,,,,,0.026117,0.9231,12.396,0.9692,1.314609,10,1.801937,0.00254,1,0.9385,0.02856,-0.03264,0.024795,17.346,0.0248,1.668,1.801937,0.9077,0.04274,-0.06024,0.033231,8.226,0.03323,2.043,1.145219,,,,,,,,,,,,,,,,,,,,,,,,,CMSINFO_data,
EMA_Bullish_State + Stoch_Oversold,EMA_Bullish_State + Stoch_Oversold,combo_2,60,momentum,Bullish,,,,,,,,,0.9,0.02237,-0.05701,0.01443,4.577,0.01443,1.153,0.271505,,,,,,,,,0.03131,0.8889,8.357,0.9833,1.057658,10,1.773118,0.08429,1,0.8833,0.05216,-0.04071,0.041321,10.438,0.04132,1.63,1.773118,0.8833,0.04854,-0.04027,0.038178,10.055,0.03818,1.997,1.578018,,,,,,,,,,,,,,,,,,,,,,,,,CMSINFO_data,
BB_Expansion_Bull + CMF_Positive,BB_Expansion_Bull + CMF_Positive,combo_2,61,momentum,Bullish,,,,,,,,,0.9344,0.02141,-0.036,0.017645,10.475,0.01764,1.105,0.762827,,,,,,,,,0.024858,0.9563,9.522,0.9672,0.944899,10,1.137867,0.00021,1,0.9672,0.03658,-0.14404,0.030661,8.992,0.03066,1.562,1.137867,0.9672,0.03272,-0.16396,0.02627,9.1,0.02627,1.914,0.98656,,,,,,,,,,,,,,,,,,,,,,,,,CMSINFO_data,
VWAP_Bull + CDL_HaramiCross_Bull,VWAP_Bull + CDL_HaramiCross_Bull,combo_2,22,momentum,Bullish,,,,,,,,,0.9524,0.01254,-0.01455,0.011246,24.697,0.01125,1.112,0.870901,,,,,,,,,0.017078,0.9206,15.306,0.9048,0.741548,10,1.221562,0.06971,1,0.9524,0.026,-0.03874,0.022919,16.999,0.02292,1.573,1.221562,0.8571,0.03042,-0.06306,0.01707,4.221,0.01707,1.927,0.225911,,,,,,,,,,,,,,,,,,,,,,,,,CMSINFO_data,
Golden_Cross_State + Stoch_Oversold,Golden_Cross_State + Stoch_Oversold,combo_2,84,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.025914,0.8889,6.391,0.9881,0.727041,10,0.911443,0.02151,1,0.881,0.0378,-0.04332,0.028143,7.29,0.02814,1.651,0.911443,,,,,,,,,0.8929,0.03143,-0.08091,0.01939,5.13,0.01939,2.335,0.441881,0.8929,0.04244,-0.07169,0.030209,6.754,0.03021,2.859,0.906467,,,,,,,,,CMSINFO_data,
Price_Above_SMA50 + BB_Expansion_Bull,Price_Above_SMA50 + BB_Expansion_Bull,combo_2,103,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.022837,0.9094,6.181,0.9709,0.6365,30,0.95888,0.00082,1,0.9223,0.02526,-0.09198,0.016154,4.472,0.01615,1.568,0.335471,,,,,,,,,0.9126,0.03114,-0.07362,0.021984,7.274,0.02198,2.218,0.742737,0.8932,0.044,-0.08355,0.030374,6.797,0.03037,2.716,0.95888,,,,,,,,,CMSINFO_data,
RSI_Bull_Momentum + BB_Expansion_Bull,RSI_Bull_Momentum + BB_Expansion_Bull,combo_2,84,momentum,Bullish,,,,,,,,,0.9286,0.01539,-0.04581,0.011015,6.456,0.01101,1.11,0.315924,,,,,,,,,0.017142,0.9286,8.326,1.0,0.634079,15,1.244945,0.00131,1,0.9286,0.02434,-0.07357,0.017349,6.371,0.01735,1.57,0.491072,0.9286,0.02854,-0.04811,0.023063,12.15,0.02306,1.923,1.244945,,,,,,,,,,,,,,,,,,,,,,,,,CMSINFO_data,
EMA_Bullish_State + CDL_HaramiCross_Bull,EMA_Bullish_State + CDL_HaramiCross_Bull,combo_2,19,momentum,Bullish,,,,,,,,,0.9474,0.01235,-0.01455,0.010933,22.183,0.01093,1.105,0.726539,,,,,,,,,0.017324,0.9123,13.627,0.8947,0.632779,10,0.961638,0.09836,1,0.9474,0.02486,-0.03874,0.021517,14.919,0.02152,1.562,0.961638,0.8421,0.03501,-0.06306,0.019522,3.78,0.01952,1.914,0.22105,,,,,,,,,,,,,,,,,,,,,,,,,CMSINFO_data,
Price_Above_SMA50 + CMF_Strong_Bull,Price_Above_SMA50 + CMF_Strong_Bull,combo_2,136,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.025054,0.9069,5.078,0.9779,0.612185,20,0.789677,0.00011,1,0.9044,0.02419,-0.06099,0.016051,4.826,0.01605,1.681,0.381077,,,,,,,,,0.9191,0.04075,-0.10212,0.029198,5.497,0.0292,2.377,0.789677,0.8971,0.04651,-0.11466,0.029915,4.912,0.02991,2.912,0.722988,,,,,,,,,CMSINFO_data,
OBV_Rising + CDL_HaramiCross_Bull,OBV_Rising + CDL_HaramiCross_Bull,combo_2,27,momentum,Bullish,,,,,,,,,0.9231,0.01197,-0.03959,0.008006,5.315,0.00801,1.09,0.141797,,,,,,,,,0.017073,0.9231,10.344,0.9231,0.543212,10,1.555307,0.02863,1,0.9615,0.02517,-0.03874,0.022715,20.548,0.02272,1.541,1.555307,0.8846,0.0314,-0.06306,0.020499,5.169,0.0205,1.887,0.353039,,,,,,,,,,,,,,,,,,,,,,,,,CMSINFO_data,
