SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
OBV_Trend_Bull + CCI_Exit_Oversold,OBV_Trend_Bull + CCI_Exit_Oversold,combo_2,25,momentum,Bullish,,,,,,,,,0.92,0.01422,-0.03344,0.010409,7.641,0.01041,1.171,0.259141,,,,,,,,,0.024272,0.9467,60.098,0.96,4.562481,15,16.332098,0.03013,1,0.96,0.03016,-0.03222,0.027665,28.366,0.02767,1.656,2.556811,0.96,0.03653,-0.00819,0.034742,144.286,0.03474,2.028,16.332098,,,,,,,,,,,,,,,,,,,,,,,,,DALBHARAT_data,
MACD_Hist_Positive + Williams_Oversold,MACD_Hist_Positive + Williams_Oversold,combo_2,11,momentum,Bullish,,,,,,,,,0.9091,0.02807,-0.01151,0.02447,25.514,0.02447,0.915,1.551384,,,,,,,,,0.037315,0.9697,25.514,0.9091,2.150645,5,1.551384,0.0912,1,1.0,0.03131,0.0,0.031312,,0.03131,1.294,0.077806,1.0,0.05616,0.0,0.056162,,0.05616,1.585,0.139558,,,,,,,,,,,,,,,,,,,,,,,,,DALBHARAT_data,
MACD_Bullish_State + Williams_Oversold,MACD_Bullish_State + Williams_Oversold,combo_2,11,momentum,Bullish,,,,,,,,,0.9091,0.02807,-0.01151,0.02447,25.514,0.02447,0.915,1.551384,,,,,,,,,0.037315,0.9697,25.514,0.9091,2.150645,5,1.551384,0.0912,1,1.0,0.03131,0.0,0.031312,,0.03131,1.294,0.077806,1.0,0.05616,0.0,0.056162,,0.05616,1.585,0.139558,,,,,,,,,,,,,,,,,,,,,,,,,DALBHARAT_data,
STRAT_BB_RSI_Oversold_Bounce,BB_Lower_Touch + RSI_Oversold,combo_2,23,mean_rev,Bullish,0.913,0.02472,-0.00889,0.0218,34.379,0.0218,0.805,2.381823,0.913,0.02809,-0.01461,0.024379,24.488,0.02438,1.039,1.897235,0.913,0.01984,-0.00876,0.017352,27.22,0.01735,1.23,1.501077,0.021177,0.913,28.695,1.0,1.931252,3,2.381823,0.17252,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DALBHARAT_data,
RSI_Oversold + BB_Lower_Touch,RSI_Oversold + BB_Lower_Touch,combo_2,23,mean_rev,Bullish,0.913,0.02472,-0.00889,0.0218,34.379,0.0218,0.805,2.381823,0.913,0.02809,-0.01461,0.024379,24.488,0.02438,1.039,1.897235,0.913,0.01984,-0.00876,0.017352,27.22,0.01735,1.23,1.501077,0.021177,0.913,28.695,1.0,1.931252,3,2.381823,0.17252,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DALBHARAT_data,
MACD_Hist_Positive + CCI_Exit_Oversold,MACD_Hist_Positive + CCI_Exit_Oversold,combo_2,14,momentum,Bullish,,,,,,,,,0.8571,0.02669,-0.01281,0.021049,13.837,0.02105,1.141,0.788748,,,,,,,,,0.041009,0.9524,13.837,0.8571,1.31715,5,0.788748,0.04728,1,1.0,0.04474,0.0,0.044738,,0.04474,1.613,0.121152,1.0,0.05724,0.0,0.057241,,0.05724,1.976,0.155011,,,,,,,,,,,,,,,,,,,,,,,,,DALBHARAT_data,
MACD_Bullish_State + CCI_Exit_Oversold,MACD_Bullish_State + CCI_Exit_Oversold,combo_2,14,momentum,Bullish,,,,,,,,,0.8571,0.02669,-0.01281,0.021049,13.837,0.02105,1.141,0.788748,,,,,,,,,0.041009,0.9524,13.837,0.8571,1.31715,5,0.788748,0.04728,1,1.0,0.04474,0.0,0.044738,,0.04474,1.613,0.121152,1.0,0.05724,0.0,0.057241,,0.05724,1.976,0.155011,,,,,,,,,,,,,,,,,,,,,,,,,DALBHARAT_data,
MACD_Hist_Rising + BB_Lower_Bounce,MACD_Hist_Rising + BB_Lower_Bounce,combo_2,21,momentum,Bullish,,,,,,,,,0.9524,0.02211,-0.01773,0.020217,30.599,0.02022,1.126,1.912197,,,,,,,,,0.026621,0.8889,15.088,0.9048,1.123344,5,1.912197,0.08666,1,0.8571,0.03905,-0.04056,0.027675,7.206,0.02768,1.592,0.616477,0.8571,0.04515,-0.04709,0.031972,7.46,0.03197,1.95,0.737208,,,,,,,,,,,,,,,,,,,,,,,,,DALBHARAT_data,
RSI_Oversold + Golden_Cross_State,RSI_Oversold + Golden_Cross_State,combo_2,41,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.027443,0.7967,11.855,0.8293,1.008387,30,5.807804,0.17861,0,0.7561,0.02175,-0.03416,0.008117,2.772,0.00812,1.433,0.08409,,,,,,,,,0.7317,0.04182,-0.0371,0.020644,3.786,0.02064,2.027,0.292122,0.9024,0.06165,-0.02121,0.053568,29.007,0.05357,2.482,5.807804,,,,,,,,,DALBHARAT_data,
RSI_Cross50_Up + MACD_Bullish_State,RSI_Cross50_Up + MACD_Bullish_State,combo_2,27,momentum,Bullish,,,,,,,,,0.9259,0.03515,-0.06573,0.027676,7.047,0.02768,1.014,0.649916,,,,,,,,,0.028772,0.9506,10.698,0.963,0.987642,15,1.523188,0.02071,1,0.963,0.03692,-0.13649,0.030494,8.805,0.03049,1.434,0.894655,0.963,0.03234,-0.08103,0.028144,16.242,0.02814,1.756,1.523188,,,,,,,,,,,,,,,,,,,,,,,,,DALBHARAT_data,
