SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
EMA_Bullish_State + CCI_Oversold + BB_Lower_Touch,EMA_Bullish_State + CCI_Oversold + BB_Lower_Touch,combo_3,13,momentum,Bullish,1.5,,,,,,,0.9231,0.02598,-0.00288,0.023759,122.331,0.02376,,,,,,,0.029334,0.9744,122.331,0.9231,8.741644,1.0,0.02749,0.0,0.027488,,0.02749,1.0,0.03675,0.0,0.036754,,0.03675,,,,,,,,,,,,,,,,,,,DCXINDIA_data,
EMA_Bullish_State + BB_Lower_Touch,EMA_Bullish_State + BB_Lower_Touch,combo_2,13,momentum,Bullish,1.5,,,,,,,0.9231,0.02598,-0.00288,0.023759,122.331,0.02376,,,,,,,0.029334,0.9744,122.331,0.9231,8.741644,1.0,0.02749,0.0,0.027488,,0.02749,1.0,0.03675,0.0,0.036754,,0.03675,,,,,,,,,,,,,,,,,,,DCXINDIA_data,
EMA_Bullish_State + Williams_Oversold + BB_Lower_Touch,EMA_Bullish_State + Williams_Oversold + BB_Lower_Touch,combo_3,12,momentum,Bullish,1.5,,,,,,,0.9167,0.02908,-0.00288,0.026417,122.331,0.02642,,,,,,,0.029005,0.9722,122.331,0.9167,8.342698,1.0,0.02778,0.0,0.027781,,0.02778,1.0,0.03282,0.0,0.032818,,0.03282,,,,,,,,,,,,,,,,,,,DCXINDIA_data,
EMA_Bullish_State + Stoch_Oversold + BB_Lower_Touch,EMA_Bullish_State + Stoch_Oversold + BB_Lower_Touch,combo_3,10,momentum,Bullish,1.5,,,,,,,0.9,0.02212,-0.00288,0.019619,83.267,0.01962,,,,,,,0.030714,0.9667,83.267,0.9,5.519221,1.0,0.0272,0.0,0.027204,,0.0272,1.0,0.04532,0.0,0.045319,,0.04532,,,,,,,,,,,,,,,,,,,DCXINDIA_data,
EMA_Bullish_State + RSI_Bull_Momentum + BB_Expansion_Bull,EMA_Bullish_State + RSI_Bull_Momentum + BB_Expansion_Bull,combo_3,36,momentum,Bullish,1.5,,,,,,,0.9167,0.05454,-0.02704,0.047742,26.181,0.04774,,,,,,,0.054962,0.9537,27.373,0.9444,5.130744,0.9722,0.08468,-0.08824,0.079875,39.09,0.07987,0.9722,0.04262,-0.14996,0.037269,16.848,0.03727,,,,,,,,,,,,,,,,,,,DCXINDIA_data,
RSI_Bull_Momentum + CMF_Positive + BB_Expansion_Bull,RSI_Bull_Momentum + CMF_Positive + BB_Expansion_Bull,combo_3,34,momentum,Bullish,1.5,,,,,,,0.9118,0.0578,-0.03675,0.04946,17.672,0.04946,,,,,,,0.082698,0.9706,17.672,0.9118,4.737613,1.0,0.1021,0.0,0.102096,,0.1021,1.0,0.09654,0.0,0.096539,,0.09654,,,,,,,,,,,,,,,,,,,DCXINDIA_data,
OBV_Trend_Bull + MACD_Bullish_State + RSI_Cross50_Up,OBV_Trend_Bull + MACD_Bullish_State + RSI_Cross50_Up,combo_3,11,momentum,Bullish,1.5,,,,,,,0.9091,0.06333,-0.01891,0.055858,35.908,0.05586,,,,,,,0.05636,0.9697,35.908,0.9091,4.571759,1.0,0.05206,0.0,0.052061,,0.05206,1.0,0.06116,0.0,0.061161,,0.06116,,,,,,,,,,,,,,,,,,,DCXINDIA_data,
OBV_Trend_Bull + MACD_Hist_Positive + RSI_Cross50_Up,OBV_Trend_Bull + MACD_Hist_Positive + RSI_Cross50_Up,combo_3,11,momentum,Bullish,1.5,,,,,,,0.9091,0.06333,-0.01891,0.055858,35.908,0.05586,,,,,,,0.05636,0.9697,35.908,0.9091,4.571759,1.0,0.05206,0.0,0.052061,,0.05206,1.0,0.06116,0.0,0.061161,,0.06116,,,,,,,,,,,,,,,,,,,DCXINDIA_data,
RSI_Bull_Momentum + CMF_Strong_Bull + BB_Expansion_Bull,RSI_Bull_Momentum + CMF_Strong_Bull + BB_Expansion_Bull,combo_3,26,momentum,Bullish,1.5,,,,,,,0.8846,0.06913,-0.03675,0.056913,15.341,0.05691,,,,,,,0.090487,0.9615,15.341,0.8846,4.047153,1.0,0.12295,0.0,0.122953,,0.12295,1.0,0.09159,0.0,0.091593,,0.09159,,,,,,,,,,,,,,,,,,,DCXINDIA_data,
OBV_Trend_Bull + Price_Above_SMA20 + RSI_Cross50_Up,OBV_Trend_Bull + Price_Above_SMA20 + RSI_Cross50_Up,combo_3,17,momentum,Bullish,1.5,,,,,,,0.9412,0.03665,-0.01891,0.033381,41.835,0.03338,,,,,,,0.034992,0.9804,41.835,0.9412,3.982257,1.0,0.03133,0.0,0.031333,,0.03133,1.0,0.04026,0.0,0.040262,,0.04026,,,,,,,,,,,,,,,,,,,DCXINDIA_data,
