SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
EMA_Bullish_State + Price_Above_SMA50 + CDL_Harami_Bull,EMA_Bullish_State + Price_Above_SMA50 + CDL_Harami_Bull,combo_3,13,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.194792,0.9744,752.735,0.9231,357.191024,0.9231,0.13459,-0.00228,0.12406,752.735,0.12406,,,,,,,1.0,0.20513,0.0,0.205127,,0.20513,1.0,0.25519,0.0,0.255191,,0.25519,,,,,,,DYCL_data,
EMA_Bullish_State + Price_Above_SMA20 + CDL_Harami_Bull,EMA_Bullish_State + Price_Above_SMA20 + CDL_Harami_Bull,combo_3,13,momentum,Bullish,1.5,,,,,,,0.7692,0.07982,-0.06718,0.045895,4.026,0.0459,,,,,,,0.096229,0.8974,378.38,0.7692,73.916631,0.9231,0.13459,-0.00228,0.12406,752.735,0.12406,1.0,0.11873,0.0,0.118734,,0.11873,,,,,,,,,,,,,,,,,,,DYCL_data,
EMA_Bullish_State + CDL_HaramiCross_Bull,EMA_Bullish_State + CDL_HaramiCross_Bull,combo_2,10,momentum,Bullish,1.5,,,,,,,0.7,0.11316,-0.06718,0.05906,3.94,0.05906,,,,,,,0.086717,0.8667,241.98,0.7,35.22197,0.9,0.11234,-0.00228,0.10088,480.021,0.10088,1.0,0.10021,0.0,0.100212,,0.10021,,,,,,,,,,,,,,,,,,,DYCL_data,
Price_Above_SMA20 + CDL_HaramiCross_Bull,Price_Above_SMA20 + CDL_HaramiCross_Bull,combo_2,10,momentum,Bullish,1.5,,,,,,,0.7,0.09575,-0.06718,0.046873,3.384,0.04687,,,,,,,0.073142,0.8667,232.77,0.7,28.57732,0.9,0.09983,-0.00228,0.089616,462.155,0.08962,1.0,0.08294,0.0,0.082937,,0.08294,,,,,,,,,,,,,,,,,,,DYCL_data,
VWAP_Bull + CDL_HaramiCross_Bull,VWAP_Bull + CDL_HaramiCross_Bull,combo_2,16,momentum,Bullish,1.5,,,,,,,0.75,0.0595,-0.05336,0.031282,3.753,0.03128,,,,,,,0.043979,0.8958,270.465,0.75,25.27529,0.9375,0.0597,-0.00228,0.055822,537.177,0.05582,1.0,0.04483,0.0,0.044832,,0.04483,,,,,,,,,,,,,,,,,,,DYCL_data,
Price_Above_SMA50 + OBV_Rising + CDL_Harami_Bull,Price_Above_SMA50 + OBV_Rising + CDL_Harami_Bull,combo_3,13,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.210838,0.9744,44.212,0.9231,22.707829,0.9231,0.13459,-0.03887,0.121245,44.212,0.12125,,,,,,,1.0,0.23016,0.0,0.230162,,0.23016,1.0,0.28111,0.0,0.281108,,0.28111,,,,,,,DYCL_data,
OBV_Trend_Bull + Price_Above_SMA50 + CDL_Harami_Bull,OBV_Trend_Bull + Price_Above_SMA50 + CDL_Harami_Bull,combo_3,13,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.210838,0.9744,44.212,0.9231,22.707829,0.9231,0.13459,-0.03887,0.121245,44.212,0.12125,,,,,,,1.0,0.23016,0.0,0.230162,,0.23016,1.0,0.28111,0.0,0.281108,,0.28111,,,,,,,DYCL_data,
Price_Above_SMA50 + OBV_Rising + BB_Expansion_Bull,Price_Above_SMA50 + OBV_Rising + BB_Expansion_Bull,combo_3,70,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.127127,0.9571,42.779,0.9571,22.188492,0.9286,0.05462,-0.07276,0.045518,13.368,0.04552,,,,,,,0.9714,0.13328,-0.08312,0.127101,63.097,0.1271,0.9714,0.21963,-0.16061,0.208763,51.871,0.20876,,,,,,,DYCL_data,
VWAP_Bull + Price_Above_SMA50 + CDL_Harami_Bull,VWAP_Bull + Price_Above_SMA50 + CDL_Harami_Bull,combo_3,14,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.192398,0.9524,41.759,0.8571,18.649315,0.8571,0.13459,-0.02058,0.112422,41.759,0.11242,,,,,,,1.0,0.20921,0.0,0.209211,,0.20921,1.0,0.25556,0.0,0.255562,,0.25556,,,,,,,DYCL_data,
Price_Above_SMA20 + Price_Above_SMA50 + CDL_Harami_Bull,Price_Above_SMA20 + Price_Above_SMA50 + CDL_Harami_Bull,combo_3,14,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.192398,0.9524,41.759,0.8571,18.649315,0.8571,0.13459,-0.02058,0.112422,41.759,0.11242,,,,,,,1.0,0.20921,0.0,0.209211,,0.20921,1.0,0.25556,0.0,0.255562,,0.25556,,,,,,,DYCL_data,
Price_Above_SMA50 + CDL_Harami_Bull,Price_Above_SMA50 + CDL_Harami_Bull,combo_2,14,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.192398,0.9524,41.759,0.8571,18.649315,0.8571,0.13459,-0.02058,0.112422,41.759,0.11242,,,,,,,1.0,0.20921,0.0,0.209211,,0.20921,1.0,0.25556,0.0,0.255562,,0.25556,,,,,,,DYCL_data,
Price_Above_SMA50 + OBV_Rising + CMF_Positive,Price_Above_SMA50 + OBV_Rising + CMF_Positive,combo_3,117,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.083799,0.9573,43.777,0.9316,16.304495,0.9145,0.05787,-0.06386,0.047467,13.148,0.04747,,,,,,,0.9744,0.09129,-0.0844,0.086785,57.093,0.08679,0.9829,0.12198,-0.16061,0.117145,61.09,0.11715,,,,,,,DYCL_data,
Price_Above_SMA50 + MACD_Bullish_State + OBV_Rising,Price_Above_SMA50 + MACD_Bullish_State + OBV_Rising,combo_3,120,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.134024,0.9167,24.07,0.9167,14.181854,0.8667,0.07716,-0.07046,0.057482,8.771,0.05748,,,,,,,0.9333,0.14496,-0.09093,0.129237,25.891,0.12924,0.95,0.2337,-0.13325,0.215354,37.548,0.21535,,,,,,,DYCL_data,
