SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
EMA_Bullish_State + Williams_Oversold,EMA_Bullish_State + Williams_Oversold,combo_2,22,momentum,Bullish,1.5,,,,,,,0.7727,0.03661,-0.03367,0.020634,4.297,0.02063,,,,,,,0.036071,0.8939,69.823,0.8182,6.461245,0.9545,0.05348,-0.0086,0.050662,135.35,0.05066,0.9545,0.03867,0.00016,0.036918,,0.03692,,,,,,,,,,,,,,,,,,,EIEL_data,
RSI_Bull_Momentum + EMA_Bullish_State + CMF_Strong_Bull,RSI_Bull_Momentum + EMA_Bullish_State + CMF_Strong_Bull,combo_3,11,momentum,Bullish,1.5,,,,,,,0.9091,0.09321,-0.0563,0.079616,16.872,0.07962,,,,,,,0.083774,0.9697,16.872,0.9091,3.192907,1.0,0.10748,0.0,0.107483,,0.10748,1.0,0.06422,0.0,0.064224,,0.06422,,,,,,,,,,,,,,,,,,,EIEL_data,
MACD_Bullish_State + RSI_Bull_Momentum + CMF_Strong_Bull,MACD_Bullish_State + RSI_Bull_Momentum + CMF_Strong_Bull,combo_3,10,momentum,Bullish,1.5,,,,,,,0.9,0.0841,-0.0563,0.070063,13.761,0.07006,,,,,,,0.074997,0.9667,13.761,0.9,2.227204,1.0,0.09657,0.0,0.096568,,0.09657,1.0,0.05836,0.0,0.058361,,0.05836,,,,,,,,,,,,,,,,,,,EIEL_data,
MACD_Hist_Positive + RSI_Bull_Momentum + CMF_Strong_Bull,MACD_Hist_Positive + RSI_Bull_Momentum + CMF_Strong_Bull,combo_3,10,momentum,Bullish,1.5,,,,,,,0.9,0.0841,-0.0563,0.070063,13.761,0.07006,,,,,,,0.074997,0.9667,13.761,0.9,2.227204,1.0,0.09657,0.0,0.096568,,0.09657,1.0,0.05836,0.0,0.058361,,0.05836,,,,,,,,,,,,,,,,,,,EIEL_data,
RSI_Bull_Momentum + EMA_Bullish_State + CMF_Positive,RSI_Bull_Momentum + EMA_Bullish_State + CMF_Positive,combo_3,17,momentum,Bullish,1.5,,,,,,,0.8824,0.05211,-0.0679,0.037989,6.995,0.03799,,,,,,,0.061496,0.9216,12.043,0.9412,2.014744,0.9412,0.09029,-0.10636,0.078723,16.826,0.07872,0.9412,0.08051,-0.13601,0.067776,12.309,0.06778,,,,,,,,,,,,,,,,,,,EIEL_data,
OBV_Trend_Bull + EMA_Bullish_State + CMF_Strong_Bull,OBV_Trend_Bull + EMA_Bullish_State + CMF_Strong_Bull,combo_3,15,momentum,Bullish,1.5,,,,,,,0.9333,0.05905,-0.0563,0.051364,17.705,0.05136,,,,,,,0.041694,0.9778,17.705,0.9333,1.910306,1.0,0.05616,0.0,0.056164,,0.05616,1.0,0.01755,0.0,0.017554,,0.01755,,,,,,,,,,,,,,,,,,,EIEL_data,
EMA_Bullish_State + CMF_Positive + CMF_Strong_Bull,EMA_Bullish_State + CMF_Positive + CMF_Strong_Bull,combo_3,15,momentum,Bullish,1.5,,,,,,,0.9333,0.05905,-0.0563,0.051364,17.705,0.05136,,,,,,,0.041694,0.9778,17.705,0.9333,1.910306,1.0,0.05616,0.0,0.056164,,0.05616,1.0,0.01755,0.0,0.017554,,0.01755,,,,,,,,,,,,,,,,,,,EIEL_data,
Price_Above_SMA20 + EMA_Bullish_State + CMF_Strong_Bull,Price_Above_SMA20 + EMA_Bullish_State + CMF_Strong_Bull,combo_3,15,momentum,Bullish,1.5,,,,,,,0.9333,0.05905,-0.0563,0.051364,17.705,0.05136,,,,,,,0.041694,0.9778,17.705,0.9333,1.910306,1.0,0.05616,0.0,0.056164,,0.05616,1.0,0.01755,0.0,0.017554,,0.01755,,,,,,,,,,,,,,,,,,,EIEL_data,
EMA_Bullish_State + CMF_Strong_Bull,EMA_Bullish_State + CMF_Strong_Bull,combo_2,15,momentum,Bullish,1.5,,,,,,,0.9333,0.05905,-0.0563,0.051364,17.705,0.05136,,,,,,,0.041694,0.9778,17.705,0.9333,1.910306,1.0,0.05616,0.0,0.056164,,0.05616,1.0,0.01755,0.0,0.017554,,0.01755,,,,,,,,,,,,,,,,,,,EIEL_data,
MACD_Hist_Positive + EMA_Bullish_State + CMF_Strong_Bull,MACD_Hist_Positive + EMA_Bullish_State + CMF_Strong_Bull,combo_3,14,momentum,Bullish,1.5,,,,,,,0.9286,0.05012,-0.0563,0.042522,14.595,0.04252,,,,,,,0.032419,0.9762,14.595,0.9286,1.189761,1.0,0.0447,0.0,0.044701,,0.0447,1.0,0.01003,0.0,0.010033,,0.01003,,,,,,,,,,,,,,,,,,,EIEL_data,
