SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Golden_Cross_State + BB_Lower_Touch,Golden_Cross_State + BB_Lower_Touch,combo_2,33,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.049783,0.9697,155.298,1.0,27.262681,30,81.833458,0.01215,1,0.9697,0.05291,-0.0556,0.049622,35.105,0.04962,2.419,6.142864,,,,,,,,,0.9697,0.04837,-0.1249,0.043123,20.799,0.04312,3.421,3.162909,0.9697,0.05861,-0.00766,0.056602,409.989,0.0566,4.19,81.833458,,,,,,,,,ELECTCAST_data,
BB_Expansion_Bull + Stoch_Cross_Up,BB_Expansion_Bull + Stoch_Cross_Up,combo_2,22,momentum,Bullish,,,,,,,,,0.9545,0.04503,-0.07128,0.039744,16.888,0.03974,1.491,2.104494,,,,,,,,,0.046414,0.9545,41.875,1.0,6.094154,15,16.53588,0.06924,1,0.9545,0.05505,-0.13702,0.046324,9.561,0.04632,2.109,1.388663,0.9545,0.05643,-0.01522,0.053175,99.177,0.05318,2.583,16.53588,,,,,,,,,,,,,,,,,,,,,,,,,ELECTCAST_data,
Price_Above_EMA200 + BB_Expansion_Bull,Price_Above_EMA200 + BB_Expansion_Bull,combo_2,125,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.079679,0.9333,15.73,0.944,5.722231,30,11.768496,1e-05,1,0.904,0.05699,-0.07044,0.04476,9.497,0.04476,2.061,2.055882,,,,,,,,,0.936,0.09322,-0.10288,0.080667,16.275,0.08067,2.915,6.349373,0.96,0.12542,-0.16975,0.113611,21.419,0.11361,3.57,11.768496,,,,,,,,,ELECTCAST_data,
RSI_Oversold + Golden_Cross_State,RSI_Oversold + Golden_Cross_State,combo_2,13,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.105116,0.9744,21.699,0.9231,5.556328,10,4.239817,0.09109,1,0.9231,0.0841,-0.04665,0.07404,21.699,0.07404,2.737,4.239817,,,,,,,,,1.0,0.14471,0.0,0.14471,,0.14471,3.87,0.381897,1.0,0.0966,0.0,0.096599,,0.0966,4.74,0.254931,,,,,,,,,ELECTCAST_data,
Price_Above_SMA50 + CDL_Bullish3Inside,Price_Above_SMA50 + CDL_Bullish3Inside,combo_2,10,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.04716,0.9333,44.393,0.9,4.518162,30,7.625572,0.16912,0,0.9,0.01659,-0.00761,0.014167,43.325,0.01417,2.209,1.471787,,,,,,,,,1.0,0.05736,0.0,0.057361,,0.05736,3.124,0.137546,0.9,0.07982,-0.01889,0.069953,45.46,0.06995,3.826,7.625572,,,,,,,,,ELECTCAST_data,
Price_Above_SMA50 + BB_Expansion_Bull,Price_Above_SMA50 + BB_Expansion_Bull,combo_2,165,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.067343,0.9273,13.311,0.9455,4.332306,30,7.400112,0.0,1,0.897,0.0538,-0.05993,0.042086,9.452,0.04209,2.18,2.033471,,,,,,,,,0.9333,0.08006,-0.0941,0.068447,14.659,0.06845,3.083,5.129011,0.9515,0.10434,-0.1606,0.091496,15.822,0.0915,3.776,7.400112,,,,,,,,,ELECTCAST_data,
Golden_Cross_State + BB_Expansion_Bull,Golden_Cross_State + BB_Expansion_Bull,combo_2,94,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.063333,0.9397,14.619,0.9574,4.036874,30,6.861167,0.00014,1,0.9149,0.05234,-0.07524,0.041479,9.526,0.04148,2.192,1.79945,,,,,,,,,0.9468,0.07641,-0.11183,0.066402,15.983,0.0664,3.1,4.833092,0.9574,0.09237,-0.14857,0.082118,18.347,0.08212,3.797,6.861167,,,,,,,,,ELECTCAST_data,
Price_Above_SMA50 + MACD_Cross_Up_Event,Price_Above_SMA50 + MACD_Cross_Up_Event,combo_2,27,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.056033,0.9506,17.118,0.963,3.077729,20,5.012574,0.044,1,0.9259,0.03848,-0.03644,0.03293,19.069,0.03293,2.162,2.092363,,,,,,,,,0.963,0.07696,-0.12253,0.069571,21.622,0.06957,3.057,5.012574,0.963,0.07813,-0.26029,0.065599,10.662,0.0656,3.745,2.330622,,,,,,,,,ELECTCAST_data,
Price_Above_EMA200 + BB_Lower_Touch,Price_Above_EMA200 + BB_Lower_Touch,combo_2,15,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.018356,0.9333,55.256,1.0,2.812214,30,7.803885,0.22476,0,0.9333,0.0321,-0.0556,0.026252,11.135,0.02625,2.514,0.810482,,,,,,,,,0.9333,0.01942,-0.1249,0.0098,6.62,0.0098,3.555,0.179883,0.9333,0.02092,-0.00766,0.019016,148.014,0.01902,4.354,7.803885,,,,,,,,,ELECTCAST_data,
EMA_Bullish_State + MACD_Cross_Up_Event,EMA_Bullish_State + MACD_Cross_Up_Event,combo_2,22,momentum,Bullish,,,,,,,,,0.9545,0.02401,-0.0457,0.020841,17.554,0.02084,1.534,1.147103,,,,,,,,,0.042214,0.9545,19.421,1.0,2.570548,10,3.480584,0.06924,1,0.9545,0.04533,-0.04839,0.041073,27.027,0.04107,2.169,3.480584,0.9545,0.07426,-0.13546,0.064728,13.681,0.06473,2.657,2.776684,,,,,,,,,,,,,,,,,,,,,,,,,ELECTCAST_data,
