SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Price_Above_EMA200 + CMF_Strong_Bull,Price_Above_EMA200 + CMF_Strong_Bull,combo_2,118,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.079712,0.8927,13.73,0.9831,5.141683,30,7.304943,0.00018,1,0.8814,0.05319,-0.03427,0.042813,13.167,0.04281,1.526,2.694175,,,,,,,,,0.8983,0.10173,-0.06879,0.084393,14.365,0.08439,2.158,5.793896,0.8983,0.13573,-0.0983,0.11193,13.656,0.11193,2.642,7.304943,,,,,,,,,EMAMILTD_data,
RSI_Oversold + MACD_Hist_Rising,RSI_Oversold + MACD_Hist_Rising,combo_2,26,momentum,Bullish,,,,,,,,,0.8077,0.02831,-0.02661,0.017745,4.987,0.01774,1.099,0.291662,,,,,,,,,0.036036,0.8846,43.866,0.8462,4.408344,15,19.954136,0.01593,1,0.8846,0.05169,-0.05353,0.039546,7.47,0.03955,1.554,0.97362,0.9615,0.05334,-0.01214,0.050817,119.141,0.05082,1.903,19.954136,,,,,,,,,,,,,,,,,,,,,,,,,EMAMILTD_data,
RSI_Oversold + Golden_Cross_State,RSI_Oversold + Golden_Cross_State,combo_2,21,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.020641,0.9683,44.898,0.9048,2.591813,10,5.26552,0.00407,1,0.9048,0.0423,-0.00346,0.037941,44.898,0.03794,1.594,5.26552,,,,,,,,,1.0,-0.00023,0.0,-0.000233,,-0.00023,2.254,-0.000719,1.0,0.02422,0.0,0.024215,,0.02422,2.761,0.074851,,,,,,,,,EMAMILTD_data,
Golden_Cross_State + CMF_Strong_Bull,Golden_Cross_State + CMF_Strong_Bull,combo_2,43,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.038604,0.9535,17.652,1.0,2.578759,30,3.118071,0.00115,1,0.9535,0.02782,-0.04026,0.024653,18.166,0.02465,1.803,1.694708,,,,,,,,,0.9535,0.05384,-0.07717,0.047742,15.814,0.04774,2.549,2.856941,0.9535,0.04873,-0.0655,0.043418,18.978,0.04342,3.122,3.118071,,,,,,,,,EMAMILTD_data,
Stoch_Cross_Up + CMF_Strong_Bull,Stoch_Cross_Up + CMF_Strong_Bull,combo_2,30,momentum,Bullish,,,,,,,,,0.8667,0.01891,-0.03437,0.011805,4.894,0.01181,1.08,0.198402,,,,,,,,,0.028169,0.9222,28.479,0.9,2.479419,15,10.08226,0.00686,1,0.9333,0.03371,-0.04549,0.028426,14.234,0.02843,1.527,1.389422,0.9667,0.0467,-0.02613,0.044277,66.311,0.04428,1.87,10.08226,,,,,,,,,,,,,,,,,,,,,,,,,EMAMILTD_data,
Price_Above_SMA50 + Williams_Oversold,Price_Above_SMA50 + Williams_Oversold,combo_2,25,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.057514,0.9067,10.254,0.96,1.844515,30,4.416486,0.05105,1,0.88,0.04223,-0.05419,0.030661,5.979,0.03066,1.579,0.597241,,,,,,,,,0.92,0.06861,-0.09761,0.055314,9.123,0.05531,2.233,1.644152,0.92,0.10078,-0.07691,0.086567,15.659,0.08657,2.735,4.416486,,,,,,,,,EMAMILTD_data,
Price_Above_SMA50 + CMF_Strong_Bull,Price_Above_SMA50 + CMF_Strong_Bull,combo_2,184,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.055304,0.8478,6.503,0.9728,1.826473,30,3.42677,0.00052,1,0.837,0.03785,-0.04776,0.023891,5.012,0.02389,1.466,0.625146,,,,,,,,,0.8424,0.08152,-0.07221,0.057288,6.75,0.05729,2.073,2.01867,0.8641,0.11463,-0.10544,0.084733,7.747,0.08473,2.539,3.42677,,,,,,,,,EMAMILTD_data,
CMF_Strong_Bull + CCI_Oversold,CMF_Strong_Bull + CCI_Oversold,combo_2,21,momentum,Bullish,,,,,,,,,0.9524,0.02215,-0.03412,0.019467,15.016,0.01947,1.075,0.903588,,,,,,,,,0.029368,0.9365,18.456,0.9524,1.59565,15,4.176305,0.0428,1,0.9048,0.03132,-0.03363,0.025131,9.297,0.02513,1.52,0.722224,0.9524,0.0473,-0.03246,0.043506,31.056,0.04351,1.862,4.176305,,,,,,,,,,,,,,,,,,,,,,,,,EMAMILTD_data,
EMA_Bullish_State + CMF_Strong_Bull,EMA_Bullish_State + CMF_Strong_Bull,combo_2,162,momentum,Bullish,,,,,,,,,0.8642,0.0221,-0.03785,0.013957,5.03,0.01396,1.055,0.357557,,,,,,,,,0.030256,0.8724,8.662,0.9877,1.31845,15,3.098401,0.00109,1,0.8765,0.03967,-0.04216,0.029571,8.08,0.02957,1.492,1.217031,0.8765,0.05924,-0.03791,0.047242,12.876,0.04724,1.827,3.098401,,,,,,,,,,,,,,,,,,,,,,,,,EMAMILTD_data,
Price_Above_EMA200 + BB_Expansion_Bull,Price_Above_EMA200 + BB_Expansion_Bull,combo_2,89,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.05775,0.8464,4.915,0.9775,1.248539,30,2.43198,0.03221,1,0.8315,0.02829,-0.06524,0.012526,2.981,0.01253,1.542,0.168018,,,,,,,,,0.8539,0.1014,-0.10982,0.070551,5.771,0.07055,2.181,1.831953,0.8539,0.12986,-0.14187,0.090173,5.994,0.09017,2.671,2.43198,,,,,,,,,EMAMILTD_data,
