SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Price_Above_EMA200 + Williams_Oversold,Price_Above_EMA200 + Williams_Oversold,combo_2,23,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.029076,0.971,179.051,0.9565,15.825664,20,37.657049,0.00669,1,1.0,0.01987,0.0,0.019867,,0.01987,2.036,0.063138,,,,,,,,,0.9565,0.04578,-0.0048,0.043582,271.88,0.04358,2.879,37.657049,0.9565,0.02542,-0.01236,0.023778,86.222,0.02378,3.526,6.515582,,,,,,,,,FEDFINA_data,
Price_Above_SMA20 + CDL_Engulfing_Bull,Price_Above_SMA20 + CDL_Engulfing_Bull,combo_2,16,momentum,Bullish,,,,,,,,,0.9375,0.00948,-0.0597,0.005152,5.873,0.00515,1.225,0.085728,,,,,,,,,0.025049,0.9583,120.887,0.9375,8.043166,10,18.284044,0.02936,1,0.9375,0.02935,-0.00251,0.027357,235.9,0.02736,1.732,18.284044,1.0,0.04264,0.0,0.042639,,0.04264,2.121,0.120806,,,,,,,,,,,,,,,,,,,,,,,,,FEDFINA_data,
BB_Lower_Touch,BB_Lower_Touch,single,26,mean_rev,Bullish,0.9615,0.02536,-0.01203,0.023917,58.684,0.02392,0.89,4.625921,0.9615,0.03794,-0.01203,0.036018,82.472,0.03602,1.149,9.790084,1.0,0.03714,0.0,0.037138,,0.03714,1.36,0.1224,0.032357,0.9744,70.578,0.9615,7.237312,5,9.790084,0.00623,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEDFINA_data,
BB_Lower_Touch + CCI_Oversold,BB_Lower_Touch + CCI_Oversold,combo_2,26,mean_rev,Bullish,0.9615,0.02536,-0.01203,0.023917,58.684,0.02392,0.89,4.625921,0.9615,0.03794,-0.01203,0.036018,82.472,0.03602,1.149,9.790084,1.0,0.03714,0.0,0.037138,,0.03714,1.36,0.1224,0.032357,0.9744,70.578,0.9615,7.237312,5,9.790084,0.00623,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEDFINA_data,
BB_Lower_Touch + Williams_Oversold,BB_Lower_Touch + Williams_Oversold,combo_2,24,mean_rev,Bullish,0.9583,0.02352,-0.01203,0.022035,50.957,0.02204,0.892,3.614287,0.9583,0.0378,-0.01203,0.03572,75.893,0.03572,1.152,8.726187,1.0,0.03599,0.0,0.035992,,0.03599,1.363,0.115854,0.031249,0.9722,63.425,0.9583,6.113931,5,8.726187,0.00929,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEDFINA_data,
RSI_Oversold + CCI_Oversold,RSI_Oversold + CCI_Oversold,combo_2,26,mean_rev,Bullish,1.0,0.03392,0.0,0.033923,,0.03392,0.81,0.111803,0.9231,0.05335,-0.01715,0.04793,39.826,0.04793,1.046,6.291298,0.9231,0.06024,-0.01558,0.05441,47.08,0.05441,1.237,8.442587,0.045421,0.9487,43.453,0.9231,6.004486,7,8.442587,0.01091,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEDFINA_data,
RSI_Oversold,RSI_Oversold,single,26,mean_rev,Bullish,1.0,0.03392,0.0,0.033923,,0.03392,0.81,0.111803,0.9231,0.05335,-0.01715,0.04793,39.826,0.04793,1.046,6.291298,0.9231,0.06024,-0.01558,0.05441,47.08,0.05441,1.237,8.442587,0.045421,0.9487,43.453,0.9231,6.004486,7,8.442587,0.01091,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEDFINA_data,
Golden_Cross_State + Williams_Oversold,Golden_Cross_State + Williams_Oversold,combo_2,32,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.029664,0.9271,60.454,0.9375,5.878387,30,25.751991,0.00448,1,0.9062,0.01335,-0.04719,0.007673,6.868,0.00767,2.116,0.184247,,,,,,,,,0.9062,0.04334,-0.04045,0.035481,13.817,0.03548,2.993,1.714136,0.9688,0.04772,-0.01236,0.045838,160.676,0.04584,3.665,25.751991,,,,,,,,,FEDFINA_data,
RSI_Oversold + Williams_Oversold,RSI_Oversold + Williams_Oversold,combo_2,22,mean_rev,Bullish,1.0,0.03378,0.0,0.033778,,0.03378,0.796,0.105911,0.9091,0.05758,-0.01715,0.050787,36.068,0.05079,1.027,5.743503,0.9091,0.06094,-0.01558,0.053981,40.295,0.05398,1.215,6.820174,0.046182,0.9394,38.181,0.9091,5.026163,7,6.820174,0.02217,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEDFINA_data,
BB_Lower_Bounce + CCI_Oversold,BB_Lower_Bounce + CCI_Oversold,combo_2,16,mean_rev,Bullish,0.9375,0.02375,-0.01754,0.021169,24.574,0.02117,0.916,1.473885,0.9375,0.028,-0.00321,0.026047,151.573,0.02605,1.182,11.185788,1.0,0.01354,0.0,0.01354,,0.01354,1.399,0.038361,0.020252,0.9583,88.074,0.9375,4.737675,5,11.185788,0.0452,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEDFINA_data,
