SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
RSI_Oversold + Stoch_Cross_Up,RSI_Oversold + Stoch_Cross_Up,combo_2,11,mean_rev,Bullish,0.9091,0.02296,-0.00813,0.020132,36.188,0.02013,0.984,1.810331,1.0,0.02299,0.0,0.022987,,0.02299,1.27,0.05712,0.9091,0.02565,-0.00656,0.022722,59.975,0.02272,1.503,3.386371,0.021947,0.9394,48.082,0.9091,2.383805,7,3.386371,0.08859,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GANDHAR_data,
STRAT_BB_RSI_Oversold_Bounce,BB_Lower_Touch + RSI_Oversold,combo_2,17,mean_rev,Bullish,0.8824,0.05163,-0.03532,0.0414,11.212,0.0414,0.966,1.341676,0.9412,0.05774,-0.07651,0.049843,12.439,0.04984,1.247,1.791969,0.8824,0.05231,-0.02078,0.043714,19.338,0.04371,1.475,2.443368,0.044986,0.902,14.33,0.9412,1.753622,7,2.443368,0.12228,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GANDHAR_data,
RSI_Oversold + BB_Lower_Touch,RSI_Oversold + BB_Lower_Touch,combo_2,17,mean_rev,Bullish,0.8824,0.05163,-0.03532,0.0414,11.212,0.0414,0.966,1.341676,0.9412,0.05774,-0.07651,0.049843,12.439,0.04984,1.247,1.791969,0.8824,0.05231,-0.02078,0.043714,19.338,0.04371,1.475,2.443368,0.044986,0.902,14.33,0.9412,1.753622,7,2.443368,0.12228,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GANDHAR_data,
RSI_Bull_Momentum + CMF_Strong_Bull,RSI_Bull_Momentum + CMF_Strong_Bull,combo_2,25,momentum,Bullish,,,,,,,,,0.96,0.0216,-0.03195,0.019459,26.45,0.01946,1.269,1.676924,,,,,,,,,0.024159,0.9067,19.083,0.92,1.381894,15,2.051275,0.02612,1,0.88,0.0337,-0.0344,0.02553,7.894,0.02553,1.795,0.656638,0.88,0.03292,-0.01234,0.027487,22.905,0.02749,2.199,2.051275,,,,,,,,,,,,,,,,,,,,,,,,,GANDHAR_data,
Price_Above_SMA20 + MACD_Cross_Up_Event,Price_Above_SMA20 + MACD_Cross_Up_Event,combo_2,13,momentum,Bullish,,,,,,,,,0.9231,0.03368,-0.0391,0.028077,14.857,0.02808,1.267,1.100863,,,,,,,,,0.035616,0.9744,14.857,0.9231,1.289024,5,1.100863,0.04274,1,1.0,0.02568,0.0,0.02568,,0.02568,1.791,0.067771,1.0,0.05309,0.0,0.05309,,0.05309,2.194,0.140107,,,,,,,,,,,,,,,,,,,,,,,,,GANDHAR_data,
RSI_Bull_Momentum + MACD_Cross_Up_Event,RSI_Bull_Momentum + MACD_Cross_Up_Event,combo_2,12,momentum,Bullish,,,,,,,,,0.9167,0.02725,-0.0391,0.021725,13.175,0.02172,1.217,0.734121,,,,,,,,,0.039807,0.9722,13.175,0.9167,1.23307,5,0.734121,0.05462,1,1.0,0.03485,0.0,0.034855,,0.03485,1.721,0.0894,1.0,0.06284,0.0,0.062842,,0.06284,2.108,0.161188,,,,,,,,,,,,,,,,,,,,,,,,,GANDHAR_data,
Price_Above_EMA200 + Stoch_Bull_Zone,Price_Above_EMA200 + Stoch_Bull_Zone,combo_2,12,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.058126,0.8611,7.427,0.9167,1.015014,30,1.797737,0.22304,0,0.9167,0.03428,-0.04236,0.02789,12.581,0.02789,2.22,0.89995,,,,,,,,,0.8333,0.05455,-0.09776,0.029168,3.726,0.02917,3.14,0.27877,0.8333,0.17401,-0.16612,0.117322,5.974,0.11732,3.845,1.797737,,,,,,,,,GANDHAR_data,
MACD_Cross_Up_Event + OBV_Trend_Bull,MACD_Cross_Up_Event + OBV_Trend_Bull,combo_2,11,momentum,Bullish,,,,,,,,,0.9091,0.02967,-0.0391,0.023416,12.11,0.02342,1.258,0.704639,,,,,,,,,0.035362,0.9697,12.11,0.9091,0.967373,5,0.704639,0.06976,1,1.0,0.02398,0.0,0.02398,,0.02398,1.78,0.059589,1.0,0.05869,0.0,0.058689,,0.05869,2.179,0.145838,,,,,,,,,,,,,,,,,,,,,,,,,GANDHAR_data,
BB_Lower_Touch + Stoch_Oversold,BB_Lower_Touch + Stoch_Oversold,combo_2,19,mean_rev,Bullish,0.8947,0.04452,-0.0448,0.035115,8.75,0.03512,0.956,0.92045,0.8947,0.05168,-0.05059,0.040915,8.989,0.04091,1.235,1.101811,0.8947,0.03406,-0.03344,0.026952,10.462,0.02695,1.461,0.84471,0.034327,0.8947,9.4,1.0,0.96669,5,1.101811,0.23475,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GANDHAR_data,
BB_Lower_Touch,BB_Lower_Touch,single,29,mean_rev,Bullish,0.8966,0.03072,-0.03258,0.024169,9.777,0.02417,0.932,0.803691,0.931,0.03495,-0.05059,0.029046,11.902,0.02905,1.204,1.175846,0.8966,0.02186,-0.02448,0.017065,13.36,0.01707,1.424,0.775433,0.023427,0.908,11.68,0.9655,0.898533,5,1.175846,0.05331,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GANDHAR_data,
