SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Golden_Cross_State + BB_Lower_Touch,Golden_Cross_State + BB_Lower_Touch,combo_2,36,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.040738,0.9722,2511.944,1.0,369.508586,30,1328.433544,0.03307,1,0.9722,0.02621,-0.1533,0.021225,10.752,0.02122,2.844,0.824037,,,,,,,,,0.9722,0.0572,-0.13183,0.051949,23.104,0.05195,4.022,4.333933,0.9722,0.05045,-0.0004,0.04904,7501.977,0.04904,4.926,1328.433544,,,,,,,,,GANGESSECU_data,
RSI_Oversold + Golden_Cross_State,RSI_Oversold + Golden_Cross_State,combo_2,16,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.041605,0.9375,1279.851,1.0,150.862633,30,888.715472,0.33842,0,0.9375,0.01555,-0.1533,0.004993,3.147,0.00499,3.491,0.044513,,,,,,,,,0.9375,0.0492,-0.13183,0.037882,8.253,0.03788,4.937,0.885823,0.9375,0.08743,-0.0004,0.08194,3828.152,0.08194,6.046,888.715472,,,,,,,,,GANGESSECU_data,
CMF_Positive + CDL_Harami_Bull,CMF_Positive + CDL_Harami_Bull,combo_2,16,momentum,Bullish,,,,,,,,,0.9375,0.00698,-0.00506,0.006223,53.651,0.00622,2.241,0.945996,,,,,,,,,0.02068,0.9583,49.879,0.9375,2.739729,15,3.355853,0.11919,0,1.0,0.03013,0.0,0.030125,,0.03013,3.169,0.085351,0.9375,0.02854,-0.01701,0.02569,46.107,0.02569,3.881,3.355853,,,,,,,,,,,,,,,,,,,,,,,,,GANGESSECU_data,
Golden_Cross_State + Williams_Oversold,Golden_Cross_State + Williams_Oversold,combo_2,190,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.041436,0.9439,11.905,0.9789,2.536469,30,4.243206,1e-05,1,0.9368,0.02789,-0.09974,0.019825,6.635,0.01982,2.748,0.690864,,,,,,,,,0.9368,0.05524,-0.07551,0.046981,15.032,0.04698,3.886,3.7092,0.9579,0.0665,-0.14709,0.057502,14.049,0.0575,4.759,4.243206,,,,,,,,,GANGESSECU_data,
MACD_Bullish_State + Stoch_Oversold,MACD_Bullish_State + Stoch_Oversold,combo_2,24,momentum,Bullish,,,,,,,,,0.875,0.01994,-0.03149,0.013508,6.531,0.01351,1.989,0.283979,,,,,,,,,0.028888,0.9167,26.662,0.9167,2.272581,15,6.570566,0.18156,0,0.9167,0.02698,-0.01382,0.023578,32.281,0.02358,2.812,2.449961,0.9583,0.05323,-0.03445,0.049577,41.174,0.04958,3.444,6.570566,,,,,,,,,,,,,,,,,,,,,,,,,GANGESSECU_data,
MACD_Hist_Positive + Stoch_Oversold,MACD_Hist_Positive + Stoch_Oversold,combo_2,24,momentum,Bullish,,,,,,,,,0.875,0.01994,-0.03149,0.013508,6.531,0.01351,1.989,0.283979,,,,,,,,,0.028888,0.9167,26.662,0.9167,2.272581,15,6.570566,0.18156,0,0.9167,0.02698,-0.01382,0.023578,32.281,0.02358,2.812,2.449961,0.9583,0.05323,-0.03445,0.049577,41.174,0.04958,3.444,6.570566,,,,,,,,,,,,,,,,,,,,,,,,,GANGESSECU_data,
Stoch_Bull_Zone + Williams_Oversold,Stoch_Bull_Zone + Williams_Oversold,combo_2,66,momentum,Bullish,,,,,,,,,0.9697,0.01189,-0.05696,0.009805,15.661,0.0098,1.826,0.645645,,,,,,,,,0.025465,0.9545,19.933,0.9697,2.069552,10,3.400137,0.01293,1,0.9394,0.03601,-0.02743,0.032162,25.143,0.03216,2.582,3.400137,0.9545,0.03915,-0.06477,0.034428,18.993,0.03443,3.162,2.749474,,,,,,,,,,,,,,,,,,,,,,,,,GANGESSECU_data,
CMF_Positive + Williams_Oversold,CMF_Positive + Williams_Oversold,combo_2,39,momentum,Bullish,,,,,,,,,0.8462,0.0165,-0.07959,0.001718,1.753,0.00172,2.044,0.011114,,,,,,,,,0.032524,0.9316,18.847,0.8718,1.9713,15,7.27278,0.03571,1,0.9744,0.04001,-0.09404,0.036572,21.53,0.03657,2.891,2.904637,0.9744,0.06337,-0.09617,0.059281,33.258,0.05928,3.54,7.27278,,,,,,,,,,,,,,,,,,,,,,,,,GANGESSECU_data,
Golden_Cross_State + Stoch_Oversold,Golden_Cross_State + Stoch_Oversold,combo_2,110,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.041842,0.9303,9.645,0.9273,1.762393,30,4.308757,0.00043,1,0.9364,0.01893,-0.11033,0.0107,4.854,0.0107,2.76,0.244618,,,,,,,,,0.8909,0.06895,-0.0744,0.05331,9.208,0.05331,3.903,2.311899,0.9636,0.06969,-0.15519,0.061514,14.873,0.06151,4.78,4.308757,,,,,,,,,GANGESSECU_data,
MACD_Hist_Rising + Williams_Oversold,MACD_Hist_Rising + Williams_Oversold,combo_2,63,momentum,Bullish,,,,,,,,,0.9206,0.00651,-0.02853,0.003732,8.869,0.00373,1.813,0.137649,,,,,,,,,0.033674,0.9365,11.802,0.9683,1.600314,15,4.123756,0.03575,1,0.9365,0.05135,-0.09984,0.041751,8.683,0.04175,2.563,1.507689,0.9524,0.06235,-0.08066,0.05554,17.853,0.05554,3.139,4.123756,,,,,,,,,,,,,,,,,,,,,,,,,GANGESSECU_data,
