SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
STRAT_BB_RSI_Oversold_Bounce,BB_Lower_Touch + RSI_Oversold,combo_2,13,mean_rev,Bullish,0.9231,0.03357,-0.05417,0.026821,9.752,0.02682,1.258,0.690228,0.9231,0.03606,-0.04434,0.029879,15.306,0.02988,1.624,1.206907,0.9231,0.03804,-0.08182,0.028817,9.049,0.02882,1.922,0.688199,0.028506,0.9231,11.369,1.0,0.855261,5,1.206907,0.09425,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBECIVIL_data,
RSI_Oversold + BB_Lower_Touch,RSI_Oversold + BB_Lower_Touch,combo_2,13,mean_rev,Bullish,0.9231,0.03357,-0.05417,0.026821,9.752,0.02682,1.258,0.690228,0.9231,0.03606,-0.04434,0.029879,15.306,0.02988,1.624,1.206907,0.9231,0.03804,-0.08182,0.028817,9.049,0.02882,1.922,0.688199,0.028506,0.9231,11.369,1.0,0.855261,5,1.206907,0.09425,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBECIVIL_data,
RSI_Oversold,RSI_Oversold,single,28,mean_rev,Bullish,0.8929,0.02955,-0.0532,0.020681,8.387,0.02068,1.309,0.58407,0.8929,0.04084,-0.07561,0.028367,6.576,0.02837,1.689,0.628109,0.9286,0.03692,-0.10678,0.026659,6.687,0.02666,1.999,0.600279,0.025236,0.9048,7.217,0.9643,0.591333,5,0.628109,0.00709,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBECIVIL_data,
RSI_Oversold + CCI_Oversold,RSI_Oversold + CCI_Oversold,combo_2,28,mean_rev,Bullish,0.8929,0.02955,-0.0532,0.020681,8.387,0.02068,1.309,0.58407,0.8929,0.04084,-0.07561,0.028367,6.576,0.02837,1.689,0.628109,0.9286,0.03692,-0.10678,0.026659,6.687,0.02666,1.999,0.600279,0.025236,0.9048,7.217,0.9643,0.591333,5,0.628109,0.00709,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBECIVIL_data,
RSI_Oversold + Williams_Oversold,RSI_Oversold + Williams_Oversold,combo_2,28,mean_rev,Bullish,0.8929,0.02955,-0.0532,0.020681,8.387,0.02068,1.309,0.58407,0.8929,0.04084,-0.07561,0.028367,6.576,0.02837,1.689,0.628109,0.9286,0.03692,-0.10678,0.026659,6.687,0.02666,1.999,0.600279,0.025236,0.9048,7.217,0.9643,0.591333,5,0.628109,0.00709,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBECIVIL_data,
RSI_Oversold + Stoch_Oversold,RSI_Oversold + Stoch_Oversold,combo_2,24,mean_rev,Bullish,0.9167,0.01996,-0.0467,0.014407,10.668,0.01441,1.331,0.494735,0.875,0.02834,-0.07561,0.01535,4.698,0.01535,1.718,0.232128,0.9167,0.03352,-0.10678,0.021828,5.645,0.02183,2.033,0.396608,0.017195,0.9028,7.004,0.9583,0.371493,3,0.494735,0.02117,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBECIVIL_data,
BB_Lower_Touch + Stoch_Oversold,BB_Lower_Touch + Stoch_Oversold,combo_2,22,mean_rev,Bullish,0.9091,0.01015,-0.05998,0.003774,4.559,0.00377,1.17,0.053952,0.9091,0.01157,-0.04315,0.006593,8.434,0.00659,1.511,0.174347,0.9091,0.01132,-0.07832,0.003171,4.843,0.00317,1.787,0.048161,0.004513,0.9091,5.945,1.0,0.084128,5,0.174347,0.03558,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBECIVIL_data,
MACD_Hist_Rising + Stoch_Oversold,MACD_Hist_Rising + Stoch_Oversold,combo_2,22,momentum,Bullish,,,,,,,,,0.6364,0.01947,-0.08647,-0.019056,0.587,-0.01906,1.676,-0.05975,,,,,,,,,0.00815,0.7576,2.241,0.8182,0.046853,10,0.27622,0.2163,0,0.8182,0.04495,-0.06652,0.024679,3.57,0.02468,2.371,0.27622,0.8182,0.0503,-0.1228,0.018828,2.566,0.01883,2.904,0.151457,,,,,,,,,,,,,,,,,,,,,,,,,GLOBECIVIL_data,
MACD_Hist_Rising + CCI_Oversold,MACD_Hist_Rising + CCI_Oversold,combo_2,27,momentum,Bullish,,,,,,,,,0.6667,0.04547,-0.08266,0.002759,1.429,0.00276,1.779,0.013134,,,,,,,,,0.006286,0.7901,2.381,0.7778,0.038797,10,0.115511,0.02801,1,0.8148,0.0404,-0.10418,0.013629,2.543,0.01363,2.515,0.115511,0.8889,0.02365,-0.16693,0.00247,3.172,0.00247,3.081,0.026111,,,,,,,,,,,,,,,,,,,,,,,,,GLOBECIVIL_data,
BB_Lower_Touch + CCI_Oversold,BB_Lower_Touch + CCI_Oversold,combo_2,27,mean_rev,Bullish,0.9259,0.01049,-0.05998,0.005269,5.305,0.00527,1.229,0.093151,0.9259,0.00499,-0.04315,0.001426,8.694,0.00143,1.587,0.041317,0.9259,0.00308,-0.07832,-0.00295,4.843,-0.00295,1.878,-0.047608,0.001249,0.9259,6.281,1.0,0.026131,3,0.093151,0.00938,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBECIVIL_data,
