SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
RSI_Oversold + OBV_Trend_Bull,RSI_Oversold + OBV_Trend_Bull,combo_2,30,momentum,Bullish,,,,,,,,,0.7667,0.05911,0.00078,0.045496,33.506,0.0455,3.703,5.234747,,,,,,,,,0.080446,0.9,33.506,0.8,7.40488,5,5.234747,0.0069,1,0.9667,0.07557,0.08721,0.075954,,0.07595,5.237,0.260826,0.9667,0.12149,0.07338,0.119888,,0.11989,6.414,0.411694,,,,,,,,,,,,,,,,,,,,,,,,,GRMOVER_data,
RSI_Oversold + Stoch_Bull_Zone,RSI_Oversold + Stoch_Bull_Zone,combo_2,20,momentum,Bullish,,,,,,,,,0.85,0.03339,-0.01832,0.025637,12.302,0.02564,3.422,0.960234,,,,,,,,,0.053089,0.9,42.27,0.9,6.148916,10,13.827875,0.05456,1,0.9,0.07014,-0.00252,0.062874,72.237,0.06287,4.84,13.827875,0.95,0.07062,0.07338,0.070756,,0.07076,5.928,0.215418,,,,,,,,,,,,,,,,,,,,,,,,,GRMOVER_data,
Price_Above_EMA200 + CMF_Strong_Bull,Price_Above_EMA200 + CMF_Strong_Bull,combo_2,126,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.063687,0.8836,16.672,0.9603,4.939426,30,13.006287,0.00015,1,0.8651,0.04213,-0.04525,0.030344,7.59,0.03034,2.366,1.115752,,,,,,,,,0.881,0.07313,-0.03901,0.059783,15.825,0.05978,3.346,4.582885,0.9048,0.11627,-0.04476,0.100932,26.601,0.10093,4.099,13.006287,,,,,,,,,GRMOVER_data,
RSI_Oversold + MACD_Bullish_State,RSI_Oversold + MACD_Bullish_State,combo_2,21,momentum,Bullish,,,,,,,,,0.9048,0.05655,-0.03179,0.048135,16.972,0.04813,2.502,2.525155,,,,,,,,,0.074051,0.9683,16.972,0.9048,3.514758,5,2.525155,0.00663,1,1.0,0.06496,0.0,0.064958,,0.06496,3.539,0.200787,1.0,0.10906,0.0,0.10906,,0.10906,4.334,0.33711,,,,,,,,,,,,,,,,,,,,,,,,,GRMOVER_data,
RSI_Oversold + MACD_Hist_Positive,RSI_Oversold + MACD_Hist_Positive,combo_2,21,momentum,Bullish,,,,,,,,,0.9048,0.05655,-0.03179,0.048135,16.972,0.04813,2.502,2.525155,,,,,,,,,0.074051,0.9683,16.972,0.9048,3.514758,5,2.525155,0.00663,1,1.0,0.06496,0.0,0.064958,,0.06496,3.539,0.200787,1.0,0.10906,0.0,0.10906,,0.10906,4.334,0.33711,,,,,,,,,,,,,,,,,,,,,,,,,GRMOVER_data,
Golden_Cross_State + CMF_Strong_Bull,Golden_Cross_State + CMF_Strong_Bull,combo_2,93,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.04717,0.8566,10.914,0.9677,2.26343,30,4.023423,0.0206,1,0.8602,0.03687,-0.03641,0.026629,8.155,0.02663,2.404,0.986582,,,,,,,,,0.8387,0.06865,-0.03901,0.051286,10.661,0.05129,3.4,2.48411,0.871,0.07965,-0.04476,0.063596,13.925,0.0636,4.164,4.023423,,,,,,,,,GRMOVER_data,
Price_Above_EMA200 + BB_Expansion_Bull,Price_Above_EMA200 + BB_Expansion_Bull,combo_2,59,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.058001,0.9661,10.033,0.8983,2.140383,10,1.650711,0.0,1,0.8983,0.05084,-0.05396,0.040182,10.033,0.04018,2.504,1.650711,,,,,,,,,1.0,0.06804,0.0,0.06804,,0.06804,3.541,0.278581,1.0,0.06578,0.0,0.065779,,0.06578,4.337,0.269322,,,,,,,,,GRMOVER_data,
RSI_Oversold + CMF_Positive,RSI_Oversold + CMF_Positive,combo_2,17,momentum,Bullish,,,,,,,,,0.8824,0.032,-0.01908,0.025994,12.707,0.02599,2.671,0.954702,,,,,,,,,0.064883,0.9608,12.707,0.8824,2.10265,5,0.954702,0.01741,1,1.0,0.05964,0.0,0.059643,,0.05964,3.778,0.172391,1.0,0.10901,0.0,0.109012,,0.10901,4.627,0.315086,,,,,,,,,,,,,,,,,,,,,,,,,GRMOVER_data,
Golden_Cross_State + BB_Expansion_Bull,Golden_Cross_State + BB_Expansion_Bull,combo_2,39,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.040665,0.9658,14.879,0.8974,2.002979,10,2.231247,7e-05,1,0.8974,0.04922,-0.03429,0.040653,14.879,0.04065,2.51,2.231247,,,,,,,,,1.0,0.06948,0.0,0.069482,,0.06948,3.55,0.256312,1.0,0.01186,0.0,0.011858,,0.01186,4.348,0.043744,,,,,,,,,GRMOVER_data,
RSI_Oversold + MACD_Hist_Rising,RSI_Oversold + MACD_Hist_Rising,combo_2,52,momentum,Bullish,,,,,,,,,0.8077,0.04103,-0.03714,0.025997,5.665,0.026,3.188,0.58471,,,,,,,,,0.043233,0.8654,12.159,0.9038,1.886445,10,4.077603,0.02215,1,0.8846,0.06087,-0.02134,0.05138,19.989,0.05138,4.509,4.077603,0.9038,0.06361,-0.05383,0.052321,10.825,0.05232,5.522,2.248593,,,,,,,,,,,,,,,,,,,,,,,,,GRMOVER_data,
