SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Golden_Cross_State + BB_Expansion_Bull,Golden_Cross_State + BB_Expansion_Bull,combo_2,45,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.04377,0.9926,89.381,0.9778,14.645801,10,19.253158,0.0,1,0.9778,0.05828,-0.03245,0.056261,89.381,0.05626,2.044,19.253158,,,,,,,,,1.0,0.05073,0.0,0.050729,,0.05073,2.89,0.194223,1.0,0.02432,0.0,0.024321,,0.02432,3.54,0.093117,,,,,,,,,HATHWAY_data,
Golden_Cross_State + BB_Lower_Touch,Golden_Cross_State + BB_Lower_Touch,combo_2,11,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.057096,0.9091,24.682,1.0,3.501823,30,8.622334,0.23119,0,0.9091,0.04495,-0.03415,0.037755,14.144,0.03776,2.199,1.326986,,,,,,,,,0.9091,0.06848,-0.05142,0.057576,14.22,0.05758,3.11,2.034386,0.9091,0.08557,-0.0202,0.075958,45.681,0.07596,3.809,8.622334,,,,,,,,,HATHWAY_data,
Price_Above_EMA200 + BB_Expansion_Bull,Price_Above_EMA200 + BB_Expansion_Bull,combo_2,59,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.038638,0.9605,16.514,0.9831,2.568245,10,4.211982,0.00011,1,0.9661,0.04182,-0.0567,0.038478,26.736,0.03848,1.952,4.211982,,,,,,,,,0.9661,0.04808,-0.12378,0.042258,14.761,0.04226,2.76,2.553895,0.9492,0.0456,-0.15935,0.035179,8.046,0.03518,3.38,1.158954,,,,,,,,,HATHWAY_data,
RSI_Exit_Oversold + Stoch_Bull_Zone,RSI_Exit_Oversold + Stoch_Bull_Zone,combo_2,17,momentum,Bullish,,,,,,,,,0.9412,0.01297,-0.03366,0.010229,9.272,0.01023,1.248,0.274132,,,,,,,,,0.010802,0.902,57.228,0.9412,1.681715,10,5.569922,0.11664,0,0.8824,0.01406,-0.00149,0.012228,157.595,0.01223,1.766,5.569922,0.8824,0.01795,-0.05004,0.00995,4.817,0.00995,2.162,0.138537,,,,,,,,,,,,,,,,,,,,,,,,,HATHWAY_data,
Price_Above_SMA50 + CCI_Oversold,Price_Above_SMA50 + CCI_Oversold,combo_2,10,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.043481,0.9667,15.114,0.9,1.418241,10,1.74597,0.06886,1,0.9,0.05732,-0.03413,0.048175,15.114,0.04818,1.645,1.74597,,,,,,,,,1.0,0.05199,0.0,0.051995,,0.05199,2.326,0.124678,1.0,0.03027,0.0,0.030272,,0.03027,2.849,0.072588,,,,,,,,,HATHWAY_data,
Price_Above_SMA50 + CMF_Positive,Price_Above_SMA50 + CMF_Positive,combo_2,40,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.020486,0.9583,18.403,0.975,1.365042,20,5.046586,0.00089,1,0.95,-0.01324,-0.0594,-0.015553,4.747,-0.01555,1.798,-0.274186,,,,,,,,,0.975,0.03617,-0.05,0.034011,39.956,0.03401,2.543,5.046586,0.95,0.05151,-0.11863,0.043001,10.505,0.043,3.114,1.677446,,,,,,,,,HATHWAY_data,
RSI_Exit_Oversold + OBV_Rising,RSI_Exit_Oversold + OBV_Rising,combo_2,25,momentum,Bullish,,,,,,,,,0.92,0.01259,-0.04781,0.007759,4.587,0.00776,1.314,0.115958,,,,,,,,,0.013991,0.9067,30.541,0.96,1.336497,10,4.639385,0.08741,1,0.88,0.02098,-0.00335,0.018057,78.861,0.01806,1.858,4.639385,0.92,0.02191,-0.05004,0.016158,8.175,0.01616,2.276,0.43037,,,,,,,,,,,,,,,,,,,,,,,,,HATHWAY_data,
Stoch_Oversold + CMF_Positive,Stoch_Oversold + CMF_Positive,combo_2,12,momentum,Bullish,,,,,,,,,0.75,0.02546,-0.03505,0.010333,2.635,0.01033,1.326,0.069841,,,,,,,,,0.035134,0.8056,9.202,0.9167,0.760116,15,2.021142,0.5422,0,0.8333,0.06386,-0.03882,0.04675,8.662,0.04675,1.875,1.038624,0.8333,0.06273,-0.02375,0.048319,16.308,0.04832,2.296,2.021142,,,,,,,,,,,,,,,,,,,,,,,,,HATHWAY_data,
EMA_Bullish_State + BB_Lower_Touch,EMA_Bullish_State + BB_Lower_Touch,combo_2,12,momentum,Bullish,,,,,,,,,0.9167,0.01684,-0.02399,0.013436,10.351,0.01344,1.419,0.356715,,,,,,,,,0.029623,0.9722,10.351,0.9167,0.720952,5,0.356715,0.06343,1,1.0,0.02975,0.0,0.029754,,0.02975,2.006,0.076318,1.0,0.04568,0.0,0.04568,,0.04568,2.457,0.117166,,,,,,,,,,,,,,,,,,,,,,,,,HATHWAY_data,
Golden_Cross_State + CMF_Positive,Golden_Cross_State + CMF_Positive,combo_2,20,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.035596,0.9833,6.74,0.95,0.693876,30,0.199014,0.00463,1,0.95,-0.00871,-0.03837,-0.010189,6.74,-0.01019,1.945,-0.209067,,,,,,,,,1.0,0.05161,0.0,0.051609,,0.05161,2.751,0.157125,1.0,0.06537,0.0,0.065368,,0.06537,3.369,0.199014,,,,,,,,,HATHWAY_data,
