SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Price_Above_SMA50 + MACD_Zero_Cross_Up,Price_Above_SMA50 + MACD_Zero_Cross_Up,combo_2,14,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.03581,0.9286,201.167,0.8571,16.721148,20,28.920578,0.03067,1,0.8571,0.03688,-0.0031,0.031167,90.667,0.03117,1.274,7.652353,,,,,,,,,0.9286,0.03709,-0.00247,0.034266,311.666,0.03427,1.802,28.920578,1.0,0.042,0.0,0.041997,,0.042,2.206,0.113729,,,,,,,,,HEUBACHIND_data,
MACD_Hist_Rising + MACD_Zero_Cross_Up,MACD_Hist_Rising + MACD_Zero_Cross_Up,combo_2,16,momentum,Bullish,,,,,,,,,0.875,0.02754,-0.00403,0.023597,55.887,0.0236,0.863,3.736294,,,,,,,,,0.022501,0.8958,109.196,0.9375,6.526208,10,7.711792,0.10769,0,0.875,0.03332,-0.0031,0.028771,94.608,0.02877,1.221,7.711792,0.9375,0.01631,-0.00247,0.015136,177.093,0.01514,1.495,7.594387,,,,,,,,,,,,,,,,,,,,,,,,,HEUBACHIND_data,
EMA_Bullish_State + MACD_Zero_Cross_Up,EMA_Bullish_State + MACD_Zero_Cross_Up,combo_2,12,momentum,Bullish,,,,,,,,,0.8333,0.02649,-0.00403,0.021403,40.159,0.0214,0.83,2.204658,,,,,,,,,0.026737,0.8611,97.022,0.9167,6.099084,15,11.31207,0.22943,0,0.8333,0.04018,-0.0031,0.032964,80.245,0.03296,1.174,6.784873,0.9167,0.02842,-0.00247,0.025842,170.661,0.02584,1.438,11.31207,,,,,,,,,,,,,,,,,,,,,,,,,HEUBACHIND_data,
OBV_Rising + CDL_Bullish3Outside,OBV_Rising + CDL_Bullish3Outside,combo_2,14,momentum,Bullish,,,,,,,,,0.9231,0.01395,-0.04353,0.009529,6.744,0.00953,1.118,0.174045,,,,,,,,,0.024458,0.8974,97.743,0.9231,5.975909,15,22.551967,0.19093,0,0.8462,0.03132,-0.00116,0.026326,64.524,0.02633,1.581,4.600068,0.9231,0.04094,-0.00357,0.037519,221.96,0.03752,1.936,22.551967,,,,,,,,,,,,,,,,,,,,,,,,,HEUBACHIND_data,
EMA_Bullish_State + CCI_Oversold,EMA_Bullish_State + CCI_Oversold,combo_2,66,momentum,Bullish,,,,,,,,,0.8788,0.02735,-0.05992,0.016775,4.591,0.01678,1.172,0.323816,,,,,,,,,0.054877,0.9192,22.395,0.9394,4.854343,10,10.724284,0.00042,1,0.9394,0.06844,-0.02874,0.06255,40.776,0.06255,1.657,10.724284,0.9394,0.09556,-0.07359,0.085306,21.819,0.08531,2.029,7.826097,,,,,,,,,,,,,,,,,,,,,,,,,HEUBACHIND_data,
RSI_Bull_Momentum + CDL_Engulfing_Bull,RSI_Bull_Momentum + CDL_Engulfing_Bull,combo_2,21,momentum,Bullish,,,,,,,,,0.8095,0.02382,-0.02629,0.014273,4.517,0.01427,0.875,0.199295,,,,,,,,,0.011007,0.9048,156.601,0.8571,4.5671,15,10.725017,0.03929,1,0.9524,0.00769,-0.00204,0.007223,164.246,0.00722,1.238,3.667312,0.9524,0.01223,-0.00247,0.011526,301.04,0.01153,1.516,10.725017,,,,,,,,,,,,,,,,,,,,,,,,,HEUBACHIND_data,
EMA_Bullish_State + BB_Lower_Touch,EMA_Bullish_State + BB_Lower_Touch,combo_2,24,momentum,Bullish,,,,,,,,,0.8333,0.04354,-0.06479,0.02548,4.494,0.02548,1.26,0.368622,,,,,,,,,0.093349,0.9306,17.179,0.8333,4.301651,15,14.006531,0.00471,1,1.0,0.10886,0.0,0.10886,,0.10886,1.781,0.350407,0.9583,0.15762,-0.12834,0.145706,29.864,0.14571,2.182,14.006531,,,,,,,,,,,,,,,,,,,,,,,,,HEUBACHIND_data,
Price_Above_SMA50 + CCI_Oversold,Price_Above_SMA50 + CCI_Oversold,combo_2,17,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.071475,0.9412,21.799,0.8824,3.973588,20,9.2993,0.01445,1,0.8824,0.05558,-0.05114,0.043022,9.78,0.04302,1.494,1.21609,,,,,,,,,0.9412,0.10458,-0.05589,0.095136,33.818,0.09514,2.113,9.2993,1.0,0.07627,0.0,0.076266,,0.07627,2.588,0.220436,,,,,,,,,HEUBACHIND_data,
MACD_Zero_Cross_Up + OBV_Rising,MACD_Zero_Cross_Up + OBV_Rising,combo_2,15,momentum,Bullish,,,,,,,,,0.8667,0.02261,-0.00403,0.019059,45.477,0.01906,0.848,2.403203,,,,,,,,,0.017449,0.8889,85.956,0.9333,3.881289,10,5.392892,0.13076,0,0.8667,0.02866,-0.0031,0.024429,79.622,0.02443,1.199,5.392892,0.9333,0.00967,-0.00247,0.00886,132.768,0.00886,1.468,3.261331,,,,,,,,,,,,,,,,,,,,,,,,,HEUBACHIND_data,
EMA_Bullish_State + BB_Lower_Bounce,EMA_Bullish_State + BB_Lower_Bounce,combo_2,10,momentum,Bullish,,,,,,,,,0.9,0.01339,-0.00836,0.011215,31.462,0.01122,1.164,0.846094,,,,,,,,,0.029603,0.9,43.618,1.0,3.096216,15,7.109419,0.32684,0,0.9,0.03138,-0.0098,0.027266,40.481,0.02727,1.647,2.646698,0.9,0.05714,-0.01098,0.050328,58.911,0.05033,2.017,7.109419,,,,,,,,,,,,,,,,,,,,,,,,,HEUBACHIND_data,
RSI_Oversold + BB_Lower_Bounce,RSI_Oversold + BB_Lower_Bounce,combo_2,12,mean_rev,Bullish,0.9167,0.0171,-0.00305,0.015425,105.234,0.01543,0.8,4.163594,0.8333,0.05525,-0.06466,0.035269,4.917,0.03527,1.033,0.444793,0.8333,0.05833,-0.03149,0.043362,10.913,0.04336,1.222,1.213726,0.031352,0.8611,40.355,0.9167,2.974747,3,4.163594,0.38204,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEUBACHIND_data,
Price_Above_SMA50 + Williams_Oversold,Price_Above_SMA50 + Williams_Oversold,combo_2,75,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.034572,0.8711,10.639,0.92,1.465512,30,2.695191,0.00286,1,0.8267,0.03535,-0.04567,0.021309,4.523,0.02131,1.365,0.417437,,,,,,,,,0.88,0.05528,-0.04002,0.043847,11.255,0.04385,1.93,2.137278,0.9067,0.04613,-0.03499,0.038562,16.139,0.03856,2.364,2.695191,,,,,,,,,HEUBACHIND_data,
