SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Stoch_Oversold + CMF_Strong_Bull,Stoch_Oversold + CMF_Strong_Bull,combo_2,19,momentum,Bullish,,,,,,,,,1.0,0.05389,0.0,0.053895,,0.05389,1.887,0.161455,,,,,,,,,0.057393,0.9825,80.216,0.9474,13.066083,10,18.406287,0.02904,1,0.9474,0.0819,-0.01896,0.076595,80.216,0.07659,2.668,18.406287,1.0,0.04169,0.0,0.04169,,0.04169,3.268,0.124891,,,,,,,,,,,,,,,,,,,,,,,,,HITECHCORP_data,
Price_Above_SMA50 + CCI_Exit_Oversold,Price_Above_SMA50 + CCI_Exit_Oversold,combo_2,11,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.234961,0.7879,17.667,0.9091,9.377329,20,18.951062,0.70675,0,0.8182,0.18511,-0.08134,0.136667,11.239,0.13667,2.335,3.816832,,,,,,,,,0.8182,0.36604,-0.06829,0.287073,26.566,0.28707,3.303,18.951062,0.7273,0.41793,-0.08362,0.281144,15.196,0.28114,4.045,10.616155,,,,,,,,,HITECHCORP_data,
CMF_Positive + Williams_Oversold,CMF_Positive + Williams_Oversold,combo_2,32,momentum,Bullish,,,,,,,,,0.9375,0.03923,-0.05595,0.033284,13.433,0.03328,1.652,1.563362,,,,,,,,,0.042433,0.9479,17.18,0.9688,2.469269,10,4.881287,0.01738,1,0.9688,0.061,-0.09164,0.056234,24.826,0.05623,2.337,4.881287,0.9375,0.04464,-0.06512,0.037781,13.28,0.03778,2.862,1.754341,,,,,,,,,,,,,,,,,,,,,,,,,HITECHCORP_data,
RSI_Cross50_Up + MACD_Cross_Up_Event,RSI_Cross50_Up + MACD_Cross_Up_Event,combo_2,15,momentum,Bullish,,,,,,,,,0.9333,0.0151,-0.00637,0.01367,70.476,0.01367,1.604,2.671094,,,,,,,,,0.027783,0.8889,28.143,0.9333,2.023409,5,2.671094,0.30557,0,0.8667,0.03037,-0.06229,0.018018,4.572,0.01802,2.268,0.228411,0.8667,0.06949,-0.0642,0.051662,9.382,0.05166,2.778,1.34385,,,,,,,,,,,,,,,,,,,,,,,,,HITECHCORP_data,
MACD_Hist_Rising + Williams_Oversold,MACD_Hist_Rising + Williams_Oversold,combo_2,65,momentum,Bullish,,,,,,,,,0.9077,0.02596,-0.05455,0.018528,7.298,0.01853,1.746,0.566527,,,,,,,,,0.039085,0.9385,12.346,0.9538,1.928319,15,3.18209,0.00196,1,0.9538,0.05641,-0.10364,0.049023,14.458,0.04902,2.47,2.969508,0.9538,0.05695,-0.10008,0.049703,15.281,0.0497,3.025,3.18209,,,,,,,,,,,,,,,,,,,,,,,,,HITECHCORP_data,
CMF_Positive + CCI_Oversold,CMF_Positive + CCI_Oversold,combo_2,22,momentum,Bullish,,,,,,,,,0.8182,0.03606,-0.03997,0.022234,5.091,0.02223,1.384,0.3549,,,,,,,,,0.043674,0.8636,15.296,0.9091,1.904186,15,6.075762,0.25446,0,0.8636,0.06669,-0.05767,0.049731,7.985,0.04973,1.958,1.245116,0.9091,0.06715,-0.02192,0.059055,32.812,0.05906,2.398,6.075762,,,,,,,,,,,,,,,,,,,,,,,,,HITECHCORP_data,
OBV_Rising + CDL_Marubozu_Bull,OBV_Rising + CDL_Marubozu_Bull,combo_2,11,momentum,Bullish,,,,,,,,,0.8182,0.04756,-0.0439,0.03093,6.374,0.03093,1.632,0.489882,,,,,,,,,0.065995,0.8182,11.582,1.0,1.899342,10,3.625856,0.71063,0,0.8182,0.11168,-0.03401,0.085192,17.128,0.08519,2.308,3.625856,0.8182,0.1117,-0.0524,0.081862,11.244,0.08186,2.826,2.287337,,,,,,,,,,,,,,,,,,,,,,,,,HITECHCORP_data,
CMF_Strong_Bull + Williams_Oversold,CMF_Strong_Bull + Williams_Oversold,combo_2,19,momentum,Bullish,,,,,,,,,0.9474,0.03318,-0.0479,0.028913,15.979,0.02891,1.7,1.384055,,,,,,,,,0.036701,0.9825,15.979,0.9474,1.664381,5,1.384055,0.0271,1,1.0,0.05425,0.0,0.054248,,0.05425,2.404,0.162512,1.0,0.02694,0.0,0.026942,,0.02694,2.945,0.080712,,,,,,,,,,,,,,,,,,,,,,,,,HITECHCORP_data,
Stoch_Oversold + CMF_Positive,Stoch_Oversold + CMF_Positive,combo_2,32,momentum,Bullish,,,,,,,,,0.9062,0.04876,-0.06283,0.038301,9.834,0.0383,1.89,1.31701,,,,,,,,,0.047251,0.9062,10.627,0.9375,1.645929,15,2.424255,0.07294,1,0.875,0.07384,-0.07319,0.055463,7.598,0.05546,2.673,1.473392,0.9375,0.05553,-0.06512,0.047989,14.448,0.04799,3.274,2.424255,,,,,,,,,,,,,,,,,,,,,,,,,HITECHCORP_data,
Price_Above_SMA20 + CCI_Exit_Oversold,Price_Above_SMA20 + CCI_Exit_Oversold,combo_2,12,momentum,Bullish,,,,,,,,,0.8333,0.07904,-0.06985,0.054224,7.166,0.05422,1.631,0.996605,,,,,,,,,0.09518,0.7778,7.348,0.9167,1.644298,15,2.776489,0.72574,0,0.75,0.15594,-0.08431,0.095874,6.885,0.09587,2.306,1.693095,0.75,0.21038,-0.08938,0.135444,7.992,0.13544,2.824,2.776489,,,,,,,,,,,,,,,,,,,,,,,,,HITECHCORP_data,
