SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
MACD_Hist_Rising + BB_Lower_Bounce,MACD_Hist_Rising + BB_Lower_Bounce,combo_2,20,momentum,Bullish,,,,,,,,,0.95,0.03217,-0.00577,0.03027,122.786,0.03027,1.319,11.315544,,,,,,,,,0.030997,0.9833,122.786,0.95,11.00823,5,11.315544,0.02127,1,1.0,0.03305,0.0,0.033049,,0.03305,1.865,0.100618,1.0,0.02967,0.0,0.029674,,0.02967,2.284,0.090342,,,,,,,,,,,,,,,,,,,,,,,,,HONDAPOWER_data,
CMF_Positive + CDL_Engulfing_Bull,CMF_Positive + CDL_Engulfing_Bull,combo_2,23,momentum,Bullish,,,,,,,,,0.9565,0.03069,-0.02091,0.028447,44.933,0.02845,1.198,4.062107,,,,,,,,,0.040985,0.971,62.175,0.9565,7.746489,15,12.237115,0.01291,1,1.0,0.04603,0.0,0.046026,,0.04603,1.695,0.146273,0.9565,0.05161,-0.02019,0.048484,79.418,0.04848,2.076,12.237115,,,,,,,,,,,,,,,,,,,,,,,,,HONDAPOWER_data,
Price_Above_SMA50 + CDL_Engulfing_Bull,Price_Above_SMA50 + CDL_Engulfing_Bull,combo_2,36,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.052523,0.9259,25.113,0.9722,4.630487,20,11.191373,0.0353,1,0.9167,0.04108,-0.07922,0.031057,7.613,0.03106,1.743,0.853704,,,,,,,,,0.9444,0.06119,-0.02204,0.056568,54.79,0.05657,2.465,11.191373,0.9167,0.08555,-0.10175,0.069946,12.935,0.06995,3.019,3.267078,,,,,,,,,HONDAPOWER_data,
RSI_Oversold + Stoch_Oversold,RSI_Oversold + Stoch_Oversold,combo_2,41,mean_rev,Bullish,0.9024,0.0164,-0.01719,0.013125,13.079,0.01313,1.045,0.641623,0.9268,0.01727,-0.00035,0.015981,159.527,0.01598,1.35,9.529007,0.9512,0.01601,-0.02094,0.014207,27.304,0.01421,1.597,1.449836,0.014438,0.9268,66.636,0.9512,3.42054,5,9.529007,0.02337,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HONDAPOWER_data,
EMA_Bullish_State + BB_Lower_Touch,EMA_Bullish_State + BB_Lower_Touch,combo_2,30,momentum,Bullish,,,,,,,,,0.9667,0.03319,-0.02075,0.031395,60.285,0.03139,1.414,6.499311,,,,,,,,,0.029738,0.9444,26.238,0.9667,2.59015,5,6.499311,0.03044,1,0.9333,0.02826,-0.06492,0.022049,8.412,0.02205,2.0,0.636936,0.9333,0.04402,-0.07974,0.035771,10.017,0.03577,2.449,1.230415,,,,,,,,,,,,,,,,,,,,,,,,,HONDAPOWER_data,
Price_Above_EMA200 + BB_Expansion_Bull,Price_Above_EMA200 + BB_Expansion_Bull,combo_2,188,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.063326,0.844,6.576,0.9894,2.159485,20,3.35887,0.18837,0,0.8404,0.05636,-0.07738,0.035022,4.973,0.03502,1.859,0.912941,,,,,,,,,0.8511,0.10694,-0.09186,0.077335,8.286,0.07733,2.629,3.35887,0.8404,0.11504,-0.11946,0.077622,6.468,0.07762,3.22,2.631564,,,,,,,,,HONDAPOWER_data,
Golden_Cross_State + BB_Expansion_Bull,Golden_Cross_State + BB_Expansion_Bull,combo_2,155,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.063131,0.8602,7.03,0.9613,2.154443,20,3.392506,0.04124,1,0.8645,0.07039,-0.07583,0.050581,7.069,0.05058,1.85,1.805719,,,,,,,,,0.8774,0.10154,-0.10446,0.076292,8.806,0.07629,2.616,3.392506,0.8387,0.10103,-0.13772,0.062521,5.215,0.06252,3.204,1.646473,,,,,,,,,HONDAPOWER_data,
Price_Above_SMA50 + BB_Expansion_Bull,Price_Above_SMA50 + BB_Expansion_Bull,combo_2,228,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.054507,0.8611,6.786,0.9693,1.948226,20,3.069326,0.01287,1,0.8421,0.0499,-0.07272,0.030542,4.804,0.03054,1.859,0.797202,,,,,,,,,0.8684,0.08937,-0.08671,0.066199,8.533,0.0662,2.629,3.069326,0.8728,0.0942,-0.12139,0.06678,7.022,0.06678,3.219,2.54815,,,,,,,,,HONDAPOWER_data,
EMA_Bullish_State + BB_Lower_Bounce,EMA_Bullish_State + BB_Lower_Bounce,combo_2,16,momentum,Bullish,,,,,,,,,0.875,0.0357,-0.00567,0.030531,51.373,0.03053,1.355,4.443868,,,,,,,,,0.027495,0.8958,25.38,0.9375,1.853488,5,4.443868,0.20382,0,0.875,0.03773,-0.06656,0.024697,4.535,0.0247,1.917,0.31734,0.9375,0.03158,-0.03767,0.027256,20.231,0.02726,2.348,1.562297,,,,,,,,,,,,,,,,,,,,,,,,,HONDAPOWER_data,
CMF_Positive + CDL_Harami_Bull,CMF_Positive + CDL_Harami_Bull,combo_2,14,momentum,Bullish,,,,,,,,,0.9286,0.02887,-0.01522,0.025725,32.264,0.02573,1.342,2.24772,,,,,,,,,0.022563,0.9762,32.264,0.9286,1.830606,5,2.24772,0.06797,1,1.0,0.02444,0.0,0.024437,,0.02444,1.898,0.066176,1.0,0.01753,0.0,0.017527,,0.01753,2.324,0.047465,,,,,,,,,,,,,,,,,,,,,,,,,HONDAPOWER_data,
