SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Price_Above_SMA50 + CMF_Strong_Bull,Price_Above_SMA50 + CMF_Strong_Bull,combo_2,81,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.057999,0.8642,7.255,0.9383,1.739899,30,3.980095,0.05513,1,0.8272,0.04132,-0.04448,0.026493,4.87,0.02649,1.324,0.568513,,,,,,,,,0.8889,0.06973,-0.08356,0.052696,7.37,0.0527,1.873,1.711442,0.8765,0.12137,-0.09382,0.094807,9.527,0.09481,2.293,3.980095,,,,,,,,,HYUNDAI_data,
EMA_Bullish_State + CMF_Strong_Bull,EMA_Bullish_State + CMF_Strong_Bull,combo_2,64,momentum,Bullish,,,,,,,,,0.8438,0.02237,-0.03015,0.014166,5.308,0.01417,0.943,0.313906,,,,,,,,,0.030351,0.8854,10.377,0.8906,1.170931,15,3.550451,0.00272,1,0.8594,0.0416,-0.03688,0.030567,7.461,0.03057,1.334,0.951945,0.9531,0.05159,-0.06078,0.04632,18.362,0.04632,1.633,3.550451,,,,,,,,,,,,,,,,,,,,,,,,,HYUNDAI_data,
EMA_Bullish_State + Price_Above_SMA50,EMA_Bullish_State + Price_Above_SMA50,combo_2,114,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.040871,0.8567,5.941,0.9737,1.121831,30,1.800337,0.0267,1,0.8596,0.03189,-0.05869,0.019178,4.67,0.01918,1.407,0.424951,,,,,,,,,0.8684,0.0603,-0.07302,0.042754,6.901,0.04275,1.99,1.399888,0.8421,0.08907,-0.09073,0.060681,6.253,0.06068,2.437,1.800337,,,,,,,,,HYUNDAI_data,
Stoch_Oversold + CCI_Oversold,Stoch_Oversold + CCI_Oversold,combo_2,39,mean_rev,Bullish,0.8205,0.02026,-0.01619,0.013721,7.476,0.01372,0.833,0.378394,0.8974,0.0273,-0.02719,0.021711,12.164,0.02171,1.075,0.974218,0.9744,0.03227,-0.07854,0.029431,21.187,0.02943,1.272,2.300197,0.021621,0.8974,13.609,0.8462,0.918428,7,2.300197,0.00037,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HYUNDAI_data,
Price_Above_SMA50 + CMF_Positive,Price_Above_SMA50 + CMF_Positive,combo_2,104,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.045195,0.8269,4.481,0.9712,0.915262,30,1.823289,0.29833,0,0.8173,0.03559,-0.05749,0.018586,3.44,0.01859,1.357,0.297597,,,,,,,,,0.8462,0.06593,-0.09066,0.041837,4.789,0.04184,1.92,0.932485,0.8173,0.11554,-0.10548,0.075163,5.212,0.07516,2.351,1.823289,,,,,,,,,HYUNDAI_data,
RSI_Bull_Momentum + Price_Above_SMA50,RSI_Bull_Momentum + Price_Above_SMA50,combo_2,119,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.037531,0.8431,4.482,0.9916,0.798491,30,1.228674,0.08991,1,0.8403,0.04104,-0.06142,0.024678,4.248,0.02468,1.374,0.501943,,,,,,,,,0.8403,0.05982,-0.09435,0.035204,4.328,0.0352,1.943,0.729362,0.8487,0.08283,-0.11629,0.052711,4.869,0.05271,2.38,1.228674,,,,,,,,,HYUNDAI_data,
RSI_Oversold,RSI_Oversold,single,12,mean_rev,Bullish,0.8333,0.01746,-0.0319,0.00923,4.821,0.00923,0.877,0.114127,0.9167,0.02829,-0.06088,0.020863,7.75,0.02086,1.132,0.414741,0.9167,0.04916,-0.02664,0.042845,26.934,0.04285,1.34,2.95999,0.024313,0.8889,13.169,0.9167,0.752767,7,2.95999,0.16367,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HYUNDAI_data,
RSI_Oversold + Williams_Oversold,RSI_Oversold + Williams_Oversold,combo_2,12,mean_rev,Bullish,0.8333,0.01746,-0.0319,0.00923,4.821,0.00923,0.877,0.114127,0.9167,0.02829,-0.06088,0.020863,7.75,0.02086,1.132,0.414741,0.9167,0.04916,-0.02664,0.042845,26.934,0.04285,1.34,2.95999,0.024313,0.8889,13.169,0.9167,0.752767,7,2.95999,0.16367,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HYUNDAI_data,
RSI_Oversold + CCI_Oversold,RSI_Oversold + CCI_Oversold,combo_2,12,mean_rev,Bullish,0.8333,0.01746,-0.0319,0.00923,4.821,0.00923,0.877,0.114127,0.9167,0.02829,-0.06088,0.020863,7.75,0.02086,1.132,0.414741,0.9167,0.04916,-0.02664,0.042845,26.934,0.04285,1.34,2.95999,0.024313,0.8889,13.169,0.9167,0.752767,7,2.95999,0.16367,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HYUNDAI_data,
RSI_Bull_Momentum + EMA_Bullish_State,RSI_Bull_Momentum + EMA_Bullish_State,combo_2,92,momentum,Bullish,,,,,,,,,0.8478,0.02809,-0.03991,0.017743,4.8,0.01774,0.986,0.386038,,,,,,,,,0.030033,0.8768,5.388,0.9457,0.693633,15,0.967577,0.01298,1,0.8804,0.04588,-0.06521,0.032596,5.996,0.0326,1.395,0.885835,0.9022,0.05618,-0.11163,0.039761,5.369,0.03976,1.708,0.967577,,,,,,,,,,,,,,,,,,,,,,,,,HYUNDAI_data,
Price_Above_EMA200 + BB_Expansion_Bull,Price_Above_EMA200 + BB_Expansion_Bull,combo_2,13,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.035459,0.9487,7.976,0.9231,0.689011,10,0.544411,0.07417,1,0.9231,0.03203,-0.04819,0.025863,7.976,0.02586,1.604,0.544411,,,,,,,,,0.9231,0.08703,0.00845,0.080987,,0.08099,2.268,0.213728,1.0,-0.00047,0.0,-0.000471,,-0.00047,2.778,-0.001242,,,,,,,,,HYUNDAI_data,
Golden_Cross_State + BB_Expansion_Bull,Golden_Cross_State + BB_Expansion_Bull,combo_2,13,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.035459,0.9487,7.976,0.9231,0.689011,10,0.544411,0.07417,1,0.9231,0.03203,-0.04819,0.025863,7.976,0.02586,1.604,0.544411,,,,,,,,,0.9231,0.08703,0.00845,0.080987,,0.08099,2.268,0.213728,1.0,-0.00047,0.0,-0.000471,,-0.00047,2.778,-0.001242,,,,,,,,,HYUNDAI_data,
Price_Above_SMA50 + Stoch_Cross_Up,Price_Above_SMA50 + Stoch_Cross_Up,combo_2,14,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.041606,0.8095,6.109,0.9286,0.639117,30,1.054594,0.54069,0,0.7857,0.04201,-0.05988,0.020179,2.968,0.02018,1.415,0.162195,,,,,,,,,0.8571,0.05563,-0.04582,0.041135,9.226,0.04114,2.001,1.027716,0.7857,0.0996,-0.06886,0.063503,6.132,0.0635,2.45,1.054594,,,,,,,,,HYUNDAI_data,
RSI_Bull_Momentum + Stoch_Cross_Up,RSI_Bull_Momentum + Stoch_Cross_Up,combo_2,20,momentum,Bullish,,,,,,,,,0.85,0.02612,-0.03507,0.01694,5.088,0.01694,0.97,0.262396,,,,,,,,,0.022777,0.8833,9.254,0.95,0.609647,15,1.51391,0.20049,0,0.9,0.02735,-0.04722,0.019896,6.887,0.0199,1.372,0.41714,0.9,0.03831,-0.02979,0.031495,15.788,0.0315,1.681,1.51391,,,,,,,,,,,,,,,,,,,,,,,,,HYUNDAI_data,
Stoch_Bull_Zone + CCI_Exit_Oversold,Stoch_Bull_Zone + CCI_Exit_Oversold,combo_2,15,momentum,Bullish,,,,,,,,,0.8667,0.02139,-0.02417,0.015319,7.699,0.01532,0.958,0.327011,,,,,,,,,0.017567,0.9111,14.269,0.8667,0.602331,10,0.72391,0.06743,1,0.8667,0.01555,-0.00709,0.012529,20.839,0.01253,1.355,0.72391,1.0,0.02485,0.0,0.024853,,0.02485,1.659,0.068907,,,,,,,,,,,,,,,,,,,,,,,,,HYUNDAI_data,
Price_Above_SMA50,Price_Above_SMA50,single,142,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.029356,0.8216,3.995,0.993,0.577906,30,1.022852,0.17444,0,0.8239,0.03002,-0.05825,0.014482,3.459,0.01448,1.387,0.248613,,,,,,,,,0.8239,0.05024,-0.08036,0.027251,4.077,0.02725,1.962,0.551424,0.8169,0.07857,-0.0975,0.046335,4.448,0.04634,2.403,1.022852,,,,,,,,,HYUNDAI_data,
RSI_Bull_Momentum + CMF_Strong_Bull,RSI_Bull_Momentum + CMF_Strong_Bull,combo_2,74,momentum,Bullish,,,,,,,,,0.8108,0.02165,-0.02717,0.012417,4.394,0.01242,0.934,0.235579,,,,,,,,,0.026757,0.8604,5.49,0.9054,0.574192,10,0.900808,0.05398,1,0.8649,0.0443,-0.04708,0.031951,6.53,0.03195,1.321,0.900808,0.9054,0.05011,-0.10013,0.035902,5.545,0.0359,1.617,0.859479,,,,,,,,,,,,,,,,,,,,,,,,,HYUNDAI_data,
Price_Above_SMA50 + Stoch_Bull_Zone,Price_Above_SMA50 + Stoch_Bull_Zone,combo_2,38,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.030376,0.8684,5.427,0.9474,0.572205,30,0.842423,0.16359,0,0.8421,0.0382,-0.05408,0.023627,4.622,0.02363,1.388,0.400049,,,,,,,,,0.8947,0.03692,-0.0761,0.025027,6.247,0.02503,1.963,0.572768,0.8684,0.06587,-0.11193,0.042474,5.414,0.04247,2.405,0.842423,,,,,,,,,HYUNDAI_data,
Price_Above_SMA50 + VWAP_Bull,Price_Above_SMA50 + VWAP_Bull,combo_2,120,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.031785,0.8111,3.806,0.975,0.565704,30,0.985984,0.3889,0,0.8083,0.03316,-0.05867,0.015564,3.179,0.01556,1.384,0.237268,,,,,,,,,0.825,0.05676,-0.08798,0.031431,3.989,0.03143,1.957,0.601257,0.8,0.08471,-0.09704,0.04836,4.251,0.04836,2.396,0.985984,,,,,,,,,HYUNDAI_data,
