SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Price_Above_SMA50 + CCI_Oversold,Price_Above_SMA50 + CCI_Oversold,combo_2,31,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.073333,0.871,19.485,0.8387,4.153442,30,18.852574,0.04624,1,0.7742,0.05966,-0.08615,0.026733,2.76,0.02673,2.416,0.255747,,,,,,,,,0.9032,0.09099,-0.09402,0.073083,10.433,0.07308,3.416,2.642518,0.9355,0.13196,-0.05061,0.120183,45.262,0.12018,4.184,18.852574,,,,,,,,,IDEA_data,
RSI_Cross50_Up + EMA_Bullish_State,RSI_Cross50_Up + EMA_Bullish_State,combo_2,27,momentum,Bullish,,,,,,,,,0.8519,0.04295,-0.02853,0.032356,11.172,0.03236,1.632,1.204491,,,,,,,,,0.054495,0.8765,16.996,0.963,2.972011,15,5.913362,0.11981,0,0.8889,0.06925,-0.04365,0.056704,15.973,0.0567,2.308,3.018042,0.8889,0.08897,-0.04196,0.074424,23.844,0.07442,2.827,5.913362,,,,,,,,,,,,,,,,,,,,,,,,,IDEA_data,
BB_Expansion_Bull + CMF_Positive,BB_Expansion_Bull + CMF_Positive,combo_2,49,momentum,Bullish,,,,,,,,,0.9796,0.02116,-0.03483,0.020021,42.68,0.02002,1.866,3.342834,,,,,,,,,0.014413,0.9932,42.68,0.9796,2.357405,5,3.342834,0.0,1,1.0,0.02432,0.0,0.024317,,0.02432,2.639,0.095129,1.0,-0.0011,0.0,-0.001098,,-0.0011,3.232,-0.004297,,,,,,,,,,,,,,,,,,,,,,,,,IDEA_data,
STRAT_BB_RSI_Oversold_Bounce,BB_Lower_Touch + RSI_Oversold,combo_2,17,mean_rev,Bullish,0.8824,0.06418,-0.02943,0.053169,16.805,0.05317,1.654,2.582502,1.0,0.06764,0.0,0.067642,,0.06764,2.135,0.195512,0.9412,0.07186,-0.12162,0.06048,11.704,0.06048,2.526,2.046068,0.060431,0.9412,14.255,0.8824,2.19688,3,2.582502,0.0177,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDEA_data,
RSI_Oversold + BB_Lower_Touch,RSI_Oversold + BB_Lower_Touch,combo_2,17,mean_rev,Bullish,0.8824,0.06418,-0.02943,0.053169,16.805,0.05317,1.654,2.582502,1.0,0.06764,0.0,0.067642,,0.06764,2.135,0.195512,0.9412,0.07186,-0.12162,0.06048,11.704,0.06048,2.526,2.046068,0.060431,0.9412,14.255,0.8824,2.19688,3,2.582502,0.0177,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDEA_data,
Price_Above_SMA50 + Williams_Oversold,Price_Above_SMA50 + Williams_Oversold,combo_2,56,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.057962,0.869,10.174,0.875,2.086085,30,5.630759,0.01005,1,0.8036,0.03944,-0.06815,0.018305,3.259,0.01831,2.433,0.241188,,,,,,,,,0.875,0.09271,-0.07477,0.071774,10.644,0.07177,3.44,3.08864,0.9286,0.09789,-0.09925,0.083806,16.618,0.08381,4.213,5.630759,,,,,,,,,IDEA_data,
Price_Above_EMA200 + CDL_Engulfing_Bull,Price_Above_EMA200 + CDL_Engulfing_Bull,combo_2,21,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.080959,0.9048,8.531,0.9048,1.931494,30,3.465534,0.0681,1,0.8571,0.05916,-0.11034,0.034943,4.296,0.03494,2.271,0.464061,,,,,,,,,0.9048,0.12877,-0.14362,0.102832,10.629,0.10283,3.211,3.378391,0.9524,0.12555,-0.30392,0.105101,10.667,0.1051,3.933,3.465534,,,,,,,,,IDEA_data,
Price_Above_EMA200 + CCI_Exit_Oversold,Price_Above_EMA200 + CCI_Exit_Oversold,combo_2,21,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.076852,0.8254,8.364,0.9524,1.892374,20,3.622013,0.33358,0,0.8571,0.07457,-0.07518,0.053174,6.323,0.05317,2.599,1.039196,,,,,,,,,0.8095,0.12663,-0.04521,0.0939,12.479,0.0939,3.675,3.622013,0.8095,0.13018,-0.11496,0.083483,6.292,0.08348,4.501,1.62354,,,,,,,,,IDEA_data,
Golden_Cross_State + CDL_Engulfing_Bull,Golden_Cross_State + CDL_Engulfing_Bull,combo_2,17,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.084883,0.9216,7.869,0.9412,1.817063,20,3.234441,0.10424,0,0.8824,0.07113,-0.14937,0.045191,4.594,0.04519,2.38,0.600035,,,,,,,,,0.9412,0.13173,-0.26144,0.108599,10.304,0.1086,3.366,3.234441,0.9412,0.12616,-0.30392,0.10086,8.709,0.10086,4.122,2.538893,,,,,,,,,IDEA_data,
MACD_Zero_Cross_Up + OBV_Trend_Bull,MACD_Zero_Cross_Up + OBV_Trend_Bull,combo_2,18,momentum,Bullish,,,,,,,,,1.0,0.04472,0.0,0.044716,,0.04472,1.528,0.131662,,,,,,,,,0.071023,0.9259,8.95,0.8333,1.55976,10,2.345565,0.01426,1,0.9444,0.07876,-0.1465,0.066249,12.025,0.06625,2.161,2.345565,0.8333,0.14916,-0.13318,0.102104,5.876,0.1021,2.647,1.766597,,,,,,,,,,,,,,,,,,,,,,,,,IDEA_data,
RSI_Bull_Momentum + MACD_Zero_Cross_Up,RSI_Bull_Momentum + MACD_Zero_Cross_Up,combo_2,19,momentum,Bullish,,,,,,,,,1.0,0.04321,0.0,0.043214,,0.04321,1.53,0.129458,,,,,,,,,0.066796,0.9298,8.963,0.8421,1.51026,10,2.272275,0.01124,1,0.9474,0.07459,-0.1465,0.062951,12.049,0.06295,2.164,2.272275,0.8421,0.13686,-0.13318,0.094221,5.876,0.09422,2.65,1.658615,,,,,,,,,,,,,,,,,,,,,,,,,IDEA_data,
MACD_Zero_Cross_Up,MACD_Zero_Cross_Up,single,19,momentum,Bullish,,,,,,,,,1.0,0.04321,0.0,0.043214,,0.04321,1.53,0.129458,,,,,,,,,0.066796,0.9298,8.963,0.8421,1.51026,10,2.272275,0.01124,1,0.9474,0.07459,-0.1465,0.062951,12.049,0.06295,2.164,2.272275,0.8421,0.13686,-0.13318,0.094221,5.876,0.09422,2.65,1.658615,,,,,,,,,,,,,,,,,,,,,,,,,IDEA_data,
Price_Above_SMA20 + MACD_Zero_Cross_Up,Price_Above_SMA20 + MACD_Zero_Cross_Up,combo_2,19,momentum,Bullish,,,,,,,,,1.0,0.04321,0.0,0.043214,,0.04321,1.53,0.129458,,,,,,,,,0.066796,0.9298,8.963,0.8421,1.51026,10,2.272275,0.01124,1,0.9474,0.07459,-0.1465,0.062951,12.049,0.06295,2.164,2.272275,0.8421,0.13686,-0.13318,0.094221,5.876,0.09422,2.65,1.658615,,,,,,,,,,,,,,,,,,,,,,,,,IDEA_data,
Price_Above_SMA50 + Price_Above_EMA200,Price_Above_SMA50 + Price_Above_EMA200,combo_2,371,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.049348,0.8706,5.354,0.965,1.509149,30,2.162058,0.0,1,0.8518,0.04826,-0.08854,0.02798,4.552,0.02798,2.386,0.753937,,,,,,,,,0.8733,0.07692,-0.11931,0.052062,6.139,0.05206,3.374,1.891774,0.8868,0.10119,-0.19195,0.068004,5.371,0.068,4.132,2.162058,,,,,,,,,IDEA_data,
MACD_Bullish_State + MACD_Zero_Cross_Up,MACD_Bullish_State + MACD_Zero_Cross_Up,combo_2,17,momentum,Bullish,,,,,,,,,1.0,0.04566,0.0,0.045662,,0.04566,1.577,0.131979,,,,,,,,,0.068044,0.9216,8.353,0.8235,1.352899,10,2.077366,0.01808,1,0.9412,0.07686,-0.1465,0.063722,11.279,0.06372,2.23,2.077366,0.8235,0.14359,-0.13318,0.094749,5.427,0.09475,2.732,1.486222,,,,,,,,,,,,,,,,,,,,,,,,,IDEA_data,
MACD_Hist_Positive + MACD_Zero_Cross_Up,MACD_Hist_Positive + MACD_Zero_Cross_Up,combo_2,17,momentum,Bullish,,,,,,,,,1.0,0.04566,0.0,0.045662,,0.04566,1.577,0.131979,,,,,,,,,0.068044,0.9216,8.353,0.8235,1.352899,10,2.077366,0.01808,1,0.9412,0.07686,-0.1465,0.063722,11.279,0.06372,2.23,2.077366,0.8235,0.14359,-0.13318,0.094749,5.427,0.09475,2.732,1.486222,,,,,,,,,,,,,,,,,,,,,,,,,IDEA_data,
RSI_Oversold + CCI_Oversold,RSI_Oversold + CCI_Oversold,combo_2,40,mean_rev,Bullish,0.9,0.03694,-0.0469,0.028552,8.444,0.02855,1.636,0.895332,0.95,0.04185,-0.04745,0.037383,21.272,0.03738,2.112,2.95307,0.9,0.03718,-0.08131,0.025331,6.253,0.02533,2.499,0.588228,0.030422,0.9167,11.99,0.95,1.286809,5,2.95307,0.00489,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDEA_data,
Price_Above_SMA50 + CCI_Exit_Oversold,Price_Above_SMA50 + CCI_Exit_Oversold,combo_2,13,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.090242,0.7692,5.375,1.0,1.28014,20,2.238585,0.72196,0,0.7692,0.07738,-0.07684,0.041793,3.4,0.04179,2.272,0.374975,,,,,,,,,0.7692,0.16549,-0.07438,0.110134,7.702,0.11013,3.213,2.238585,0.7692,0.19678,-0.14113,0.118798,5.024,0.1188,3.935,1.575128,,,,,,,,,IDEA_data,
Golden_Cross_State + Price_Above_SMA50,Golden_Cross_State + Price_Above_SMA50,combo_2,299,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.040362,0.8651,4.874,0.9699,1.088253,20,1.696142,4e-05,1,0.8462,0.0551,-0.0942,0.032134,4.548,0.03213,2.43,0.833535,,,,,,,,,0.8729,0.07329,-0.12042,0.048675,6.109,0.04867,3.436,1.696142,0.8763,0.0737,-0.19642,0.040277,3.964,0.04028,4.209,0.910727,,,,,,,,,IDEA_data,
Price_Above_EMA200 + BB_Expansion_Bull,Price_Above_EMA200 + BB_Expansion_Bull,combo_2,124,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.039891,0.8683,6.179,0.9032,1.07502,30,2.269178,0.00031,1,0.8226,0.0356,-0.07836,0.015382,3.46,0.01538,2.397,0.256967,,,,,,,,,0.8629,0.06007,-0.0716,0.042015,7.532,0.04202,3.39,1.527902,0.9194,0.08203,-0.16297,0.062277,7.547,0.06228,4.152,2.269178,,,,,,,,,IDEA_data,
BB_Lower_Touch + Stoch_Oversold,BB_Lower_Touch + Stoch_Oversold,combo_2,39,mean_rev,Bullish,0.8718,0.04196,-0.0478,0.030455,6.731,0.03046,1.471,0.756168,0.9487,0.04018,-0.06589,0.034744,13.998,0.03474,1.899,1.794094,0.9231,0.04021,-0.09926,0.029484,6.983,0.02948,2.247,0.759442,0.031561,0.9145,9.237,0.9231,0.992708,5,1.794094,0.00594,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDEA_data,
Golden_Cross_State + BB_Expansion_Bull,Golden_Cross_State + BB_Expansion_Bull,combo_2,95,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.035177,0.8842,6.783,0.9053,0.985928,20,1.874526,0.00086,1,0.8316,0.05083,-0.08447,0.028041,4.139,0.02804,2.505,0.529727,,,,,,,,,0.8947,0.05236,-0.06625,0.039876,10.299,0.03988,3.543,1.874526,0.9263,0.05494,-0.18018,0.037614,5.912,0.03761,4.339,1.014912,,,,,,,,,IDEA_data,
RSI_Cross50_Up + Price_Above_EMA200,RSI_Cross50_Up + Price_Above_EMA200,combo_2,30,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.061621,0.8333,4.981,0.9333,0.983661,20,1.346938,0.29358,0,0.8,0.07927,-0.07014,0.049387,5.541,0.04939,2.412,0.939716,,,,,,,,,0.8333,0.11239,-0.13372,0.07137,5.496,0.07137,3.411,1.346938,0.8667,0.11324,-0.25528,0.064106,3.905,0.06411,4.178,0.859637,,,,,,,,,IDEA_data,
