SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
EMA_Bullish_State + CDL_Bullish3Outside,EMA_Bullish_State + CDL_Bullish3Outside,combo_2,12,momentum,Bullish,,,,,,,,,1.0,0.02337,0.0,0.023373,,0.02337,1.586,0.059949,,,,,,,,,0.055977,0.9722,50.591,0.9167,6.658416,10,8.960099,0.09905,1,0.9167,0.07701,-0.01852,0.06905,50.591,0.06905,2.243,8.960099,1.0,0.07551,0.0,0.075508,,0.07551,2.747,0.193675,,,,,,,,,,,,,,,,,,,,,,,,,JBMA_data,
RSI_Exit_Oversold,RSI_Exit_Oversold,single,18,mean_rev,Bullish,0.9444,0.05144,-0.01449,0.047775,71.779,0.04777,1.253,10.097098,0.9444,0.04713,-0.01492,0.043679,69.76,0.04368,1.617,8.971834,0.8889,0.04182,-0.03723,0.033037,13.541,0.03304,1.914,1.317179,0.041497,0.9259,51.693,0.9444,5.965241,3,10.097098,0.15109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JBMA_data,
RSI_Oversold + VWAP_Bull,RSI_Oversold + VWAP_Bull,combo_2,44,momentum,Bullish,,,,,,,,,0.9318,0.0649,-0.04947,0.057106,19.065,0.05711,1.646,4.14449,,,,,,,,,0.064632,0.9318,23.287,1.0,5.729391,10,6.966533,0.03617,1,0.9318,0.07255,-0.04073,0.064825,28.231,0.06482,2.328,6.966533,0.9318,0.08168,-0.06082,0.071964,22.565,0.07196,2.851,6.181578,,,,,,,,,,,,,,,,,,,,,,,,,JBMA_data,
RSI_Oversold + Golden_Cross_State,RSI_Oversold + Golden_Cross_State,combo_2,21,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.086665,0.873,22.508,0.9048,5.455173,30,23.933893,0.26895,0,0.9048,0.05212,-0.04588,0.042783,11.852,0.04278,2.434,1.567331,,,,,,,,,0.8095,0.08447,-0.05514,0.057875,7.075,0.05787,3.442,1.26575,0.9048,0.17998,-0.03679,0.159336,48.595,0.15934,4.216,23.933893,,,,,,,,,JBMA_data,
STRAT_Stoch_RSI_VWAP_Bull,Stoch_Oversold + RSI_Oversold + VWAP_Bull,combo_3,35,momentum,Bullish,,,,,,,,,0.9143,0.07339,-0.04947,0.06286,16.595,0.06286,1.701,3.738138,,,,,,,,,0.071386,0.9238,21.496,0.9714,5.341889,15,6.585554,0.05464,1,0.9143,0.08254,-0.04073,0.071973,24.727,0.07197,2.406,6.377415,0.9429,0.08883,-0.07755,0.079323,23.168,0.07932,2.946,6.585554,,,,,,,,,,,,,,,,,,,,,,,,,JBMA_data,
RSI_Bull_Momentum + CDL_Bullish3Outside,RSI_Bull_Momentum + CDL_Bullish3Outside,combo_2,10,momentum,Bullish,,,,,,,,,1.0,0.03738,0.0,0.037378,,0.03738,1.483,0.089628,,,,,,,,,0.065827,0.9333,37.266,0.9,5.294068,10,8.442179,0.14585,0,0.9,0.07857,-0.01553,0.069157,50.908,0.06916,2.098,8.442179,0.9,0.10581,-0.04286,0.090945,23.624,0.09095,2.569,5.151891,,,,,,,,,,,,,,,,,,,,,,,,,JBMA_data,
RSI_Oversold + Price_Above_EMA200,RSI_Oversold + Price_Above_EMA200,combo_2,14,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.105809,0.881,21.022,0.8571,5.163179,30,24.702464,0.27434,0,0.9286,0.04732,-0.08109,0.03815,8.759,0.03815,2.655,0.904892,,,,,,,,,0.7857,0.10854,-0.04246,0.076181,9.395,0.07618,3.754,1.938142,0.9286,0.2237,-0.06475,0.203097,44.914,0.2031,4.598,24.702464,,,,,,,,,JBMA_data,
Stoch_Bull_Zone + CDL_Bullish3Inside,Stoch_Bull_Zone + CDL_Bullish3Inside,combo_2,11,momentum,Bullish,,,,,,,,,0.8182,0.03061,-0.01074,0.023092,17.005,0.02309,1.5,0.975757,,,,,,,,,0.056668,0.9091,44.269,0.8182,5.100378,10,12.76353,0.13683,0,0.9091,0.08038,-0.01392,0.071804,71.534,0.0718,2.121,12.76353,1.0,0.07511,0.0,0.075109,,0.07511,2.598,0.186638,,,,,,,,,,,,,,,,,,,,,,,,,JBMA_data,
RSI_Oversold + CCI_Oversold,RSI_Oversold + CCI_Oversold,combo_2,48,mean_rev,Bullish,0.9167,0.0428,-0.04721,0.035303,11.228,0.0353,1.287,1.542696,0.9375,0.06917,-0.04947,0.061752,22.107,0.06175,1.661,5.313003,0.9167,0.07405,-0.0253,0.065772,35.466,0.06577,1.966,9.078225,0.054276,0.9236,22.934,0.9792,4.743398,7,9.078225,0.02113,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JBMA_data,
RSI_Exit_Oversold + OBV_Rising,RSI_Exit_Oversold + OBV_Rising,combo_2,18,momentum,Bullish,,,,,,,,,0.9444,0.04713,-0.01492,0.043679,69.76,0.04368,1.617,8.971834,,,,,,,,,0.053911,0.9074,31.418,0.9444,4.710108,5,8.971834,0.15035,0,0.8889,0.06401,-0.06545,0.049623,10.11,0.04962,2.287,1.477206,0.8889,0.08492,-0.06349,0.06843,14.384,0.06843,2.801,2.898129,,,,,,,,,,,,,,,,,,,,,,,,,JBMA_data,
RSI_Exit_Oversold + MACD_Hist_Rising,RSI_Exit_Oversold + MACD_Hist_Rising,combo_2,17,momentum,Bullish,,,,,,,,,0.9412,0.05009,-0.01492,0.046265,69.76,0.04627,1.637,9.328614,,,,,,,,,0.054525,0.902,31.08,0.9412,4.610035,5,9.328614,0.17445,0,0.8824,0.06377,-0.06545,0.048567,9.594,0.04857,2.315,1.346744,0.8824,0.08637,-0.06349,0.068743,13.887,0.06874,2.835,2.759176,,,,,,,,,,,,,,,,,,,,,,,,,JBMA_data,
Golden_Cross_State + CMF_Positive,Golden_Cross_State + CMF_Positive,combo_2,293,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.096311,0.8896,8.421,0.9898,4.562119,30,6.42616,0.0005,1,0.8908,0.07105,-0.08012,0.054544,8.778,0.05454,2.254,2.721298,,,,,,,,,0.8942,0.1287,-0.15688,0.098488,8.164,0.09849,3.187,4.569711,0.884,0.1787,-0.19015,0.1359,8.32,0.1359,3.903,6.42616,,,,,,,,,JBMA_data,
MACD_Hist_Rising + CDL_Bullish3Inside,MACD_Hist_Rising + CDL_Bullish3Inside,combo_2,12,momentum,Bullish,,,,,,,,,0.8333,0.02789,-0.01074,0.021455,17.166,0.02146,1.463,0.944658,,,,,,,,,0.047126,0.9167,44.35,0.8333,4.467339,10,11.056735,0.11409,0,0.9167,0.06701,-0.01392,0.060261,71.534,0.06026,2.07,11.056735,1.0,0.05966,0.0,0.059662,,0.05966,2.535,0.153029,,,,,,,,,,,,,,,,,,,,,,,,,JBMA_data,
RSI_Oversold + Williams_Oversold,RSI_Oversold + Williams_Oversold,combo_2,46,mean_rev,Bullish,0.8913,0.04379,-0.04763,0.033853,8.528,0.03385,1.301,1.111576,0.9348,0.07197,-0.04947,0.064053,21.887,0.06405,1.68,5.397644,0.913,0.0771,-0.0253,0.068197,34.916,0.0682,1.987,9.167881,0.055368,0.913,21.777,0.9565,4.440483,7,9.167881,0.02787,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JBMA_data,
Golden_Cross_State + CDL_Engulfing_Bull,Golden_Cross_State + CDL_Engulfing_Bull,combo_2,17,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.124267,0.9412,12.336,1.0,4.430849,30,10.359087,0.17929,0,0.9412,0.06522,-0.22408,0.048205,5.208,0.0482,2.276,0.725647,,,,,,,,,0.9412,0.14555,-0.18718,0.125974,13.756,0.12597,3.219,5.008668,0.9412,0.22518,-0.22627,0.198621,18.044,0.19862,3.942,10.359087,,,,,,,,,JBMA_data,
RSI_Oversold,RSI_Oversold,single,49,mean_rev,Bullish,0.898,0.0428,-0.04763,0.033576,8.902,0.03358,1.281,1.169316,0.9388,0.06793,-0.04947,0.060745,22.191,0.06075,1.654,5.273423,0.9184,0.07212,-0.0253,0.064171,35.466,0.06417,1.957,8.903237,0.052831,0.9184,22.186,0.9592,4.398201,7,8.903237,0.01836,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JBMA_data,
CMF_Positive + CDL_Bullish3Outside,CMF_Positive + CDL_Bullish3Outside,combo_2,11,momentum,Bullish,,,,,,,,,1.0,0.00843,0.0,0.008434,,0.00843,1.549,0.020958,,,,,,,,,0.041006,0.9697,44.339,0.9091,4.107242,10,5.491542,0.1202,0,0.9091,0.05668,-0.01852,0.049842,44.339,0.04984,2.191,5.491542,1.0,0.06474,0.0,0.064741,,0.06474,2.683,0.160875,,,,,,,,,,,,,,,,,,,,,,,,,JBMA_data,
