SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
MACD_Bullish_State + CDL_DragonFlyDoji,MACD_Bullish_State + CDL_DragonFlyDoji,combo_2,18,momentum,Bullish,,,,,,,,,1.0,0.14224,0.0,0.142243,,0.14224,1.534,0.418824,,,,,,,,,0.253987,0.963,143.605,0.9444,101.428653,15,239.680835,0.08839,1,0.9444,0.2802,-0.0897,0.259652,61.138,0.25965,2.17,46.741768,0.9444,0.38316,-0.03244,0.360067,226.072,0.36007,2.657,239.680835,,,,,,,,,,,,,,,,,,,,,,,,,JINDALPHOT_data,
MACD_Hist_Positive + CDL_DragonFlyDoji,MACD_Hist_Positive + CDL_DragonFlyDoji,combo_2,18,momentum,Bullish,,,,,,,,,1.0,0.14224,0.0,0.142243,,0.14224,1.534,0.418824,,,,,,,,,0.253987,0.963,143.605,0.9444,101.428653,15,239.680835,0.08839,1,0.9444,0.2802,-0.0897,0.259652,61.138,0.25965,2.17,46.741768,0.9444,0.38316,-0.03244,0.360067,226.072,0.36007,2.657,239.680835,,,,,,,,,,,,,,,,,,,,,,,,,JINDALPHOT_data,
OBV_Trend_Bull + CDL_DragonFlyDoji,OBV_Trend_Bull + CDL_DragonFlyDoji,combo_2,25,momentum,Bullish,,,,,,,,,0.96,0.10613,-0.03839,0.100345,81.436,0.10035,1.551,26.624291,,,,,,,,,0.195202,0.96,133.049,1.0,84.617282,15,234.613766,0.04237,1,0.96,0.21112,-0.0897,0.199089,66.08,0.19909,2.193,42.862947,0.96,0.29945,-0.03244,0.286172,251.63,0.28617,2.686,234.613766,,,,,,,,,,,,,,,,,,,,,,,,,JINDALPHOT_data,
MACD_Hist_Rising + CDL_DragonFlyDoji,MACD_Hist_Rising + CDL_DragonFlyDoji,combo_2,25,momentum,Bullish,,,,,,,,,0.96,0.10844,-0.05929,0.101728,51.428,0.10173,1.535,17.045326,,,,,,,,,0.180556,0.96,67.379,1.0,39.63678,15,65.276033,0.04237,1,0.96,0.19255,-0.07491,0.18185,73.08,0.18185,2.171,43.298677,0.96,0.27296,-0.09866,0.258091,77.628,0.25809,2.659,65.276033,,,,,,,,,,,,,,,,,,,,,,,,,JINDALPHOT_data,
Price_Above_SMA20 + CDL_DragonFlyDoji,Price_Above_SMA20 + CDL_DragonFlyDoji,combo_2,22,momentum,Bullish,,,,,,,,,0.9545,0.11987,-0.05929,0.111723,52.054,0.11172,1.545,18.234835,,,,,,,,,0.210559,0.9242,48.801,0.9545,30.754625,15,57.672941,0.20785,0,0.9091,0.2417,-0.0823,0.212248,34.574,0.21225,2.185,23.009243,0.9091,0.34503,-0.06555,0.307708,59.776,0.30771,2.677,57.672941,,,,,,,,,,,,,,,,,,,,,,,,,JINDALPHOT_data,
OBV_Rising + CDL_DragonFlyDoji,OBV_Rising + CDL_DragonFlyDoji,combo_2,31,momentum,Bullish,,,,,,,,,0.9333,0.09797,-0.04884,0.088186,33.685,0.08819,1.556,10.295037,,,,,,,,,0.157775,0.9333,43.903,1.0,24.006149,15,46.665523,0.0691,1,0.9333,0.18233,-0.0823,0.164691,36.943,0.16469,2.2,21.086307,0.9333,0.24088,-0.06555,0.220447,61.08,0.22045,2.694,46.665523,,,,,,,,,,,,,,,,,,,,,,,,,JINDALPHOT_data,
VWAP_Bull + CDL_DragonFlyDoji,VWAP_Bull + CDL_DragonFlyDoji,combo_2,36,momentum,Bullish,,,,,,,,,0.9429,0.08632,-0.04884,0.078595,35.165,0.07859,1.506,9.979736,,,,,,,,,0.14061,0.9429,45.645,1.0,23.175507,15,46.492748,0.03262,1,0.9429,0.15629,-0.0823,0.142655,37.579,0.14265,2.13,19.357593,0.9429,0.21671,-0.06555,0.200582,64.191,0.20058,2.609,46.492748,,,,,,,,,,,,,,,,,,,,,,,,,JINDALPHOT_data,
BB_Expansion_Bull + CDL_DragonFlyDoji,BB_Expansion_Bull + CDL_DragonFlyDoji,combo_2,11,momentum,Bullish,,,,,,,,,1.0,0.10176,0.0,0.101763,,0.10176,1.478,0.252871,,,,,,,,,0.153346,0.9394,59.792,0.9091,20.712401,15,41.4496,0.22802,0,0.9091,0.198,-0.0897,0.17185,30.108,0.17185,2.09,12.856847,0.9091,0.20831,-0.03244,0.186425,89.476,0.18643,2.56,41.4496,,,,,,,,,,,,,,,,,,,,,,,,,JINDALPHOT_data,
Price_Above_SMA50 + CDL_DragonFlyDoji,Price_Above_SMA50 + CDL_DragonFlyDoji,combo_2,22,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.22471,0.8939,30.448,0.9545,20.478079,20,28.268851,0.26801,0,0.9091,0.17167,-0.0823,0.148585,26.536,0.14858,2.209,12.362589,,,,,,,,,0.8636,0.34128,-0.07811,0.284088,31.736,0.28409,3.124,28.268851,0.9091,0.27572,-0.10117,0.241457,33.074,0.24146,3.827,25.039723,,,,,,,,,JINDALPHOT_data,
EMA_Bullish_State + CDL_DragonFlyDoji,EMA_Bullish_State + CDL_DragonFlyDoji,combo_2,29,momentum,Bullish,,,,,,,,,0.931,0.08095,-0.04884,0.071996,28.378,0.072,1.434,6.949036,,,,,,,,,0.124668,0.931,35.32,1.0,14.976247,15,30.73098,0.07988,1,0.931,0.13471,-0.0823,0.119742,28.009,0.11974,2.028,11.406877,0.931,0.20062,-0.06555,0.182267,49.572,0.18227,2.483,30.73098,,,,,,,,,,,,,,,,,,,,,,,,,JINDALPHOT_data,
