SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
BB_Lower_Touch,BB_Lower_Touch,single,14,mean_rev,Bullish,1.0,0.8571,0.00522,-0.01528,0.002295,6.01,0.00229,0.9286,0.01145,-0.00354,0.010382,59.749,0.01038,0.9286,0.02281,-0.02193,0.019614,17.247,0.01961,0.010763,0.9048,27.669,0.9286,0.748876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JSWCEMENT_data,
Williams_Oversold + CCI_Oversold + BB_Lower_Touch,Williams_Oversold + CCI_Oversold + BB_Lower_Touch,combo_3,14,mean_rev,Bullish,1.0,0.8571,0.00522,-0.01528,0.002295,6.01,0.00229,0.9286,0.01145,-0.00354,0.010382,59.749,0.01038,0.9286,0.02281,-0.02193,0.019614,17.247,0.01961,0.010763,0.9048,27.669,0.9286,0.748876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JSWCEMENT_data,
BB_Lower_Touch + CCI_Oversold,BB_Lower_Touch + CCI_Oversold,combo_2,14,mean_rev,Bullish,1.0,0.8571,0.00522,-0.01528,0.002295,6.01,0.00229,0.9286,0.01145,-0.00354,0.010382,59.749,0.01038,0.9286,0.02281,-0.02193,0.019614,17.247,0.01961,0.010763,0.9048,27.669,0.9286,0.748876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JSWCEMENT_data,
BB_Lower_Touch + Williams_Oversold,BB_Lower_Touch + Williams_Oversold,combo_2,14,mean_rev,Bullish,1.0,0.8571,0.00522,-0.01528,0.002295,6.01,0.00229,0.9286,0.01145,-0.00354,0.010382,59.749,0.01038,0.9286,0.02281,-0.02193,0.019614,17.247,0.01961,0.010763,0.9048,27.669,0.9286,0.748876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JSWCEMENT_data,
Williams_Oversold + Stoch_Oversold + BB_Lower_Touch,Williams_Oversold + Stoch_Oversold + BB_Lower_Touch,combo_3,13,mean_rev,Bullish,1.0,0.8462,0.00477,-0.01528,0.001682,5.674,0.00168,0.9231,0.0116,-0.00354,0.010432,56.997,0.01043,0.9231,0.01698,-0.02193,0.013991,13.02,0.01399,0.008702,0.8974,25.231,0.9231,0.534821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JSWCEMENT_data,
CCI_Oversold + Stoch_Oversold + BB_Lower_Touch,CCI_Oversold + Stoch_Oversold + BB_Lower_Touch,combo_3,13,mean_rev,Bullish,1.0,0.8462,0.00477,-0.01528,0.001682,5.674,0.00168,0.9231,0.0116,-0.00354,0.010432,56.997,0.01043,0.9231,0.01698,-0.02193,0.013991,13.02,0.01399,0.008702,0.8974,25.231,0.9231,0.534821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JSWCEMENT_data,
BB_Lower_Touch + Stoch_Oversold,BB_Lower_Touch + Stoch_Oversold,combo_2,13,mean_rev,Bullish,1.0,0.8462,0.00477,-0.01528,0.001682,5.674,0.00168,0.9231,0.0116,-0.00354,0.010432,56.997,0.01043,0.9231,0.01698,-0.02193,0.013991,13.02,0.01399,0.008702,0.8974,25.231,0.9231,0.534821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JSWCEMENT_data,
RSI_Oversold,RSI_Oversold,single,16,mean_rev,Bullish,1.0,0.9375,-0.00153,-0.01159,-0.002163,19.47,-0.00216,0.9375,0.01105,-0.03899,0.00792,9.95,0.00792,0.9375,0.02121,-0.08636,0.014489,5.61,0.01449,0.006749,0.9375,11.676,1.0,0.223258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JSWCEMENT_data,
CCI_Oversold,CCI_Oversold,single,32,mean_rev,Bullish,1.0,0.8125,0.00147,-0.02415,-0.003336,2.29,-0.00334,0.8438,0.01029,-0.03038,0.003931,3.493,0.00393,0.8438,0.01561,-0.05133,0.005149,2.741,0.00515,0.001914,0.8333,2.841,0.9688,0.018425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JSWCEMENT_data,
Stoch_Oversold,Stoch_Oversold,single,29,mean_rev,Bullish,1.0,0.7586,0.0029,-0.02116,-0.002904,2.23,-0.0029,0.8621,0.00531,-0.03293,3.6e-05,2.763,4e-05,0.8621,0.01191,-0.04374,0.004237,2.86,0.00424,0.000456,0.8276,2.618,0.8966,0.003641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JSWCEMENT_data,
