SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
RSI_Exit_Oversold + MACD_Hist_Rising,RSI_Exit_Oversold + MACD_Hist_Rising,combo_2,16,momentum,Bullish,,,,,,,,,0.9375,0.02451,-0.00117,0.022902,442.081,0.0229,1.523,28.685189,,,,,,,,,0.049459,0.9167,1404.12,0.9375,184.458428,15,764.522314,0.22619,0,0.875,0.06396,-0.02041,0.053416,25.499,0.05342,2.154,3.858996,0.9375,0.07688,-0.00033,0.072058,3744.781,0.07206,2.638,764.522314,,,,,,,,,,,,,,,,,,,,,,,,,KCP_data,
RSI_Exit_Oversold + OBV_Rising,RSI_Exit_Oversold + OBV_Rising,combo_2,17,momentum,Bullish,,,,,,,,,0.9412,0.02376,-0.00117,0.022292,452.799,0.02229,1.484,29.17535,,,,,,,,,0.047143,0.9216,1425.835,0.9412,182.856094,15,756.251258,0.19721,0,0.8824,0.05969,-0.02041,0.050268,25.499,0.05027,2.098,3.704824,0.9412,0.07319,-0.00033,0.068868,3799.206,0.06887,2.57,756.251258,,,,,,,,,,,,,,,,,,,,,,,,,KCP_data,
RSI_Exit_Oversold,RSI_Exit_Oversold,single,17,mean_rev,Bullish,0.8235,0.02178,-0.01619,0.01508,7.959,0.01508,1.149,0.346917,0.9412,0.02376,-0.00117,0.022292,452.799,0.02229,1.484,29.17535,1.0,0.03481,0.0,0.034812,,0.03481,1.756,0.100618,0.024061,0.9216,230.379,0.8235,13.194522,5,29.17535,0.04815,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCP_data,
RSI_Exit_Oversold + CCI_Oversold,RSI_Exit_Oversold + CCI_Oversold,combo_2,10,mean_rev,Bullish,0.8,0.02183,-0.01884,0.013698,5.217,0.0137,1.168,0.171371,0.9,0.01644,-0.00117,0.014678,155.499,0.01468,1.508,5.472917,1.0,0.02494,0.0,0.024936,,0.02494,1.784,0.059793,0.017771,0.9,80.358,0.8,2.739364,5,5.472917,0.16877,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCP_data,
Price_Above_SMA20 + CDL_HaramiCross_Bull,Price_Above_SMA20 + CDL_HaramiCross_Bull,combo_2,13,momentum,Bullish,,,,,,,,,0.9231,0.04054,-0.06103,0.032723,8.654,0.03272,1.528,0.747371,,,,,,,,,0.033857,0.9231,25.497,1.0,2.278107,15,2.917199,0.33603,0,0.9231,0.02962,-0.01296,0.026345,41.827,0.02635,2.162,2.908098,0.9231,0.04847,-0.02908,0.042502,26.008,0.0425,2.647,2.917199,,,,,,,,,,,,,,,,,,,,,,,,,KCP_data,
Stoch_Bull_Zone + Williams_Oversold,Stoch_Bull_Zone + Williams_Oversold,combo_2,47,momentum,Bullish,,,,,,,,,0.9574,0.02605,-0.0604,0.022375,13.342,0.02238,1.476,1.155679,,,,,,,,,0.038004,0.9574,14.93,0.9574,2.10309,10,3.766898,0.0031,1,0.9787,0.04626,-0.11847,0.042758,22.757,0.04276,2.087,3.766898,0.9362,0.06045,-0.12085,0.048878,8.692,0.04888,2.556,1.644627,,,,,,,,,,,,,,,,,,,,,,,,,KCP_data,
RSI_Oversold + BB_Lower_Touch,RSI_Oversold + BB_Lower_Touch,combo_2,22,mean_rev,Bullish,0.9545,0.01335,-0.01178,0.012208,39.738,0.01221,1.034,1.521119,0.9545,0.0181,-0.036,0.015643,16.687,0.01564,1.335,0.818472,0.9545,0.03622,0.00038,0.034593,,0.03459,1.579,0.108466,0.020815,0.9545,28.212,1.0,1.841263,3,1.521119,0.09398,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCP_data,
STRAT_BB_RSI_Oversold_Bounce,BB_Lower_Touch + RSI_Oversold,combo_2,22,mean_rev,Bullish,0.9545,0.01335,-0.01178,0.012208,39.738,0.01221,1.034,1.521119,0.9545,0.0181,-0.036,0.015643,16.687,0.01564,1.335,0.818472,0.9545,0.03622,0.00038,0.034593,,0.03459,1.579,0.108466,0.020815,0.9545,28.212,1.0,1.841263,3,1.521119,0.09398,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCP_data,
Price_Above_EMA200 + Williams_Oversold,Price_Above_EMA200 + Williams_Oversold,combo_2,77,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.050791,0.8442,6.751,0.961,1.435721,30,2.328755,0.35254,0,0.8182,0.05228,-0.06393,0.031149,4.481,0.03115,2.222,0.608071,,,,,,,,,0.8571,0.05772,-0.05149,0.042116,9.016,0.04212,3.142,1.654342,0.8571,0.11094,-0.11188,0.079108,6.757,0.07911,3.848,2.328755,,,,,,,,,KCP_data,
RSI_Oversold + VWAP_Bull,RSI_Oversold + VWAP_Bull,combo_2,10,momentum,Bullish,,,,,,,,,0.9,0.03979,-0.036,0.03221,10.041,0.03221,1.425,0.775543,,,,,,,,,0.044856,0.9,13.007,1.0,1.399046,15,1.873385,0.48473,0,0.9,0.04815,-0.02811,0.040528,16.345,0.04053,2.016,1.588405,0.9,0.07482,-0.05508,0.061829,12.636,0.06183,2.469,1.873385,,,,,,,,,,,,,,,,,,,,,,,,,KCP_data,
