SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Price_Above_EMA200 + CDL_Bullish3Outside,Price_Above_EMA200 + CDL_Bullish3Outside,combo_2,14,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.076159,0.9286,107.174,1.0,22.103753,30,68.055571,0.35748,0,0.9286,0.03905,-0.00847,0.035655,78.589,0.03566,2.193,7.588279,,,,,,,,,0.9286,0.06814,-0.0239,0.061568,51.463,0.06157,3.102,8.580518,0.9286,0.14214,-0.01022,0.131253,191.469,0.13125,3.799,68.055571,,,,,,,,,KDDL_data,
Golden_Cross_State + CMF_Strong_Bull,Golden_Cross_State + CMF_Strong_Bull,combo_2,91,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.075513,0.9744,64.092,0.967,21.163165,10,42.071575,0.0,1,0.989,0.0624,-0.04453,0.061229,151.958,0.06123,2.543,42.071575,,,,,,,,,0.978,0.08578,-0.16747,0.080216,30.09,0.08022,3.597,10.914152,0.956,0.10391,-0.32407,0.085095,10.229,0.0851,4.405,3.936029,,,,,,,,,KDDL_data,
Price_Above_SMA50 + CCI_Exit_Oversold,Price_Above_SMA50 + CCI_Exit_Oversold,combo_2,20,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.078785,0.9833,76.149,0.95,17.352008,10,14.217951,0.08729,1,0.95,0.06559,-0.01969,0.061327,76.149,0.06133,2.404,14.217951,,,,,,,,,1.0,0.07498,0.0,0.074979,,0.07498,3.4,0.228277,1.0,0.10005,0.0,0.100048,,0.10005,4.164,0.304598,,,,,,,,,KDDL_data,
Golden_Cross_State + CDL_Bullish3Outside,Golden_Cross_State + CDL_Bullish3Outside,combo_2,17,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.067219,0.902,79.756,0.9412,14.58412,30,85.960357,0.46996,0,0.8824,0.03601,-0.06993,0.023544,5.146,0.02354,2.257,0.35019,,,,,,,,,0.8824,0.07038,-0.12096,0.047865,5.787,0.04786,3.192,0.800558,0.9412,0.13903,-0.01022,0.130248,228.336,0.13025,3.909,85.960357,,,,,,,,,KDDL_data,
RSI_Oversold + VWAP_Bull,RSI_Oversold + VWAP_Bull,combo_2,27,momentum,Bullish,,,,,,,,,0.963,0.07226,-0.0216,0.068782,93.104,0.06878,1.873,21.339062,,,,,,,,,0.069268,0.963,56.561,1.0,13.055172,5,21.339062,0.07376,1,0.963,0.05447,-0.04492,0.050788,49.464,0.05079,2.649,8.370979,0.963,0.09621,-0.11919,0.088235,27.116,0.08823,3.245,7.972395,,,,,,,,,,,,,,,,,,,,,,,,,KDDL_data,
RSI_Oversold + CCI_Oversold,RSI_Oversold + CCI_Oversold,combo_2,25,mean_rev,Bullish,0.96,0.04798,-0.03636,0.04461,32.451,0.04461,1.458,4.716562,0.96,0.08245,-0.0216,0.078284,93.104,0.07828,1.882,23.746797,0.96,0.07959,-0.05178,0.074333,40.432,0.07433,2.227,9.791869,0.065742,0.96,55.329,1.0,11.851151,5,23.746797,0.08373,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDDL_data,
RSI_Oversold,RSI_Oversold,single,27,mean_rev,Bullish,0.963,0.04472,-0.03636,0.041719,32.757,0.04172,1.451,4.55378,0.963,0.07226,-0.0216,0.068782,93.104,0.06878,1.873,21.339062,0.963,0.0687,-0.05178,0.064233,40.432,0.06423,2.217,8.653966,0.058245,0.963,55.431,1.0,10.758245,5,21.339062,0.06358,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDDL_data,
Golden_Cross_State + BB_Expansion_Bull,Golden_Cross_State + BB_Expansion_Bull,combo_2,118,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.081438,0.9407,23.312,0.9576,8.688684,30,19.51088,0.00419,1,0.9153,0.03617,-0.05561,0.028394,10.89,0.02839,2.495,1.477794,,,,,,,,,0.9576,0.09711,-0.09589,0.088936,26.896,0.08894,3.528,11.431882,0.9492,0.13851,-0.08823,0.126984,32.15,0.12698,4.321,19.51088,,,,,,,,,KDDL_data,
RSI_Bull_Momentum + Williams_Oversold,RSI_Bull_Momentum + Williams_Oversold,combo_2,21,momentum,Bullish,,,,,,,,,0.9524,0.04406,-0.03264,0.040405,35.36,0.04041,2.093,4.416211,,,,,,,,,0.073001,0.9365,39.898,0.9524,8.574178,15,20.664362,0.17553,0,0.9048,0.07323,-0.03544,0.062883,26.56,0.06288,2.96,5.162596,0.9524,0.124,-0.04998,0.115715,57.774,0.11571,3.625,20.664362,,,,,,,,,,,,,,,,,,,,,,,,,KDDL_data,
Price_Above_EMA200 + BB_Expansion_Bull,Price_Above_EMA200 + BB_Expansion_Bull,combo_2,167,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.072894,0.9261,17.951,0.9461,6.343486,30,11.648703,0.00393,1,0.8922,0.03617,-0.05155,0.026717,8.583,0.02672,2.499,1.174902,,,,,,,,,0.9461,0.09425,-0.08035,0.08484,24.049,0.08484,3.534,10.454504,0.9401,0.12033,-0.1002,0.107124,21.222,0.10712,4.328,11.648703,,,,,,,,,KDDL_data,
