SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
OBV_Rising + VWAP_Bull,OBV_Rising + VWAP_Bull,combo_2,75,momentum,Bullish,,,,,,,,,0.9344,0.18516,-0.09363,0.166877,30.742,0.16688,1.24,22.217239,,,,,,,,,0.33083,0.929,39.643,0.9836,55.866857,15,80.600491,0.00294,1,0.9344,0.35788,-0.11246,0.327042,50.858,0.32704,1.754,72.031481,0.918,0.55971,-0.18619,0.498571,37.329,0.49857,2.148,80.600491,,,,,,,,,,,,,,,,,,,,,,,,,KOHINOOR_data,
RSI_Oversold + MACD_Hist_Rising,RSI_Oversold + MACD_Hist_Rising,combo_2,24,momentum,Bullish,,,,,,,,,0.9583,0.03756,-0.05929,0.033529,22.225,0.03353,2.167,2.398631,,,,,,,,,0.103759,0.9583,58.864,1.0,19.659735,10,47.442978,0.02217,1,0.9583,0.14978,-0.0349,0.142088,103.732,0.14209,3.064,47.442978,0.9583,0.14467,-0.07148,0.135661,50.634,0.13566,3.753,22.110729,,,,,,,,,,,,,,,,,,,,,,,,,KOHINOOR_data,
OBV_Trend_Bull + VWAP_Bull,OBV_Trend_Bull + VWAP_Bull,combo_2,84,momentum,Bullish,,,,,,,,,0.8873,0.1613,-0.097,0.1322,14.837,0.1322,1.366,8.714098,,,,,,,,,0.267806,0.8545,15.791,0.9296,17.465044,15,27.548528,0.09031,1,0.8592,0.33113,-0.13268,0.265804,17.242,0.2658,1.932,20.360516,0.8169,0.53546,-0.17477,0.405415,15.295,0.40542,2.366,27.548528,,,,,,,,,,,,,,,,,,,,,,,,,KOHINOOR_data,
RSI_Oversold + OBV_Rising,RSI_Oversold + OBV_Rising,combo_2,13,momentum,Bullish,,,,,,,,,0.9091,0.04556,-0.05929,0.036024,11.226,0.03602,2.235,1.067257,,,,,,,,,0.114772,0.9091,28.992,1.0,8.781328,10,18.872533,0.28107,0,0.9091,0.16569,-0.0349,0.147458,48.497,0.14746,3.161,18.872533,0.9091,0.18407,-0.07148,0.160835,27.252,0.16083,3.871,11.567327,,,,,,,,,,,,,,,,,,,,,,,,,KOHINOOR_data,
MACD_Hist_Rising + VWAP_Bull,MACD_Hist_Rising + VWAP_Bull,combo_2,44,momentum,Bullish,,,,,,,,,0.8864,0.13073,-0.10246,0.104234,11.974,0.10423,1.361,4.751109,,,,,,,,,0.160515,0.8712,14.148,0.9545,8.251569,10,11.363537,0.10115,0,0.8864,0.20949,-0.12232,0.171787,17.377,0.17179,1.925,11.363537,0.8409,0.27273,-0.14969,0.205524,13.091,0.20552,2.357,10.242104,,,,,,,,,,,,,,,,,,,,,,,,,KOHINOOR_data,
VWAP_Bull,VWAP_Bull,single,93,momentum,Bullish,,,,,,,,,0.7975,0.1613,-0.15595,0.097051,4.615,0.09705,1.384,2.03469,,,,,,,,,0.223333,0.789,7.887,0.9873,7.901395,15,18.505445,0.57603,0,0.7848,0.32725,-0.17873,0.218369,7.559,0.21837,1.957,7.499661,0.7848,0.50077,-0.17859,0.35458,11.487,0.35458,2.397,18.505445,,,,,,,,,,,,,,,,,,,,,,,,,KOHINOOR_data,
Price_Above_SMA20 + VWAP_Bull,Price_Above_SMA20 + VWAP_Bull,combo_2,64,momentum,Bullish,,,,,,,,,0.8125,0.16659,-0.15495,0.1063,5.346,0.1063,1.346,2.372164,,,,,,,,,0.231537,0.7865,7.604,0.9531,7.004954,15,15.768703,0.66348,0,0.7812,0.34818,-0.20212,0.227804,6.988,0.2278,1.904,6.645053,0.7656,0.52826,-0.18748,0.360507,10.478,0.36051,2.332,15.768703,,,,,,,,,,,,,,,,,,,,,,,,,KOHINOOR_data,
Price_Above_SMA20 + OBV_Rising,Price_Above_SMA20 + OBV_Rising,combo_2,221,momentum,Bullish,,,,,,,,,0.8643,0.04853,-0.05813,0.034054,7.919,0.03405,1.543,1.456938,,,,,,,,,0.068387,0.816,8.54,0.9095,2.86969,15,4.586581,0.04066,1,0.81,0.09975,-0.06122,0.069158,9.373,0.06916,2.182,3.502255,0.7738,0.15551,-0.08124,0.10195,8.327,0.10195,2.672,4.586581,,,,,,,,,,,,,,,,,,,,,,,,,KOHINOOR_data,
MACD_Bullish_State + VWAP_Bull,MACD_Bullish_State + VWAP_Bull,combo_2,43,momentum,Bullish,,,,,,,,,0.814,0.14409,-0.16545,0.086502,4.657,0.0865,1.392,1.524494,,,,,,,,,0.151775,0.7752,5.225,0.9302,2.791353,15,4.805588,0.65421,0,0.7674,0.27655,-0.22586,0.15971,4.944,0.15971,1.969,2.987796,0.7442,0.35658,-0.2199,0.209112,6.073,0.20911,2.411,4.805588,,,,,,,,,,,,,,,,,,,,,,,,,KOHINOOR_data,
MACD_Hist_Positive + VWAP_Bull,MACD_Hist_Positive + VWAP_Bull,combo_2,43,momentum,Bullish,,,,,,,,,0.814,0.14409,-0.16545,0.086502,4.657,0.0865,1.392,1.524494,,,,,,,,,0.151775,0.7752,5.225,0.9302,2.791353,15,4.805588,0.65421,0,0.7674,0.27655,-0.22586,0.15971,4.944,0.15971,1.969,2.987796,0.7442,0.35658,-0.2199,0.209112,6.073,0.20911,2.411,4.805588,,,,,,,,,,,,,,,,,,,,,,,,,KOHINOOR_data,
