SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
EMA_Bullish_State + BB_Lower_Touch,EMA_Bullish_State + BB_Lower_Touch,combo_2,25,momentum,Bullish,,,,,,,,,0.96,0.01592,-0.00049,0.015265,1209.979,0.01527,1.508,60.17939,,,,,,,,,0.033027,0.96,415.357,1.0,44.694902,5,60.17939,0.07909,1,0.96,0.04932,-0.04705,0.045462,27.153,0.04546,2.133,4.021983,0.96,0.04754,-0.18217,0.038354,8.938,0.03835,2.613,1.116854,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN_data,
Stoch_Cross_Up + CDL_Engulfing_Bull,Stoch_Cross_Up + CDL_Engulfing_Bull,combo_2,17,mean_rev,Bullish,0.9412,0.02285,-0.06383,0.017749,7.265,0.01775,0.975,0.37268,0.9412,0.02711,-0.00471,0.025234,114.619,0.02523,1.258,8.359691,0.9412,0.0355,-0.00092,0.033357,755.045,0.03336,1.489,72.796989,0.025447,0.9412,292.31,1.0,21.499356,7,72.796989,0.22328,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN_data,
Price_Above_EMA200 + BB_Lower_Touch,Price_Above_EMA200 + BB_Lower_Touch,combo_2,19,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.06828,0.9825,67.633,0.9474,13.106204,30,19.026703,0.04075,1,1.0,0.0541,0.0,0.054104,,0.0541,2.084,0.162082,,,,,,,,,1.0,0.05683,0.0,0.056829,,0.05683,2.947,0.170245,0.9474,0.10083,-0.03075,0.093908,67.633,0.09391,3.61,19.026703,,,,,,,,,LINCOLN_data,
Golden_Cross_State + BB_Lower_Touch,Golden_Cross_State + BB_Lower_Touch,combo_2,33,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.077012,0.9091,41.948,0.9394,10.701572,20,19.279314,0.09552,1,0.9394,0.05726,-0.03423,0.051716,28.763,0.05172,2.23,5.245439,,,,,,,,,0.9091,0.10226,-0.02141,0.091021,60.065,0.09102,3.154,19.279314,0.8788,0.10317,-0.01951,0.088299,37.017,0.0883,3.862,11.526166,,,,,,,,,LINCOLN_data,
Golden_Cross_State + CCI_Exit_Oversold,Golden_Cross_State + CCI_Exit_Oversold,combo_2,36,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.0518,0.9259,16.721,0.8889,2.78001,10,2.946105,0.01729,1,0.9722,0.03671,-0.07883,0.033496,24.358,0.0335,1.913,2.946105,,,,,,,,,0.9444,0.03858,-0.05978,0.033118,18.169,0.03312,2.705,2.172728,0.8611,0.12042,-0.10736,0.088785,7.636,0.08879,3.313,2.447978,,,,,,,,,LINCOLN_data,
Golden_Cross_State + CCI_Oversold,Golden_Cross_State + CCI_Oversold,combo_2,132,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.043344,0.8813,12.198,0.9924,2.565987,30,4.807787,0.1658,0,0.8788,0.04799,-0.0558,0.035408,7.86,0.03541,2.081,1.36095,,,,,,,,,0.8788,0.04732,-0.04762,0.035815,12.017,0.03581,2.944,2.104787,0.8864,0.0722,-0.04561,0.058809,16.717,0.05881,3.605,4.807787,,,,,,,,,LINCOLN_data,
MACD_Zero_Cross_Up + CMF_Positive,MACD_Zero_Cross_Up + CMF_Positive,combo_2,11,momentum,Bullish,,,,,,,,,1.0,0.04783,0.0,0.047825,,0.04783,1.268,0.118842,,,,,,,,,0.054002,0.9697,19.884,0.9091,2.425632,15,2.783013,0.15368,0,1.0,0.05785,0.0,0.057854,,0.05785,1.793,0.143762,0.9091,0.06579,-0.0383,0.056325,19.884,0.05633,2.196,2.783013,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN_data,
Golden_Cross_State + Williams_Oversold,Golden_Cross_State + Williams_Oversold,combo_2,149,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.046306,0.8523,10.162,0.9732,2.294479,30,3.90437,0.28318,0,0.8658,0.04608,-0.05994,0.031849,6.122,0.03185,2.106,0.97694,,,,,,,,,0.8523,0.06294,-0.04411,0.047132,11.363,0.04713,2.979,2.683531,0.8389,0.07921,-0.04043,0.059937,13.001,0.05994,3.648,3.90437,,,,,,,,,LINCOLN_data,
MACD_Hist_Rising + Williams_Oversold,MACD_Hist_Rising + Williams_Oversold,combo_2,63,momentum,Bullish,,,,,,,,,0.9206,0.02113,-0.02756,0.017267,10.871,0.01727,1.358,0.78064,,,,,,,,,0.039436,0.9048,12.402,0.9683,1.969443,15,3.514611,0.05581,1,0.9048,0.0566,-0.05591,0.045888,11.012,0.04589,1.92,2.101617,0.8889,0.06686,-0.03855,0.055151,15.323,0.05515,2.352,3.514611,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN_data,
MACD_Zero_Cross_Up + VWAP_Bull,MACD_Zero_Cross_Up + VWAP_Bull,combo_2,20,momentum,Bullish,,,,,,,,,0.95,0.03014,-0.04744,0.02626,15.58,0.02626,1.28,1.245656,,,,,,,,,0.031999,0.9333,19.847,0.95,1.836827,15,3.654554,0.15602,0,0.95,0.03578,-0.07111,0.030433,13.419,0.03043,1.811,1.243316,0.9,0.04583,-0.0194,0.039304,30.541,0.0393,2.218,3.654554,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN_data,
