SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Golden_Cross_State + Stoch_Oversold,Golden_Cross_State + Stoch_Oversold,combo_2,45,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.092279,0.9778,181.998,1.0,64.300426,30,131.175821,0.00518,1,0.9778,0.06182,-0.04791,0.059386,58.806,0.05939,1.771,13.37051,,,,,,,,,0.9778,0.09376,-0.02058,0.091223,215.761,0.09122,2.505,75.356741,0.9778,0.1296,-0.022,0.126229,271.426,0.12623,3.068,131.175821,,,,,,,,,LLOYDSME_data,
Price_Above_EMA200 + Stoch_Oversold,Price_Above_EMA200 + Stoch_Oversold,combo_2,35,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.086688,0.981,183.427,0.9714,55.353167,30,101.500511,0.00304,1,1.0,0.05337,0.0,0.053373,,0.05337,1.778,0.191263,,,,,,,,,0.9714,0.08023,-0.02058,0.077354,147.858,0.07735,2.515,40.986202,0.9714,0.13379,-0.022,0.129337,218.995,0.12934,3.08,101.500511,,,,,,,,,LLOYDSME_data,
Stoch_Oversold + CMF_Positive,Stoch_Oversold + CMF_Positive,combo_2,16,momentum,Bullish,,,,,,,,,0.9375,0.01179,-0.00028,0.011038,969.366,0.01104,1.505,30.313767,,,,,,,,,0.032674,0.9583,502.785,0.9375,43.634395,5,30.313767,0.0702,1,1.0,0.03742,0.0,0.03742,,0.03742,2.128,0.106018,0.9375,0.05464,-0.02656,0.049563,36.204,0.04956,2.606,5.083911,,,,,,,,,,,,,,,,,,,,,,,,,LLOYDSME_data,
Price_Above_SMA50 + Stoch_Oversold,Price_Above_SMA50 + Stoch_Oversold,combo_2,22,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.067601,0.9848,58.026,0.9545,11.740435,10,9.662225,0.05534,1,0.9545,0.05661,-0.02049,0.053106,58.026,0.05311,1.823,9.662225,,,,,,,,,1.0,0.05377,0.0,0.053768,,0.05377,2.579,0.168591,1.0,0.09593,0.0,0.09593,,0.09593,3.158,0.300787,,,,,,,,,LLOYDSME_data,
STRAT_Volume_CMF_Bull,Volume_Spike + CMF_Strong_Bull,combo_2,30,momentum,Bullish,,,,,,,,,0.9667,0.03262,-0.02476,0.030712,47.593,0.03071,1.327,5.019324,,,,,,,,,0.062115,0.9667,45.812,1.0,9.77183,15,18.813533,0.02812,1,0.9667,0.07095,-0.07603,0.066047,28.689,0.06605,1.877,6.506809,0.9667,0.09439,-0.04958,0.089586,61.155,0.08959,2.298,18.813533,,,,,,,,,,,,,,,,,,,,,,,,,LLOYDSME_data,
Golden_Cross_State + Williams_Oversold,Golden_Cross_State + Williams_Oversold,combo_2,64,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.054763,0.9583,38.129,0.9531,8.307823,30,14.508832,0.00026,1,0.9844,0.0337,-0.05539,0.032309,53.564,0.03231,1.791,7.224134,,,,,,,,,0.9375,0.05713,-0.06433,0.049537,18.665,0.04954,2.533,3.859655,0.9531,0.08913,-0.05347,0.082444,42.158,0.08244,3.102,14.508832,,,,,,,,,LLOYDSME_data,
Stoch_Bull_Zone + Williams_Oversold,Stoch_Bull_Zone + Williams_Oversold,combo_2,24,momentum,Bullish,,,,,,,,,0.9583,0.03427,-0.01095,0.032388,84.846,0.03239,1.279,8.845431,,,,,,,,,0.021136,0.9861,84.846,0.9583,5.531808,5,8.845431,0.01814,1,1.0,0.02046,0.0,0.020457,,0.02046,1.809,0.065847,1.0,0.01056,0.0,0.010562,,0.01056,2.215,0.033999,,,,,,,,,,,,,,,,,,,,,,,,,LLOYDSME_data,
Price_Above_EMA200 + Williams_Oversold,Price_Above_EMA200 + Williams_Oversold,combo_2,53,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.044501,0.9497,28.841,0.9434,4.829767,30,10.414707,0.00151,1,0.9811,0.02672,-0.05539,0.025166,39.146,0.02517,1.808,3.929826,,,,,,,,,0.9245,0.04026,-0.06433,0.032362,13.01,0.03236,2.557,1.67948,0.9434,0.08374,-0.05347,0.075973,34.366,0.07597,3.132,10.414707,,,,,,,,,LLOYDSME_data,
RSI_Cross50_Up + CMF_Positive,RSI_Cross50_Up + CMF_Positive,combo_2,16,momentum,Bullish,,,,,,,,,0.8125,0.00815,-0.01815,0.003216,4.927,0.00322,1.292,0.044898,,,,,,,,,0.037532,0.8958,48.887,0.875,4.548681,10,12.527535,0.27565,0,0.9375,0.04891,-0.01022,0.045215,97.793,0.04521,1.828,12.527535,0.9375,0.07068,-0.03355,0.064167,43.94,0.06417,2.238,7.988171,,,,,,,,,,,,,,,,,,,,,,,,,LLOYDSME_data,
RSI_Oversold + CCI_Oversold,RSI_Oversold + CCI_Oversold,combo_2,12,mean_rev,Bullish,0.9167,0.04566,-0.00877,0.041127,66.455,0.04113,1.051,7.010256,0.8333,0.07113,-0.03159,0.054013,11.627,0.05401,1.356,1.610752,0.9167,0.07622,-0.05399,0.065367,16.241,0.06537,1.605,2.723016,0.053502,0.8889,31.441,0.9167,3.955108,3,7.010256,0.41082,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LLOYDSME_data,
