SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Price_Above_SMA50 + Williams_Oversold,Price_Above_SMA50 + Williams_Oversold,combo_2,38,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.05751,0.9298,74.873,0.9211,14.529855,20,47.893171,0.00981,1,0.9211,0.04595,-0.02495,0.040349,21.3,0.04035,3.125,3.148634,,,,,,,,,0.9737,0.07047,-0.01595,0.068193,191.703,0.06819,4.42,47.893171,0.8947,0.08006,-0.07261,0.063989,11.617,0.06399,5.413,2.723263,,,,,,,,,LOTUSEYE_data,
CCI_Oversold + CDL_Harami_Bull,CCI_Oversold + CDL_Harami_Bull,combo_2,18,mean_rev,Bullish,1.0,0.0347,0.0,0.034697,,0.0347,1.593,0.102163,0.9444,0.06847,-0.05016,0.06188,24.163,0.06188,2.057,4.402645,0.9444,0.06783,-0.00836,0.063597,159.756,0.0636,2.434,29.915427,0.053391,0.963,91.96,0.9444,13.653599,7,29.915427,0.09848,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOTUSEYE_data,
BB_Lower_Touch + CCI_Oversold,BB_Lower_Touch + CCI_Oversold,combo_2,46,mean_rev,Bullish,0.9565,0.02989,-0.03709,0.026976,23.26,0.02698,1.542,2.415862,0.9565,0.04462,-0.02914,0.041411,43.028,0.04141,1.991,6.860349,0.9565,0.06647,-0.01795,0.062801,91.409,0.0628,2.355,22.101968,0.043729,0.9565,52.566,1.0,8.850204,7,22.101968,0.02187,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOTUSEYE_data,
BB_Lower_Touch,BB_Lower_Touch,single,46,mean_rev,Bullish,0.9565,0.02989,-0.03709,0.026976,23.26,0.02698,1.542,2.415862,0.9565,0.04462,-0.02914,0.041411,43.028,0.04141,1.991,6.860349,0.9565,0.06647,-0.01795,0.062801,91.409,0.0628,2.355,22.101968,0.043729,0.9565,52.566,1.0,8.850204,7,22.101968,0.02187,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOTUSEYE_data,
EMA_Bullish_State + BB_Lower_Touch,EMA_Bullish_State + BB_Lower_Touch,combo_2,16,momentum,Bullish,,,,,,,,,0.875,0.07769,-0.02914,0.064338,20.653,0.06434,1.91,3.764742,,,,,,,,,0.095593,0.9167,34.616,0.9375,8.789277,10,17.708788,0.2258,0,0.9375,0.14199,-0.04588,0.130245,47.99,0.13025,2.702,17.708788,0.9375,0.10137,-0.04534,0.092196,35.205,0.0922,3.309,9.195908,,,,,,,,,,,,,,,,,,,,,,,,,LOTUSEYE_data,
BB_Lower_Touch + Williams_Oversold,BB_Lower_Touch + Williams_Oversold,combo_2,39,mean_rev,Bullish,0.9487,0.03655,-0.03709,0.032772,21.985,0.03277,1.551,2.65776,0.9487,0.04853,-0.02914,0.044548,37.17,0.04455,2.002,6.10822,0.9487,0.06534,-0.01795,0.06107,75.092,0.06107,2.369,16.916912,0.04613,0.9487,44.749,1.0,7.614864,7,16.916912,0.05246,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOTUSEYE_data,
MACD_Hist_Rising + CCI_Oversold,MACD_Hist_Rising + CCI_Oversold,combo_2,63,momentum,Bullish,,,,,,,,,0.9683,0.05312,-0.05628,0.049651,33.041,0.04965,1.979,6.82264,,,,,,,,,0.036449,0.9683,49.781,0.9683,7.30659,10,14.638874,0.00014,1,0.9841,0.03395,-0.02732,0.032981,106.726,0.03298,2.799,14.638874,0.9524,0.03385,-0.11595,0.026714,9.578,0.02671,3.428,1.064103,,,,,,,,,,,,,,,,,,,,,,,,,LOTUSEYE_data,
Price_Above_EMA200 + BB_Lower_Touch,Price_Above_EMA200 + BB_Lower_Touch,combo_2,16,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.089631,0.9167,30.041,0.9375,7.151858,10,16.447508,0.23418,0,0.9375,0.1352,-0.04588,0.12388,46.862,0.12388,2.602,16.447508,,,,,,,,,0.9375,0.13036,-0.053,0.118904,39.885,0.1189,3.679,13.436474,0.875,0.04783,-0.12596,0.026108,3.376,0.02611,4.506,0.249689,,,,,,,,,LOTUSEYE_data,
BB_Lower_Touch + VWAP_Bull,BB_Lower_Touch + VWAP_Bull,combo_2,24,momentum,Bullish,,,,,,,,,0.9167,0.05107,-0.02914,0.044383,23.623,0.04438,1.864,3.374857,,,,,,,,,0.058571,0.9444,38.477,0.9583,6.951951,10,12.351691,0.07139,1,0.9583,0.08106,-0.04588,0.075767,50.646,0.07577,2.636,12.351691,0.9583,0.05995,-0.04534,0.055561,41.164,0.05556,3.229,7.361971,,,,,,,,,,,,,,,,,,,,,,,,,LOTUSEYE_data,
Golden_Cross_State + BB_Lower_Touch,Golden_Cross_State + BB_Lower_Touch,combo_2,26,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.059438,0.9359,37.641,0.9231,6.806646,10,14.571996,0.05637,1,0.9615,0.08335,-0.04588,0.078381,56.409,0.07838,2.822,14.571996,,,,,,,,,0.9615,0.07806,-0.053,0.073021,50.451,0.07302,3.991,12.141721,0.8846,0.04269,-0.09402,0.026913,6.065,0.02691,4.888,0.537935,,,,,,,,,LOTUSEYE_data,
EMA_Bullish_State + CCI_Oversold,EMA_Bullish_State + CCI_Oversold,combo_2,76,momentum,Bullish,,,,,,,,,0.9211,0.06333,-0.04628,0.054676,17.157,0.05468,2.047,4.074766,,,,,,,,,0.061571,0.9342,21.867,0.9737,5.694579,10,8.383254,0.00275,1,0.9474,0.08042,-0.05849,0.073111,26.397,0.07311,2.895,8.383254,0.9342,0.06423,-0.04683,0.056926,22.048,0.05693,3.545,5.451947,,,,,,,,,,,,,,,,,,,,,,,,,LOTUSEYE_data,
