SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Golden_Cross_State + BB_Lower_Touch,Golden_Cross_State + BB_Lower_Touch,combo_2,31,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.175325,0.8602,93.325,0.7742,43.902473,30,264.015554,0.04587,1,0.7097,0.12173,-0.0731,0.065164,4.533,0.06516,3.263,1.023705,,,,,,,,,0.9355,0.13842,-0.04338,0.126694,47.443,0.12669,4.615,20.831614,0.9355,0.35874,-0.02287,0.334117,228.0,0.33412,5.652,264.015554,,,,,,,,,MAGNUM_data,
Golden_Cross_State + CCI_Oversold,Golden_Cross_State + CCI_Oversold,combo_2,108,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.140283,0.9136,67.174,0.8611,38.068478,30,94.175889,0.0,1,0.8241,0.10754,-0.08926,0.072915,6.08,0.07291,3.048,2.079883,,,,,,,,,0.963,0.14189,-0.0344,0.135357,101.009,0.13536,4.31,64.141801,0.9537,0.22537,-0.05092,0.212577,94.433,0.21258,5.279,94.175889,,,,,,,,,MAGNUM_data,
Price_Above_EMA200 + BB_Lower_Touch,Price_Above_EMA200 + BB_Lower_Touch,combo_2,27,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.176551,0.8395,84.172,0.7407,36.680609,30,243.187494,0.08548,1,0.6667,0.12162,-0.0731,0.056715,3.84,0.05672,3.257,0.725709,,,,,,,,,0.9259,0.13592,-0.04338,0.122636,40.339,0.12264,4.606,16.484487,0.9259,0.38016,-0.02287,0.350302,208.337,0.3503,5.642,243.187494,,,,,,,,,MAGNUM_data,
Price_Above_EMA200 + CCI_Oversold,Price_Above_EMA200 + CCI_Oversold,combo_2,82,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.157562,0.8862,58.246,0.8171,33.134945,30,92.958536,0.00017,1,0.7683,0.11789,-0.08926,0.069893,4.773,0.06989,3.128,1.473999,,,,,,,,,0.9512,0.16109,-0.0344,0.151558,86.231,0.15156,4.424,57.750043,0.939,0.27086,-0.05092,0.251236,83.734,0.25124,5.419,92.958536,,,,,,,,,MAGNUM_data,
Golden_Cross_State + Williams_Oversold,Golden_Cross_State + Williams_Oversold,combo_2,127,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.133147,0.8871,28.54,0.8661,15.969509,30,59.822635,0.0,1,0.811,0.09966,-0.10236,0.061484,4.525,0.06148,3.128,1.349879,,,,,,,,,0.9055,0.14873,-0.06511,0.128522,22.224,0.12852,4.424,13.8586,0.9449,0.22575,-0.07037,0.209433,58.87,0.20943,5.418,59.822635,,,,,,,,,MAGNUM_data,
Price_Above_EMA200 + Williams_Oversold,Price_Above_EMA200 + Williams_Oversold,combo_2,101,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.130721,0.8614,23.403,0.8416,11.907613,30,49.999671,0.00033,1,0.7723,0.09605,-0.10557,0.050132,3.406,0.05013,3.16,0.789678,,,,,,,,,0.8812,0.14857,-0.06511,0.123185,17.404,0.12318,4.469,9.915584,0.9307,0.24038,-0.07037,0.218845,49.399,0.21884,5.473,49.999671,,,,,,,,,MAGNUM_data,
CDL_DragonFlyDoji,CDL_DragonFlyDoji,single,48,candle,Bullish,0.9792,0.02834,-0.01136,0.027515,218.498,0.02752,1.493,23.39765,0.9792,0.0396,-0.0991,0.036708,32.874,0.03671,1.927,4.696347,,,,,,,,,0.029061,0.9722,102.876,0.9792,11.392719,3,23.39765,0.00853,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9583,0.0247,-0.01705,0.022958,57.257,0.02296,1.219,5.115888,MAGNUM_data,
MACD_Cross_Up_Event + CMF_Positive,MACD_Cross_Up_Event + CMF_Positive,combo_2,13,momentum,Bullish,,,,,,,,,0.8462,0.07735,-0.00632,0.064478,94.144,0.06448,2.029,16.019707,,,,,,,,,0.085627,0.8462,42.988,1.0,9.71415,5,16.019707,0.61986,0,0.8462,0.08611,-0.0327,0.06783,21.696,0.06783,2.87,3.88372,0.8462,0.16323,-0.08803,0.124572,13.124,0.12457,3.515,4.314512,,,,,,,,,,,,,,,,,,,,,,,,,MAGNUM_data,
Golden_Cross_State + CCI_Exit_Oversold,Golden_Cross_State + CCI_Exit_Oversold,combo_2,28,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.146742,0.9405,19.306,0.9643,9.198672,30,22.679616,0.04346,1,0.9643,0.09588,-0.20016,0.085312,14.976,0.08531,2.809,4.30219,,,,,,,,,0.9286,0.1743,-0.22379,0.145863,10.723,0.14586,3.972,5.26651,0.9286,0.23284,-0.10024,0.209052,32.218,0.20905,4.865,22.679616,,,,,,,,,MAGNUM_data,
EMA_Bullish_State + MACD_Cross_Up_Event,EMA_Bullish_State + MACD_Cross_Up_Event,combo_2,15,momentum,Bullish,,,,,,,,,0.9333,0.10284,-0.04681,0.092862,37.983,0.09286,1.865,9.779492,,,,,,,,,0.112108,0.9333,29.312,1.0,9.111046,15,11.876754,0.25109,0,0.9333,0.1156,-0.11486,0.100232,20.046,0.10023,2.637,5.5707,0.9333,0.1607,-0.10135,0.143229,29.908,0.14323,3.23,11.876754,,,,,,,,,,,,,,,,,,,,,,,,,MAGNUM_data,
