SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Golden_Cross_State + CDL_Engulfing_Bull,Golden_Cross_State + CDL_Engulfing_Bull,combo_2,17,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.069131,0.8039,17.442,0.9412,3.280222,20,13.560475,0.59008,0,0.7647,0.07602,-0.04095,0.048499,8.043,0.0485,2.089,1.127534,,,,,,,,,0.8235,0.15331,-0.02057,0.122626,38.259,0.12263,2.955,13.560475,0.8235,0.05676,-0.05936,0.036267,6.024,0.03627,3.619,0.631516,,,,,,,,,MANAKSIA_data,
Price_Above_EMA200 + CDL_Engulfing_Bull,Price_Above_EMA200 + CDL_Engulfing_Bull,combo_2,17,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.069131,0.8039,17.442,0.9412,3.280222,20,13.560475,0.59008,0,0.7647,0.07602,-0.04095,0.048499,8.043,0.0485,2.089,1.127534,,,,,,,,,0.8235,0.15331,-0.02057,0.122626,38.259,0.12263,2.955,13.560475,0.8235,0.05676,-0.05936,0.036267,6.024,0.03627,3.619,0.631516,,,,,,,,,MANAKSIA_data,
STRAT_Volume_CMF_Bull,Volume_Spike + CMF_Strong_Bull,combo_2,34,momentum,Bullish,,,,,,,,,0.8824,0.07067,-0.04751,0.056764,15.014,0.05676,1.756,3.030126,,,,,,,,,0.066799,0.8725,10.506,0.9118,2.274947,5,3.030126,0.14064,0,0.9118,0.09185,-0.10923,0.074111,11.498,0.07411,2.483,3.029526,0.8235,0.11178,-0.1277,0.069521,5.006,0.06952,3.041,1.237367,,,,,,,,,,,,,,,,,,,,,,,,,MANAKSIA_data,
VWAP_Bull + CDL_Engulfing_Bull,VWAP_Bull + CDL_Engulfing_Bull,combo_2,18,momentum,Bullish,,,,,,,,,0.9444,0.06389,-0.04668,0.057743,26.18,0.05774,1.465,4.451137,,,,,,,,,0.062395,0.8333,14.628,0.8333,2.239482,5,4.451137,0.20724,0,0.7778,0.07069,-0.04095,0.04588,8.052,0.04588,2.071,1.087737,0.7778,0.12158,-0.04951,0.083561,9.652,0.08356,2.537,2.374675,,,,,,,,,,,,,,,,,,,,,,,,,MANAKSIA_data,
CMF_Positive + CDL_Harami_Bull,CMF_Positive + CDL_Harami_Bull,combo_2,11,momentum,Bullish,,,,,,,,,0.8182,0.08508,-0.05936,0.058821,6.861,0.05882,1.815,1.002778,,,,,,,,,0.078611,0.8485,11.417,0.9091,2.027498,15,3.06309,0.37206,0,0.8182,0.12348,-0.04934,0.092057,12.881,0.09206,2.567,2.946609,0.9091,0.1012,-0.07756,0.084953,14.51,0.08495,3.144,3.06309,,,,,,,,,,,,,,,,,,,,,,,,,MANAKSIA_data,
Golden_Cross_State + BB_Lower_Touch,Golden_Cross_State + BB_Lower_Touch,combo_2,16,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.071079,0.9792,10.221,0.9375,1.929638,10,0.948726,0.03348,1,0.9375,0.03932,-0.06563,0.032762,10.221,0.03276,2.225,0.948726,,,,,,,,,1.0,0.01653,0.0,0.016533,,0.01653,3.147,0.046843,1.0,0.16394,0.0,0.16394,,0.16394,3.854,0.464477,,,,,,,,,MANAKSIA_data,
MACD_Hist_Positive + Williams_Oversold,MACD_Hist_Positive + Williams_Oversold,combo_2,17,momentum,Bullish,,,,,,,,,0.8824,0.01604,-0.05892,0.007223,2.404,0.00722,1.293,0.050194,,,,,,,,,0.015671,0.9216,42.45,0.9412,1.809672,15,8.57248,0.15166,0,0.9412,0.02408,-0.12611,0.015249,4.092,0.01525,1.829,0.180359,0.9412,0.02641,-0.00533,0.024541,120.855,0.02454,2.24,8.57248,,,,,,,,,,,,,,,,,,,,,,,,,MANAKSIA_data,
MACD_Bullish_State + Williams_Oversold,MACD_Bullish_State + Williams_Oversold,combo_2,17,momentum,Bullish,,,,,,,,,0.8824,0.01604,-0.05892,0.007223,2.404,0.00722,1.293,0.050194,,,,,,,,,0.015671,0.9216,42.45,0.9412,1.809672,15,8.57248,0.15166,0,0.9412,0.02408,-0.12611,0.015249,4.092,0.01525,1.829,0.180359,0.9412,0.02641,-0.00533,0.024541,120.855,0.02454,2.24,8.57248,,,,,,,,,,,,,,,,,,,,,,,,,MANAKSIA_data,
EMA_Bullish_State + CDL_Engulfing_Bull,EMA_Bullish_State + CDL_Engulfing_Bull,combo_2,14,momentum,Bullish,,,,,,,,,0.9286,0.07904,-0.10154,0.066137,10.676,0.06614,1.592,1.912011,,,,,,,,,0.054215,0.9286,11.997,1.0,1.761418,15,2.158113,0.24093,0,0.9286,0.04741,-0.08719,0.037791,11.744,0.03779,2.251,1.201912,0.9286,0.06967,-0.08375,0.058716,13.573,0.05872,2.757,2.158113,,,,,,,,,,,,,,,,,,,,,,,,,MANAKSIA_data,
Golden_Cross_State + CMF_Positive,Golden_Cross_State + CMF_Positive,combo_2,131,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.061564,0.8244,4.42,0.9618,1.277876,20,1.661546,0.29814,0,0.8397,0.08627,-0.11027,0.054762,5.142,0.05476,2.744,1.375053,,,,,,,,,0.8321,0.12287,-0.1675,0.074108,4.592,0.07411,3.88,1.661546,0.8015,0.11287,-0.17456,0.055822,3.525,0.05582,4.752,0.960779,,,,,,,,,MANAKSIA_data,
