SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
MACD_Hist_Rising + CDL_Marubozu_Bull,MACD_Hist_Rising + CDL_Marubozu_Bull,combo_2,10,momentum,Bullish,,,,,,,,,1.0,0.03746,0.0,0.037455,,0.03746,1.267,0.089814,,,,,,,,,0.054758,0.9667,246.105,0.9,29.083087,15,40.451799,0.17008,0,1.0,0.05827,0.0,0.058272,,0.05827,1.792,0.13973,0.9,0.07649,-0.00292,0.068547,246.105,0.06855,2.195,40.451799,,,,,,,,,,,,,,,,,,,,,,,,,MANAPPURAM_data,
OBV_Rising + CDL_Marubozu_Bull,OBV_Rising + CDL_Marubozu_Bull,combo_2,11,momentum,Bullish,,,,,,,,,1.0,0.03882,0.0,0.038817,,0.03882,1.284,0.096457,,,,,,,,,0.051412,0.9697,246.105,0.9091,28.582829,15,37.77425,0.14235,0,1.0,0.05365,0.0,0.053652,,0.05365,1.816,0.13332,0.9091,0.06824,-0.00292,0.061768,246.105,0.06177,2.224,37.77425,,,,,,,,,,,,,,,,,,,,,,,,,MANAPPURAM_data,
VWAP_Bull + CDL_Marubozu_Bull,VWAP_Bull + CDL_Marubozu_Bull,combo_2,10,momentum,Bullish,,,,,,,,,1.0,0.03227,0.0,0.032267,,0.03227,1.313,0.077373,,,,,,,,,0.045695,0.9667,193.639,0.9,19.095787,15,24.437374,0.17008,0,1.0,0.05219,0.0,0.052189,,0.05219,1.857,0.125144,0.9,0.0588,-0.00292,0.05263,193.639,0.05263,2.274,24.437374,,,,,,,,,,,,,,,,,,,,,,,,,MANAPPURAM_data,
MACD_Hist_Positive + MACD_Zero_Cross_Up,MACD_Hist_Positive + MACD_Zero_Cross_Up,combo_2,18,momentum,Bullish,,,,,,,,,0.9444,0.02597,-0.00777,0.0241,67.755,0.0241,1.086,4.808014,,,,,,,,,0.045671,0.9444,56.873,1.0,7.648048,10,15.265638,0.18471,0,0.9444,0.05969,-0.01181,0.05572,93.046,0.05572,1.536,15.265638,0.9444,0.06812,-0.1285,0.057192,9.819,0.05719,1.881,1.653504,,,,,,,,,,,,,,,,,,,,,,,,,MANAPPURAM_data,
MACD_Bullish_State + MACD_Zero_Cross_Up,MACD_Bullish_State + MACD_Zero_Cross_Up,combo_2,18,momentum,Bullish,,,,,,,,,0.9444,0.02597,-0.00777,0.0241,67.755,0.0241,1.086,4.808014,,,,,,,,,0.045671,0.9444,56.873,1.0,7.648048,10,15.265638,0.18471,0,0.9444,0.05969,-0.01181,0.05572,93.046,0.05572,1.536,15.265638,0.9444,0.06812,-0.1285,0.057192,9.819,0.05719,1.881,1.653504,,,,,,,,,,,,,,,,,,,,,,,,,MANAPPURAM_data,
Price_Above_SMA20 + MACD_Zero_Cross_Up,Price_Above_SMA20 + MACD_Zero_Cross_Up,combo_2,21,momentum,Bullish,,,,,,,,,0.9524,0.02347,-0.00777,0.021979,74.031,0.02198,1.089,5.029482,,,,,,,,,0.038743,0.9524,59.931,1.0,7.177126,10,12.922625,0.12215,0,0.9524,0.04668,-0.01181,0.043894,95.245,0.04389,1.54,12.922625,0.9524,0.0593,-0.1285,0.050357,10.516,0.05036,1.886,1.636879,,,,,,,,,,,,,,,,,,,,,,,,,MANAPPURAM_data,
RSI_Oversold + MACD_Hist_Rising,RSI_Oversold + MACD_Hist_Rising,combo_2,23,momentum,Bullish,,,,,,,,,0.9565,0.03142,-0.00921,0.029657,87.739,0.02966,1.59,8.269399,,,,,,,,,0.023468,0.9855,87.739,0.9565,6.259368,5,8.269399,0.01734,1,1.0,0.02178,0.0,0.021785,,0.02178,2.248,0.069232,1.0,0.01896,0.0,0.018964,,0.01896,2.753,0.060268,,,,,,,,,,,,,,,,,,,,,,,,,MANAPPURAM_data,
CDL_Marubozu_Bull,CDL_Marubozu_Bull,single,11,candle,Bullish,0.9091,0.03404,-0.00224,0.030742,155.951,0.03074,0.994,11.913062,1.0,0.03882,0.0,0.038817,,0.03882,1.284,0.096457,,,,,,,,,0.028205,0.9394,83.088,0.9091,5.294057,3,11.913062,0.14463,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9091,0.01872,-0.02158,0.015058,10.225,0.01506,0.812,0.382593,MANAPPURAM_data,
RSI_Bull_Momentum + MACD_Zero_Cross_Up,RSI_Bull_Momentum + MACD_Zero_Cross_Up,combo_2,22,momentum,Bullish,,,,,,,,,0.9545,0.02096,-0.00777,0.019652,74.031,0.01965,1.083,4.561643,,,,,,,,,0.03416,0.9242,31.691,0.9545,3.240098,5,4.561643,0.10606,0,0.9091,0.04668,-0.03761,0.039016,14.958,0.03902,1.532,1.829895,0.9091,0.0593,-0.11106,0.043812,6.084,0.04381,1.876,0.835716,,,,,,,,,,,,,,,,,,,,,,,,,MANAPPURAM_data,
MACD_Zero_Cross_Up,MACD_Zero_Cross_Up,single,22,momentum,Bullish,,,,,,,,,0.9545,0.02096,-0.00777,0.019652,74.031,0.01965,1.083,4.561643,,,,,,,,,0.03416,0.9242,31.691,0.9545,3.240098,5,4.561643,0.10606,0,0.9091,0.04668,-0.03761,0.039016,14.958,0.03902,1.532,1.829895,0.9091,0.0593,-0.11106,0.043812,6.084,0.04381,1.876,0.835716,,,,,,,,,,,,,,,,,,,,,,,,,MANAPPURAM_data,
