SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
Price_Above_SMA50 + Stoch_Bull_Zone + MACD_Cross_Up_Event,Price_Above_SMA50 + Stoch_Bull_Zone + MACD_Cross_Up_Event,combo_3,24,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.04262,0.9028,170.18,0.9583,22.374001,0.875,0.02816,-0.01808,0.022378,12.985,0.02238,,,,,,,0.9167,0.05747,0.00076,0.052745,481.947,0.05274,0.9167,0.06192,-0.0483,0.052737,15.609,0.05274,,,,,,,MAXHEALTH_data,
Price_Above_SMA50 + CMF_Positive + Stoch_Oversold,Price_Above_SMA50 + CMF_Positive + Stoch_Oversold,combo_3,28,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.073812,0.9048,70.512,0.8929,15.64789,0.8571,0.04987,-0.02824,0.038708,11.791,0.03871,,,,,,,0.8929,0.09661,-0.02821,0.083239,29.228,0.08324,0.9643,0.10382,-0.01732,0.099489,170.519,0.09949,,,,,,,MAXHEALTH_data,
CCI_Oversold + Stoch_Oversold + BB_Lower_Touch,CCI_Oversold + Stoch_Oversold + BB_Lower_Touch,combo_3,23,mean_rev,Bullish,1.0,0.9565,0.02312,-0.05369,0.019782,10.404,0.01978,0.9565,0.03339,-0.00618,0.031671,121.879,0.03167,0.9565,0.02909,-0.00189,0.027742,377.675,0.02774,0.026399,0.9565,169.986,1.0,14.2612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAXHEALTH_data,
BB_Lower_Touch + Stoch_Oversold,BB_Lower_Touch + Stoch_Oversold,combo_2,23,mean_rev,Bullish,1.0,0.9565,0.02312,-0.05369,0.019782,10.404,0.01978,0.9565,0.03339,-0.00618,0.031671,121.879,0.03167,0.9565,0.02909,-0.00189,0.027742,377.675,0.02774,0.026399,0.9565,169.986,1.0,14.2612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAXHEALTH_data,
Williams_Oversold + Stoch_Oversold + BB_Lower_Touch,Williams_Oversold + Stoch_Oversold + BB_Lower_Touch,combo_3,22,mean_rev,Bullish,1.0,0.9545,0.02466,-0.05369,0.021094,10.404,0.02109,0.9545,0.03429,-0.00618,0.032451,119.53,0.03245,0.9545,0.02958,-0.00189,0.028154,367.782,0.02815,0.027233,0.9545,165.906,1.0,14.16652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAXHEALTH_data,
Williams_Oversold + CCI_Oversold + BB_Lower_Touch,Williams_Oversold + CCI_Oversold + BB_Lower_Touch,combo_3,37,mean_rev,Bullish,1.0,0.9459,0.01898,-0.03643,0.015985,11.521,0.01598,0.973,0.02176,-0.00618,0.021001,155.466,0.021,0.973,0.01524,-0.00189,0.014777,468.492,0.01478,0.017254,0.964,211.826,0.973,12.93578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAXHEALTH_data,
BB_Lower_Touch + Williams_Oversold,BB_Lower_Touch + Williams_Oversold,combo_2,37,mean_rev,Bullish,1.0,0.9459,0.01898,-0.03643,0.015985,11.521,0.01598,0.973,0.02176,-0.00618,0.021001,155.466,0.021,0.973,0.01524,-0.00189,0.014777,468.492,0.01478,0.017254,0.964,211.826,0.973,12.93578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAXHEALTH_data,
BB_Lower_Touch + CCI_Oversold,BB_Lower_Touch + CCI_Oversold,combo_2,40,mean_rev,Bullish,1.0,0.95,0.0179,-0.03643,0.015183,11.863,0.01518,0.975,0.02021,-0.00618,0.019548,162.279,0.01955,0.975,0.01217,-0.00189,0.011823,478.384,0.01182,0.015518,0.9667,217.509,0.975,12.220921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAXHEALTH_data,
BB_Lower_Touch,BB_Lower_Touch,single,40,mean_rev,Bullish,1.0,0.95,0.0179,-0.03643,0.015183,11.863,0.01518,0.975,0.02021,-0.00618,0.019548,162.279,0.01955,0.975,0.01217,-0.00189,0.011823,478.384,0.01182,0.015518,0.9667,217.509,0.975,12.220921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAXHEALTH_data,
Price_Above_SMA50 + Williams_Oversold + Stoch_Oversold,Price_Above_SMA50 + Williams_Oversold + Stoch_Oversold,combo_3,14,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.074118,0.9286,32.213,1.0,6.465677,0.9286,0.04266,-0.06945,0.034652,10.955,0.03465,,,,,,,0.9286,0.0921,-0.02763,0.083547,54.037,0.08355,0.9286,0.11648,-0.05602,0.104154,31.648,0.10415,,,,,,,MAXHEALTH_data,
VWAP_Bull + Stoch_Oversold + BB_Lower_Touch,VWAP_Bull + Stoch_Oversold + BB_Lower_Touch,combo_3,23,momentum,Bullish,1.5,,,,,,,0.913,0.03584,-0.01213,0.031671,31.027,0.03167,,,,,,,0.047929,0.9275,38.382,0.9565,5.592148,0.913,0.04813,-0.03029,0.041314,17.485,0.04131,0.9565,0.07516,-0.02501,0.070802,66.633,0.0708,,,,,,,,,,,,,,,,,,,MAXHEALTH_data,
VWAP_Bull + OBV_Trend_Bull + CCI_Oversold,VWAP_Bull + OBV_Trend_Bull + CCI_Oversold,combo_3,22,momentum,Bullish,1.5,,,,,,,0.9091,0.02487,-0.00127,0.022492,91.426,0.02249,,,,,,,0.0347,0.9545,52.229,0.9091,5.16592,0.9545,0.03356,-0.0583,0.029383,13.032,0.02938,1.0,0.05222,0.0,0.052223,,0.05222,,,,,,,,,,,,,,,,,,,MAXHEALTH_data,
OBV_Trend_Bull + CCI_Oversold,OBV_Trend_Bull + CCI_Oversold,combo_2,22,momentum,Bullish,1.5,,,,,,,0.9091,0.02487,-0.00127,0.022492,91.426,0.02249,,,,,,,0.0347,0.9545,52.229,0.9091,5.16592,0.9545,0.03356,-0.0583,0.029383,13.032,0.02938,1.0,0.05222,0.0,0.052223,,0.05222,,,,,,,,,,,,,,,,,,,MAXHEALTH_data,
EMA_Bullish_State + Price_Above_SMA50 + Stoch_Oversold,EMA_Bullish_State + Price_Above_SMA50 + Stoch_Oversold,combo_3,50,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.069136,0.9,20.546,0.92,5.138306,0.86,0.04332,-0.0354,0.032296,9.009,0.0323,,,,,,,0.9,0.08792,-0.04722,0.074405,18.976,0.07441,0.94,0.11071,-0.05603,0.100706,33.654,0.10071,,,,,,,MAXHEALTH_data,
EMA_Bullish_State + Stoch_Bull_Zone + MACD_Cross_Up_Event,EMA_Bullish_State + Stoch_Bull_Zone + MACD_Cross_Up_Event,combo_3,23,momentum,Bullish,1.5,,,,,,,0.8696,0.02254,-0.02422,0.016438,7.947,0.01644,,,,,,,0.031031,0.9275,43.349,0.913,3.903324,0.9565,0.03555,-0.04168,0.032194,22.702,0.03219,0.9565,0.047,-0.01128,0.044463,99.399,0.04446,,,,,,,,,,,,,,,,,,,MAXHEALTH_data,
VWAP_Bull + Price_Above_SMA50 + Stoch_Oversold,VWAP_Bull + Price_Above_SMA50 + Stoch_Oversold,combo_3,51,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.066696,0.8824,15.748,0.9216,3.824481,0.8431,0.04332,-0.03904,0.030398,7.148,0.0304,,,,,,,0.8824,0.08792,-0.04176,0.072662,17.916,0.07266,0.9216,0.11071,-0.06377,0.097026,22.179,0.09703,,,,,,,MAXHEALTH_data,
Price_Above_SMA50 + Stoch_Oversold,Price_Above_SMA50 + Stoch_Oversold,combo_2,51,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.066696,0.8824,15.748,0.9216,3.824481,0.8431,0.04332,-0.03904,0.030398,7.148,0.0304,,,,,,,0.8824,0.08792,-0.04176,0.072662,17.916,0.07266,0.9216,0.11071,-0.06377,0.097026,22.179,0.09703,,,,,,,MAXHEALTH_data,
EMA_Cross_Up_Event + Price_Above_SMA50,EMA_Cross_Up_Event + Price_Above_SMA50,combo_2,12,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.004879,0.8611,300.884,0.9167,3.451898,0.8333,-0.00642,-0.0366,-0.011447,4.042,-0.01145,,,,,,,0.8333,0.00072,-0.0444,-0.0068,3.642,-0.0068,0.9167,0.03593,-0.00064,0.032885,894.968,0.03289,,,,,,,MAXHEALTH_data,
EMA_Bullish_State + OBV_Trend_Bull + CCI_Oversold,EMA_Bullish_State + OBV_Trend_Bull + CCI_Oversold,combo_3,14,momentum,Bullish,1.5,,,,,,,0.9286,0.02788,-0.00618,0.025444,66.62,0.02544,,,,,,,0.03493,0.9524,37.081,0.9286,3.257068,0.9286,0.02965,-0.0583,0.023367,7.543,0.02337,1.0,0.05598,0.0,0.05598,,0.05598,,,,,,,,,,,,,,,,,,,MAXHEALTH_data,
VWAP_Bull + Williams_Oversold + Stoch_Oversold,VWAP_Bull + Williams_Oversold + Stoch_Oversold,combo_3,92,momentum,Bullish,1.5,,,,,,,0.837,0.03611,-0.02255,0.026548,8.442,0.02655,,,,,,,0.041107,0.8986,19.051,0.8913,3.163773,0.913,0.046,-0.03808,0.038691,14.353,0.03869,0.9457,0.06341,-0.03461,0.058083,34.358,0.05808,,,,,,,,,,,,,,,,,,,MAXHEALTH_data,
