SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
OBV_Rising + VWAP_Bull,OBV_Rising + VWAP_Bull,combo_2,46,momentum,Bullish,1.5,,,,,,,0.9348,0.05157,-0.05507,0.044619,17.911,0.04462,,,,,,,0.08657,0.9638,30.585,0.9565,9.751135,0.9783,0.10441,-0.17296,0.098385,35.183,0.09839,0.9783,0.1236,-0.19357,0.116707,38.662,0.11671,,,,,,,,,,,,,,,,,,,MODTHREAD_data,
CMF_Positive + Williams_Oversold,CMF_Positive + Williams_Oversold,combo_2,16,momentum,Bullish,1.5,,,,,,,0.9375,0.0864,-0.02637,0.07935,50.859,0.07935,,,,,,,0.070126,0.9792,50.859,0.9375,9.473224,1.0,0.07424,0.0,0.074238,,0.07424,1.0,0.05679,0.0,0.05679,,0.05679,,,,,,,,,,,,,,,,,,,MODTHREAD_data,
CMF_Strong_Bull + Williams_Oversold,CMF_Strong_Bull + Williams_Oversold,combo_2,12,momentum,Bullish,1.5,,,,,,,0.9167,0.0784,-0.02637,0.069667,34.416,0.06967,,,,,,,0.067099,0.9722,34.416,0.9167,5.429486,1.0,0.0813,0.0,0.081297,,0.0813,1.0,0.05033,0.0,0.050333,,0.05033,,,,,,,,,,,,,,,,,,,MODTHREAD_data,
CMF_Positive + Williams_Oversold + CMF_Strong_Bull,CMF_Positive + Williams_Oversold + CMF_Strong_Bull,combo_3,12,momentum,Bullish,1.5,,,,,,,0.9167,0.0784,-0.02637,0.069667,34.416,0.06967,,,,,,,0.067099,0.9722,34.416,0.9167,5.429486,1.0,0.0813,0.0,0.081297,,0.0813,1.0,0.05033,0.0,0.050333,,0.05033,,,,,,,,,,,,,,,,,,,MODTHREAD_data,
VWAP_Bull,VWAP_Bull,single,84,momentum,Bullish,1.5,,,,,,,0.8452,0.06942,-0.06252,0.049004,7.47,0.049,,,,,,,0.086028,0.8929,10.085,0.9286,3.579116,0.9167,0.1177,-0.12925,0.097119,12.027,0.09712,0.9167,0.13835,-0.17833,0.11196,10.758,0.11196,,,,,,,,,,,,,,,,,,,MODTHREAD_data,
MACD_Hist_Rising + CCI_Oversold + Williams_Oversold,MACD_Hist_Rising + CCI_Oversold + Williams_Oversold,combo_3,18,momentum,Bullish,1.5,,,,,,,0.6667,0.02022,-0.07629,-0.011948,1.01,-0.01195,,,,,,,0.033217,0.7963,45.842,0.7222,3.238166,0.7778,0.05117,-0.04434,0.029944,5.471,0.02994,0.9444,0.08727,-0.01372,0.081655,131.046,0.08165,,,,,,,,,,,,,,,,,,,MODTHREAD_data,
MACD_Hist_Rising + EMA_Bullish_State + CCI_Oversold,MACD_Hist_Rising + EMA_Bullish_State + CCI_Oversold,combo_3,14,momentum,Bullish,1.5,,,,,,,0.6429,0.01077,-0.0726,-0.019004,0.797,-0.019,,,,,,,0.034455,0.7857,40.222,0.7143,2.6807,0.7857,0.04312,-0.03944,0.025428,6.677,0.02543,0.9286,0.10545,-0.01372,0.096942,113.191,0.09694,,,,,,,,,,,,,,,,,,,MODTHREAD_data,
Price_Above_SMA20 + EMA_Bullish_State + RSI_Cross50_Up,Price_Above_SMA20 + EMA_Bullish_State + RSI_Cross50_Up,combo_3,11,momentum,Bullish,1.5,,,,,,,0.9091,0.02727,-0.01144,0.023748,35.922,0.02375,,,,,,,0.040583,0.9394,24.458,0.9091,2.242202,0.9091,0.04153,-0.03844,0.034258,12.993,0.03426,1.0,0.06374,0.0,0.063743,,0.06374,,,,,,,,,,,,,,,,,,,MODTHREAD_data,
EMA_Bullish_State + RSI_Bull_Momentum + RSI_Cross50_Up,EMA_Bullish_State + RSI_Bull_Momentum + RSI_Cross50_Up,combo_3,14,momentum,Bullish,1.5,,,,,,,0.9286,0.02028,-0.01144,0.018018,37.799,0.01802,,,,,,,0.031595,0.9524,26.612,0.9286,2.11427,0.9286,0.0326,-0.03844,0.027528,15.425,0.02753,1.0,0.04924,0.0,0.049239,,0.04924,,,,,,,,,,,,,,,,,,,MODTHREAD_data,
RSI_Cross50_Up + EMA_Bullish_State,RSI_Cross50_Up + EMA_Bullish_State,combo_2,14,momentum,Bullish,1.5,,,,,,,0.9286,0.02028,-0.01144,0.018018,37.799,0.01802,,,,,,,0.031595,0.9524,26.612,0.9286,2.11427,0.9286,0.0326,-0.03844,0.027528,15.425,0.02753,1.0,0.04924,0.0,0.049239,,0.04924,,,,,,,,,,,,,,,,,,,MODTHREAD_data,
