SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Price_Above_EMA200 + CMF_Strong_Bull,Price_Above_EMA200 + CMF_Strong_Bull,combo_2,60,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.032878,0.9444,142.545,0.9667,18.623591,30,57.35011,0.00169,1,0.9333,0.01536,-0.0248,0.012684,12.695,0.01268,1.698,0.661957,,,,,,,,,0.9333,0.05165,-0.01398,0.047278,54.186,0.04728,2.402,10.531162,0.9667,0.04016,-0.00459,0.038671,360.755,0.03867,2.942,57.35011,,,,,,,,,MOLDTKPAC_data,
VWAP_Bull + CDL_DragonFlyDoji,VWAP_Bull + CDL_DragonFlyDoji,combo_2,11,momentum,Bullish,,,,,,,,,0.8182,0.00657,-0.0086,0.003815,10.537,0.00382,1.241,0.099888,,,,,,,,,0.022383,0.9091,149.235,0.8182,6.791288,10,26.374367,0.12494,0,0.9091,0.04074,-0.0019,0.036862,287.934,0.03686,1.755,26.374367,1.0,0.02647,0.0,0.026472,,0.02647,2.15,0.065781,,,,,,,,,,,,,,,,,,,,,,,,,MOLDTKPAC_data,
Golden_Cross_State + CMF_Strong_Bull,Golden_Cross_State + CMF_Strong_Bull,combo_2,30,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.028547,0.9222,66.583,0.9667,6.309546,30,9.1653,0.09984,1,0.9,0.02376,-0.02794,0.018587,9.824,0.01859,1.533,0.627021,,,,,,,,,0.9333,0.0529,-0.0162,0.048291,47.671,0.04829,2.168,7.905305,0.9333,0.02043,-0.00459,0.018762,142.255,0.01876,2.655,9.1653,,,,,,,,,MOLDTKPAC_data,
Price_Above_EMA200 + CCI_Exit_Oversold,Price_Above_EMA200 + CCI_Exit_Oversold,combo_2,18,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.028623,0.9074,80.319,0.8889,6.017013,10,9.518767,0.15459,0,0.9444,0.01582,-0.0019,0.014833,217.939,0.01483,1.772,9.518767,,,,,,,,,0.9444,0.03866,-0.05068,0.033692,16.508,0.03369,2.506,1.637635,0.8333,0.05553,-0.0536,0.037342,6.511,0.03734,3.069,0.715903,,,,,,,,,MOLDTKPAC_data,
RSI_Oversold + VWAP_Bull,RSI_Oversold + VWAP_Bull,combo_2,10,momentum,Bullish,,,,,,,,,0.9,0.04335,-0.00976,0.03804,41.92,0.03804,1.187,3.823745,,,,,,,,,0.056909,0.9667,41.92,0.9,5.148442,5,3.823745,0.15106,0,1.0,0.04776,0.0,0.047761,,0.04776,1.679,0.114526,1.0,0.08493,0.0,0.084927,,0.08493,2.056,0.203647,,,,,,,,,,,,,,,,,,,,,,,,,MOLDTKPAC_data,
Price_Above_SMA50 + BB_Expansion_Bull,Price_Above_SMA50 + BB_Expansion_Bull,combo_2,146,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.037015,0.9247,21.131,0.9726,3.79646,30,5.167236,0.00012,1,0.911,0.039,-0.04304,0.031697,11.043,0.0317,1.861,1.746851,,,,,,,,,0.9247,0.05147,-0.03622,0.044866,22.322,0.04487,2.631,4.997986,0.9384,0.0389,-0.03272,0.034481,30.029,0.03448,3.223,5.167236,,,,,,,,,MOLDTKPAC_data,
BB_Expansion_Bull + CMF_Positive,BB_Expansion_Bull + CMF_Positive,combo_2,84,momentum,Bullish,,,,,,,,,0.9167,0.01967,-0.03545,0.015079,8.626,0.01508,1.345,0.577831,,,,,,,,,0.036518,0.9484,21.802,0.9524,3.368673,15,9.471481,0.0001,1,0.9643,0.04022,-0.06551,0.036441,20.045,0.03644,1.903,3.245131,0.9643,0.06205,-0.05034,0.058033,36.737,0.05803,2.33,9.471481,,,,,,,,,,,,,,,,,,,,,,,,,MOLDTKPAC_data,
BB_Expansion_Bull + Stoch_Bull_Zone,BB_Expansion_Bull + Stoch_Bull_Zone,combo_2,46,momentum,Bullish,,,,,,,,,0.9348,0.0285,-0.03397,0.024425,13.734,0.02442,1.292,1.291577,,,,,,,,,0.03951,0.9348,18.637,1.0,2.834979,15,4.561837,0.03075,1,0.9348,0.05287,-0.04902,0.046224,17.43,0.04622,1.828,3.101932,0.9348,0.05378,-0.03664,0.047881,24.746,0.04788,2.239,4.561837,,,,,,,,,,,,,,,,,,,,,,,,,MOLDTKPAC_data,
BB_Expansion_Bull + Stoch_Cross_Up,BB_Expansion_Bull + Stoch_Cross_Up,combo_2,17,momentum,Bullish,,,,,,,,,0.9412,0.0178,-0.01355,0.015953,26.054,0.01595,1.252,1.201355,,,,,,,,,0.031095,0.9412,29.213,1.0,2.625502,15,6.498433,0.1823,0,0.9412,0.03515,-0.04796,0.030259,13.821,0.03026,1.771,1.208805,0.9412,0.05123,-0.0194,0.047072,47.763,0.04707,2.169,6.498433,,,,,,,,,,,,,,,,,,,,,,,,,MOLDTKPAC_data,
RSI_Bull_Momentum + BB_Expansion_Bull,RSI_Bull_Momentum + BB_Expansion_Bull,combo_2,97,momentum,Bullish,,,,,,,,,0.8866,0.02362,-0.03029,0.017505,7.251,0.0175,1.322,0.581938,,,,,,,,,0.037377,0.921,15.903,0.9381,2.556812,15,5.41476,0.00026,1,0.9278,0.04735,-0.03571,0.041354,18.291,0.04135,1.869,3.467997,0.9485,0.05934,-0.0583,0.053272,22.169,0.05327,2.29,5.41476,,,,,,,,,,,,,,,,,,,,,,,,,MOLDTKPAC_data,
