SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
BB_Lower_Bounce + Stoch_Bull_Zone,BB_Lower_Bounce + Stoch_Bull_Zone,combo_2,15,momentum,Bullish,,,,,,,,,0.9333,0.03761,-0.01802,0.0339,33.995,0.0339,1.356,3.195208,,,,,,,,,0.027566,0.9333,68.041,1.0,5.200329,15,6.904326,0.04754,1,0.9333,0.02551,0.00889,0.024406,,0.02441,1.918,0.067667,0.9333,0.0266,-0.00649,0.024393,102.086,0.02439,2.349,6.904326,,,,,,,,,,,,,,,,,,,,,,,,,MUKKA_data,
BB_Lower_Touch,BB_Lower_Touch,single,54,mean_rev,Bullish,0.8704,0.03031,-0.02106,0.023649,11.874,0.02365,0.931,1.125322,0.8519,0.03203,-0.0417,0.021104,5.418,0.0211,1.202,0.458232,0.8704,0.02956,-0.05105,0.019108,5.216,0.01911,1.423,0.399415,0.021287,0.8642,7.503,0.9815,0.628178,3,1.125322,0.015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUKKA_data,
BB_Lower_Touch + CCI_Oversold,BB_Lower_Touch + CCI_Oversold,combo_2,54,mean_rev,Bullish,0.8704,0.03031,-0.02106,0.023649,11.874,0.02365,0.931,1.125322,0.8519,0.03203,-0.0417,0.021104,5.418,0.0211,1.202,0.458232,0.8704,0.02956,-0.05105,0.019108,5.216,0.01911,1.423,0.399415,0.021287,0.8642,7.503,0.9815,0.628178,3,1.125322,0.015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUKKA_data,
BB_Lower_Bounce + OBV_Rising,BB_Lower_Bounce + OBV_Rising,combo_2,26,momentum,Bullish,,,,,,,,,0.8462,0.0193,-0.03345,0.011182,5.049,0.01118,1.334,0.186077,,,,,,,,,0.012449,0.8718,14.12,0.9231,0.534792,10,1.295608,0.01724,1,0.9231,0.01345,-0.00721,0.011862,33.141,0.01186,1.887,1.295608,0.8462,0.0272,-0.05662,0.014303,4.172,0.0143,2.311,0.196646,,,,,,,,,,,,,,,,,,,,,,,,,MUKKA_data,
BB_Lower_Touch + Williams_Oversold,BB_Lower_Touch + Williams_Oversold,combo_2,50,mean_rev,Bullish,0.86,0.02975,-0.02106,0.022639,10.721,0.02264,0.923,0.954319,0.84,0.03141,-0.0417,0.019715,4.883,0.01971,1.191,0.378469,0.86,0.02967,-0.05105,0.018366,4.791,0.01837,1.409,0.345954,0.02024,0.8533,6.798,0.98,0.530177,3,0.954319,0.03106,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUKKA_data,
RSI_Exit_Oversold + OBV_Rising,RSI_Exit_Oversold + OBV_Rising,combo_2,14,momentum,Bullish,,,,,,,,,0.9286,0.02155,-0.07274,0.014812,4.942,0.01481,1.264,0.198244,,,,,,,,,0.02608,0.9524,7.029,0.9286,0.460986,15,0.845377,0.01353,1,1.0,0.02918,0.0,0.029184,,0.02918,1.788,0.079032,0.9286,0.04193,-0.06575,0.034243,9.116,0.03424,2.19,0.845377,,,,,,,,,,,,,,,,,,,,,,,,,MUKKA_data,
BB_Lower_Bounce + CCI_Oversold,BB_Lower_Bounce + CCI_Oversold,combo_2,24,mean_rev,Bullish,0.875,0.01315,-0.03473,0.007168,5.097,0.00717,1.037,0.117609,0.7917,0.02958,-0.03753,0.015596,3.525,0.0156,1.338,0.176974,0.9167,0.03043,-0.01951,0.026271,20.704,0.02627,1.583,1.750768,0.016345,0.8611,9.776,0.875,0.450023,7,1.750768,0.03203,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUKKA_data,
RSI_Exit_Oversold + MACD_Hist_Rising,RSI_Exit_Oversold + MACD_Hist_Rising,combo_2,11,momentum,Bullish,,,,,,,,,0.9091,0.01943,-0.07274,0.011049,3.611,0.01105,1.212,0.099156,,,,,,,,,0.030367,0.9394,6.204,0.9091,0.425616,15,0.973277,0.03441,1,1.0,0.03553,0.0,0.03553,,0.03553,1.713,0.088288,0.9091,0.05555,-0.06575,0.044522,8.797,0.04452,2.099,0.973277,,,,,,,,,,,,,,,,,,,,,,,,,MUKKA_data,
BB_Lower_Bounce,BB_Lower_Bounce,single,28,mean_rev,Bullish,0.8929,0.01174,-0.03473,0.006764,6.01,0.00676,1.033,0.136883,0.8214,0.02071,-0.03753,0.010311,3.876,0.01031,1.334,0.134564,0.9286,0.02331,-0.01951,0.020252,23.008,0.02025,1.579,1.569014,0.012442,0.881,10.964,0.8929,0.410159,7,1.569014,0.01238,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUKKA_data,
MACD_Hist_Rising + CCI_Oversold,MACD_Hist_Rising + CCI_Oversold,combo_2,42,momentum,Bullish,,,,,,,,,0.8571,0.01202,-0.03871,0.004774,3.468,0.00477,1.257,0.062276,,,,,,,,,0.010251,0.9048,10.838,0.9286,0.387998,15,1.427808,0.00059,1,0.9286,0.01301,-0.05179,0.008378,7.476,0.00838,1.778,0.235571,0.9286,0.02099,-0.02641,0.0176,21.569,0.0176,2.178,1.427808,,,,,,,,,,,,,,,,,,,,,,,,,MUKKA_data,
