SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Golden_Cross_State + BB_Expansion_Bull,Golden_Cross_State + BB_Expansion_Bull,combo_2,90,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.081182,0.9593,77.491,0.9,25.539747,20,58.843888,0.0,1,0.9,0.04867,-0.06638,0.037168,8.127,0.03717,1.759,1.362583,,,,,,,,,0.9778,0.09149,-0.02824,0.088828,146.855,0.08883,2.488,58.843888,1.0,0.11755,0.0,0.117551,,0.11755,3.047,0.530255,,,,,,,,,NCC_data,
Price_Above_EMA200 + BB_Expansion_Bull,Price_Above_EMA200 + BB_Expansion_Bull,combo_2,100,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.077645,0.9533,44.079,0.93,14.689755,20,31.93112,0.0,1,0.91,0.04978,-0.06638,0.039323,9.297,0.03932,1.748,1.687121,,,,,,,,,0.97,0.08915,-0.03675,0.085373,81.042,0.08537,2.472,31.93112,0.98,0.11334,-0.14155,0.108239,41.9,0.10824,3.027,20.930354,,,,,,,,,NCC_data,
Price_Above_EMA200 + Stoch_Oversold,Price_Above_EMA200 + Stoch_Oversold,combo_2,49,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.081122,0.9456,29.578,0.9388,8.811955,20,12.902483,0.00096,1,0.9184,0.06523,-0.03354,0.057166,24.285,0.05717,1.989,5.430934,,,,,,,,,0.9796,0.0933,-0.13111,0.088717,37.176,0.08872,2.812,12.902483,0.9388,0.1084,-0.06986,0.097483,27.273,0.09748,3.445,10.400816,,,,,,,,,NCC_data,
Price_Above_EMA200 + CDL_Harami_Bull,Price_Above_EMA200 + CDL_Harami_Bull,combo_2,29,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.058029,0.8966,42.729,0.8621,7.270174,20,18.862801,0.02882,1,0.8276,0.05346,-0.05353,0.035016,5.617,0.03502,1.907,0.668944,,,,,,,,,0.9655,0.05545,-0.01824,0.052914,104.811,0.05291,2.697,18.862801,0.8966,0.10287,-0.0587,0.086158,17.76,0.08616,3.304,5.204281,,,,,,,,,NCC_data,
Golden_Cross_State + CDL_Harami_Bull,Golden_Cross_State + CDL_Harami_Bull,combo_2,29,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.058029,0.8966,42.729,0.8621,7.270174,20,18.862801,0.02882,1,0.8276,0.05346,-0.05353,0.035016,5.617,0.03502,1.907,0.668944,,,,,,,,,0.9655,0.05545,-0.01824,0.052914,104.811,0.05291,2.697,18.862801,0.8966,0.10287,-0.0587,0.086158,17.76,0.08616,3.304,5.204281,,,,,,,,,NCC_data,
Golden_Cross_State + CMF_Positive,Golden_Cross_State + CMF_Positive,combo_2,284,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.052164,0.9237,23.238,0.9155,6.272785,30,22.178265,0.0,1,0.8803,0.03206,-0.05963,0.02108,5.705,0.02108,1.969,0.679726,,,,,,,,,0.9261,0.06142,-0.05302,0.052956,16.424,0.05296,2.784,4.916334,0.9648,0.0875,-0.05565,0.082456,47.585,0.08246,3.41,22.178265,,,,,,,,,NCC_data,
Price_Above_EMA200 + CCI_Oversold,Price_Above_EMA200 + CCI_Oversold,combo_2,59,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.077329,0.9209,15.033,0.9831,4.679062,20,4.812145,0.01336,1,0.9322,0.07527,-0.06095,0.066034,17.724,0.06603,1.941,4.791831,,,,,,,,,0.9153,0.09088,-0.07013,0.077234,15.218,0.07723,2.745,4.812145,0.9153,0.10668,-0.10521,0.088721,12.159,0.08872,3.362,4.416668,,,,,,,,,NCC_data,
Golden_Cross_State + CMF_Strong_Bull,Golden_Cross_State + CMF_Strong_Bull,combo_2,151,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.050754,0.9117,20.764,0.8675,4.593292,30,18.338523,0.0,1,0.8477,0.03712,-0.06746,0.021195,4.292,0.02119,1.941,0.457042,,,,,,,,,0.9073,0.06327,-0.0602,0.051827,11.935,0.05183,2.745,3.107645,0.9801,0.08284,-0.09831,0.079241,46.065,0.07924,3.362,18.338523,,,,,,,,,NCC_data,
Golden_Cross_State + Price_Above_SMA50,Golden_Cross_State + Price_Above_SMA50,combo_2,429,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.055459,0.927,13.693,0.9114,4.197034,30,11.775297,0.0,1,0.8788,0.03544,-0.06085,0.023773,5.82,0.02377,1.89,0.838968,,,,,,,,,0.9347,0.06482,-0.08274,0.055192,13.044,0.05519,2.673,4.365582,0.9674,0.09517,-0.14267,0.087413,22.215,0.08741,3.274,11.775297,,,,,,,,,NCC_data,
Price_Above_EMA200 + CMF_Positive,Price_Above_EMA200 + CMF_Positive,combo_2,314,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.048872,0.9055,14.963,0.9363,3.938834,30,12.02231,0.0,1,0.8758,0.03266,-0.05975,0.021181,5.404,0.02118,1.923,0.658493,,,,,,,,,0.9013,0.06047,-0.0517,0.049392,12.002,0.04939,2.72,3.410275,0.9395,0.08432,-0.0524,0.076043,27.483,0.07604,3.331,12.02231,,,,,,,,,NCC_data,
