SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
EMA_Cross_Up_Event + MACD_Hist_Rising,EMA_Cross_Up_Event + MACD_Hist_Rising,combo_2,10,momentum,Bullish,,,,,,,,,0.8,-0.00313,-0.00384,-0.003274,4.423,-0.00327,0.701,-0.034727,,,,,,,,,0.027992,0.9,760.914,0.8,40.858871,15,192.604308,0.18725,0,1.0,0.03432,0.0,0.034316,,0.03432,0.992,0.082285,0.9,0.05886,-0.00037,0.052934,1517.405,0.05293,1.215,192.604308,,,,,,,,,,,,,,,,,,,,,,,,,NTPC_data,
Stoch_Bull_Zone + CDL_Engulfing_Bull,Stoch_Bull_Zone + CDL_Engulfing_Bull,combo_2,20,momentum,Bullish,,,,,,,,,0.85,0.02426,-0.0041,0.020008,31.528,0.02001,0.8,1.920523,,,,,,,,,0.018647,0.9,70.933,0.9,3.62435,10,10.959327,0.16237,0,0.95,0.02161,-0.00292,0.020382,176.61,0.02038,1.131,10.959327,0.9,0.02456,-0.0655,0.015552,4.662,0.01555,1.385,0.220739,,,,,,,,,,,,,,,,,,,,,,,,,NTPC_data,
BB_Lower_Bounce + Stoch_Bull_Zone,BB_Lower_Bounce + Stoch_Bull_Zone,combo_2,14,momentum,Bullish,,,,,,,,,0.9286,0.03016,-0.00975,0.027306,41.637,0.02731,0.921,3.078857,,,,,,,,,0.031494,0.9286,29.338,1.0,2.502121,5,3.078857,0.3109,0,0.9286,0.02786,-0.01449,0.024838,30.143,0.02484,1.302,2.027531,0.9286,0.04912,-0.0459,0.042337,16.233,0.04234,1.595,1.861177,,,,,,,,,,,,,,,,,,,,,,,,,NTPC_data,
MACD_Hist_Rising + CCI_Oversold,MACD_Hist_Rising + CCI_Oversold,combo_2,57,momentum,Bullish,,,,,,,,,0.9474,0.01538,-0.0186,0.013594,18.825,0.01359,0.911,1.039115,,,,,,,,,0.017118,0.9532,33.715,0.9825,2.302225,10,3.628569,0.00412,1,0.9649,0.01472,-0.01076,0.013824,64.646,0.01382,1.288,3.628569,0.9474,0.02745,-0.03928,0.023935,17.673,0.02394,1.577,1.717569,,,,,,,,,,,,,,,,,,,,,,,,,NTPC_data,
Stoch_Bull_Zone + CCI_Oversold,Stoch_Bull_Zone + CCI_Oversold,combo_2,54,momentum,Bullish,,,,,,,,,0.963,0.02362,-0.03062,0.02161,21.891,0.02161,0.905,1.895768,,,,,,,,,0.027825,0.9506,20.858,0.9815,2.282661,15,2.681681,0.0041,1,0.9444,0.02739,-0.02564,0.02444,22.801,0.02444,1.28,2.23311,0.9444,0.0425,-0.04879,0.037425,17.881,0.03743,1.568,2.681681,,,,,,,,,,,,,,,,,,,,,,,,,NTPC_data,
BB_Lower_Bounce + OBV_Rising,BB_Lower_Bounce + OBV_Rising,combo_2,34,momentum,Bullish,,,,,,,,,0.9118,0.01847,-0.01962,0.015106,11.372,0.01511,0.919,0.610741,,,,,,,,,0.021144,0.9412,29.939,0.9412,2.118304,10,4.606215,0.02337,1,0.9706,0.02171,-0.01449,0.020642,62.765,0.02064,1.3,4.606215,0.9412,0.03211,-0.04312,0.027686,15.68,0.02769,1.592,1.543472,,,,,,,,,,,,,,,,,,,,,,,,,NTPC_data,
Price_Above_EMA200 + BB_Lower_Bounce,Price_Above_EMA200 + BB_Lower_Bounce,combo_2,16,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.035626,0.9792,20.146,0.9375,1.90634,20,1.618458,0.06974,1,1.0,0.03227,0.0,0.032266,,0.03227,1.397,0.091417,,,,,,,,,0.9375,0.03262,-0.03563,0.028355,20.146,0.02836,1.976,1.618458,1.0,0.04626,0.0,0.046256,,0.04626,2.42,0.131052,,,,,,,,,NTPC_data,
CMF_Positive + CDL_Engulfing_Bull,CMF_Positive + CDL_Engulfing_Bull,combo_2,26,momentum,Bullish,,,,,,,,,0.9231,0.01786,-0.00169,0.016357,85.73,0.01636,0.737,4.621659,,,,,,,,,0.018255,0.8846,32.947,0.9231,1.829807,5,4.621659,0.18105,0,0.8846,0.02222,-0.02591,0.016663,9.471,0.01666,1.042,0.520133,0.8462,0.03696,-0.06192,0.021745,3.64,0.02175,1.276,0.260856,,,,,,,,,,,,,,,,,,,,,,,,,NTPC_data,
EMA_Bullish_State + BB_Lower_Bounce,EMA_Bullish_State + BB_Lower_Bounce,combo_2,18,momentum,Bullish,,,,,,,,,0.9444,0.0148,-0.00975,0.013436,34.422,0.01344,0.948,1.361801,,,,,,,,,0.020695,0.9444,29.915,1.0,1.822859,10,2.488628,0.1843,0,0.9444,0.02378,-0.01449,0.021658,39.025,0.02166,1.341,2.488628,0.9444,0.03128,-0.0459,0.026991,16.297,0.02699,1.642,1.295177,,,,,,,,,,,,,,,,,,,,,,,,,NTPC_data,
BB_Lower_Bounce + VWAP_Bull,BB_Lower_Bounce + VWAP_Bull,combo_2,34,momentum,Bullish,,,,,,,,,0.8824,0.01699,-0.01499,0.013229,9.846,0.01323,0.894,0.463107,,,,,,,,,0.018864,0.9314,27.993,0.9118,1.711771,10,4.024864,0.02337,1,0.9706,0.01996,-0.01449,0.018949,59.743,0.01895,1.264,4.024864,0.9412,0.02863,-0.04312,0.024414,14.39,0.02441,1.548,1.249043,,,,,,,,,,,,,,,,,,,,,,,,,NTPC_data,
Golden_Cross_State + BB_Lower_Bounce,Golden_Cross_State + BB_Lower_Bounce,combo_2,20,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.023903,0.9667,23.552,0.95,1.628267,30,2.309848,0.03564,1,1.0,0.02673,0.0,0.02673,,0.02673,1.37,0.081381,,,,,,,,,0.95,0.01917,-0.03563,0.01643,20.529,0.01643,1.938,1.026894,0.95,0.03206,-0.03822,0.028549,26.575,0.02855,2.373,2.309848,,,,,,,,,NTPC_data,
