SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Price_Above_SMA50 + CDL_Harami_Bull,Price_Above_SMA50 + CDL_Harami_Bull,combo_2,18,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.06025,0.8519,4045.37,0.8889,637.916075,30,3564.826582,0.24081,0,0.7778,0.02069,-0.03983,0.007239,3.705,0.00724,2.877,0.078969,,,,,,,,,0.8889,0.09337,-0.08421,0.073643,9.34,0.07364,4.069,2.025274,0.8889,0.11236,-8e-05,0.099867,12123.066,0.09987,4.983,3564.826582,,,,,,,,,OSIAHYPER_data,
Golden_Cross_State + CDL_HaramiCross_Bull,Golden_Cross_State + CDL_HaramiCross_Bull,combo_2,10,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.013786,0.8667,1361.249,0.9,40.500412,30,295.835232,0.34939,0,0.8,0.03268,-0.05601,0.014941,3.89,0.01494,2.662,0.139357,,,,,,,,,0.9,-0.00161,-0.02438,-0.003887,8.834,-0.00389,3.765,-0.082341,0.9,0.03369,-0.00016,0.030305,4071.024,0.03031,4.611,295.835232,,,,,,,,,OSIAHYPER_data,
RSI_Oversold + MACD_Bullish_State,RSI_Oversold + MACD_Bullish_State,combo_2,19,momentum,Bullish,,,,,,,,,0.6842,0.18149,-0.06122,0.104844,6.309,0.10484,2.404,1.981532,,,,,,,,,0.21404,0.7895,21.351,0.7895,10.807968,15,42.594501,0.17323,0,0.7895,0.35146,-0.1483,0.246246,8.887,0.24625,3.4,6.556009,0.8947,0.33212,-0.05821,0.29103,48.855,0.29103,4.164,42.594501,,,,,,,,,,,,,,,,,,,,,,,,,OSIAHYPER_data,
RSI_Oversold + MACD_Hist_Positive,RSI_Oversold + MACD_Hist_Positive,combo_2,19,momentum,Bullish,,,,,,,,,0.6842,0.18149,-0.06122,0.104844,6.309,0.10484,2.404,1.981532,,,,,,,,,0.21404,0.7895,21.351,0.7895,10.807968,15,42.594501,0.17323,0,0.7895,0.35146,-0.1483,0.246246,8.887,0.24625,3.4,6.556009,0.8947,0.33212,-0.05821,0.29103,48.855,0.29103,4.164,42.594501,,,,,,,,,,,,,,,,,,,,,,,,,OSIAHYPER_data,
RSI_Exit_Oversold + Stoch_Bull_Zone,RSI_Exit_Oversold + Stoch_Bull_Zone,combo_2,17,momentum,Bullish,,,,,,,,,0.8824,0.08105,-0.0725,0.062987,10.393,0.06299,2.154,1.892146,,,,,,,,,0.093567,0.902,29.605,0.9412,7.535519,15,26.860857,0.08202,1,0.8824,0.1224,-0.1652,0.088568,6.463,0.08857,3.046,1.654456,0.9412,0.13966,-0.03916,0.129145,71.959,0.12915,3.731,26.860857,,,,,,,,,,,,,,,,,,,,,,,,,OSIAHYPER_data,
Price_Above_SMA50 + MACD_Zero_Cross_Up,Price_Above_SMA50 + MACD_Zero_Cross_Up,combo_2,14,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.180625,0.9286,14.963,1.0,7.319133,30,11.794355,0.12373,0,0.9286,0.11381,-0.14906,0.095037,11.286,0.09504,2.925,2.904652,,,,,,,,,0.9286,0.22883,0.0098,0.213188,,0.21319,4.136,0.577325,0.9286,0.26687,-0.19828,0.233649,18.64,0.23365,5.066,11.794355,,,,,,,,,OSIAHYPER_data,
MACD_Zero_Cross_Up + VWAP_Bull,MACD_Zero_Cross_Up + VWAP_Bull,combo_2,12,momentum,Bullish,,,,,,,,,0.9167,0.05918,-0.02136,0.052471,38.185,0.05247,2.302,5.139117,,,,,,,,,0.068529,0.9722,38.185,0.9167,6.152534,5,5.139117,0.03999,1,1.0,0.05876,0.0,0.058756,,0.05876,3.255,0.150706,1.0,0.09436,0.0,0.094359,,0.09436,3.987,0.242026,,,,,,,,,,,,,,,,,,,,,,,,,OSIAHYPER_data,
CCI_Exit_Oversold + VWAP_Bull,CCI_Exit_Oversold + VWAP_Bull,combo_2,28,momentum,Bullish,,,,,,,,,0.8929,0.04162,-0.05434,0.031342,9.092,0.03134,2.07,0.95957,,,,,,,,,0.077397,0.8929,21.418,0.9286,5.183306,15,19.0535,0.03469,1,0.8571,0.09015,-0.04864,0.070324,11.812,0.07032,2.927,2.797028,0.9286,0.14423,-0.0476,0.130524,43.351,0.13052,3.585,19.0535,,,,,,,,,,,,,,,,,,,,,,,,,OSIAHYPER_data,
Golden_Cross_State + CCI_Exit_Oversold,Golden_Cross_State + CCI_Exit_Oversold,combo_2,22,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.115882,0.9394,13.912,0.8636,4.365459,10,2.507985,0.00842,1,0.8636,0.07269,-0.03872,0.057497,13.912,0.0575,2.905,2.507985,,,,,,,,,0.9545,0.12106,0.00306,0.115696,,0.1157,4.108,0.362765,1.0,0.17445,0.0,0.174454,,0.17445,5.031,0.546999,,,,,,,,,OSIAHYPER_data,
BB_Expansion_Bull + CDL_DragonFlyDoji,BB_Expansion_Bull + CDL_DragonFlyDoji,combo_2,21,momentum,Bullish,,,,,,,,,0.7143,0.09407,-0.02268,0.060714,11.745,0.06071,1.079,2.204176,,,,,,,,,0.072934,0.8095,23.266,0.8095,4.246054,15,11.000186,0.12383,0,0.8095,0.10417,-0.03107,0.07841,13.39,0.07841,1.526,3.245198,0.9048,0.09058,-0.02388,0.07968,44.663,0.07968,1.869,11.000186,,,,,,,,,,,,,,,,,,,,,,,,,OSIAHYPER_data,
